Data, Open, High, Low, Close, Volume
12/4/2008,45.78,46.2,45.6,45.6,1900
12/5/2008,44.14,45.66,43.2,45.48,5800
12/8/2008,52.24,54.28,49.72,51.1,5600
12/9/2008,48.36,50.02,48.06,48.94,7400
12/10/2008,52.1,53.04,51.4,52.84,10700
12/11/2008,55.24,56.02,53.84,54,19200
12/12/2008,51.74,53.72,51.16,52.76,5600
12/15/2008,53.66,57.76,53.52,57.12,14500
12/16/2008,56.68,67.48,56,62.52,26400
12/17/2008,63,67.44,63,65.5,45700
12/18/2008,62.84,63.24,59.5,60.36,37600
12/19/2008,58.68,60,58.2,58.94,11600
12/22/2008,59.52,59.6,57.9,58.2,6300
12/23/2008,56.38,57.3,50.78,52.76,24500
12/24/2008,51.38,53.96,51.38,53.6,3100
12/26/2008,53.72,57.44,53.08,57.44,3800
12/29/2008,61.92,61.92,57.7,58,25500
12/30/2008,58.66,60.82,58.16,58.86,33900
12/31/2008,58.14,64.02,57.34,63,17200
1/2/2009,61.96,65.7,61.58,65.54,22400
1/5/2009,60,62.64,56.4,62.64,39500
1/6/2009,61.62,65.52,60.66,64.6,61700
1/7/2009,62.38,62.4,58.34,59.52,47900
1/8/2009,61.4,61.52,59.64,60.66,15500
1/9/2009,59.72,65.4,59.32,61.5,116400
1/12/2009,58.34,60.06,52.78,55.34,31300
1/13/2009,53.7,56.78,53.7,56.32,19900
1/14/2009,53.88,54.56,52,53.7,12700
1/15/2009,53.54,55.32,51.7,54.8,27900
1/16/2009,59.34,61.76,58.28,61.34,34700
1/20/2009,61.78,62.86,59.76,60.06,15300
1/21/2009,63,63,59,61.92,27900
1/22/2009,62.94,63.98,61.92,63.4,19200
1/23/2009,64.8,70.4,61.4,68.98,46800
1/26/2009,70.44,72.8,70.02,70.22,45500
1/27/2009,69.88,71.82,68.94,69.1,18400
1/28/2009,69.72,71.08,68.02,69.18,24000
1/29/2009,68.04,74,67.26,74,76900
1/30/2009,75.2,77.22,72.94,77.16,37600
2/2/2009,74.24,76.02,73.64,73.78,32200
2/3/2009,72.42,74.4,71.04,74.4,55600
2/4/2009,74.72,76.06,74.36,75.26,23000
2/5/2009,79.3,80.28,77.18,79.64,53900
2/6/2009,80.56,83.1,80.08,82.3,61600
2/9/2009,81.4,81.42,78.74,79.34,27800
2/10/2009,81.8,83.88,81.8,82.54,46200
2/11/2009,84.94,92.88,84.22,87,51200
