Data, Open, High, Low, Close, Volume
10/9/2014,39.67,39.67,39.46,39.46,5400
10/10/2014,39.25,39.4,39.25,39.31,9700
10/13/2014,39.25,39.25,39.25,39.25,500
10/14/2014,39.25,39.25,39.25,39.25,0
10/15/2014,39.21,39.21,38.85,38.86,800
10/16/2014,39.68,39.68,38.74,39.08,4000
10/17/2014,39.12,39.22,39.11,39.22,10700
10/20/2014,42.63,42.68,39.13,39.29,6200
10/21/2014,38.83,39.31,38.83,39.24,1400
10/22/2014,39.44,39.92,39.38,39.38,900
10/23/2014,39.39,39.73,39.31,39.41,32600
10/24/2014,39.12,39.59,39.12,39.59,7800
10/27/2014,39.42,39.52,39.41,39.5,3900
10/28/2014,39.62,39.81,39.57,39.64,3000
10/29/2014,39.72,39.73,39.71,39.73,6700
10/30/2014,40,40.87,39.67,39.77,3200
10/31/2014,40.55,42.59,39.86,40.31,19900
11/3/2014,39.84,40.47,39.82,40.4,15700
11/4/2014,40.64,40.64,39.96,40.07,9800
11/5/2014,40.62,40.62,39.85,40.11,4000
11/6/2014,39.91,40.24,39.9,40.24,8000
11/7/2014,40.67,40.67,40.16,40.44,11700
11/10/2014,39.96,40.03,39.96,40.02,7900
11/11/2014,40.24,40.24,39.99,40.1,10800
11/12/2014,40.19,40.19,40.05,40.17,3600
11/13/2014,40.17,43.12,40.17,40.28,71200
11/14/2014,40.66,40.66,39.97,40.06,2700
11/17/2014,40.67,40.67,39.97,40.02,5400
11/18/2014,40.03,40.42,40.03,40.12,4700
11/19/2014,40.79,40.79,40.14,40.14,18200
11/20/2014,40.04,40.42,40.04,40.14,7200
11/21/2014,40.36,40.52,40.17,40.38,12600
11/24/2014,40.5,40.5,40.15,40.2,5800
11/25/2014,40.53,40.53,40.14,40.34,9400
11/26/2014,40.45,40.45,40.19,40.26,5100
11/28/2014,40.19,40.2,40.19,40.2,400
12/1/2014,40.43,40.43,39.91,39.91,1800
12/2/2014,40.02,40.13,40.02,40.1,1300
12/3/2014,39.96,40.45,39.96,40.24,14000
12/4/2014,40.25,40.39,40.25,40.38,5300
12/5/2014,40.28,40.57,40.27,40.45,16900
12/8/2014,40.5,40.8,40.13,40.36,166500
12/9/2014,40.12,40.56,40.11,40.14,84100
12/10/2014,40.17,40.38,40.16,40.16,13600
12/11/2014,40.78,40.78,40.17,40.2,13200
12/12/2014,40.12,40.12,39.77,40.03,4200
12/15/2014,40.08,42.29,39.81,40.08,35400
12/16/2014,39.77,40.44,39.77,40.03,3500
12/17/2014,40.39,40.85,39.84,40.51,10400
12/18/2014,40.07,40.83,40.07,40.34,11100
12/19/2014,40.18,40.66,40.18,40.51,22400
12/22/2014,40.45,41.4,39.94,40.65,47800
12/23/2014,40.32,40.86,40.32,40.84,12500
12/24/2014,40.52,41.33,40.51,41.06,20100
12/26/2014,41.37,41.45,40.53,40.89,5700
12/29/2014,42.45,42.45,40.74,40.89,17100
12/30/2014,40.76,41.82,40.75,41.28,35300
12/31/2014,40.82,41.14,40.82,40.82,9600
1/2/2015,40.89,41.13,40.75,40.81,10600
1/5/2015,41.6,41.62,40.62,40.62,34100
1/6/2015,40.73,40.73,40.38,40.38,24100
1/7/2015,40.31,40.78,40.29,40.58,18800
1/8/2015,39.88,41.18,39.88,40.75,17300
1/9/2015,40.37,40.77,40.2,40.38,11900
1/12/2015,40.8,40.8,40.39,40.43,3200
1/13/2015,40.67,40.78,40.51,40.56,5600
1/14/2015,40.39,40.54,40.33,40.36,6100
1/15/2015,40.25,40.5,40.25,40.43,4800
1/16/2015,40.45,40.52,40.39,40.5,4500
1/20/2015,40.4,40.66,40.36,40.49,11200
1/21/2015,40.28,40.58,40.28,40.54,5100
1/22/2015,40.3,40.66,40.3,40.61,1800
1/23/2015,40.54,40.72,40.44,40.45,6200
1/26/2015,40.74,40.88,40.7,40.86,2800
1/27/2015,41.53,41.53,40.77,40.83,1700
1/28/2015,41.85,41.85,40.78,40.78,16900
1/29/2015,40.98,40.99,40.5,40.95,3800
1/30/2015,41.81,41.81,40.58,40.78,5100
2/2/2015,41.08,41.08,40.44,40.7,3000
2/3/2015,40.44,41,40.39,40.95,4400
2/4/2015,41.06,41.06,40.69,40.83,4200
2/5/2015,41.79,41.79,40.84,40.93,11800
2/6/2015,40.72,40.98,40.72,40.89,7300
2/9/2015,40.92,40.92,40.68,40.68,4300
2/10/2015,40.52,40.67,40.5,40.5,4500
2/11/2015,40.51,40.82,40.51,40.76,2000
2/12/2015,40.45,40.45,40.45,40.45,600
2/13/2015,40.69,40.7,40.65,40.66,3900
2/17/2015,39.98,40.52,38.91,40.52,11200
2/18/2015,40.79,40.79,40.38,40.4,800
2/19/2015,40.77,40.78,40.65,40.67,6300
2/20/2015,40.4,40.49,40.4,40.49,2100
2/23/2015,40.17,40.67,40.17,40.61,8000
2/24/2015,40.61,40.61,40.3,40.6,9500
2/25/2015,40.79,40.79,40.44,40.44,2000
2/26/2015,40.54,40.73,40.49,40.49,3400
2/27/2015,40.68,40.68,40.25,40.43,3500
3/2/2015,40.56,40.56,40.32,40.38,2800
3/3/2015,40.31,40.5,40.31,40.5,4500
3/4/2015,40.25,40.5,40.23,40.49,3700
3/5/2015,40.5,40.61,40.5,40.61,1800
3/6/2015,40.86,40.86,40.48,40.68,5400
3/9/2015,40.46,40.55,40.46,40.53,1700
3/10/2015,40.53,40.53,40.46,40.46,3600
3/11/2015,40.47,40.47,40.25,40.3,5600
3/12/2015,40.57,40.57,40.05,40.21,11400
3/13/2015,40.27,40.42,40.27,40.42,3400
3/16/2015,40.19,40.27,40.19,40.21,1200
3/17/2015,40.46,40.46,40.19,40.31,6200
3/18/2015,40.4,40.4,40.14,40.35,2700
3/19/2015,40.51,40.51,40.2,40.21,17100
3/20/2015,40.48,40.62,40.46,40.62,4500
3/23/2015,40.3,40.78,40.28,40.67,6800
3/24/2015,40.44,40.58,40.44,40.58,8900
3/25/2015,40.31,40.67,40.31,40.45,2800
3/26/2015,40.41,40.6,40.3,40.48,14400
3/27/2015,40.47,40.9,40.29,40.49,7100
3/30/2015,40.51,40.57,40.28,40.53,4000
3/31/2015,40.5,40.77,40.33,40.47,4600
4/1/2015,40.35,40.6,40.23,40.35,11500
4/2/2015,40.63,40.69,40.38,40.69,24000
4/6/2015,40.63,40.88,40.26,40.4,13400
4/7/2015,40.5,40.85,40.49,40.55,10000
4/8/2015,40.74,40.78,40.44,40.63,7300
4/9/2015,40.77,40.77,40.5,40.5,4800
4/10/2015,40.46,40.79,40.46,40.62,3000
4/13/2015,40.43,40.71,40.43,40.67,3500
4/14/2015,40.46,40.61,40.38,40.6,6600
4/15/2015,40.71,40.71,40.65,40.7,1200
4/16/2015,40.78,40.99,40.31,40.83,9600
4/17/2015,40.52,40.54,40.29,40.41,15500
4/20/2015,40.49,40.61,40.39,40.61,2700
4/21/2015,40.43,40.61,40.43,40.51,3700
4/22/2015,40.36,40.55,40.36,40.54,2600
4/23/2015,40.7,40.7,40.34,40.34,7100
4/24/2015,40.49,40.56,40.43,40.5,4200
4/27/2015,40.7,40.7,40.27,40.49,4800
4/28/2015,40.65,40.69,40.43,40.64,16600
4/29/2015,40.62,40.7,40.46,40.48,5200
4/30/2015,40.57,40.77,40.36,40.44,7300
5/1/2015,40.66,40.66,40.27,40.49,6800
5/4/2015,40.55,41.25,40.41,40.53,11900
5/5/2015,40.51,40.51,40.41,40.43,8700
5/6/2015,40.58,40.58,40.25,40.32,5900
5/7/2015,40.48,40.48,40.23,40.32,18000
5/8/2015,40.38,40.39,40.29,40.36,3700
5/11/2015,40.46,40.46,40.26,40.26,3900
5/12/2015,40.28,40.3,40.1,40.28,12600
5/13/2015,40.01,40.75,40.01,40.39,9900
5/14/2015,40.57,40.59,40.41,40.41,5500
5/15/2015,40.51,41.82,40.39,40.39,5800
5/18/2015,40.35,40.49,40.3,40.49,5100
5/19/2015,40.45,40.45,40.38,40.38,1000
5/20/2015,40.33,40.46,40.33,40.42,1700
5/21/2015,40.57,40.57,40.35,40.46,2600
5/22/2015,40.64,40.64,40.64,40.64,300
5/26/2015,40.46,40.55,40.46,40.46,4000
5/27/2015,40.42,40.44,40.4,40.41,2900
5/28/2015,40.49,40.49,40.4,40.42,2400
5/29/2015,40.26,40.41,40.26,40.36,1400
6/1/2015,40.53,40.53,40.45,40.5,5800
6/2/2015,40.49,40.67,40.34,40.34,3100
6/3/2015,40.68,40.68,40.35,40.47,8100
6/4/2015,40.32,40.35,40.29,40.31,3100
6/5/2015,40.2,40.21,40.11,40.21,1400
6/8/2015,40.2,40.36,40.16,40.19,3300
6/9/2015,40.16,40.43,40.06,40.29,13500
6/10/2015,40.37,40.42,40.24,40.37,6000
