Data, Open, High, Low, Close, Volume
4/9/2010,7.49,7.5,7.47,7.5,8800
4/12/2010,7.48,7.5,7.43,7.43,19200
4/13/2010,7.43,7.49,7.43,7.48,22400
4/14/2010,7.52,7.59,7.5,7.59,29600
4/15/2010,7.57,7.6,7.57,7.6,16800
4/16/2010,7.46,7.46,7.44,7.44,4800
4/19/2010,7.49,7.56,7.36,7.48,19200
4/20/2010,7.55,7.55,7.43,7.51,24000
4/21/2010,7.51,7.51,7.19,7.27,21600
4/22/2010,7.26,7.26,6.99,7.15,32800
4/23/2010,7.3,7.3,7.16,7.29,28800
4/26/2010,7.32,7.33,7.19,7.19,6400
4/27/2010,7.26,7.35,6.99,6.99,14400
4/28/2010,6.96,7.06,6.96,7.06,28000
4/29/2010,7.35,7.57,7.35,7.48,49600
4/30/2010,7.55,7.55,7.36,7.37,7200
5/3/2010,7.39,7.56,7.39,7.53,18400
5/4/2010,7.3,7.31,7.18,7.23,11200
5/5/2010,6.93,6.93,6.76,6.9,7200
5/6/2010,6.8,6.8,5.49,5.66,47200
5/7/2010,6.67,6.67,5.93,6.01,36000
5/10/2010,6.5,6.59,6.35,6.35,19200
5/11/2010,6.27,6.54,6.27,6.54,33600
5/12/2010,6.56,6.77,6.56,6.77,3200
5/13/2010,6.77,6.77,6.77,6.77,0
5/14/2010,6.49,6.49,6.23,6.34,12800
5/17/2010,6.41,6.41,6.15,6.15,16800
5/18/2010,6.51,6.51,6.25,6.25,13600
5/19/2010,6.14,6.14,6.14,6.14,800
5/20/2010,6.02,6.02,5.71,5.71,24000
5/21/2010,5.51,5.77,5.51,5.67,44800
5/24/2010,5.65,5.78,5.65,5.67,7200
5/25/2010,5.38,5.6,5.38,5.6,4000
5/26/2010,5.68,5.72,5.52,5.52,20800
5/27/2010,5.72,5.8,5.68,5.8,12800
5/28/2010,5.8,5.8,5.8,5.8,0
6/1/2010,5.76,5.76,5.55,5.56,3200
6/2/2010,5.74,5.92,5.74,5.92,4800
6/3/2010,5.94,6.04,5.94,6.04,4800
6/4/2010,5.58,5.72,5.58,5.59,4800
6/7/2010,5.64,5.64,5.44,5.44,6400
6/8/2010,5.45,5.46,5.23,5.3,57600
6/9/2010,5.36,5.44,5.26,5.26,27200
6/10/2010,5.42,5.58,5.42,5.55,16000
6/11/2010,5.66,5.72,5.66,5.72,4800
6/14/2010,5.72,5.72,5.72,5.72,0
6/15/2010,5.86,6,5.86,6,3200
6/16/2010,6.03,6.03,5.95,5.95,16000
6/17/2010,5.94,5.98,5.94,5.98,11200
6/18/2010,5.98,5.98,5.98,5.98,0
6/21/2010,5.98,5.98,5.98,5.98,0
6/22/2010,5.85,5.86,5.7,5.7,12800
6/23/2010,5.7,5.7,5.7,5.7,0
6/24/2010,5.63,5.63,5.63,5.63,4800
6/25/2010,5.67,5.84,5.67,5.84,16000
6/28/2010,5.71,5.78,5.71,5.75,8000
6/29/2010,5.58,5.58,5.33,5.35,9600
6/30/2010,5.41,5.41,5.2,5.2,1600
7/1/2010,4.99,4.99,4.81,4.84,11200
7/2/2010,5.09,5.09,5.09,5.09,800
7/6/2010,5.16,5.22,5.04,5.04,49600
7/7/2010,4.92,5.11,4.92,5.11,3200
7/8/2010,5.19,5.19,5.19,5.19,800
7/9/2010,5.27,5.27,5.27,5.27,800
7/12/2010,5.27,5.27,5.27,5.27,0
7/13/2010,5.27,5.27,5.27,5.27,0
7/14/2010,5.54,5.55,5.48,5.48,19200
7/15/2010,5.57,5.63,5.48,5.56,13600
7/16/2010,5.3,5.3,5.3,5.3,800
7/19/2010,5.3,5.3,5.3,5.3,0
7/20/2010,5.09,5.14,5.09,5.14,10400
7/21/2010,5.27,5.33,5.2,5.2,28000
7/22/2010,5.36,5.4,5.33,5.36,25600
7/23/2010,5.34,5.34,5.25,5.25,8000
7/26/2010,5.72,5.8,5.72,5.8,4000
7/27/2010,5.96,5.96,5.7,5.7,20000
7/28/2010,5.66,5.67,5.48,5.48,35200
7/29/2010,5.58,5.58,5.37,5.47,38400
7/30/2010,5.66,5.66,5.62,5.64,12800
8/2/2010,5.74,5.88,5.74,5.85,37600
8/3/2010,5.92,5.92,5.87,5.87,9600
8/4/2010,5.96,5.99,5.96,5.99,1600
8/5/2010,5.96,5.99,5.96,5.99,3200
8/6/2010,5.99,5.99,5.87,5.88,4800
8/9/2010,6.11,6.15,6.1,6.14,7200
8/10/2010,6.13,6.13,5.98,6,3200
8/11/2010,5.89,5.89,5.68,5.7,10400
8/12/2010,5.7,5.7,5.7,5.7,0
8/13/2010,5.7,5.7,5.7,5.7,0
8/16/2010,5.7,5.7,5.7,5.7,1600
8/17/2010,5.74,5.87,5.74,5.85,6400
8/18/2010,5.81,5.89,5.73,5.81,35200
8/19/2010,5.57,5.57,5.57,5.57,1600
8/20/2010,5.55,5.58,5.55,5.57,16000
8/23/2010,5.64,5.64,5.48,5.48,16800
8/24/2010,5.31,5.34,5.28,5.33,12000
8/25/2010,5.28,5.34,5.22,5.34,38400
8/26/2010,5.45,5.45,5.28,5.28,4000
8/27/2010,5.39,5.44,5.39,5.43,21600
8/30/2010,5.37,5.37,5.32,5.33,10400
8/31/2010,5.34,5.35,5.34,5.35,26400
9/1/2010,5.35,5.35,5.35,5.35,0
9/2/2010,5.35,5.35,5.35,5.35,0
9/3/2010,5.76,5.79,5.75,5.79,21600
9/7/2010,5.83,5.83,5.7,5.7,12000
9/8/2010,5.87,5.93,5.87,5.93,24800
9/9/2010,5.98,6.03,5.96,5.96,18400
9/10/2010,6.01,6.12,6.01,6.11,48800
9/13/2010,6.24,6.24,6.11,6.17,47200
9/14/2010,6.14,6.16,6.14,6.16,10400
9/15/2010,6.27,6.27,6.27,6.27,3200
9/16/2010,6.29,6.29,6.17,6.2,28000
9/17/2010,6.2,6.22,6.14,6.22,4000
9/20/2010,6.25,6.43,6.25,6.42,42400
9/21/2010,6.45,6.48,6.43,6.44,69600
9/22/2010,6.43,6.43,6.39,6.39,6400
9/23/2010,6.42,6.42,6.32,6.32,4800
9/24/2010,6.48,6.53,6.45,6.53,30400
9/27/2010,6.52,6.52,6.42,6.42,16000
9/28/2010,6.34,6.47,6.34,6.47,8800
9/29/2010,6.41,6.41,6.41,6.41,8000
9/30/2010,6.41,6.41,6.41,6.41,0
10/1/2010,6.36,6.4,6.33,6.4,6400
10/4/2010,6.32,6.33,6.3,6.3,28000
10/5/2010,6.48,6.48,6.48,6.48,1600
10/6/2010,6.62,6.62,6.47,6.47,6400
10/7/2010,6.47,6.47,6.47,6.47,800
10/8/2010,6.47,6.64,6.47,6.61,14400
10/11/2010,6.61,6.61,6.61,6.61,0
10/12/2010,6.63,6.63,6.63,6.63,1600
10/13/2010,6.63,6.63,6.63,6.63,0
10/14/2010,6.76,6.76,6.67,6.67,6400
10/15/2010,6.54,6.79,6.54,6.79,13600
10/18/2010,6.86,6.86,6.84,6.84,21600
10/19/2010,6.84,6.84,6.84,6.84,0
10/20/2010,6.84,6.84,6.84,6.84,0
10/21/2010,6.77,6.77,6.76,6.76,23200
10/22/2010,6.69,6.69,6.69,6.69,1600
10/25/2010,6.85,6.85,6.85,6.85,12000
10/26/2010,6.63,6.63,6.63,6.63,800
10/27/2010,6.69,6.74,6.69,6.74,8800
10/28/2010,6.87,6.9,6.86,6.9,19200
10/29/2010,6.91,6.91,6.91,6.91,6400
11/1/2010,6.74,6.74,6.74,6.74,16000
11/2/2010,6.74,6.74,6.74,6.74,0
11/3/2010,6.82,6.82,6.82,6.82,2400
11/4/2010,7.01,7.01,6.86,6.86,4000
11/5/2010,6.82,6.82,6.69,6.76,19200
11/8/2010,6.69,6.69,6.68,6.69,25600
11/9/2010,6.61,6.62,6.57,6.59,32000
11/10/2010,6.59,6.59,6.59,6.59,0
11/11/2010,6.65,6.66,6.61,6.61,16800
11/12/2010,6.49,6.53,6.49,6.53,11200
11/15/2010,6.63,6.67,6.63,6.66,7200
11/16/2010,6.66,6.66,6.66,6.66,0
11/17/2010,6.5,6.5,6.5,6.5,4000
11/18/2010,6.73,6.73,6.73,6.73,3200
11/19/2010,6.73,6.75,6.65,6.75,28000
11/22/2010,6.75,6.75,6.75,6.75,0
11/23/2010,6.75,6.75,6.75,6.75,0
11/24/2010,6.75,6.75,6.75,6.75,0
11/26/2010,6.75,6.75,6.75,6.75,0
11/29/2010,6.75,6.75,6.75,6.75,0
11/30/2010,6.58,6.58,6.58,6.58,800
12/1/2010,6.58,6.58,6.58,6.58,0
12/2/2010,6.75,6.76,6.74,6.76,15200
12/3/2010,6.76,6.76,6.76,6.76,0
12/6/2010,6.76,6.76,6.76,6.76,0
12/7/2010,6.76,6.76,6.76,6.76,0
12/8/2010,6.76,6.76,6.76,6.76,0
12/9/2010,6.95,6.95,6.95,6.95,800
12/10/2010,6.99,7.14,6.99,7.12,6400
12/13/2010,7.1,7.1,7.05,7.07,2400
12/14/2010,7.23,7.23,7.23,7.23,2400
12/15/2010,7.34,7.36,7.32,7.32,13600
12/16/2010,7.54,7.54,7.1,7.39,4800
12/17/2010,7.45,7.66,7.45,7.64,77600
12/20/2010,7.69,7.69,7.6,7.67,8000
12/21/2010,7.67,7.7,7.67,7.7,8800
12/22/2010,7.7,7.7,7.66,7.67,52000
12/23/2010,7.86,7.86,7.5,7.68,14400
12/27/2010,7.73,7.73,7.73,7.73,2400
12/28/2010,7.8,7.8,7.53,7.68,20800
12/29/2010,7.68,7.68,7.68,7.68,0
12/30/2010,7.59,7.66,7.55,7.58,17600
12/31/2010,7.5,7.52,7.13,7.52,27200
1/3/2011,7.5,7.71,7.5,7.66,16000
1/4/2011,7.66,7.66,7.56,7.56,45600
1/5/2011,7.65,7.68,7.65,7.68,9600
1/6/2011,7.76,7.78,7.76,7.78,12000
1/7/2011,7.76,7.76,7.67,7.69,13600
1/10/2011,7.74,7.76,7.74,7.76,4000
1/11/2011,7.8,7.8,7.8,7.8,1600
1/12/2011,7.82,7.89,7.82,7.89,11200
1/13/2011,7.94,7.94,7.94,7.94,800
1/14/2011,8.07,8.07,7.93,7.95,12800
1/18/2011,7.97,8.07,7.45,8.07,14400
1/19/2011,7.99,7.99,7.72,7.72,4000
1/20/2011,7.64,7.7,7.64,7.68,12800
1/21/2011,7.87,7.87,7.65,7.66,19200
1/24/2011,7.64,7.72,7.64,7.72,69600
1/25/2011,7.69,7.72,7.66,7.72,53600
1/26/2011,7.89,7.91,7.88,7.91,68800
1/27/2011,7.88,7.88,7.82,7.83,8800
1/28/2011,7.56,7.56,7.43,7.43,3200
1/31/2011,7.43,7.51,7.43,7.51,4000
2/1/2011,7.66,7.66,7.63,7.65,25600
2/2/2011,7.65,7.65,7.65,7.65,0
2/3/2011,7.65,7.65,7.65,7.65,0
2/4/2011,7.62,7.63,7.59,7.59,6400
2/7/2011,7.43,7.59,7.43,7.54,28000
2/8/2011,7.51,7.56,7.49,7.56,19200
2/9/2011,7.51,7.51,7.42,7.42,1600
2/10/2011,7.5,7.5,7.5,7.5,2400
2/11/2011,7.52,7.57,7.52,7.57,4800
2/14/2011,7.64,7.67,7.64,7.67,11200
2/15/2011,7.68,7.68,7.68,7.68,1600
2/16/2011,7.78,7.78,7.74,7.74,4000
2/17/2011,7.74,7.74,7.74,7.74,0
2/18/2011,7.76,7.76,7.76,7.76,800
2/22/2011,7.94,7.94,6.95,7.49,15200
2/23/2011,7.5,7.5,7.39,7.39,1600
2/24/2011,7.32,7.32,7.32,7.32,2400
2/25/2011,7.39,7.39,7.39,7.39,800
2/28/2011,7.39,7.39,7.39,7.39,0
3/1/2011,7.39,7.39,7.39,7.39,0
3/2/2011,7.67,7.67,7.67,7.67,1600
3/3/2011,7.67,7.67,7.67,7.67,0
3/4/2011,7.67,7.67,7.67,7.67,0
3/7/2011,7.64,7.81,7.64,7.81,12000
3/8/2011,7.71,7.74,7.71,7.74,1600
3/9/2011,7.94,7.95,7.94,7.95,18400
3/10/2011,7.9,7.9,7.69,7.7,4800
3/11/2011,7.47,7.47,7.47,7.47,800
3/14/2011,7.66,7.66,7.66,7.66,800
3/15/2011,7.66,7.66,7.66,7.66,0
3/16/2011,7.44,7.44,7.44,7.44,800
3/17/2011,7.44,7.44,7.44,7.44,0
3/18/2011,7.44,7.44,7.44,7.44,0
3/21/2011,7.64,7.64,7.64,7.64,800
3/22/2011,7.63,7.63,7.63,7.63,800
3/23/2011,7.57,7.7,7.57,7.7,1600
3/24/2011,7.9,7.94,7.89,7.94,4000
3/25/2011,8.02,8.05,7.92,8.01,23200
3/28/2011,7.94,7.94,7.94,7.94,800
3/29/2011,8.05,8.05,8.05,8.05,2400
3/30/2011,8.38,8.48,8.36,8.45,12000
3/31/2011,8.53,8.53,8.5,8.5,10400
4/1/2011,8.6,8.6,8.6,8.6,4000
4/4/2011,8.95,8.95,8.72,8.75,37600
4/5/2011,9.19,9.19,8.61,8.94,57600
4/6/2011,9.17,9.17,8.9,8.93,14400
4/7/2011,9.03,9.04,8.81,8.91,854400
4/8/2011,9.04,9.04,8.82,8.89,188000
4/11/2011,9.13,9.13,8.8,8.89,76000
4/12/2011,9.06,9.06,8.76,8.85,59200
4/13/2011,8.78,9.03,8.78,9.02,128000
4/14/2011,9.08,9.15,8.97,9.15,10400
4/15/2011,9.26,9.36,9.12,9.36,38400
4/18/2011,9.36,9.36,8.99,9.15,116800
4/19/2011,9.3,9.3,8.94,9.03,61600
4/20/2011,9.38,9.4,9.3,9.39,94400
4/21/2011,9.55,9.55,9.36,9.38,57600
4/25/2011,9.38,9.39,9.2,9.32,36800
4/26/2011,9.48,9.67,9.35,9.58,50400
4/27/2011,9.81,10.04,9.66,10.04,60000
4/28/2011,10.1,10.16,9.94,10.11,305600
4/29/2011,9.95,9.99,9.78,9.78,49600
5/2/2011,10.11,10.12,9.67,9.95,100800
5/3/2011,9.98,9.98,9.64,9.68,76000
5/4/2011,9.8,9.9,9.48,9.61,51200
5/5/2011,9.41,9.57,9.31,9.34,98400
5/6/2011,9.72,10.03,9.55,9.68,408000
5/9/2011,9.83,9.98,9.7,9.93,193600
5/10/2011,10.12,10.19,9.84,10.03,167200
5/11/2011,10.14,10.14,9.74,9.92,136800
5/12/2011,9.89,10.21,9.75,10.19,90400
5/13/2011,10.29,10.29,9.99,10.06,120000
5/16/2011,10.06,10.06,9.76,9.77,152000
5/17/2011,9.77,9.83,9.56,9.79,76800
5/18/2011,9.8,10.02,9.79,10.01,100000
5/19/2011,10.16,10.16,9.75,9.91,95200
5/20/2011,10.02,10.02,9.76,9.95,58400
5/23/2011,9.84,9.84,9.5,9.66,154400
5/24/2011,9.67,9.71,9.59,9.59,31200
5/25/2011,9.57,9.73,9.44,9.69,56000
5/26/2011,9.73,9.82,9.68,9.81,23200
5/27/2011,9.86,9.9,9.8,9.9,53600
5/31/2011,10.22,10.22,9.93,10.12,71200
6/1/2011,10.22,10.22,9.72,9.76,136800
6/2/2011,9.88,9.9,9.68,9.84,58400
6/3/2011,9.83,9.86,9.62,9.67,234400
6/6/2011,9.74,9.74,9.28,9.34,171200
6/7/2011,9.15,9.63,9.15,9.55,213600
6/8/2011,9.48,9.57,9.38,9.46,42400
6/9/2011,9.38,9.53,9.25,9.37,44800
6/10/2011,9.28,9.3,9.02,9.05,104000
6/13/2011,8.97,9.18,8.93,8.99,63200
6/14/2011,9.1,9.21,8.96,9.14,32800
6/15/2011,9.18,9.24,8.9,8.94,116800
6/16/2011,8.85,8.97,8.69,8.85,62400
6/17/2011,8.89,8.94,8.69,8.75,131200
6/20/2011,8.69,8.94,8.69,8.89,38400
6/21/2011,8.95,9.13,8.93,9.06,34400
6/22/2011,9.06,9.19,9.06,9.08,43200
6/23/2011,8.89,9.13,8.73,9.13,34400
6/24/2011,9.09,9.09,8.9,8.98,39200
6/27/2011,8.94,9.17,8.88,9.17,26400
6/28/2011,9.13,9.52,9.02,9.49,47200
6/29/2011,9.5,9.59,9.45,9.52,15200
6/30/2011,9.66,9.69,9.61,9.62,24000
7/1/2011,9.74,9.81,9.67,9.81,50400
7/5/2011,10,10.12,9.77,9.88,1075200
7/6/2011,10.02,10.06,9.88,9.98,430400
7/7/2011,10.16,10.16,9.96,10.08,313600
7/8/2011,10.09,10.17,9.94,10.17,343200
7/11/2011,10.1,10.1,9.69,9.79,233600
7/12/2011,9.79,9.92,9.66,9.76,150400
7/13/2011,9.93,10.06,9.84,9.87,131200
7/14/2011,10.02,10.1,9.75,9.79,165600
7/15/2011,9.81,9.81,9.63,9.72,64000
7/18/2011,9.7,9.71,9.31,9.46,244000
7/19/2011,9.47,9.83,9.47,9.82,80000
7/20/2011,9.88,9.88,9.54,9.62,51200
7/21/2011,9.71,10.01,9.71,9.93,124800
7/22/2011,9.91,10.08,9.9,10.04,112000
7/25/2011,10.04,10.04,9.7,9.7,60000
7/26/2011,9.74,9.74,9.48,9.48,92800
7/27/2011,9.33,9.4,8.89,8.96,317600
7/28/2011,8.91,9.35,8.91,8.98,142400
7/29/2011,8.84,9.17,8.65,9.09,208000
8/1/2011,9.36,9.36,8.67,8.83,196800
8/2/2011,8.88,8.94,8.3,8.3,268800
8/3/2011,8.21,8.3,7.67,8.25,426400
8/4/2011,7.7,7.7,6.94,6.96,361600
8/5/2011,6.89,7.67,6.37,6.81,540800
8/8/2011,6.3,6.57,4.24,5.97,524800
8/9/2011,6.05,6.64,5.84,6.64,348000
8/10/2011,6.42,6.42,6,6.03,190400
8/11/2011,6,6.62,5.96,6.52,151200
8/12/2011,6.65,6.81,6.32,6.74,216000
8/15/2011,6.95,7.21,6.91,7.21,100000
8/16/2011,7.03,7.18,6.98,7.13,141600
8/17/2011,7.08,7.32,6.89,7.04,97600
8/18/2011,6.62,6.75,6.3,6.42,104800
8/19/2011,6.11,6.58,6.11,6.39,164800
