Data, Open, High, Low, Close, Volume
4/9/2010,1202,1202,1202,1202,0
4/12/2010,1200.8,1210,1199,1203.2,200
4/13/2010,1200,1213.2,1198.4,1198.4,100
4/14/2010,1194.6,1200.4,1185.4,1185.4,0
4/15/2010,1179,1182,1179,1182,100
4/16/2010,1182,1201.6,1182,1194,0
4/19/2010,1187.4,1216.6,1187.4,1206,300
4/20/2010,1198.4,1206.6,1196.2,1196.2,100
4/21/2010,1224.4,1244.2,1222,1235.4,200
4/22/2010,1237.2,1279.6,1237.2,1252.4,500
4/23/2010,1246.8,1246.8,1229,1229,0
4/26/2010,1221.8,1242,1221.8,1242,200
4/27/2010,1240.2,1272,1225.4,1272,100
4/28/2010,1267.8,1270.4,1266.6,1270.4,0
4/29/2010,1252.4,1252.4,1175,1188.2,300
4/30/2010,1176.6,1206.6,1176.6,1206.6,200
5/3/2010,1206.6,1206.6,1188.4,1188.4,100
5/4/2010,1221.2,1241.2,1221.2,1230,200
5/5/2010,1294.4,1294.6,1278.8,1282,100
5/6/2010,1297.4,1545,1296.2,1464,400
5/7/2010,1550,1550,1393.2,1460,100
5/10/2010,1321.6,1387.6,1321.6,1370.4,500
5/11/2010,1348.6,1348.6,1312.2,1335.6,0
5/12/2010,1290.8,1290.8,1290.8,1290.8,0
5/13/2010,1290.8,1290.8,1290.8,1290.8,0
5/14/2010,1358.4,1390.8,1349.8,1370.6,300
5/17/2010,1363.2,1363.2,1362.6,1362.6,0
5/18/2010,1348,1393.8,1339.6,1390.8,300
5/19/2010,1378.2,1418.6,1378.2,1397,100
5/20/2010,1512,1516.4,1491.2,1496,0
5/21/2010,1556.4,1560.2,1496,1518.8,200
5/24/2010,1530,1530,1524.2,1528.8,100
5/25/2010,1594.8,1610.8,1531.2,1531.2,200
5/26/2010,1497.4,1558.6,1493.2,1558,100
5/27/2010,1505,1507.8,1478,1478,100
5/28/2010,1478,1478,1478,1478,0
6/1/2010,1495.4,1542,1495.4,1542,0
6/2/2010,1514,1514,1435,1435,100
6/3/2010,1425,1426.2,1409.8,1410.8,100
6/4/2010,1410.8,1410.8,1410.8,1410.8,0
6/7/2010,1537.2,1554.4,1516.2,1554.4,200
6/8/2010,1576.2,1608.8,1543.8,1593,100
6/9/2010,1561.4,1603,1548.4,1603,200
6/10/2010,1547.6,1547.6,1500.8,1500.8,100
6/11/2010,1518,1518,1464.6,1465,0
6/14/2010,1465,1465,1465,1465,0
6/15/2010,1404,1404,1394,1394,0
6/16/2010,1410.2,1410.2,1394,1404.8,0
6/17/2010,1404.8,1404.8,1404.8,1404.8,0
6/18/2010,1390,1402.4,1378.2,1402.4,100
6/21/2010,1402.4,1402.4,1402.4,1402.4,0
6/22/2010,1429.8,1463.4,1429.8,1463,0
6/23/2010,1469.6,1469.6,1461.4,1461.4,100
6/24/2010,1474.4,1479.6,1474.4,1479.6,0
6/25/2010,1473,1473.2,1425.8,1436.8,100
6/28/2010,1436.8,1436.8,1436.8,1436.8,0
6/29/2010,1542.8,1542.8,1523.6,1542.8,0
6/30/2010,1537.2,1593.4,1534.2,1593.4,100
7/1/2010,1606,1712.4,1606,1663.2,200
7/2/2010,1639.4,1639.4,1639.4,1639.4,0
7/6/2010,1593.8,1672.2,1593.6,1672.2,200
7/7/2010,1698.6,1698.6,1637.4,1637.4,200
7/8/2010,1599.8,1599.8,1586.2,1586.2,0
7/9/2010,1576.8,1576.8,1535.8,1539.2,100
7/12/2010,1517.8,1549.4,1517.8,1549.4,0
7/13/2010,1486.8,1486.8,1483.2,1483.2,0
7/14/2010,1483.2,1483.2,1483.2,1483.2,0
7/15/2010,1490.4,1490.4,1490,1490.4,0
7/16/2010,1490.4,1490.4,1490.4,1490.4,0
7/19/2010,1588.6,1588.6,1588.6,1588.6,0
7/20/2010,1588.8,1589.6,1569.6,1569.6,0
7/21/2010,1542.8,1569.8,1527.4,1569.8,100
7/22/2010,1521.4,1521.6,1520.8,1520.8,0
7/23/2010,1485.4,1550.4,1485.4,1492.6,400
7/26/2010,1438.8,1438.8,1404.8,1404.8,0
7/27/2010,1401.4,1416.8,1401.4,1416.8,0
7/28/2010,1436.6,1470.8,1436.6,1470.8,100
7/29/2010,1441.8,1478.2,1441.8,1478.2,0
7/30/2010,1488.8,1493.2,1429.4,1431.2,100
8/2/2010,1412,1412,1412,1412,0
8/3/2010,1398.2,1398.2,1365.4,1365.4,100
8/4/2010,1337.4,1337.4,1331,1331,0
8/5/2010,1336.6,1349.2,1336.6,1343.8,100
8/6/2010,1378.8,1381,1325.6,1325.6,200
8/9/2010,1311.8,1320.6,1311.8,1320,0
8/10/2010,1342,1342,1327.4,1327.4,0
8/11/2010,1327.4,1327.4,1327.4,1327.4,0
8/12/2010,1419.6,1419.6,1369.8,1381.6,100
8/13/2010,1412.4,1412.4,1393.8,1395.6,0
8/16/2010,1428.2,1428.2,1397.2,1397.2,0
8/17/2010,1370,1370,1370,1370,0
8/18/2010,1374.4,1395.6,1358.2,1375.2,500
8/19/2010,1435.2,1435.2,1435.2,1435.2,0
8/20/2010,1453.8,1454,1453.8,1454,0
8/23/2010,1407.4,1442.4,1407.4,1442.4,0
8/24/2010,1491,1501.8,1489.2,1489.2,100
8/25/2010,1518,1518,1486.2,1486.2,100
8/26/2010,1463.4,1512,1463.4,1512,0
8/27/2010,1512,1512,1512,1512,0
8/30/2010,1512,1512,1512,1512,0
8/31/2010,1484.6,1486,1484.6,1486,0
9/1/2010,1413.2,1413.2,1413.2,1413.2,0
9/2/2010,1413.2,1413.2,1413.2,1413.2,0
9/3/2010,1361.6,1361.6,1361.6,1361.6,0
9/7/2010,1361.6,1370.8,1361.6,1370.8,0
9/8/2010,1375.4,1375.4,1375.4,1375.4,0
9/9/2010,1320.2,1320.2,1295,1306.8,100
9/10/2010,1287,1287,1287,1287,0
9/13/2010,1271,1271,1271,1271,0
9/14/2010,1284.6,1284.6,1284.6,1284.6,0
9/15/2010,1270,1270,1256.8,1256.8,0
9/16/2010,1269.8,1271.2,1263.8,1271.2,0
9/17/2010,1271.2,1271.2,1271.2,1271.2,0
9/20/2010,1246.6,1246.6,1230,1230,0
9/21/2010,1220.2,1220.2,1220.2,1220.2,0
9/22/2010,1220.2,1220.2,1220.2,1220.2,0
9/23/2010,1220.2,1220.2,1220.2,1220.2,0
9/24/2010,1220.2,1220.2,1220.2,1220.2,0
9/27/2010,1197.2,1212.8,1197.2,1212.8,100
9/28/2010,1234.8,1234.8,1223.2,1223.2,0
9/29/2010,1211.2,1222.6,1211,1222.6,0
9/30/2010,1204.8,1220.6,1204.8,1220.6,0
10/1/2010,1220.6,1220.6,1220.6,1220.6,0
10/4/2010,1239.4,1239.4,1238,1238,0
10/5/2010,1204.8,1204.8,1178.8,1178.8,0
10/6/2010,1180.6,1192.4,1178.6,1192.2,0
10/7/2010,1207,1207,1190.8,1195.6,500
10/8/2010,1176.2,1184.4,1176.2,1184.4,0
10/11/2010,1176,1186,1176,1186,100
10/12/2010,1202.6,1202.6,1162.2,1163.6,200
10/13/2010,1156.2,1157.2,1146.2,1157.2,0
10/14/2010,1164.8,1167.6,1163.6,1166.8,300
10/15/2010,1156.4,1162,1139.8,1142.2,400
10/18/2010,1136.2,1138.8,1126,1126,200
10/19/2010,1160,1170,1160,1162.6,0
10/20/2010,1167.2,1167.2,1138.4,1154.6,200
10/21/2010,1176.8,1176.8,1163,1163,100
10/22/2010,1158.8,1159.4,1158.8,1159.4,100
10/25/2010,1134.8,1142,1133.2,1142,500
10/26/2010,1156.6,1156.6,1144.2,1147.6,400
10/27/2010,1138.6,1155,1136,1136,600
10/28/2010,1116.4,1125,1116.2,1123,500
10/29/2010,1123,1123,1123,1123,0
11/1/2010,1132.6,1138.8,1132.6,1138.8,0
11/2/2010,1138.8,1138.8,1138.8,1138.8,0
11/3/2010,1133.4,1139,1131.8,1131.8,100
11/4/2010,1131.8,1131.8,1131.8,1131.8,0
11/5/2010,1137,1149,1137,1149,100
11/8/2010,1148.4,1158.2,1148.4,1155.4,100
11/9/2010,1155.4,1155.4,1155.4,1155.4,0
11/10/2010,1192,1192.4,1164.2,1164.2,100
11/11/2010,1164.2,1164.2,1164.2,1164.2,0
11/12/2010,1164.2,1164.2,1164.2,1164.2,0
11/15/2010,1165.8,1165.8,1164.2,1164.4,100
11/16/2010,1194,1194,1194,1194,0
11/17/2010,1194,1194,1194,1194,0
11/18/2010,1155,1155,1138.8,1146,0
11/19/2010,1138,1142.4,1138,1142,200
11/22/2010,1142,1142,1142,1142,0
11/23/2010,1142,1142,1142,1142,0
11/24/2010,1142,1142,1142,1142,0
11/26/2010,1136.6,1136.6,1136.6,1136.6,0
11/29/2010,1154.2,1154.2,1145.8,1145.8,0
11/30/2010,1145.8,1145.8,1145.8,1145.8,0
12/1/2010,1145.8,1145.8,1145.8,1145.8,0
12/2/2010,1131.2,1131.2,1131.2,1131.2,0
12/3/2010,1123.6,1123.8,1120.8,1120.8,0
12/6/2010,1124,1124,1124,1124,0
12/7/2010,1120.8,1120.8,1120.8,1120.8,0
12/8/2010,1120.8,1120.8,1120.8,1120.8,0
12/9/2010,1120.8,1120.8,1120.8,1120.8,0
12/10/2010,1120.8,1120.8,1120.8,1120.8,0
12/13/2010,1120.8,1120.8,1120.8,1120.8,0
12/14/2010,1120.8,1120.8,1120.8,1120.8,0
12/15/2010,1038.4,1059.4,1038.4,1059.4,0
12/16/2010,1030.4,1030.4,1030.4,1030.4,0
12/17/2010,1003,1003,1003,1003,0
12/20/2010,1003,1003,1003,1003,0
12/21/2010,997,997,991.2,991.2,0
12/22/2010,992.8,992.8,992.8,992.8,0
12/23/2010,992.8,992.8,992.8,992.8,0
12/27/2010,1003.2,1003.2,1003.2,1003.2,0
12/28/2010,1003.2,1003.2,1003.2,1003.2,0
12/29/2010,1000.4,1000.4,1000.4,1000.4,0
12/30/2010,1005.4,1005.4,1005.4,1005.4,100
12/31/2010,1016,1016,1016,1016,0
1/3/2011,1016,1016,1016,1016,0
1/4/2011,1016,1016,1016,1016,0
1/5/2011,1016,1016,1016,1016,0
1/6/2011,1016,1016,983.6,983.6,0
1/7/2011,983.6,983.6,983.6,983.6,0
1/10/2011,983.6,983.6,983.6,983.6,0
1/11/2011,978.6,978.6,978.6,978.6,0
1/12/2011,978.6,978.6,978.6,978.6,0
1/13/2011,901.2,965.8,901.2,963.4,0
1/14/2011,963.4,963.4,958.8,958.8,0
1/18/2011,958.8,958.8,958.8,958.8,0
1/19/2011,958.6,958.8,958.6,958.8,0
1/20/2011,983,983,983,983,0
1/21/2011,983,983,983,983,0
1/24/2011,983,983,983,983,0
1/25/2011,988.8,988.8,988.8,988.8,0
1/26/2011,952,953,952,953,0
1/27/2011,953,953,953,953,0
1/28/2011,1002.8,1002.8,1002.8,1002.8,0
1/31/2011,1002.8,1002.8,1002.8,1002.8,0
2/1/2011,1002.8,1002.8,1002.8,1002.8,0
2/2/2011,1002.8,1002.8,1002.8,1002.8,0
2/3/2011,1002.8,1002.8,1002.8,1002.8,0
2/4/2011,1002.8,1002.8,1002.8,1002.8,0
2/7/2011,995.6,996.2,995.6,996.2,0
2/8/2011,1002.2,1002.8,1002.2,1002.8,500
2/9/2011,1012,1012,1012,1012,0
2/10/2011,1006.4,1006.4,1006.4,1006.4,0
2/11/2011,1006.4,1006.4,1006.4,1006.4,0
2/14/2011,989.2,989.2,989.2,989.2,200
2/15/2011,980.8,980.8,980.8,980.8,0
2/16/2011,1015.4,1015.4,1015.4,1015.4,0
2/17/2011,1015.4,1015.4,1015.4,1015.4,0
2/18/2011,1005.6,1005.6,969.4,969.4,0
2/22/2011,999.8,1001.4,999.8,1001.4,200
2/23/2011,1001.6,1020,1001.4,1020,500
2/24/2011,1023.2,1030.4,1014.8,1014.8,500
2/25/2011,1014.8,1014.8,1014.8,1014.8,0
2/28/2011,988.4,988.4,983.2,983.2,0
3/1/2011,983.2,983.2,983.2,983.2,0
3/2/2011,1013.4,1013.4,981.2,981.2,0
3/3/2011,966,966.4,950,953.6,1100
3/4/2011,953.6,953.6,953.6,953.6,0
3/7/2011,970.2,972.6,962.4,962.4,300
3/8/2011,951.6,951.6,940.2,940.2,0
3/9/2011,940.2,940.2,940.2,940.2,0
3/10/2011,966.8,966.8,965,966.8,500
3/11/2011,984.4,984.4,958.8,958.8,0
3/14/2011,968.4,968.4,963.6,963.6,300
3/15/2011,963.6,963.6,963.6,963.6,0
3/16/2011,963.6,963.6,963.6,963.6,0
3/17/2011,1000.8,1001.4,996.2,1001.4,500
3/18/2011,983,983,981,981,100
3/21/2011,978.6,978.6,953.4,953.4,0
3/22/2011,979.6,980,979.6,980,200
3/23/2011,981,981,971.6,971.6,0
3/24/2011,971.6,971.6,971.6,971.6,0
3/25/2011,927.6,932.6,926.8,932.6,100
3/28/2011,972.2,972.2,942.2,942.4,0
3/29/2011,942.4,942.4,916.8,916.8,200
3/30/2011,889.4,889.4,876,876,0
3/31/2011,876.8,876.8,868,868,0
4/1/2011,868,868,868,868,0
4/4/2011,901,901,847,854,0
4/5/2011,832,832,832,832,0
4/6/2011,832,832,832,832,0
4/7/2011,832,832,832,832,0
4/8/2011,831,831,831,831,0
4/11/2011,832.6,832.6,832.6,832.6,0
4/12/2011,843.6,843.6,843.6,843.6,0
4/13/2011,823.2,829.6,823.2,824.4,0
4/14/2011,822.2,822.2,822.2,822.2,100
4/15/2011,822.2,822.2,822.2,822.2,0
4/18/2011,824.4,824.4,824.4,824.4,100
4/19/2011,824.4,824.4,824.4,824.4,0
4/20/2011,799.2,799.2,788.6,790.6,0
4/21/2011,788.6,788.6,788.6,788.6,0
4/25/2011,799.6,799.6,798.4,798.4,0
4/26/2011,788,788,787,787,0
4/27/2011,765.6,766,740,740,1000
4/28/2011,734,734,730.8,730.8,0
4/29/2011,736,743.4,736,743.4,0
5/2/2011,728,738.2,728,738,0
5/3/2011,743.6,756.2,743.6,751.8,300
5/4/2011,760,770.8,758.6,764.2,600
5/5/2011,787.2,787.2,754.8,785.2,300
5/6/2011,758.6,761.6,758.6,761.6,0
5/9/2011,760,760,738.8,738.8,0
5/10/2011,738.6,738.6,731,731,100
5/11/2011,737.4,743.8,735.4,743.8,100
5/12/2011,747.6,747.6,719.8,719.8,0
5/13/2011,719.8,719.8,719.8,719.8,0
5/16/2011,747.4,747.4,744,744,0
5/17/2011,756.6,756.6,747.6,747.6,100
5/18/2011,735.6,742.2,732.2,732.2,100
5/19/2011,743.4,748.6,743.2,743.2,100
5/20/2011,743.2,743.2,743.2,743.2,0
5/23/2011,749,765.2,749,761.8,100
5/24/2011,764.2,764.2,756,758.8,100
5/25/2011,758.8,758.8,758.8,758.8,0
5/26/2011,755,755,755,755,0
5/27/2011,740.8,740.8,735.6,735.8,0
5/31/2011,717.8,735.4,717.2,722.4,200
6/1/2011,729.6,744.6,729.6,744.6,0
6/2/2011,747.6,747.6,738.4,739.6,100
6/3/2011,752.2,754.6,740.6,750,100
6/6/2011,750,750,750,750,0
6/7/2011,764.8,765.2,758.8,758.8,0
6/8/2011,762.2,772.2,755,763.6,100
6/9/2011,776.8,779,760,769.2,100
6/10/2011,773,801.4,773,801.4,100
6/13/2011,804.8,805,792.8,805,400
6/14/2011,810.2,810.2,786,791.4,200
6/15/2011,798.6,809,779.4,809,200
6/16/2011,805.8,828.8,805.8,819.2,100
6/17/2011,802.8,822.8,802.8,822.8,500
6/20/2011,817.2,817.4,810,810,0
6/21/2011,792.8,795.6,788.2,792.2,300
6/22/2011,787.8,792.8,787.8,792.8,0
6/23/2011,807,821.2,807,821.2,100
6/24/2011,821.2,821.2,821.2,821.2,0
6/27/2011,785.6,785.8,785.6,785.8,0
6/28/2011,780.6,780.6,754.2,756.8,0
6/29/2011,758.2,758.2,750.2,755.6,100
6/30/2011,747.4,748.2,743.8,748.2,100
7/1/2011,755.4,755.4,731.2,734.4,200
7/5/2011,740.2,740.2,728.4,730.8,400
7/6/2011,739,739,719.6,722.4,200
7/7/2011,718.4,718.4,711,712.2,200
