Data, Open, High, Low, Close, Volume
10/6/2011,770.8,783.8,766.6,781,200
10/7/2011,750.8,750.8,730.4,735.2,300
10/10/2011,784,784,745.4,753.4,200
10/11/2011,757,769.8,756.2,769,700
10/12/2011,753,753,736.2,736.2,800
10/13/2011,740,749.2,725.2,746.2,700
10/14/2011,757.6,795.2,757.6,787.4,600
10/17/2011,761,771.6,756,756,600
10/18/2011,748,748,726.4,730.2,400
10/19/2011,743,743,731.4,739,400
10/20/2011,725,760.8,725,739.8,200
10/21/2011,716.2,738.8,715.6,738.8,200
10/24/2011,738.2,738.4,718.4,723,200
10/25/2011,738.8,747.6,727.6,744.4,500
10/26/2011,737.6,737.6,718,721,300
10/27/2011,715.4,737,706.6,719.6,1200
10/28/2011,757.4,770.2,750.2,768,600
10/31/2011,753.8,774,749.2,774,400
11/1/2011,722.4,732.2,717.2,723.2,400
11/2/2011,715,719,706.6,706.6,200
11/3/2011,719,741,713.2,718.4,300
11/4/2011,728.4,728.4,708.2,711,300
11/7/2011,677.4,694.6,675.4,678.8,1400
11/8/2011,670.6,699.8,667.8,698,500
11/9/2011,676.4,678.8,659,661.6,800
11/10/2011,653.8,670.2,646,657,100
11/11/2011,640,650.4,636.6,636.8,300
11/14/2011,614,617,604.8,606.8,300
11/15/2011,606,608,585.8,589.6,900
11/16/2011,587.6,595,568.2,570,500
11/17/2011,579.6,600,527.2,600,800
11/18/2011,577,581,561.8,573.2,1300
11/21/2011,577,596.8,568.8,595.6,900
11/22/2011,593,593,577,591.2,100
11/23/2011,577.6,616.6,572.8,616.6,800
11/25/2011,625.2,625.2,619.4,620.6,400
11/28/2011,603.8,604.8,579.2,583.2,1500
11/29/2011,603,615.6,601.4,615.2,1600
11/30/2011,597.2,620,584.4,594,3100
12/1/2011,590.4,630.8,588.2,620.2,2100
12/2/2011,606,608.6,598.2,599.6,2100
12/5/2011,568.4,574.2,552.6,556.4,3400
12/6/2011,555,570.4,549.6,566.4,1200
12/7/2011,553.8,554.2,542.2,546.8,1200
12/8/2011,550.6,578.8,550.6,552.6,1600
12/9/2011,530.8,533,510.6,517.8,2800
12/12/2011,492.8,497,488.8,495.2,2200
12/13/2011,494,508,491.2,503.8,1100
12/14/2011,479.8,490,459.4,468.6,2100
12/15/2011,473,479,462,463.4,1200
12/16/2011,463,471.6,458,464.2,400
12/19/2011,444.6,456.8,443.8,456.8,100
12/20/2011,463,466.4,453.6,466.4,500
12/21/2011,455.4,479.4,452.2,475,700
12/22/2011,479.6,482.2,455.2,473.4,1200
12/23/2011,465.4,471,452.2,454.2,300
12/27/2011,467.4,470,443.8,457,700
12/28/2011,448.2,461.2,442.6,447.4,700
12/29/2011,445.8,445.8,412.8,420,1400
12/30/2011,416.4,416.6,403.6,405.4,1000
1/3/2012,411,414.6,396,408.2,1600
1/4/2012,420.8,442,418,440,1700
1/5/2012,419,423.6,398,404.6,1500
1/6/2012,414.8,432.2,409.2,431.2,1300
1/9/2012,416,417.6,409.2,416,400
1/10/2012,409.6,413.2,384.4,389.4,2600
1/11/2012,363.2,366.4,342,351.4,5800
1/12/2012,336,340,325,339,6500
1/13/2012,332.4,335,316,316.6,9100
1/17/2012,296,297.4,274,281.2,13500
1/18/2012,289.4,292.8,274.4,281.6,8200
1/19/2012,267.6,270.2,242.4,246.6,18400
1/20/2012,250.2,257,243,252.8,15500
1/23/2012,270.2,300,266.2,299.4,30100
1/24/2012,305.8,316.6,285.6,297.4,27200
1/25/2012,306.2,344,305.8,338.8,28000
1/26/2012,320.8,333.4,291.2,302.8,34500
1/27/2012,296.2,334,294.6,332,19600
1/30/2012,334.2,342.6,305.8,306.2,15300
1/31/2012,281.2,289.6,261,262.2,37900
2/1/2012,251.8,258.8,240,243.6,33900
2/2/2012,246.8,282,242,275.6,39200
2/3/2012,264,278.6,256.6,267.6,33800
2/6/2012,275.2,283.6,261,281.4,21300
2/7/2012,287.2,288,257,263.8,34100
2/8/2012,259,267.4,254.4,255,30100
2/9/2012,260,282.8,249,261.2,44600
2/10/2012,266,268.6,259.8,266.2,15300
2/13/2012,256,264,255.2,259.2,27400
2/14/2012,270.4,275,266.6,272,20800
2/15/2012,262.4,264,250,257.2,33700
2/16/2012,258.2,273.6,256,270,37900
2/17/2012,283,297,278.6,291.8,37900
2/21/2012,278.8,283.2,268.2,283.2,25000
2/22/2012,276.4,286.8,264,286.2,24500
2/23/2012,290,290,268.6,277.8,30700
2/24/2012,271,271,263,266,22900
2/27/2012,271.8,271.8,249.4,251,55800
2/28/2012,238,239,232.2,236.4,53900
2/29/2012,235,250,231.6,243.6,37300
3/1/2012,235.8,238,221.2,224.2,62700
3/2/2012,227.6,231.4,225,225.6,12200
3/5/2012,210.4,212.2,205.2,205.8,38400
3/6/2012,209,210.8,202.4,203.2,23000
3/7/2012,192.2,198.6,191,193.6,36800
3/8/2012,192,196.2,183,193.6,63900
3/9/2012,191.6,198.2,187.4,195.8,24100
3/12/2012,188,189.8,183.2,187,38000
3/13/2012,183.8,204.8,180.4,199.6,58200
3/14/2012,196.8,203.4,192.2,194.6,29400
3/15/2012,192.4,203.4,191,192.8,19900
3/16/2012,200,204.6,195.6,200.6,34900
3/19/2012,196.6,209.6,195,202.4,23800
3/20/2012,201,203.6,197.6,198,15800
3/21/2012,196.4,202.4,193.6,199.8,21400
3/22/2012,197.8,198.6,187.4,187.8,34400
3/23/2012,193.8,196.2,187.8,188,23000
3/26/2012,181.2,184.6,178.2,178.4,33600
3/27/2012,176,177.2,172.2,175,22300
3/28/2012,173.6,178,170.8,173,27400
3/29/2012,168.8,169.6,151.4,154.8,82600
3/30/2012,155.4,156.6,149.4,149.6,23500
4/2/2012,146.2,156,145.6,154.6,28800
4/3/2012,155,161.8,153.4,157.2,27600
4/4/2012,157.6,161,151.4,151.8,30200
4/5/2012,151.6,156,144.8,145.4,26100
4/9/2012,146.8,149.2,144.2,148.8,22700
4/10/2012,142.8,143.6,137,137.4,38200
4/11/2012,138.6,139.4,130.8,131.4,65800
4/12/2012,130.8,142.6,129,130.2,74000
4/13/2012,130.2,130.6,126.6,128.6,32000
4/16/2012,131.2,132,127.6,130.8,21800
4/17/2012,127.6,128,123.8,124.6,29100
4/18/2012,124.4,126.4,122.4,122.6,21600
4/19/2012,120.8,123.8,117.2,118,35600
4/20/2012,118.6,120.6,117.6,120,18600
4/23/2012,122.2,129.6,121,129.6,46600
4/24/2012,127.8,128.8,124.4,124.8,26400
4/25/2012,129.2,139.4,127.4,138.2,65900
4/26/2012,143,151.8,131.4,132.4,97800
4/27/2012,134.4,140,133.6,139.6,61600
4/30/2012,135.4,151.4,134.6,151.4,60000
5/1/2012,154.6,160.4,150.8,158,61800
5/2/2012,155.2,156.4,142.4,145.8,58700
5/3/2012,151.8,158.8,149.2,154,65000
5/4/2012,148.4,149.8,144.4,148.2,43100
5/7/2012,152.4,154.2,149.2,152.6,24300
5/8/2012,146.6,168,145.2,166,98000
5/9/2012,164.4,174.4,163.6,168,80500
5/10/2012,169,176.2,162,169.6,10800
5/11/2012,171.68,175,166.36,172.96,47400
5/14/2012,169.24,169.72,161.2,161.72,60300
5/15/2012,170,172.04,165.6,171.48,42800
5/16/2012,176.52,189.44,176.52,189.4,61400
5/17/2012,185.04,192.4,172.64,191.08,118300
5/18/2012,193.32,208,192.96,201.56,82300
5/21/2012,193.52,197.84,183.16,187.6,73800
5/22/2012,193.2,201.12,192.64,195.96,58200
5/23/2012,192.32,201.96,190.2,199.96,53500
5/24/2012,200.04,201.32,186.28,188.32,56200
5/25/2012,182.12,182.88,170.88,175.48,73300
5/29/2012,171.8,174.28,156.44,159.72,52100
5/30/2012,153.4,155.08,146.88,151.32,46500
5/31/2012,147.44,159.08,146.2,149.24,42700
