Data, Open, High, Low, Close, Volume
6/19/2009,235.84,236.04,233.56,233.76,500
6/22/2009,251.08,264.92,251.08,264.92,600
6/23/2009,263.32,266.04,263.32,264.08,300
6/24/2009,246.96,256.16,242.56,253.8,900
6/25/2009,252,254.28,237.76,237.76,500
6/26/2009,230.6,230.64,228.92,229.12,600
6/29/2009,229.12,229.12,229.12,229.12,0
6/30/2009,229.12,229.12,229.12,229.12,0
7/1/2009,225.12,225.12,219.56,224.68,100
7/2/2009,236.84,239.44,235.84,239.2,2700
7/6/2009,251.52,256.8,244.4,244.4,800
7/7/2009,254.6,263.8,254.6,263.8,0
7/8/2009,272.48,280.6,267.36,270.04,300
7/9/2009,259.96,269.32,256.68,263.2,2200
7/10/2009,274.28,274.96,267.6,267.6,1500
7/13/2009,268,275.08,257.96,257.96,2600
7/14/2009,253.6,253.6,253.6,253.6,100
7/15/2009,243.48,243.48,226.28,226.52,1200
7/16/2009,230.2,230.2,218.32,221,4200
7/17/2009,217.64,221.8,217.64,218.76,700
7/20/2009,209.2,209.2,206.6,206.6,12800
7/21/2009,200,210.56,200,204.32,1200
7/22/2009,209.56,209.56,206.08,206.08,100
7/23/2009,202.36,202.36,191.4,194.04,1200
7/24/2009,196.72,198.76,195.8,195.8,1000
7/27/2009,195.8,195.8,195.8,195.8,0
7/28/2009,196.32,196.32,191.12,193.68,900
7/29/2009,200,204.08,200,204.08,100
7/30/2009,192.56,192.56,190.12,190.88,400
7/31/2009,190.88,190.88,190.88,190.88,0
8/3/2009,178.36,178.36,171.8,173,400
8/4/2009,174.92,175.2,168.12,170.68,400
8/5/2009,175.72,175.8,168.04,168.04,300
8/6/2009,169.84,174.88,169.84,173.72,500
8/7/2009,166.88,170.32,166.88,168,400
8/10/2009,169.72,174.12,169.72,170.48,1100
8/11/2009,178.84,180.68,176.24,176.24,1400
8/12/2009,179.16,179.16,171.32,171.32,1200
8/13/2009,169.8,169.8,168.92,168.92,0
8/14/2009,168.24,177.2,168.24,176.04,400
8/17/2009,189.84,191.88,186.08,188.16,2200
8/18/2009,184.84,185.24,179.28,179.32,2600
8/19/2009,186.92,186.92,174.8,176.52,1600
8/20/2009,175.8,175.8,171.68,172.44,1000
8/21/2009,168.44,168.44,164.28,165,1700
8/24/2009,160.8,166.16,159.52,166.16,800
8/25/2009,167.56,171.16,167.56,171,200
8/26/2009,172.36,173.96,170.76,170.76,900
8/27/2009,174.28,180.48,170.16,170.16,900
8/28/2009,169.88,176.24,169.76,176,1900
8/31/2009,181.16,184.48,179.96,183.4,600
9/1/2009,185.24,192.32,185.24,191.44,4000
9/2/2009,192.8,193.76,185.72,188.48,1900
9/3/2009,182.84,184.84,181.92,181.92,500
9/4/2009,179.72,180.44,171.52,172.52,900
9/8/2009,163.48,165.16,162.28,162.6,2600
9/9/2009,160.48,162.76,159.88,162.24,900
9/10/2009,162.8,162.8,155.56,155.56,500
9/11/2009,154.4,157.68,154.4,157.52,1800
9/14/2009,160.4,160.4,153.8,153.8,800
9/15/2009,152.6,152.6,149.88,150.08,400
9/16/2009,146.68,146.68,142.48,142.92,2600
