Data, Open, High, Low, Close, Volume
11/25/2008,130.5,130.5,130.4,130.4,400
11/26/2008,127.25,128.15,123.65,123.65,500
11/28/2008,123.1,123.35,123.1,123.35,3600
12/1/2008,135.9,136.6,135.9,136.6,0
12/2/2008,135.75,140.85,135.75,140.85,100
12/3/2008,145.6,145.6,143.95,143.95,100
12/4/2008,146.8,155.35,146.05,155.05,900
12/5/2008,161.7,166.9,160.55,164.2,2900
12/8/2008,156.6,156.75,151.85,156.75,1200
12/9/2008,158.95,158.95,153.85,158.05,100
12/10/2008,152.35,152.35,147.55,151.1,900
12/11/2008,145.6,145.6,140.55,144.15,2400
12/12/2008,149.7,151.25,147.1,147.1,1800
12/15/2008,147.1,147.1,147.1,147.1,0
12/16/2008,144.75,145.5,142.5,142.5,500
12/17/2008,144.5,144.5,144.5,144.5,0
12/18/2008,147,147,145.6,145.6,100
12/19/2008,149.55,149.55,149.15,149.55,100
12/22/2008,147.4,150.9,147.4,150.9,100
12/23/2008,151.95,153.6,151.95,152.3,1400
12/24/2008,152.3,152.3,152.3,152.3,0
12/26/2008,150.4,150.4,146.15,146.15,100
12/29/2008,146.15,146.15,146.15,146.15,0
12/30/2008,145,145,145,145,0
12/31/2008,143.7,143.85,137.9,137.9,3000
1/2/2009,132.15,132.3,127.55,127.7,2900
1/5/2009,130,130.7,119.15,129.75,700
1/6/2009,119.5,120.15,119.5,120.15,300
1/7/2009,125.1,129,125.1,128.75,500
1/8/2009,131,133.25,131,132.5,500
1/9/2009,132.5,132.5,132.5,132.5,0
1/12/2009,137.15,141.3,134.9,141.25,4200
1/13/2009,143.5,143.5,139.9,142,2300
1/14/2009,145,145.7,144.7,145.3,700
1/15/2009,147.3,147.3,147.3,147.3,200
1/16/2009,141.7,143.75,139.25,142.35,400
1/20/2009,146.4,146.4,142.6,144.95,800
1/21/2009,148.95,150.3,144.15,144.15,1200
1/22/2009,148.9,152.3,148.8,150.3,700
1/23/2009,150.6,150.6,138.7,139.4,4000
1/26/2009,137.95,137.95,132.45,136.2,400
1/27/2009,140.6,146.45,140.6,146.45,600
1/28/2009,144.4,146.25,143.65,143.65,800
1/29/2009,143.65,143.65,143.65,143.65,0
1/30/2009,142.85,146.65,142.85,146.65,400
2/2/2009,148.75,148.8,146.3,148.8,2500
2/3/2009,149.35,149.35,148.5,148.5,0
2/4/2009,144.35,144.35,144.35,144.35,100
2/5/2009,145.15,145.15,142.5,142.5,0
2/6/2009,143.3,143.3,136.5,138.45,1400
2/9/2009,136,136.55,136,136.55,100
2/10/2009,137.6,145.7,137.6,145.7,2900
2/11/2009,145.7,145.7,145.7,145.7,0
2/12/2009,149.95,149.95,147.8,147.8,0
2/13/2009,150.2,150.2,150.2,150.2,0
2/17/2009,156.75,163.2,156.75,162.8,900
2/18/2009,165.7,169,165.7,167.15,100
2/19/2009,167.6,167.6,163.75,163.75,200
2/20/2009,169.15,169.15,168,168,200
2/23/2009,164.1,166.05,164.1,166.05,2100
2/24/2009,167.75,167.75,167.3,167.3,0
2/25/2009,159.15,163.1,159.15,159.75,100
2/26/2009,152.9,153.5,152.9,153.5,100
2/27/2009,158.9,158.9,156.95,156.95,200
3/2/2009,162.4,168.05,162.4,168.05,1400
3/3/2009,150.65,165.7,150.65,163.1,200
3/4/2009,156.25,156.25,151.45,151.5,400
3/5/2009,154.55,159.05,154.55,158,100
