Data, Open, High, Low, Close, Volume
5/25/2012,97.14,97.14,97.14,97.14,200
5/29/2012,97.22,97.22,97.22,97.22,200
5/30/2012,97.22,97.22,97.22,97.22,100
5/31/2012,97.37,97.37,97.3,97.3,400
6/1/2012,97.3,97.3,97.3,97.3,0
6/4/2012,97.34,97.34,97.34,97.34,100
6/5/2012,97.13,97.14,97.13,97.14,1500
6/6/2012,97.4,97.4,97.31,97.31,300
6/7/2012,96.81,96.81,96.81,96.81,100
6/8/2012,96.81,96.81,96.81,96.81,0
6/11/2012,96.81,96.81,96.81,96.81,0
6/12/2012,97.36,97.36,97.36,97.36,200
6/13/2012,97.34,97.34,97.34,97.34,100
6/14/2012,97.34,97.34,97.34,97.34,0
6/15/2012,97.34,97.34,97.34,97.34,0
6/18/2012,97.34,97.34,96.9,96.9,4400
6/19/2012,97.19,97.19,97.19,97.19,100
6/20/2012,97.44,97.44,97.19,97.19,600
6/21/2012,97.19,97.19,97.19,97.19,0
6/22/2012,97.14,97.14,97.14,97.14,300
6/25/2012,97.24,97.24,97.24,97.24,2000
6/26/2012,97.22,97.22,97.22,97.22,1000
6/27/2012,97.24,97.24,97.24,97.24,1500
6/28/2012,97.24,97.24,97.24,97.24,0
6/29/2012,97.14,97.19,97.07,97.07,4700
7/2/2012,97.52,104.84,97.47,97.47,37300
7/3/2012,97.47,97.47,97.47,97.47,200
7/5/2012,97.78,97.78,97.78,97.78,500
7/6/2012,97.78,97.78,97.78,97.78,0
7/9/2012,97.78,97.78,97.78,97.78,0
7/10/2012,97.76,97.76,97.76,97.76,700
7/11/2012,97.76,97.76,97.76,97.76,100
7/12/2012,97.71,97.81,97.62,97.81,4400
7/13/2012,97.81,97.81,97.81,97.81,0
7/16/2012,97.81,97.81,97.81,97.81,0
7/17/2012,98.19,98.19,98.19,98.19,400
7/18/2012,98.19,98.19,98.19,98.19,0
7/19/2012,98.05,98.05,97.97,98.05,9300
7/20/2012,98.15,98.33,98.15,98.29,9400
7/23/2012,98.32,98.32,98.32,98.32,200
7/24/2012,98.37,98.37,98.37,98.37,1500
7/25/2012,98.25,98.25,98.25,98.25,2000
7/26/2012,98.28,98.28,98.28,98.28,500
7/27/2012,97.79,97.79,97.79,97.79,100
7/30/2012,98.15,98.15,98.15,98.15,2000
7/31/2012,98.15,98.15,98.15,98.15,0
8/1/2012,98.54,98.54,98.47,98.47,700
8/2/2012,98.47,98.47,98.47,98.47,0
8/3/2012,98.24,98.24,98.1,98.24,2400
8/6/2012,98.24,98.24,98.15,98.15,13000
8/7/2012,98.37,98.38,98.37,98.37,5600
8/8/2012,98.37,98.37,98.37,98.37,0
8/9/2012,98.37,98.37,98.37,98.37,0
8/10/2012,98.37,98.37,98.37,98.37,0
8/13/2012,98.37,98.37,98.37,98.37,0
8/14/2012,98.1,98.11,95.86,98.11,3900
8/15/2012,97.99,98.04,97.99,98.04,1200
8/16/2012,98.29,98.29,97.97,97.97,500
8/17/2012,97.97,97.97,97.97,97.97,0
8/20/2012,97.97,97.97,97.97,97.97,0
8/21/2012,98,98,98,98,1500
8/22/2012,98,98,98,98,0
8/23/2012,98.33,98.33,98.33,98.33,1000
8/24/2012,98.29,98.64,98.29,98.64,1000
8/27/2012,98.64,98.64,98.64,98.64,0
8/28/2012,98.67,98.67,96.71,98.38,3400
8/29/2012,98.33,98.33,98.33,98.33,600
8/30/2012,98.33,98.33,98.33,98.33,0
8/31/2012,98.62,98.62,98.62,98.62,200
9/4/2012,98.71,98.71,98.71,98.71,0
9/5/2012,98.71,98.71,98.71,98.71,0
9/6/2012,98.71,98.71,98.71,98.71,0
9/7/2012,98.71,98.71,98.71,98.71,0
9/10/2012,98.71,98.71,98.71,98.71,0
9/11/2012,98.71,98.71,98.71,98.71,0
9/12/2012,98.71,98.71,98.71,98.71,0
9/13/2012,98.62,98.62,98.62,98.62,200
9/14/2012,98.87,98.87,98.87,98.87,200
9/17/2012,98.87,98.87,98.87,98.87,2000
9/18/2012,98.55,98.55,98.55,98.55,200
9/19/2012,98.81,98.81,98.81,98.81,200
9/20/2012,98.81,98.81,98.81,98.81,200
9/21/2012,98.81,98.81,98.81,98.81,0
9/24/2012,98.81,98.81,98.81,98.81,0
9/25/2012,98.83,98.86,98.83,98.86,500
9/26/2012,98.86,98.86,98.86,98.86,0
9/27/2012,98.86,98.86,98.86,98.86,0
9/28/2012,98.86,98.86,98.86,98.86,0
10/1/2012,98.99,98.99,98.99,98.99,700
10/2/2012,99.01,99.01,99.01,99.01,200
10/3/2012,99.05,99.05,99.05,99.05,1000
10/4/2012,98.99,98.99,98.99,98.99,200
10/5/2012,98.64,98.64,98.64,98.64,200
10/8/2012,98.64,98.64,98.64,98.64,0
10/9/2012,98.67,98.74,98.67,98.74,2100
10/10/2012,98.74,98.74,98.74,98.74,0
10/11/2012,98.74,98.74,98.74,98.74,0
10/12/2012,98.74,98.74,98.74,98.74,0
10/15/2012,98.74,98.74,98.74,98.74,0
10/16/2012,98.74,98.74,98.74,98.74,0
10/17/2012,98.74,98.74,98.74,98.74,0
10/18/2012,98.74,98.74,98.74,98.74,0
10/19/2012,98.57,98.57,98.57,98.57,200
10/22/2012,98.57,98.57,98.57,98.57,0
10/23/2012,98.57,98.57,98.57,98.57,0
10/24/2012,98.6,98.9,98.59,98.9,2100
10/25/2012,98.9,98.9,98.9,98.9,0
10/26/2012,98.9,98.9,98.9,98.9,0
10/31/2012,99.04,99.04,99.04,99.04,200
11/1/2012,99.04,99.04,99.04,99.04,0
11/2/2012,99.04,99.04,99.04,99.04,0
11/5/2012,99.04,99.04,99.04,99.04,0
11/6/2012,99.04,99.04,99.04,99.04,0
11/7/2012,99.09,99.12,99.09,99.12,900
11/8/2012,99.09,99.09,99.09,99.09,200
11/9/2012,99.09,99.09,99.09,99.09,0
11/12/2012,99.09,99.09,99.04,99.04,900
11/13/2012,99.04,99.04,99.04,99.04,0
11/14/2012,99.04,99.04,99.04,99.04,0
11/15/2012,99.22,99.22,99.22,99.22,400
11/16/2012,99.22,99.22,98.91,98.91,3300
11/19/2012,98.88,98.88,98.88,98.88,4000
11/20/2012,97.67,97.67,97.67,97.67,600
11/21/2012,99.04,99.04,98.7,98.7,6100
11/23/2012,98.67,99.04,98.67,98.7,7700
11/26/2012,98.73,98.73,98.73,98.73,4000
11/27/2012,98.74,98.74,98.74,98.74,6000
11/28/2012,98.7,98.71,98.4,98.4,6100
11/29/2012,98.7,98.7,98.63,98.63,11900
11/30/2012,98.67,98.68,98.67,98.67,5000
12/3/2012,99.51,99.54,98.72,98.72,4400
12/4/2012,98.74,99.05,98.14,98.2,25400
12/5/2012,98.51,99.24,98.49,99.2,6000
12/6/2012,98.62,98.62,98.62,98.62,200
12/7/2012,99.06,99.46,98.48,98.82,3800
12/10/2012,98.67,98.72,98.67,98.7,400
12/11/2012,99.43,99.43,98.44,98.5,5000
12/12/2012,98.69,99.07,98.69,99.07,1700
12/13/2012,99.07,99.07,99.07,99.07,0
12/14/2012,99.22,99.22,99.22,99.22,300
12/17/2012,99.22,99.22,99.22,99.22,0
12/18/2012,99.22,99.22,99.22,99.22,0
12/19/2012,98.77,99.06,98.77,99.06,5500
12/20/2012,99.28,99.28,98.59,98.83,14800
12/21/2012,98.23,98.94,98.23,98.73,20000
12/24/2012,98.72,98.95,98.58,98.67,12700
12/26/2012,98.76,98.85,98.62,98.62,5400
12/27/2012,98.62,98.62,98.62,98.62,0
12/28/2012,98.82,99.13,98.8,99.13,14600
12/31/2012,98.8,99.26,98.8,99.26,13300
1/2/2013,98.73,99.17,98.73,99.04,11800
1/3/2013,99.04,99.09,98.88,98.99,5100
1/4/2013,98.99,98.99,98.99,98.99,0
1/7/2013,99.24,99.24,99.24,99.24,500
1/8/2013,99.24,99.24,99.24,99.24,0
1/9/2013,98.88,99.18,98.88,99.08,4100
1/10/2013,98.82,99.14,97.81,99.07,8800
1/11/2013,99.04,99.09,98.78,99.04,11700
1/14/2013,98.76,99.3,98.76,99.3,900
1/15/2013,99.45,99.45,99.45,99.45,200
1/16/2013,99.47,99.47,98.97,99.21,6500
1/17/2013,99.01,99.19,98.87,99.14,68600
1/18/2013,98.94,99.36,98.89,99.09,10000
1/22/2013,99.09,99.09,99.09,99.09,0
1/23/2013,99.31,99.31,98.99,99.14,13300
1/24/2013,98.94,99.38,98.85,99.22,5300
1/25/2013,98.8,98.9,98.7,98.73,2400
1/28/2013,98.75,98.83,98.66,98.66,1900
1/29/2013,99.05,99.1,98.45,98.84,1300
1/30/2013,98.84,98.84,98.84,98.84,0
1/31/2013,98.46,99.12,98.46,99.12,600
2/1/2013,98.87,98.93,98.87,98.93,300
2/4/2013,98.93,98.93,98.93,98.93,0
2/5/2013,98.93,98.93,98.93,98.93,0
2/6/2013,98.93,98.93,98.93,98.93,0
2/7/2013,98.93,98.93,98.93,98.93,0
2/8/2013,99.22,99.22,99.22,99.22,100
2/11/2013,99.33,99.33,99.33,99.33,100
2/12/2013,99.33,99.33,99.33,99.33,0
2/13/2013,98.63,98.63,98.62,98.62,400
2/14/2013,99.27,99.27,98.97,98.97,700
2/15/2013,98.97,98.97,98.97,98.97,0
2/19/2013,98.67,98.67,98.67,98.67,400
2/20/2013,98.67,98.67,98.67,98.67,0
2/21/2013,98.67,98.67,98.67,98.67,0
2/22/2013,98.67,98.67,98.67,98.67,0
2/25/2013,98.82,98.82,98.82,98.82,200
2/26/2013,99.42,99.42,99.42,99.42,200
2/27/2013,99.42,99.42,99.42,99.42,0
2/28/2013,99.42,99.42,99.42,99.42,0
3/1/2013,98.96,99.22,98.96,99.18,1200
3/4/2013,99.18,99.18,99.18,99.18,0
3/5/2013,98.93,98.93,98.93,98.93,200
3/6/2013,99.04,99.04,99.04,99.04,500
3/7/2013,99.04,99.04,99.04,99.04,0
3/8/2013,98.77,98.77,98.77,98.77,4000
3/11/2013,98.77,98.77,98.77,98.77,0
3/12/2013,98.77,98.77,98.77,98.77,0
3/13/2013,98.77,98.77,98.77,98.77,0
3/14/2013,98.77,98.77,98.77,98.77,0
3/15/2013,98.9,98.9,98.89,98.89,200
3/18/2013,98.82,98.82,98.82,98.82,500
3/19/2013,99.44,99.44,99.44,99.44,500
3/20/2013,99.44,99.44,99.44,99.44,0
3/21/2013,99.44,99.44,99.44,99.44,0
3/22/2013,99.38,99.38,99.27,99.27,500
