Data, Open, High, Low, Close, Volume
7/19/2012,39.25,39.25,39.1,39.1,300
7/20/2012,39.44,39.44,39.44,39.44,100
7/23/2012,40.36,40.36,40.36,40.36,200
7/24/2012,40.01,40.53,40,40.53,15600
7/25/2012,40.01,40.22,40.01,40.22,1700
7/26/2012,39.17,39.17,39.04,39.06,2800
7/27/2012,38.7,38.7,38.7,38.7,2000
7/30/2012,38.55,38.55,38.55,38.55,300
7/31/2012,38.29,38.29,38.29,38.29,300
8/1/2012,38.27,38.31,38.22,38.31,6500
8/2/2012,38.45,38.48,38.38,38.38,21300
8/3/2012,37.99,37.99,37.85,37.85,1400
8/6/2012,37.76,37.79,37.7,37.79,6400
8/7/2012,37.79,37.79,37.79,37.79,0
8/8/2012,37.79,37.79,37.79,37.79,0
8/9/2012,37.81,37.81,37.81,37.81,100
8/10/2012,37.81,37.81,37.81,37.81,0
8/13/2012,37.81,38.21,37.81,38.21,1500
8/14/2012,38.32,38.35,38.23,38.23,22100
8/15/2012,38.2,38.25,38.18,38.18,6200
8/16/2012,38.18,38.18,38.18,38.18,0
8/17/2012,38.65,38.88,38.65,38.81,4900
8/20/2012,38.64,38.64,38.47,38.56,4800
8/21/2012,38.2,38.35,38.2,38.35,1300
8/22/2012,38.72,38.72,38.16,38.19,4100
8/23/2012,38.19,38.19,38.19,38.19,0
8/24/2012,39,39,38.74,38.81,2100
8/27/2012,38.99,38.99,38.97,38.97,1000
8/28/2012,38.95,39.01,38.95,39.01,700
8/29/2012,39,39.2,39,39.2,3200
8/30/2012,39.36,39.7,39.35,39.54,6400
8/31/2012,39.43,39.69,39.26,39.43,2100
9/4/2012,39.93,40.18,39.93,40.08,1200
9/5/2012,40.35,40.43,40.35,40.42,300
9/6/2012,40.12,40.12,39.54,39.54,5500
9/7/2012,39.01,39.01,38.8,38.8,4500
9/10/2012,39.61,39.61,39.07,39.2,700
9/11/2012,38.5,38.5,38.37,38.37,700
9/12/2012,37.98,38.21,37.98,38.21,2200
9/13/2012,38.32,38.53,37.69,37.69,8700
9/14/2012,37.28,37.4,37.1,37.31,800
9/17/2012,38.3,38.3,37.85,37.95,5100
9/18/2012,38.28,38.28,38.28,38.28,500
9/19/2012,38.18,38.18,38.11,38.14,2400
9/20/2012,38.55,38.55,38.29,38.29,23300
9/21/2012,37.81,38.15,37.81,38.13,20600
9/24/2012,38.37,38.54,38.37,38.41,9700
9/25/2012,38.04,38.45,38.04,38.45,900
9/26/2012,39.46,39.46,38.8,38.9,2100
9/27/2012,38.27,38.27,38.08,38.08,1500
9/28/2012,38.47,38.62,38.47,38.62,200
10/1/2012,38.64,38.77,38.57,38.77,3500
10/2/2012,39.09,39.47,39.09,39.47,1800
10/3/2012,39.77,39.88,39.77,39.88,6800
10/4/2012,39.53,39.53,39.53,39.53,200
10/5/2012,39.49,40.14,39.37,40.04,11000
10/8/2012,40.58,40.58,39.81,39.81,3700
10/9/2012,39.8,39.8,39.8,39.8,300
10/10/2012,39.4,39.61,39.36,39.61,2200
10/11/2012,39.25,39.32,39.23,39.23,1000
10/12/2012,39.23,39.23,39.23,39.23,0
10/15/2012,39.65,39.65,39.45,39.45,1200
10/16/2012,39.45,39.45,39.45,39.45,0
10/17/2012,38.71,38.71,38.62,38.64,400
10/18/2012,38.38,38.51,38.26,38.51,2500
10/19/2012,38.66,38.86,38.66,38.77,5500
10/22/2012,38.84,38.96,38.84,38.96,400
10/23/2012,39.23,39.23,39.23,39.23,1000
10/24/2012,38.45,38.69,38.45,38.69,2900
10/25/2012,38.69,38.69,38.31,38.5,800
10/26/2012,38.54,38.54,38.4,38.41,3300
10/31/2012,38.41,38.41,38.41,38.41,300
11/1/2012,38.41,38.41,38.41,38.41,0
11/2/2012,38.24,38.31,38.24,38.31,600
11/5/2012,38.31,38.31,38.31,38.31,0
11/6/2012,37.89,37.92,37.86,37.89,4800
11/7/2012,37.99,37.99,37.98,37.98,1300
11/8/2012,38.03,38.03,37.79,37.79,800
11/9/2012,38.33,38.33,38.33,38.33,500
11/12/2012,37.85,37.87,37.81,37.84,2700
11/13/2012,37.84,37.84,37.84,37.84,0
11/14/2012,37.95,38.22,37.95,38.08,1100
11/15/2012,38.64,38.7,38.56,38.67,2100
11/16/2012,38.65,38.86,38.65,38.79,500
11/19/2012,38,38.03,37.95,37.95,1000
11/20/2012,38.1,38.1,38.1,38.1,200
11/21/2012,38.43,38.43,38.23,38.23,500
11/23/2012,37.71,37.71,37.46,37.46,1500
11/26/2012,37.56,37.58,37.51,37.51,1900
11/27/2012,37.51,37.58,37.5,37.58,800
11/28/2012,37.63,37.63,37.32,37.32,500
11/29/2012,37.54,37.57,37.54,37.57,400
11/30/2012,37.74,37.74,37.74,37.74,300
12/3/2012,37.64,37.64,37.61,37.61,1300
12/4/2012,37.36,37.36,37.31,37.31,300
12/5/2012,37.31,37.31,37.31,37.31,0
12/6/2012,37.15,37.26,37.15,37.26,300
12/7/2012,37.26,37.28,37.25,37.28,600
12/10/2012,37.14,37.23,37.14,37.23,500
12/11/2012,37.1,37.1,37.1,37.1,100
12/12/2012,36.7,36.83,36.58,36.63,4600
12/13/2012,36.74,36.74,36.74,36.74,1000
12/14/2012,36.59,36.59,36.59,36.59,200
12/17/2012,36.59,36.59,36.59,36.59,0
12/18/2012,36.92,36.92,36.84,36.84,1300
12/19/2012,36.84,36.84,36.84,36.84,0
12/20/2012,36.84,36.84,36.84,36.84,0
12/21/2012,37.63,37.63,37.63,37.63,700
12/24/2012,37.63,37.63,37.63,37.63,0
12/26/2012,37.94,37.94,37.93,37.93,2100
12/27/2012,37.92,37.92,37.92,37.92,300
12/28/2012,37.77,37.88,37.77,37.88,300
12/31/2012,37.66,37.74,37.66,37.74,200
