Data, Open, High, Low, Close, Volume
7/14/2009,18.85,19.04,18.8,18.93,0
7/15/2009,19.21,19.53,19.21,19.53,0
7/16/2009,19.44,19.73,19.39,19.65,0
7/17/2009,19.67,19.71,19.56,19.65,0
7/20/2009,19.79,19.82,19.66,19.82,0
7/21/2009,19.9,19.94,19.75,19.94,0
7/22/2009,19.84,20.04,19.84,19.92,0
7/23/2009,19.97,20.45,19.95,20.39,0
7/24/2009,20.33,20.47,20.19,20.46,0
7/27/2009,20.45,20.53,20.33,20.5,0
7/28/2009,20.49,20.52,20.26,20.5,0
7/29/2009,20.41,20.51,20.31,20.43,0
7/30/2009,20.62,20.87,19.87,20.64,0
7/31/2009,20.07,20.83,20.07,20.64,0
8/3/2009,20.91,21.79,20.75,20.95,0
8/4/2009,20.93,21.01,20.81,20.98,0
8/5/2009,21.02,21.06,20.81,21,0
8/6/2009,21,21,20.44,20.85,0
8/7/2009,21.02,21.22,20.93,21.12,0
8/10/2009,20.98,21.08,20.89,20.91,0
8/11/2009,20.98,20.98,20.75,20.81,0
8/12/2009,20.71,21.15,20.71,21.01,0
8/13/2009,21.25,21.25,20.93,21.14,0
8/14/2009,21.21,21.21,20.79,20.94,0
8/17/2009,20.67,20.67,20.45,20.53,0
8/18/2009,20.54,20.72,20.07,20.7,0
8/19/2009,20.62,20.91,20.61,20.85,0
8/20/2009,20.88,21.04,20.88,21.04,0
8/21/2009,21.21,21.51,21.21,21.51,0
8/24/2009,21.63,21.66,21.41,21.44,0
8/25/2009,21.59,21.73,21.47,21.5,0
8/26/2009,21.49,21.62,21.4,21.53,154600
8/27/2009,21.45,21.62,21.29,21.59,94600
8/28/2009,21.65,21.72,21.4,21.53,99000
8/31/2009,21.37,21.37,21.25,21.31,11600
9/1/2009,21.31,21.53,20.94,20.94,187400
9/2/2009,20.84,20.97,20.78,20.83,198800
9/3/2009,20.89,21.03,20.89,21.03,1000
9/4/2009,21.02,21.28,21.01,21.28,31600
9/8/2009,21.52,21.52,21.4,21.49,161200
9/9/2009,21.5,21.76,21.49,21.73,92200
9/10/2009,21.78,21.96,21.62,21.95,48600
9/11/2009,22,22.05,21.86,21.94,74400
9/14/2009,21.79,22.04,21.79,22.04,69800
9/15/2009,22.1,22.18,22.01,22.13,91600
9/16/2009,22.24,22.42,22.15,22.4,49400
9/17/2009,22.45,22.53,22.27,22.35,88600
9/18/2009,22.38,22.5,22.35,22.43,12600
9/21/2009,22.28,23.65,22.17,22.34,70400
9/22/2009,22.55,22.55,22.39,22.48,103800
9/23/2009,22.5,22.69,22.32,22.33,141800
9/24/2009,22.36,22.37,22.02,22.08,91600
9/25/2009,22.01,22.16,21.91,21.98,90400
9/28/2009,22.34,22.42,22.32,22.4,6200
9/29/2009,22.46,22.58,22.37,22.43,56400
9/30/2009,22.47,22.48,22.16,22.37,32400
10/1/2009,22.31,22.31,21.78,21.8,124600
10/2/2009,21.56,21.77,21.56,21.66,63200
10/5/2009,21.74,22.03,21.7,22,35400
10/6/2009,22.17,22.43,22.17,22.36,27600
10/7/2009,22.32,22.39,22.28,22.38,12000
10/8/2009,22.51,22.66,22.5,22.56,22400
10/9/2009,22.51,22.68,22.51,22.68,45400
10/12/2009,22.84,22.87,22.74,22.83,2600
10/13/2009,22.68,22.77,22.62,22.76,34000
10/14/2009,22.99,23.11,22.89,23.11,33800
10/15/2009,23.06,23.17,22.95,23.17,45200
10/16/2009,23,23.09,22.88,22.99,52400
10/19/2009,23.16,23.27,23.01,23.21,34400
10/20/2009,23.24,23.24,22.94,23.04,35000
10/21/2009,23.06,23.2,22.82,22.82,34400
10/22/2009,22.83,23.18,22.75,23.11,41000
10/23/2009,23.16,23.19,22.8,22.88,34600
10/26/2009,22.88,23.09,22.6,22.63,21200
10/27/2009,22.69,22.7,22.56,22.56,27600
10/28/2009,22.45,22.45,22.08,22.08,46400
10/29/2009,22.23,22.62,22.21,22.6,15000
10/30/2009,22.52,22.52,21.94,21.99,27800
11/2/2009,22.06,22.25,21.89,22.19,46800
11/3/2009,21.92,22.24,21.92,22.24,33000
11/4/2009,22.55,22.55,22.1,22.21,48000
11/5/2009,22.35,22.59,22.35,22.59,47800
11/6/2009,22.51,22.71,22.51,22.68,28200
11/9/2009,22.82,23.26,22.82,23.26,34000
11/10/2009,23.18,23.2,23.09,23.2,33800
11/11/2009,23.36,23.48,23.23,23.33,24200
11/12/2009,23.22,23.38,23.04,23.09,62400
11/13/2009,23.18,23.29,23.07,23.24,34200
11/16/2009,23.36,23.62,23.36,23.53,52600
11/17/2009,23.4,23.55,23.32,23.55,29400
11/18/2009,23.57,23.57,23.35,23.52,20600
11/19/2009,23.26,23.26,23.04,23.16,27000
11/20/2009,23.07,23.16,22.99,23.16,25200
11/23/2009,23.38,23.51,23.33,23.39,92600
11/24/2009,23.42,23.44,22.71,23.44,26800
11/25/2009,23.49,23.49,23.39,23.45,12200
11/27/2009,22.99,23.22,22.94,23.12,42200
11/30/2009,23.09,23.18,22.98,23.17,81400
12/1/2009,23.41,23.49,23.34,23.44,14600
12/2/2009,23.48,23.59,23.4,23.47,23400
12/3/2009,23.56,23.62,23.24,23.28,18800
12/4/2009,23.58,23.64,23.25,23.39,31000
12/7/2009,23.44,23.51,23.43,23.46,22400
12/8/2009,23.28,23.28,23.07,23.1,12000
12/9/2009,23.01,23.21,22.98,23.21,519800
12/10/2009,23.36,23.41,23.35,23.36,20600
12/11/2009,23.46,23.49,23.36,23.44,25000
12/14/2009,23.62,23.7,23.53,23.7,34800
12/15/2009,23.59,23.61,23.48,23.54,12600
12/16/2009,23.62,23.69,23.53,23.55,24400
12/17/2009,23.43,23.43,23.26,23.26,14200
12/18/2009,23.42,23.43,23.25,23.42,15000
12/21/2009,23.15,23.71,23.15,23.64,175800
12/22/2009,23.68,23.79,23.68,23.77,24200
12/23/2009,23.88,23.88,23.78,23.86,19600
12/24/2009,23.91,23.99,23.87,23.99,68000
12/28/2009,24.04,24.04,23.95,24,9600
12/29/2009,24.07,24.07,24.02,24.04,5800
12/30/2009,23.95,23.96,23.9,23.96,6400
12/31/2009,23.98,23.98,23.74,23.74,9800
1/4/2010,23.94,24.1,23.85,24.08,21800
1/5/2010,24.12,24.2,24.07,24.19,23400
1/6/2010,24.2,24.28,24.16,24.22,27200
1/7/2010,24.22,24.34,24.18,24.32,25600
1/8/2010,24.28,24.31,24.19,24.3,15600
1/11/2010,24.46,24.46,24.34,24.45,8800
1/12/2010,24.34,24.37,24.18,24.26,41600
1/13/2010,24.25,24.47,24.23,24.46,16200
1/14/2010,25.14,25.14,24.39,24.48,8400
1/15/2010,24.43,24.43,24.16,24.21,8400
1/19/2010,24.21,24.47,24.13,24.46,23600
1/20/2010,24.33,24.33,24.03,24.22,22800
1/21/2010,24.34,24.34,23.74,23.8,26800
1/22/2010,23.74,23.78,23.32,23.36,20000
1/25/2010,23.51,23.52,23.36,23.41,40600
1/26/2010,23.31,23.58,23.31,23.34,19200
1/27/2010,23.38,23.52,23.24,23.52,37800
1/28/2010,23.52,23.52,23.12,23.24,14200
1/29/2010,23.31,23.47,23,23.04,30000
2/1/2010,23.1,23.26,23.09,23.26,31200
2/2/2010,23.34,23.59,23.3,23.59,12400
2/3/2010,23.53,23.57,23.41,23.53,36200
2/4/2010,23.29,23.29,22.81,22.81,54200
2/5/2010,22.82,22.84,22.39,22.84,31600
2/8/2010,22.87,22.91,22.23,22.66,39000
2/9/2010,22.85,23.03,22.76,22.9,31600
2/10/2010,22.88,22.94,22.71,22.86,12800
2/11/2010,22.87,23.08,22.75,23.05,38800
2/12/2010,22.8,23.05,22.47,23.05,36800
2/16/2010,23.9,23.9,23.15,23.43,27400
2/17/2010,23.55,23.56,23.49,23.56,3200
2/18/2010,23.58,23.73,23.52,23.73,6800
2/19/2010,23.82,23.82,23.75,23.77,6200
2/22/2010,23.74,23.83,23.7,23.71,9200
2/23/2010,23.7,23.75,23.43,23.48,46000
2/24/2010,23.55,23.69,23.51,23.69,16600
2/25/2010,23.45,23.65,23.35,23.65,25800
2/26/2010,23.58,23.84,23.58,23.76,524000
3/1/2010,23.9,24.03,23.85,24.01,100200
3/2/2010,24.14,24.17,24.04,24.08,382600
3/3/2010,24.16,24.25,24.02,24.06,32400
3/4/2010,24.2,24.2,24.05,24.19,18400
3/5/2010,24.27,24.51,24.27,24.51,13600
3/8/2010,24.51,24.54,24.48,24.51,20800
3/9/2010,24.44,24.61,24.43,24.51,19000
3/10/2010,24.59,24.7,24.59,24.68,155200
3/11/2010,24.64,24.79,24.61,24.79,20800
3/12/2010,24.81,24.81,24.72,24.73,13000
3/15/2010,24.73,24.77,24.58,24.74,11400
3/16/2010,24.7,25.01,24.7,24.97,12800
3/17/2010,25.07,25.2,25.06,25.11,20000
3/18/2010,25.13,25.19,25.05,25.15,10000
3/19/2010,25.01,25.18,24.93,25.01,11200
3/22/2010,24.96,25.23,24.95,25.21,20600
3/23/2010,25.36,25.41,25.19,25.4,77400
3/24/2010,25.32,25.32,25.17,25.23,6600
3/25/2010,25.4,25.46,25.18,25.18,17000
3/26/2010,25.26,25.32,24.7,25.17,14200
3/29/2010,25.33,25.35,25.25,25.34,20800
3/30/2010,25.32,25.42,25.23,25.35,15800
3/31/2010,25.26,25.35,25.19,25.26,14800
4/1/2010,25.47,25.49,25.27,25.38,22800
4/5/2010,25.43,25.62,25.41,25.61,57400
4/6/2010,25.56,25.7,25.56,25.65,19400
4/7/2010,25.58,25.67,25.48,25.54,40600
4/8/2010,25.45,25.7,25.39,25.68,70000
4/9/2010,25.66,25.79,25.62,25.78,40400
4/12/2010,25.8,25.87,25.77,25.84,67200
4/13/2010,25.82,25.9,25.67,25.88,85800
4/14/2010,26.01,26.18,25.95,26.18,98200
4/15/2010,26.17,26.29,26.14,26.26,91200
4/16/2010,26.18,26.18,25.66,25.79,65400
4/19/2010,25.24,25.87,25.18,25.87,89600
4/20/2010,26.06,26.12,25.97,26.1,88800
4/21/2010,26.11,26.17,25.93,26.07,143200
4/22/2010,25.95,26.15,25.77,26.14,96000
4/23/2010,26.11,26.24,26.07,26.23,47200
4/26/2010,26.23,26.28,26.15,26.17,33600
4/27/2010,25.94,26.03,25.43,25.47,74000
4/28/2010,25.57,25.74,25.27,25.64,106000
4/29/2010,25.85,26.04,25.83,25.97,55200
4/30/2010,26.03,26.05,25.57,25.57,76800
5/3/2010,25.73,25.92,25.62,25.88,19000
5/4/2010,25.58,25.58,25.17,25.27,25200
5/5/2010,25.1,25.33,24.97,25.17,37800
5/6/2010,25,25.12,21.31,24.21,117200
5/7/2010,24.15,24.25,23.67,23.96,29000
5/10/2010,25.04,25.04,24.63,24.82,74600
5/11/2010,24.59,25.14,24.59,24.84,66200
5/12/2010,24.97,25.16,24.94,25.13,13200
5/13/2010,25.06,25.21,24.86,24.86,20200
5/14/2010,24.67,24.67,24.24,24.4,124200
5/17/2010,24.45,24.49,24.04,24.49,20000
5/18/2010,24.65,24.69,24.06,24.13,65400
5/19/2010,23.99,24.16,23.6,24.01,93000
5/20/2010,23.52,23.57,23.15,23.15,191600
5/21/2010,22.79,23.49,22.04,23.45,74600
5/24/2010,23.46,23.46,23.4,23.4,5200
5/25/2010,22.66,23.18,22.49,23.18,141400
5/26/2010,23.3,23.54,22.99,23.05,567000
5/27/2010,23.53,23.86,23.41,23.86,153000
5/28/2010,23.9,23.9,23.53,23.69,28600
6/1/2010,23.43,23.68,23.13,23.13,24200
6/2/2010,23.3,23.6,23.19,23.6,13400
6/3/2010,23.78,23.86,23.62,23.79,18000
6/4/2010,23.36,23.51,22.96,23.02,145600
6/7/2010,23.05,23.11,22.7,22.7,22200
6/8/2010,22.74,22.95,22.57,22.95,20400
6/9/2010,23.02,23.21,22.75,22.76,10200
6/10/2010,23.3,23.47,23.17,23.45,37200
6/11/2010,23.3,23.47,23.24,23.38,32800
6/14/2010,23.67,23.86,23.63,23.71,11200
6/15/2010,23.68,24.07,23.68,24.07,17000
6/16/2010,23.95,24.13,23.93,24.09,38600
