Data, Open, High, Low, Close, Volume
6/18/2008,52.33,52.33,51.85,51.85,400
6/19/2008,52.16,52.53,51.91,52.53,1800
6/20/2008,53.05,53.05,52.98,52.98,200
6/23/2008,51.86,51.86,51.56,51.56,600
6/24/2008,51.65,51.65,51.45,51.48,3300
6/25/2008,52.35,53.32,52.35,52.38,1700
6/26/2008,51.66,53.05,51.64,52.5,600
6/27/2008,51.87,51.96,51.81,51.93,800
6/30/2008,51.32,51.39,51.32,51.32,400
7/1/2008,50.46,51.69,50.46,51.16,300
7/2/2008,50.6,52.6,50.52,52.6,3400
7/3/2008,52.6,52.6,52.6,52.6,100
7/7/2008,53.05,54.54,52.94,53.89,3200
7/8/2008,56.06,56.29,54.99,55.04,6500
7/9/2008,53.65,55.95,52.3,55.95,2100
7/10/2008,56.16,56.16,55.58,55.58,1700
7/11/2008,54.36,55.26,54.13,55.09,2100
7/14/2008,54.91,55.45,54.01,54.77,3600
7/15/2008,53.53,56,53.22,56,2400
7/16/2008,57.38,58.66,57.14,58.17,6800
7/17/2008,58.58,60.13,56.7,58.91,5500
7/18/2008,57.58,58.48,57.58,58.2,4300
7/21/2008,57.98,58.2,56.39,56.39,2800
7/22/2008,57.9,57.91,56.76,57.72,6200
7/23/2008,58.28,60.09,58.17,60.09,6400
7/24/2008,59.74,61.4,59.74,59.9,5500
7/25/2008,59.06,60.32,59.06,60.09,3800
7/28/2008,59.66,60.66,58.93,60.06,3300
7/29/2008,61.31,61.39,60.7,60.75,7700
7/30/2008,60.41,60.41,57.54,57.54,6500
7/31/2008,58.78,59.04,58.55,58.82,6900
8/1/2008,59.33,59.33,58.3,58.85,2500
8/4/2008,59.64,62.75,59.64,61.56,8600
8/5/2008,63.31,63.76,61.92,62.24,15600
8/6/2008,62.83,62.83,60.87,60.93,9700
8/7/2008,59.74,61.36,59.68,61.36,8500
8/8/2008,62.82,62.82,61.98,62,3100
8/11/2008,61.6,63.03,61.6,62.95,11500
8/12/2008,61.27,62.37,61.2,61.73,6300
8/13/2008,61.13,61.19,60.06,60.06,3900
8/14/2008,60.18,60.18,60.18,60.18,5000
8/15/2008,62.09,62.35,62.09,62.35,900
8/18/2008,61.71,63.54,61.11,63.54,10900
8/19/2008,62.17,62.2,60.92,60.98,9400
8/20/2008,59.72,60.83,59.26,59.36,19600
8/21/2008,58.13,58.84,57.78,57.78,9500
8/22/2008,58.76,59.33,58.31,59.28,5100
8/25/2008,58.88,59.95,58.54,59.65,12300
8/26/2008,58.8,59.18,58.57,58.75,5700
8/27/2008,58.26,58.26,58.26,58.26,600
8/28/2008,56.18,59.15,56.18,58.51,19100
8/29/2008,58.3,59.05,58.3,59.05,13400
9/2/2008,61.62,62.43,61.17,62,9500
9/3/2008,61.9,62.9,61.54,62.58,13600
9/4/2008,62.01,63.89,62.01,63.55,23000
9/5/2008,63.79,65.38,63.44,63.72,14100
9/8/2008,62.34,64.88,62.34,64.24,9000
9/9/2008,65.35,68.43,65.35,68.43,12300
9/10/2008,66.99,67.67,65.5,66.14,16600
9/11/2008,66.56,66.92,65.49,65.73,19600
9/12/2008,64.84,64.84,63.33,63.34,8600
9/15/2008,65.72,67.23,64.4,67.06,54600
9/16/2008,69.55,70.6,64.96,65.34,19300
9/17/2008,65.34,66.71,64.11,64.16,10000
9/18/2008,64.25,66.39,63.12,65.43,7300
9/19/2008,60.23,62.82,59.95,59.96,5600
9/22/2008,61.18,61.18,59.08,59.65,10700
9/23/2008,60.83,62.37,60.83,62.37,1900
9/24/2008,62.46,62.48,62.37,62.46,900
9/25/2008,61.74,61.74,61.74,61.74,100
9/26/2008,63.4,64.02,62.86,62.86,800
9/29/2008,65.36,68.99,65.17,68.99,6900
9/30/2008,67.58,67.58,65.46,65.59,1700
10/1/2008,67.43,67.43,65.99,66.49,900
10/2/2008,69.39,70.91,69.13,70.91,6600
10/3/2008,70.74,70.74,66.6,69.47,16200
10/6/2008,71.89,78.16,71.5,75.05,14100
10/7/2008,72.3,77.4,71.85,77.4,7600
10/8/2008,76.95,82.04,75.92,77.14,21100
10/9/2008,75.26,85.83,75.26,85.83,2000
10/10/2008,89.25,98.69,89.2,91.48,10500
10/13/2008,87.68,89.5,78.76,78.76,13800
10/14/2008,76.41,81.65,75.26,79.09,5700
10/15/2008,83.12,89.35,82.93,89.35,9800
10/16/2008,90.7,94.58,82.62,82.62,21700
10/17/2008,87.07,87.62,78.61,84.51,13200
10/20/2008,80.35,80.35,78.16,78.16,2500
10/21/2008,77.52,79.02,77.1,78.03,900
10/22/2008,83.11,87.15,82.18,86.45,11200
10/23/2008,82.21,86.15,81.2,81.46,14700
10/24/2008,84.99,88.05,81.86,82.97,9300
10/27/2008,84.66,88.8,82.78,88.8,6700
10/28/2008,85.92,86.88,77.8,77.8,7200
10/29/2008,76.01,76.76,72.88,76.76,12100
10/30/2008,73.83,77.28,73.83,74.35,5300
10/31/2008,74.67,74.86,70.73,72.16,29400
11/3/2008,72.25,74.51,72.25,74.51,5000
11/4/2008,70.64,71.43,69.13,69.13,8500
11/5/2008,71.39,72.47,69.34,72.47,5700
11/6/2008,75.01,77.17,73.26,76.76,2700
11/7/2008,74.81,75.72,72.89,74.4,31200
11/10/2008,71.04,74.12,70.35,73.49,7700
11/11/2008,74.24,75.75,72.73,74.14,12200
11/12/2008,75.41,80.04,75.41,79.97,3000
11/13/2008,79.34,82.56,72.44,72.44,5400
11/14/2008,75.48,80.9,71.16,74.51,5500
11/17/2008,74.05,75.39,73.42,75.36,12100
11/18/2008,78.27,78.27,73.13,73.26,18500
11/19/2008,76.76,76.81,72.74,76.81,4300
11/20/2008,79.92,84.94,78.5,84.94,12000
11/21/2008,82.9,84.46,77.78,77.78,5700
11/24/2008,71.04,75.12,69.67,69.74,7500
11/25/2008,70.11,71.57,70.11,71.12,2700
11/26/2008,71.31,71.59,66.87,66.87,5000
11/28/2008,64.12,68.97,64.12,68.39,1700
12/1/2008,69.89,73.86,69.89,73.75,4200
12/2/2008,71.64,74.13,71.64,74.13,800
12/3/2008,76.01,76.01,72.29,72.5,700
12/4/2008,73,76.01,73,76.01,2400
12/5/2008,78.64,80.62,76.77,76.77,2700
12/8/2008,71.22,71.36,70.77,71.03,2400
12/9/2008,70.11,71.72,69.45,69.45,2500
12/10/2008,68.59,69.43,67.94,68.7,6700
12/11/2008,66.29,66.75,66.06,66.73,1500
12/12/2008,66.73,66.73,66.73,66.73,0
12/15/2008,61.75,68.17,61.75,67.66,1300
12/16/2008,68.51,68.51,68.51,68.51,200
12/17/2008,66.39,66.93,65.91,66.69,4200
12/18/2008,69.03,71.72,69.03,71.5,3700
12/19/2008,72.59,72.59,70.74,71.4,6800
12/22/2008,73,73.96,72.78,73.96,600
12/23/2008,72.46,73.68,72.14,73.68,1400
12/24/2008,73.79,73.79,73.09,73.13,2100
12/26/2008,73.13,73.13,73.13,73.13,0
12/29/2008,68,71.86,68,71,4100
12/30/2008,71,71,71,71,0
12/31/2008,68.76,68.76,67.82,68.16,1900
1/2/2009,66.42,66.42,64.58,64.61,4500
1/5/2009,64.71,65.08,63.4,63.4,1900
1/6/2009,62.2,64.05,62.2,63.14,4700
1/7/2009,64.76,66.69,64.76,66.06,12200
1/8/2009,66.5,66.5,65.24,65.24,1100
1/9/2009,67.01,67.01,66.58,67,2900
1/12/2009,68,69.76,68,69.52,2800
1/13/2009,69.49,69.49,67.84,68.62,5100
1/14/2009,69.5,71.26,69.5,70.98,11600
1/15/2009,70.02,72.4,70.02,70.72,3100
