Data, Open, High, Low, Close, Volume
6/21/2006,28.84,29.42,28.84,29.22,453200
6/22/2006,28.98,28.98,28.76,28.97,101000
6/23/2006,28.85,29.15,28.75,28.87,161200
6/26/2006,28.89,29.02,28.71,29.02,382600
6/27/2006,29.04,29.04,28.35,28.39,157800
6/28/2006,28.44,28.63,28.32,28.59,97400
6/29/2006,28.87,29.74,28.87,29.73,252200
6/30/2006,29.9,29.9,29.62,29.72,77600
7/3/2006,29.78,29.97,29.78,29.97,55200
7/5/2006,29.62,29.67,29.44,29.55,97400
7/6/2006,29.77,30.08,29.75,29.96,191200
7/7/2006,29.62,29.67,29.13,29.25,409400
7/10/2006,29.42,29.66,29.2,29.28,207200
7/11/2006,29.25,29.49,28.9,29.44,341200
7/12/2006,29.46,29.46,28.72,28.73,220000
7/13/2006,28.48,28.51,27.81,27.84,421000
7/14/2006,27.77,27.77,27.19,27.33,388200
7/17/2006,27.54,27.61,27.23,27.37,335000
7/18/2006,27.7,27.7,27.05,27.62,286200
7/19/2006,28.05,28.85,27.92,28.69,371200
7/20/2006,28.85,28.89,28.26,28.32,146400
7/21/2006,27.69,28.3,27.69,27.97,173800
7/24/2006,28.37,28.91,28.22,28.85,347400
7/25/2006,28.87,29.31,28.63,29.17,443400
7/26/2006,29.07,29.42,28.86,29.16,193200
7/27/2006,29.51,29.58,29.07,29.15,245600
7/28/2006,29.56,29.88,29.44,29.74,197800
7/31/2006,29.54,29.71,29.53,29.58,93800
8/1/2006,29.44,29.44,29.02,29.26,92200
8/2/2006,29.53,29.79,29.41,29.6,150600
8/3/2006,29.4,29.99,29.4,29.84,174000
8/4/2006,30.19,30.47,29.6,29.88,299200
8/7/2006,29.8,29.82,29.6,29.75,23200
8/8/2006,29.82,30.04,29.32,29.47,305400
8/9/2006,29.84,29.87,28.94,28.98,162800
8/10/2006,28.99,29.36,28.83,29.22,156400
8/11/2006,29.16,29.16,28.85,29.07,118800
8/14/2006,29.36,29.72,29.05,29.09,187000
8/15/2006,29.62,29.94,29.43,29.75,277600
8/16/2006,29.99,30.37,29.96,30.33,1411400
8/17/2006,30.29,30.59,29.41,30.42,325400
8/18/2006,30.5,30.64,30.32,30.62,117600
8/21/2006,30.4,30.5,30.34,30.46,91200
8/22/2006,30.41,30.65,30.18,30.41,114800
8/23/2006,30.44,30.56,30.01,30.13,132400
8/24/2006,30.27,30.32,30.07,30.21,118800
8/25/2006,30.09,30.26,30.06,30.17,76800
8/28/2006,30.15,30.67,30.12,30.48,106600
8/29/2006,30.45,30.61,30.2,30.61,167200
8/30/2006,30.6,30.74,30.53,30.67,103600
8/31/2006,30.68,30.76,30.61,30.67,48800
9/1/2006,30.83,31.13,30.72,31.06,91000
9/5/2006,30.95,31.18,30.93,31.11,154000
9/6/2006,30.87,30.92,30.68,30.73,98400
9/7/2006,30.55,30.66,30.29,30.35,152400
9/8/2006,30.45,30.72,30.41,30.65,60800
9/11/2006,30.56,30.81,30.4,30.64,41400
9/12/2006,30.76,31.55,30.76,31.19,90600
