Data, Open, High, Low, Close, Volume
2/1/2007,60.27,60.27,60.27,60.27,100
2/2/2007,60.27,61.39,59.87,61.39,2600
2/5/2007,61.71,61.97,60.86,60.86,7000
2/6/2007,61.54,61.54,60.14,60.14,1500
2/7/2007,61.27,61.54,61.27,61.54,1200
2/8/2007,59.61,61.34,59.55,61.14,1100
2/9/2007,60.83,61.09,60.47,60.47,5100
2/12/2007,59.89,59.92,59.06,59.3,2100
2/13/2007,59.93,60.69,59.93,60.69,5800
2/14/2007,61.07,61.98,60.55,61.24,5800
2/15/2007,60.18,60.18,59.33,60.01,2100
2/16/2007,59.8,60.15,59.8,59.97,1300
2/20/2007,58.73,59.14,58.53,59.02,1000
2/21/2007,59.18,59.93,59.18,59.89,1400
2/22/2007,60.34,61.23,60.34,61.15,6000
2/23/2007,61.71,61.71,61.17,61.65,12100
2/26/2007,62.56,62.69,62.05,62.11,1800
2/27/2007,60.01,60.74,56.95,58.15,6200
2/28/2007,57.64,58.6,57.64,58.32,2700
3/1/2007,55.48,57.47,54.92,57.28,3500
3/2/2007,56.79,56.94,54.81,55.5,5500
3/5/2007,53.99,55.27,53.99,54.43,4300
3/6/2007,55.75,55.75,55.41,55.52,500
3/7/2007,56.44,59.36,56.44,57.94,4000
3/8/2007,58.61,58.87,57.86,58.51,4000
3/9/2007,59.04,59.04,57.73,58.19,1100
3/12/2007,57.35,57.94,57.33,57.94,700
3/13/2007,58.01,58.82,56.16,56.29,2300
3/14/2007,57.03,57.59,56.44,57.59,800
3/15/2007,57.18,57.92,57.18,57.44,900
3/16/2007,56.36,56.36,55.91,56.06,2100
3/19/2007,57.79,58.61,57.48,58.56,2000
3/20/2007,58.46,59.09,58.46,59.09,17500
3/21/2007,59.63,61.52,59.63,61.21,3200
3/22/2007,62.3,63.98,62.13,63.38,13800
3/23/2007,64.1,64.47,63.49,63.93,8300
3/26/2007,64.87,65.02,63.42,65,5700
3/27/2007,64.17,65.23,64.17,65.23,1400
3/28/2007,65.4,65.67,64.29,64.56,6100
3/29/2007,65.48,65.96,65,65.96,6000
3/30/2007,65.52,65.59,64,64.2,14300
4/2/2007,64.63,65.76,64.55,65.75,4200
4/3/2007,64.82,66.23,64.76,66.23,5800
4/4/2007,65.31,66.88,65.18,66.88,8400
4/5/2007,66.6,67.38,66.6,67.12,11100
4/9/2007,66.93,68.25,66.63,66.95,7800
4/10/2007,66.99,68.95,66.99,68.94,5200
4/11/2007,68.79,69.22,67.81,68.18,3800
4/12/2007,69.01,69.51,67.68,69.51,4700
4/13/2007,69.89,70.11,69.4,69.79,14400
4/16/2007,69.96,70.77,69.32,70.68,8900
4/17/2007,71.26,71.42,69.68,70.27,5300
4/18/2007,69.34,69.51,68.51,69.21,5200
4/19/2007,67.84,68.29,67.23,67.69,11800
4/20/2007,69.24,70.3,69.02,70.3,5900
4/23/2007,70.08,71.45,70.08,70.49,6000
4/24/2007,70.02,70.35,69.24,69.48,10800
4/25/2007,70.96,73.48,70.32,72.37,23500
4/26/2007,71.97,72.99,71.26,72.64,15600
4/27/2007,71.46,73.24,71.46,72.64,11000
4/30/2007,72.98,73.78,70.68,70.72,15900
5/1/2007,70.71,71.51,69.9,71.2,14300
5/2/2007,71.77,72.63,71.58,72.29,11200
5/3/2007,72.36,74.17,72.21,73.74,14900
5/4/2007,74.27,75.55,73.12,73.57,13000
5/7/2007,73,73.74,72.81,73.65,7400
5/8/2007,72.64,73.93,71.7,73.76,12800
5/9/2007,73.62,74.01,72.02,73.58,17800
5/10/2007,73.58,73.62,71.07,71.07,15000
5/11/2007,72.35,74.46,72.13,74.42,14500
5/14/2007,75.06,75.27,73.91,74.74,21000
5/15/2007,74.59,75.94,74.42,74.63,16500
5/16/2007,74.86,75.35,73.22,75.3,10400
5/17/2007,75.35,78.47,75.04,77.65,24800
5/18/2007,78.15,80.08,78.15,80.08,38400
5/21/2007,81.35,82.67,80.36,81.31,105400
5/22/2007,81.37,82.38,79.74,79.74,48300
5/23/2007,80.86,82.09,80.14,80.16,43700
5/24/2007,81.1,81.76,76.92,77.47,61400
5/25/2007,79.41,79.81,78.38,79.8,45300
5/29/2007,79.06,79.44,77.28,78.82,31000
5/30/2007,78.23,81.68,77.87,81.45,31800
5/31/2007,81.36,82.44,80.06,80.69,42400
6/1/2007,82.05,82.65,81.47,82.42,35800
6/4/2007,82.39,84.73,82.39,84.44,70700
6/5/2007,83.76,84.48,82.75,83.72,40300
6/6/2007,83.36,83.36,81.09,81.53,40600
6/7/2007,81.53,82.91,78.52,78.68,108000
6/8/2007,77.55,79.51,76.85,79.51,49100
6/11/2007,79.25,81.82,78.96,80.71,78200
6/12/2007,80.42,81.25,78.72,78.91,34900
6/13/2007,80.07,82.11,79.75,81.74,52700
6/14/2007,82.98,85.37,82.98,85.02,46700
6/15/2007,86.59,87.69,86.2,87.41,68500
6/18/2007,87.66,89.59,86.98,87.71,78200
6/19/2007,87.18,88.39,86.46,87.26,51200
6/20/2007,87.17,87.76,82.09,82.36,84300
6/21/2007,83.82,85.86,82.9,85.56,83900
6/22/2007,85.46,85.61,82.22,84.02,49300
6/25/2007,82.92,84.77,81.82,82.43,66200
6/26/2007,82.56,82.62,79.28,79.86,69600
6/27/2007,77.95,82.24,77.4,82.2,84100
6/28/2007,83.26,83.66,81.25,81.72,79800
6/29/2007,83.3,84.24,81.35,82.25,71600
7/2/2007,83.38,84.57,82.92,84.53,47900
7/3/2007,84.84,86.29,84.79,85.72,41300
7/5/2007,86.92,87.23,83.9,85.84,51300
7/6/2007,86.89,88.06,86.55,87.74,36700
7/9/2007,88.25,90.06,88.03,89.46,34800
7/10/2007,89.2,90.67,87.51,88.43,82300
7/11/2007,88.72,89.1,86.98,89.1,44100
7/12/2007,90.33,92.63,90.16,92.63,82100
7/13/2007,92.73,94.65,92.6,93.92,53100
7/16/2007,93.48,93.55,89.82,91.4,71800
7/17/2007,92.94,94.05,89.5,90.01,79200
7/18/2007,89.94,93.87,89.94,93.66,64600
7/19/2007,94.63,95.76,94.14,95.41,65500
7/20/2007,96.19,96.37,93.25,94.65,39400
7/23/2007,95.65,96.08,93.23,95.36,50700
7/24/2007,92.59,92.96,89.22,90,93300
7/25/2007,91.24,93.04,87.41,92.6,190700
7/26/2007,89.39,90.52,82.56,86.76,170300
7/27/2007,85.37,86.66,81.32,82.24,149600
7/30/2007,82.31,84.53,79.86,83.93,115100
7/31/2007,85.37,86.64,82.08,82.38,85900
8/1/2007,83.21,84.96,77.87,82.37,130800
8/2/2007,82.5,83,78.27,81.01,101300
8/3/2007,81.05,81.99,74.73,75.03,125600
8/6/2007,74.21,76.21,70.86,76.02,198300
8/7/2007,74.63,80.65,74.19,79.43,112100
8/8/2007,80.45,83.78,80.18,81.86,86200
8/9/2007,79.86,81.73,77.91,77.91,58800
8/10/2007,74.76,79.86,74.5,79.01,60900
8/13/2007,80.79,80.79,77.74,78.24,46500
8/14/2007,79.26,79.78,76.7,76.97,63700
8/15/2007,76.97,78.58,73.08,73.39,73900
