Data, Open, High, Low, Close, Volume
6/21/2006,57.7,57.7,57.69,57.69,400
6/22/2006,57.99,58.34,57.97,58.15,29000
6/23/2006,58.38,58.4,57.93,58.29,21400
6/26/2006,58.44,58.52,58.14,58.14,6700
6/27/2006,58.13,58.79,58.1,58.77,16800
6/28/2006,58.56,58.87,58.55,58.6,21000
6/29/2006,58.22,58.25,57.35,57.39,63800
6/30/2006,57.18,57.45,57.18,57.26,6900
7/3/2006,57.31,57.4,57.23,57.23,11900
7/5/2006,57.63,57.73,57.52,57.6,26200
7/6/2006,57.48,57.48,57.08,57.3,28600
7/7/2006,57.3,58.04,57.3,57.91,59500
7/10/2006,57.81,57.94,57.51,57.85,22900
7/11/2006,57.98,58.33,57.7,57.81,58100
7/12/2006,57.79,58.51,57.69,58.41,103400
7/13/2006,58.86,59.41,58.61,59.4,139900
7/14/2006,59.44,60.14,59.33,59.82,135000
7/17/2006,59.78,60.11,59.61,59.92,71900
7/18/2006,59.57,60.27,59.52,59.69,143500
7/19/2006,59.19,59.29,58.3,58.4,122800
7/20/2006,58.31,58.94,58.23,58.94,42800
7/21/2006,58.89,59.39,58.83,59.17,76000
7/24/2006,58.73,58.97,58.25,58.35,78400
7/25/2006,58.4,58.57,57.91,57.99,74300
7/26/2006,58.15,58.28,57.84,58.06,65000
7/27/2006,57.73,58.13,57.61,58.08,96200
7/28/2006,57.83,57.83,57.36,57.54,79300
7/31/2006,57.7,57.73,57.55,57.62,56700
8/1/2006,57.69,58.24,57.69,58.06,80100
8/2/2006,57.85,57.89,57.48,57.69,35400
8/3/2006,57.89,57.89,57.27,57.4,60000
8/4/2006,56.97,58.48,56.93,57.48,129700
8/7/2006,57.69,57.73,57.48,57.62,52100
8/8/2006,57.48,58.01,57.32,57.79,125200
8/9/2006,57.56,58.38,57.43,58.34,107100
8/10/2006,58.4,58.46,57.96,58.09,99200
8/11/2006,58.19,58.48,58.09,58.25,69900
8/14/2006,57.85,58.34,57.69,58.31,90100
8/15/2006,57.64,57.84,57.54,57.63,101400
8/16/2006,57.43,57.43,56.98,57.06,84600
8/17/2006,57.1,57.13,56.82,57.04,66800
8/18/2006,56.85,57.09,56.81,56.83,72100
8/21/2006,56.93,57.12,56.93,57.04,62600
8/22/2006,57.14,57.23,56.82,57.09,65800
