Data, Open, High, Low, Close, Volume
2/1/2007,1057.28,1057.28,1039.44,1043.86,100
2/2/2007,1054.69,1054.69,1054.69,1054.69,0
2/5/2007,1024.34,1040.81,1024.34,1040.81,400
2/6/2007,1040.81,1040.81,1040.81,1040.81,0
2/7/2007,1050.57,1063.84,1050.57,1063.84,100
2/8/2007,1065.21,1065.98,1046.15,1046.15,200
2/9/2007,1041.12,1049.96,1039.74,1047.67,1000
2/12/2007,1060.49,1078.94,1056.67,1077.87,2300
2/13/2007,1056.67,1056.67,1043.86,1043.86,400
2/14/2007,1022.36,1041.73,1022.36,1038.67,200
2/15/2007,1052.4,1069.64,1048.59,1058.81,200
2/16/2007,1063.38,1063.38,1054.08,1061.71,100
2/20/2007,1081.38,1083.21,1073.91,1075.59,100
2/21/2007,1081.53,1081.53,1057.28,1057.59,0
2/22/2007,1053.32,1053.93,1039.29,1039.44,100
2/23/2007,1032.27,1037.61,1025.71,1037.61,400
2/26/2007,1017.32,1026.32,1007.56,1026.32,100
2/27/2007,1056.98,1108.68,1034.1,1098.77,300
2/28/2007,1097.7,1097.7,1073.76,1081.08,300
3/1/2007,1140.1,1142.39,1092.82,1106.7,200
3/2/2007,1107.77,1152.3,1107.77,1139.64,900
3/5/2007,1165.27,1171.06,1137.51,1159.47,300
3/6/2007,1136.29,1140.1,1119.51,1119.51,400
3/7/2007,1118.44,1120.73,1056.83,1076.81,1100
3/8/2007,1075.13,1093.28,1072.08,1079.55,1100
3/9/2007,1088.55,1094.65,1073.14,1083.36,100
3/12/2007,1098.62,1103.65,1086.57,1093.28,300
3/13/2007,1076.81,1122.87,1071.47,1122.87,600
3/14/2007,1104.26,1124.09,1095.87,1095.87,300
3/15/2007,1101.21,1101.21,1085.8,1097.55,200
3/16/2007,1097.24,1122.71,1092.82,1122.56,600
3/19/2007,1092.67,1097.09,1078.33,1080.77,300
3/20/2007,1083.36,1086.72,1066.43,1066.43,300
3/21/2007,1061.1,1061.1,1025.25,1025.41,300
3/22/2007,1012.59,1014.27,983.92,995.51,700
3/23/2007,987.89,993.83,974.92,979.8,300
3/26/2007,968.67,992.92,966.53,967.6,600
3/27/2007,973.85,975.07,967.14,968.36,100
3/28/2007,960.89,972.79,956.77,972.63,300
3/29/2007,963.94,970.8,953.26,956.31,600
3/30/2007,962.72,983.77,958.91,979.5,900
4/2/2007,966.68,986.05,956.47,960.28,200
4/3/2007,971.87,973.85,950.52,950.52,300
4/4/2007,964.85,969.89,943.5,944.72,200
4/5/2007,947.62,947.62,934.65,937.55,300
4/9/2007,938.47,945.94,922.76,940.3,300
4/10/2007,934.81,934.81,913.45,916.66,200
4/11/2007,918.03,926.57,908.73,926.57,400
4/12/2007,921.23,925.66,900.34,900.64,300
4/13/2007,907.81,907.81,896.83,902.63,200
4/16/2007,899.73,911.62,890.27,890.27,600
4/17/2007,882.49,904.46,882.19,899.27,500
4/18/2007,911.47,918.79,904.91,908.57,700
4/19/2007,926.11,933.43,923.22,927.33,500
4/20/2007,911.32,912.69,896.07,897.44,300
