Data, Open, High, Low, Close, Volume
7/13/2006,201.28,206.09,201.28,205.34,25100
7/14/2006,205.95,211.02,205.95,208.96,25700
7/17/2006,209.57,210.77,207.4,209.15,20300
7/18/2006,209.74,211.91,207.07,207.07,39100
7/19/2006,205.01,205.2,198.19,199.11,57500
7/20/2006,198.8,202.19,198.24,202.19,20900
7/21/2006,201.64,205.67,201.64,204.98,30700
7/24/2006,202.45,202.61,197.32,197.69,28500
7/25/2006,198.38,199.83,195.1,195.74,18400
7/26/2006,197.19,198.05,194.26,195.99,16100
7/27/2006,194.82,196.93,193.43,195.63,30300
7/28/2006,194.68,194.85,191.79,192.93,15400
7/31/2006,194.12,194.21,192.82,193.29,11300
8/1/2006,193.98,197.44,193.98,195.65,19700
8/2/2006,194.82,195.04,192.18,193.43,16200
8/3/2006,196.07,196.21,191.03,191.76,19900
8/4/2006,187.86,193.71,187.86,192.04,28100
8/7/2006,193.15,193.73,192.12,192.59,13800
8/8/2006,192.18,195.52,191.28,194.65,42100
8/9/2006,192.18,197.91,192.18,197.74,42400
8/10/2006,197.8,199.27,195.21,196.16,18300
8/11/2006,196.91,198.69,196.55,197.02,17300
8/14/2006,194.88,197.96,193.57,197.05,19400
8/15/2006,194.1,194.96,192.4,193.07,14800
8/16/2006,189.81,191.67,188.5,189.23,30000
8/17/2006,189.09,189.48,187.61,188.64,14300
8/18/2006,188.84,190.64,187.44,187.56,23000
8/21/2006,189.25,189.39,188.2,188.5,17400
8/22/2006,188.42,189.98,187.47,188.95,21100
8/23/2006,189.23,191.34,188,190.51,24100
8/24/2006,191.2,191.2,189.53,190.56,25400
8/25/2006,191.2,191.2,189.64,190.48,12900
8/28/2006,190.76,191.17,187.36,188.72,22000
8/29/2006,188.95,190.42,187.92,188.28,18900
8/30/2006,187.58,188.56,187.11,187.64,17200
8/31/2006,187.81,188.47,187.25,187.67,19800
9/1/2006,186.8,187.39,184.97,185.52,27400
9/5/2006,185.91,186.22,184.77,185.33,24600
9/6/2006,187.31,188.28,186.66,188.06,25500
9/7/2006,188.7,190.37,188.14,190.09,45200
9/8/2006,189.67,190.03,188.14,188.7,22100
9/11/2006,188.97,189.87,187.17,188.47,23100
9/12/2006,187.58,187.72,183.97,185.33,17800
9/13/2006,185.5,185.52,182.18,183.63,24300
9/14/2006,183.91,185.02,183.16,183.63,15300
9/15/2006,181.46,182.99,181.04,182.77,33700
9/18/2006,182.43,183.99,181.88,183.07,14100
9/19/2006,183.63,185.72,183.46,183.69,26200
9/20/2006,182.38,182.46,180.85,180.93,17600
9/21/2006,180.82,184.66,180.82,183.94,27300
9/22/2006,184.38,186.44,184.1,185.19,40100
9/25/2006,184.24,185.38,181.46,182.38,22900
9/26/2006,182.57,182.71,179.65,179.65,21300
9/27/2006,180.21,180.32,178.48,179.43,24200
9/28/2006,178.76,180.51,178.48,178.84,24300
9/29/2006,178.87,180.26,178.12,180.07,31000
10/2/2006,180.12,180.76,178.82,180.35,26700
10/3/2006,180.9,181.46,178.15,178.98,42600
10/4/2006,179.23,179.23,175.2,175.45,56800
10/5/2006,175.23,175.62,174.34,174.5,21600
10/6/2006,175.84,176.17,174.5,174.73,29000
10/9/2006,175.37,175.89,174.42,174.59,12400
10/10/2006,174.75,175.67,174.22,174.78,24600
10/11/2006,175.89,176.78,174.39,174.98,23900
10/12/2006,173.78,174.03,172.03,172.36,36200
10/13/2006,172.72,173.47,172.28,172.36,47300
10/16/2006,172.61,172.67,171.25,171.72,29400
10/17/2006,172.69,174.39,171.91,172.05,40300
10/18/2006,171.19,172.8,169.72,171.91,56700
10/19/2006,172.03,172.22,170.55,171.08,41300
10/20/2006,171.78,172.64,170.97,171.33,31500
10/23/2006,171.94,171.94,167.99,168.66,64100
10/24/2006,168.41,168.88,167.68,167.93,50000
10/25/2006,168.21,169.33,167.27,167.85,54400
10/26/2006,167.18,168.91,167.02,167.16,50700
10/27/2006,168.07,169.49,167.41,168.88,57000
10/30/2006,169.58,170.49,168.55,169.44,36200
10/31/2006,168.94,171.02,168.71,169.72,59500
11/1/2006,168.63,171.66,168.41,170.97,72000
11/2/2006,171.78,172.53,171.05,171.66,62400
11/3/2006,170.16,172.94,170.16,172.25,55100
11/6/2006,171.5,171.94,168.66,168.91,51900
11/7/2006,168.91,168.94,166.71,167.8,51900
11/8/2006,168.71,169.16,166.63,167.04,61800
11/9/2006,167.16,169.44,166.49,168.66,55100
11/10/2006,168.94,169.91,168.57,168.91,37300
11/13/2006,168.91,169.38,167.04,168.32,26100
11/14/2006,167.63,169.58,165.35,165.6,87100
11/15/2006,165.32,165.54,163.65,164.37,49800
11/16/2006,163.95,164.59,162.81,163.4,43600
11/17/2006,163.95,164.12,162.56,162.67,37100
11/20/2006,163.15,163.56,162.26,163.09,36900
11/21/2006,163.23,163.79,162.56,163.18,28300
11/22/2006,162.54,163.65,162.12,162.95,26100
11/24/2006,164.68,165.04,163.43,164.18,29700
11/27/2006,164.82,168.94,164.82,168.69,63500
11/28/2006,169.49,170.08,168.05,168.38,68100
11/29/2006,167.27,167.49,165.46,165.93,51200
11/30/2006,165.46,167.6,164.62,165.79,48600
12/1/2006,165.9,169.77,165.62,166.82,99900
12/4/2006,167.07,167.07,164.07,164.76,53000
12/5/2006,164.48,165.01,163.51,163.59,40200
12/6/2006,163.7,164.57,163.51,164.29,22400
12/7/2006,163.59,165.37,162.84,164.96,60400
12/8/2006,165.4,166.1,163.54,164.48,40700
12/11/2006,164.4,164.51,163.23,163.73,20100
12/12/2006,164.18,165.96,163.93,164.21,43800
12/13/2006,162.84,164.57,162.84,164.04,35500
12/14/2006,164.09,164.32,161.31,161.78,50900
12/15/2006,160.73,161.25,160.06,160.95,45100
12/18/2006,160.7,161.67,160.06,161.14,54400
12/19/2006,161.98,162.4,160.25,160.59,63400
12/20/2006,160.92,161.03,159.93,160.69,43300
12/21/2006,160.61,162.49,160.38,161.82,54200
12/22/2006,162.16,163.7,162.13,163.31,56100
12/26/2006,163.79,164.07,161.88,162.1,19500
12/27/2006,160.75,160.86,159.65,159.93,37300
12/28/2006,159.29,161.14,159.23,159.99,47800
12/29/2006,159.88,161.48,159.62,160.75,59400
1/3/2007,159.57,162.8,158.22,161.06,105000
1/4/2007,161.4,162.94,160.13,160.92,69200
1/5/2007,162.02,163.98,161.68,163.2,52700
