Data, Open, High, Low, Close, Volume
6/4/2009,56.84,57.93,56.84,57.93,2000
6/5/2009,60.07,60.07,56.88,57.91,83800
6/8/2009,55.51,57.12,54.75,56.41,17400
6/9/2009,57.03,57.03,56.02,56.56,6000
6/10/2009,59.17,59.17,56.46,57.87,32400
6/11/2009,58.46,61.34,58.46,60.21,24500
6/12/2009,58.74,58.82,56.91,58.55,11700
6/15/2009,56.15,56.15,53.1,54.31,37200
6/16/2009,54.91,55.32,52.41,52.6,12300
6/17/2009,51.65,52.26,50.25,51.45,14900
6/18/2009,50.83,51.79,50.83,51.17,7900
6/19/2009,52.51,52.57,51.58,51.7,16500
6/22/2009,50.37,50.4,47.8,47.8,27200
6/23/2009,48.5,48.7,47.13,48.51,15700
6/24/2009,51.27,51.84,50.13,50.7,20700
6/25/2009,50.21,53.54,50.2,53.54,12900
6/26/2009,53.9,54.63,53.53,54.36,14900
6/29/2009,55.11,55.3,54.06,55.06,16900
6/30/2009,55.06,55.13,53.07,54.02,29500
7/1/2009,56.19,57.02,55.69,55.82,20800
7/2/2009,53.86,53.87,52.67,52.96,25900
7/6/2009,51.17,52.64,50.98,52.57,11600
7/7/2009,52.27,52.27,50.01,50.06,26000
7/8/2009,50.45,50.58,47.25,48.93,24600
7/9/2009,50.91,51.3,49.95,50.59,24400
7/10/2009,49.3,49.83,48.41,49.49,21300
7/13/2009,48.8,50.61,47.56,50.25,53000
7/14/2009,51.15,51.45,50.62,51.16,13400
7/15/2009,54.28,56.79,54.2,56.76,36900
7/16/2009,56.07,57.57,55.36,56.86,18500
7/17/2009,57.23,58.34,56.66,58.07,23000
7/20/2009,61.4,62.15,60.49,62.15,70700
7/21/2009,62.94,62.94,59.87,61.62,52200
7/22/2009,60.11,62.48,60.04,61.61,19600
7/23/2009,62.45,65.5,62.36,65.08,21700
7/24/2009,63.81,64.48,62.85,64.21,32100
7/27/2009,64.91,65.53,63.83,65.51,26400
7/28/2009,64.41,65.18,63.29,65.17,16000
7/29/2009,63.4,63.4,61.34,62.02,53900
7/30/2009,65.49,66.56,64.94,65.04,50400
7/31/2009,65.99,66.59,64.83,65.54,31900
8/3/2009,69.41,70.87,68.68,70.48,91500
8/4/2009,68.51,70.04,67.92,69.25,35600
8/5/2009,68.19,68.67,66.16,68.16,28400
8/6/2009,68.94,68.94,65.82,66.88,34400
8/7/2009,68.31,69.09,67.21,68.35,27400
8/10/2009,67.11,67.35,65.81,66.95,33700
8/11/2009,65.74,65.74,63.59,64.17,25600
8/12/2009,63.87,66.45,63.87,65.54,33200
8/13/2009,67.85,67.85,65.86,67.57,21100
8/14/2009,67.73,67.73,64.75,65.65,38700
8/17/2009,60.74,61,59.65,60.12,33400
8/18/2009,61.65,62.84,61.55,62.8,18000
8/19/2009,60.17,63.15,59.95,62.99,25600
8/20/2009,63.36,65.28,63.36,65.28,17000
8/21/2009,66.3,67.42,66.16,67.11,25000
8/24/2009,68.41,69.26,67.12,67.65,97300
8/25/2009,68.57,69.38,67.31,67.46,31800
8/26/2009,66.85,67.36,66.09,66.95,39400
8/27/2009,65.93,67.08,64.48,66.79,16000
8/28/2009,67.25,67.34,65.4,66.11,10900
8/31/2009,63.98,63.99,63.24,63.83,10300
9/1/2009,63.95,65.39,61.11,61.24,103200
