Data, Open, High, Low, Close, Volume
11/1/2007,339.85,346.68,334.83,346.3,3900
11/2/2007,338.08,352.55,335.79,340.76,5900
11/5/2007,353.46,370.32,353.46,363.87,31800
11/6/2007,345.01,355.18,335.84,337.22,15700
11/7/2007,346.06,363.01,342.95,363.01,32700
11/8/2007,353.8,382.31,349.02,360.24,268100
11/9/2007,367.7,377.34,360.24,373.9,83300
11/12/2007,382.6,413.79,381.79,413.07,194900
11/13/2007,391.67,391.67,353.94,357.23,65500
11/14/2007,342.57,360.63,338.51,356.9,47200
11/15/2007,364.54,379.78,357.14,371.85,50400
11/16/2007,367.07,379.06,362.15,363.87,39700
11/19/2007,377.34,399.46,375.82,394.78,52400
11/20/2007,384.89,394.97,367.84,379.3,60800
11/21/2007,403.71,418.42,398.84,412.98,53200
11/23/2007,391.67,399.12,387.71,391.96,23500
11/26/2007,384.99,420.62,379.16,420.43,59000
11/27/2007,407.39,413.93,385.99,387.95,61700
11/28/2007,383.08,383.08,347.4,352.27,92900
11/29/2007,358.52,360.58,346.3,356.52,61900
11/30/2007,336.12,354.61,336.12,351.69,43000
12/3/2007,350.4,358.57,350.4,353.99,29500
12/4/2007,356.28,360.15,349.93,354.23,21600
12/5/2007,339.28,339.28,326.71,326.71,57500
12/6/2007,331.01,331.49,315.77,317.11,25500
12/7/2007,319.36,327,319.36,324.56,24600
12/10/2007,327.86,327.95,321.22,324.28,13500
12/11/2007,321.79,354.66,319.36,349.02,46300
12/12/2007,319.21,346.54,314.58,332.21,62200
12/13/2007,349.35,357.76,343.96,347.49,76500
12/14/2007,362.97,366.12,354.18,364.11,32600
12/17/2007,379.25,397.17,377.54,394.87,68000
12/18/2007,373.09,395.92,371.95,378.39,88200
12/19/2007,374.19,377.39,365.59,369.94,36700
12/20/2007,365.58,375.61,364.95,369.13,28600
12/21/2007,356.41,357.37,345.95,346.72,35500
12/24/2007,348.35,348.35,333.48,333.48,13600
12/26/2007,338.95,339.09,328.68,328.68,20600
12/27/2007,336.93,346.63,334.25,343.55,56900
12/28/2007,337.65,347.15,336.07,341.16,36700
12/31/2007,341.16,351.81,341.16,350.61,23700
1/2/2008,346,365.96,341.83,361.36,30400
1/3/2008,354.11,358.86,350.75,355.36,65800
1/4/2008,361.98,383.86,361.84,377,145500
1/7/2008,372.63,384.29,366.87,371.58,103900
1/8/2008,363.23,379.78,355.65,379.06,96700
1/9/2008,367.79,377.33,353.58,353.58,108100
1/10/2008,365.29,367.93,340.72,345.47,106800
1/11/2008,360.25,367.69,351.23,364.24,67400
1/14/2008,354.88,360.35,350.27,354.64,54900
1/15/2008,368.12,388.66,366.83,385.25,154300
1/16/2008,397.44,429.35,393.46,417.69,338700
1/17/2008,410.25,444.8,399.12,444.75,258700
1/18/2008,416.25,442.78,409.05,420.81,291800
1/22/2008,479.83,480.4,423.35,442.06,318800
1/23/2008,479.83,509.81,433.14,433.14,346000
1/24/2008,436.64,440.1,411.45,417.69,148300
1/25/2008,403.68,446.24,396.82,431.84,147500
1/28/2008,438.56,449.88,413.95,413.95,144600
1/29/2008,413.47,427,412.65,416.01,76400
