Data, Open, High, Low, Close, Volume
8/21/2014,40.18,40.18,39.39,39.41,6600
8/22/2014,39.41,39.41,39.41,39.41,0
8/25/2014,39.42,39.53,39.42,39.48,2400
8/26/2014,39.53,39.53,39.42,39.42,26900
8/27/2014,39.55,39.56,39.54,39.54,2900
8/28/2014,39.41,39.43,39.32,39.43,2500
8/29/2014,39.37,39.47,39.33,39.45,1900
9/2/2014,39.56,39.56,39.48,39.51,1700
9/3/2014,39.75,39.76,39.59,39.59,2400
9/4/2014,39.94,39.94,39.22,39.28,1400
9/5/2014,39.11,39.11,39.11,39.11,700
9/8/2014,39.08,39.08,38.79,38.79,400
9/9/2014,38.54,38.57,38.54,38.57,1200
9/10/2014,38.44,38.64,38.4,38.64,5200
9/11/2014,38.48,38.48,38.48,38.48,300
9/12/2014,38.48,38.48,38.48,38.48,0
9/15/2014,38.48,38.48,38.44,38.44,500
9/16/2014,38.31,38.63,38.31,38.6,2100
9/17/2014,38.55,38.55,38.39,38.51,1200
9/18/2014,38.75,38.75,38.75,38.75,2000
9/19/2014,38.77,38.79,38.64,38.65,11000
9/22/2014,38.59,38.59,38.59,38.59,200
9/23/2014,38.11,38.12,38.1,38.1,1300
9/24/2014,38.16,38.16,38.16,38.16,500
9/25/2014,37.97,37.97,37.96,37.96,300
9/26/2014,37.85,37.93,37.81,37.93,2400
9/29/2014,37.66,37.87,37.66,37.87,400
9/30/2014,37.77,37.77,37.77,37.77,200
10/1/2014,37.77,37.77,37.77,37.77,0
10/2/2014,37.18,37.18,37.04,37.12,700
10/3/2014,37.11,37.14,37.11,37.14,400
10/6/2014,37.14,37.14,37.14,37.14,0
10/7/2014,36.67,36.67,36.67,36.67,1000
10/8/2014,36.59,36.66,36.59,36.59,1000
10/9/2014,36.67,36.67,36.23,36.23,700
10/10/2014,36.04,36.04,35.84,35.84,1100
10/13/2014,35.76,35.79,35.76,35.79,1000
10/14/2014,35.69,35.69,35.69,35.69,600
10/15/2014,35.23,35.31,35.01,35.31,5000
10/16/2014,34.58,34.6,34.58,34.6,400
10/17/2014,35.8,35.81,35.8,35.81,600
10/20/2014,35.8,35.81,35.8,35.81,400
10/21/2014,36.24,36.4,36.24,36.39,29700
