Data, Open, High, Low, Close, Volume
6/4/2009,56.86,56.86,56.86,56.86,700
6/5/2009,57.37,57.37,56.29,56.31,6600
6/8/2009,53.96,53.96,53.96,53.96,300
6/9/2009,56.08,56.81,56.08,56.81,800
6/10/2009,57.64,57.64,56.26,56.26,700
6/11/2009,57.97,59.77,57.97,59.73,5000
6/12/2009,57.58,58.13,57.33,58.13,1800
6/15/2009,55.29,55.29,53.33,53.33,4300
6/16/2009,53.96,53.96,53.24,53.4,1100
6/17/2009,52.94,53.53,52.4,53.46,3000
6/18/2009,52.66,53.7,52.66,53.5,1200
6/19/2009,54.72,54.8,54.44,54.44,1300
6/22/2009,52.92,52.92,50.93,51.16,3700
6/23/2009,52.23,52.42,51.45,52.42,600
6/24/2009,53.75,53.75,52.6,52.6,900
6/25/2009,51.81,54.57,51.8,54.56,1100
6/26/2009,54.47,54.47,53.9,53.9,800
6/29/2009,54.91,55.54,54.91,55.42,1200
6/30/2009,55.42,55.42,55.42,55.42,0
7/1/2009,56.82,56.82,56.04,56.04,700
7/2/2009,53,53,52.78,52.78,1000
7/6/2009,51.84,51.84,51.84,51.84,300
7/7/2009,50.84,51.12,50.29,50.29,1900
7/8/2009,50.55,50.55,48.96,49.25,1700
7/9/2009,51.36,51.36,51.36,51.36,200
7/10/2009,49.55,49.55,49.55,49.55,100
7/13/2009,51.39,51.77,51.39,51.77,12700
7/14/2009,51.89,52.17,51.89,52.17,2800
7/15/2009,55.24,55.24,55.12,55.12,800
7/16/2009,56.44,56.78,56.44,56.78,600
7/17/2009,56.55,56.55,56.51,56.51,300
7/20/2009,58.53,58.74,58.48,58.48,1400
7/21/2009,59.95,59.95,58.07,58.08,2100
7/22/2009,58.08,58.08,58.08,58.08,0
7/23/2009,61.6,61.99,61.6,61.84,700
7/24/2009,61.09,62.12,60.86,62.03,3900
7/27/2009,61.65,61.65,61.65,61.65,400
7/28/2009,61.53,61.53,60.98,61.43,400
7/29/2009,61.61,61.61,60.45,61.05,2400
7/30/2009,62.94,64.34,62.89,64.21,1300
7/31/2009,64.06,65.01,64.06,64.86,1900
8/3/2009,67.29,68.21,67.23,68.15,1900
8/4/2009,67.1,67.94,66.64,67.63,1300
8/5/2009,67.84,67.84,66.24,67.48,3200
8/6/2009,67.95,67.95,66.26,66.6,2300
8/7/2009,67.15,67.28,66.62,66.88,2100
8/10/2009,65.76,66.09,65.16,65.48,900
8/11/2009,64.93,64.93,64.6,64.88,800
8/12/2009,66.36,66.38,64.8,65.56,700
8/13/2009,68.16,68.36,68.16,68.21,1000
8/14/2009,66.1,66.63,66.1,66.57,1200
8/17/2009,62.79,63.03,62.57,62.87,1100
8/18/2009,65.05,65.15,65.05,65.09,2100
8/19/2009,65.04,66.12,65.04,65.89,1300
8/20/2009,66.55,67.37,66.55,67.37,700
8/21/2009,69.03,70.25,69.03,69.99,3000
8/24/2009,70.54,71.17,69.53,69.74,78400
8/25/2009,70.86,70.86,70.86,70.86,200
