Data, Open, High, Low, Close, Volume
10/25/2007,224.02,226.18,223.16,226.18,66800
10/26/2007,218.22,218.38,215.26,215.26,3000
10/29/2007,213.47,214.08,211.97,212.2,3000
10/30/2007,215.26,215.61,214.3,215.61,3500
10/31/2007,212.83,213.66,207.8,208.63,13500
11/1/2007,215.99,220.03,215.83,219.4,26400
11/2/2007,217.9,220.83,216.63,216.63,40500
11/5/2007,224.78,224.78,221.63,222.46,22500
11/6/2007,218.19,220.23,216.47,216.47,4100
11/7/2007,218.79,225.07,218.54,225,30700
11/8/2007,221.88,227.14,220.89,222.84,15700
11/9/2007,231.98,232.55,228.09,232.2,49700
11/12/2007,236.22,240.14,233.51,239.79,24500
11/13/2007,232.14,232.2,225.8,226.12,10900
11/14/2007,223,228.79,222.17,228.79,4900
11/15/2007,232.71,237.91,231.57,236.06,23900
11/16/2007,233.51,237.33,233.35,233.35,6800
11/19/2007,241.06,248.13,240.55,246.67,8300
11/20/2007,238.19,253.01,234.15,237.01,8000
11/21/2007,244.21,248.16,242.11,245.3,16900
11/23/2007,237.43,238.13,234.5,235.26,1800
11/26/2007,233.96,242.14,232.55,242.05,12000
11/27/2007,237.56,240.04,233.86,234.53,4300
11/28/2007,231.38,231.69,221.09,222.46,31500
11/29/2007,227.52,227.55,223.38,225.04,3800
11/30/2007,218.92,225.64,218.7,224.08,3600
12/3/2007,224.24,226.06,223.86,225.13,3300
12/4/2007,228.89,228.95,227.78,228.06,7300
12/5/2007,224.69,224.69,221.21,222.65,5300
12/6/2007,222.71,224.18,218.54,218.54,16700
12/7/2007,220.16,220.86,219.78,220.86,1900
12/10/2007,218.92,218.92,215.67,216.05,4000
12/11/2007,216.91,227.81,216.21,227.55,6800
12/12/2007,215.29,222.39,215.29,219.52,5200
12/13/2007,227.07,231.53,226.6,227.14,9000
12/14/2007,235.71,239.66,234.24,239.56,11300
12/17/2007,245.9,250.49,244.02,249.72,14000
12/18/2007,242.24,250.87,241.76,245.11,47200
12/19/2007,246.79,250.17,244.95,247.85,19500
12/20/2007,245.6,248.42,244.77,246.18,7900
12/21/2007,240.83,241.15,237.83,237.83,4500
12/24/2007,237.96,249.28,234.53,234.53,700
12/26/2007,235.78,236.26,233.51,234.44,2100
12/27/2007,234.85,237.99,234.34,237.99,3300
12/28/2007,232.77,234.18,232.29,232.68,5100
12/31/2007,233.51,238.31,233.51,236.45,4400
1/2/2008,233.64,239.88,233.64,238.44,20700
1/3/2008,238.05,238.31,236.52,238.24,1300
1/4/2008,241.92,249.7,241.73,249.7,10200
1/7/2008,246.21,250.98,246.08,248.23,11700
1/8/2008,244.1,252.19,241.83,252.19,10200
1/9/2008,252.16,254.56,247.36,247.36,27500
1/10/2008,254.21,254.31,246.27,248.42,19100
1/11/2008,254.15,259.94,253.92,258.4,17900
1/14/2008,249.22,252.48,249.22,250.31,5200
1/15/2008,258.56,267.71,257.92,267.23,25400
1/16/2008,268.64,279.13,266.56,277.53,93600
1/17/2008,271.9,288.41,269.89,286.4,60100
1/18/2008,275.84,287.23,273.21,282.37,50800
1/22/2008,324.09,325.21,297.08,305.56,120800
1/23/2008,327.1,333.62,301.56,301.56,110100
1/24/2008,292.83,295.58,284.77,285.15,32100
1/25/2008,274.01,293.88,273.09,293.88,24200
1/28/2008,290.81,297.02,282.85,284.51,39900
1/29/2008,280.13,285.82,279.17,279.17,54700
1/30/2008,285.15,287.97,271.1,283.49,69500
1/31/2008,293.44,293.47,272.7,276.83,45800
2/1/2008,272.19,274.65,267.68,268.45,50100
2/4/2008,268.8,273.47,268.8,272.77,25800
2/5/2008,286.33,298.43,286.33,298.4,44800
2/6/2008,291.74,299.36,289.12,298.2,45600
2/7/2008,297.56,307.9,297.56,302.62,53500
2/8/2008,307.48,311.03,301.95,307.55,40000
2/11/2008,313.69,313.69,303.61,305.02,34900
2/12/2008,296.22,296.28,286.97,292.35,29300
2/13/2008,294.68,294.68,286.17,287.71,18100
2/14/2008,283.58,291.16,282.65,290.56,28600
2/15/2008,291.2,293.56,288.83,288.83,28500
2/19/2008,279.65,284.45,270.3,283.39,43100
2/20/2008,287.97,294.36,283.49,284.77,67300
2/21/2008,288.48,288.48,279.01,287.17,25100
2/22/2008,280.83,290.2,278.81,279.84,33500
2/25/2008,277.66,281.09,271.2,271.2,28600
2/26/2008,267.3,271.46,260.51,262.46,50000
2/27/2008,262.11,270.69,258.66,261.54,32300
2/28/2008,268.06,268.06,263.52,265.73,22600
2/29/2008,264.29,280.13,264.29,279.2,40400
3/3/2008,284.41,284.41,278.01,279.17,42600
3/4/2008,287.23,292.76,284.99,286.11,54600
3/5/2008,285.53,285.53,276.22,279.84,56400
3/6/2008,279.55,288.09,278.75,287.58,69900
3/7/2008,295.9,297.15,286.97,294.36,97100
3/10/2008,299.77,301.18,290.81,297.24,127800
3/11/2008,297.08,297.08,279.23,279.81,75800
3/12/2008,279.97,281.69,275.84,279.81,52200
3/13/2008,287.9,290.49,276.45,278.08,83600
3/14/2008,272.77,295.71,272.77,291.68,121100
3/17/2008,303.96,309.02,295.64,300.92,83100
3/18/2008,292.19,292.83,282.46,282.85,65000
3/19/2008,280.77,303.13,280.77,302.68,86600
3/20/2008,310.36,310.36,293.12,295.8,39400
3/24/2008,287.26,290.43,280.61,282.4,38800
3/25/2008,275.7,281.56,273.39,274.32,42100
3/26/2008,274.35,277.24,272.79,274.07,28100
3/27/2008,273.78,275.47,266.96,275.19,49900
3/28/2008,276.02,276.4,270.99,275.7,21000
3/31/2008,282.68,282.68,270.58,273.75,14000
4/1/2008,273.55,273.55,256.33,256.49,35700
4/2/2008,253.67,259.18,251.08,256.29,12700
4/3/2008,257.93,259.34,252.74,254.28,6400
4/4/2008,252.71,255.53,250.53,252.68,10000
4/7/2008,248.71,250.4,247.26,250.02,9300
4/8/2008,250.11,257.1,250.11,254.63,15100
4/9/2008,257.83,260.17,254.89,259.62,15200
4/10/2008,259.37,262.86,258.25,260.65,8500
4/11/2008,261.03,267.89,261.03,267.89,5800
4/14/2008,273.75,273.75,265.36,267.02,11300
4/15/2008,265.29,267.02,263.15,264.2,5500
4/16/2008,262.76,262.76,246.43,246.56,41100
4/17/2008,240.54,254.37,240.54,252.93,11700
4/18/2008,252.9,252.9,245.98,247.68,32500
4/21/2008,244.99,248.19,244.09,244.38,13800
4/22/2008,248.45,251.36,247.71,249.51,8900
4/23/2008,250.11,250.18,246.21,246.88,3300
4/24/2008,246.56,254.85,239.71,249.63,5700
4/25/2008,245.54,248.03,244.32,245.7,3700
4/28/2008,243.2,243.68,241.63,243.36,4100
4/29/2008,240.6,248.16,240.6,247.84,3100
4/30/2008,246.24,246.24,241.4,245.7,4400
5/1/2008,243.29,248.13,241.85,241.92,3700
5/2/2008,240.06,242.75,238.59,240.83,9400
5/5/2008,239.71,241.05,238.55,239.96,4000
5/6/2008,238.59,242.11,236.25,236.54,5500
5/7/2008,239.07,245.57,238.88,245.28,23700
5/8/2008,244.83,244.83,239.23,241.18,5700
5/9/2008,241.15,246.08,241.15,244.64,6200
5/12/2008,243.01,243.01,239.13,239.29,3500
5/13/2008,240.76,243.42,240.76,241.66,3700
5/14/2008,240.25,240.99,237.75,240.86,2600
5/15/2008,238.14,238.39,233.27,234.01,6000
5/16/2008,230.87,232.21,228.63,228.63,5900
5/19/2008,228.02,230.68,226.96,229.91,20400
5/20/2008,231.8,235,231.57,234.23,8200
5/21/2008,234.33,240.38,233.82,239.39,21100
5/22/2008,237.43,237.43,232.92,234.55,3200
5/23/2008,236.28,240.41,236.28,239.45,10000
