Data, Open, High, Low, Close, Volume
10/25/2007,58.77,58.77,58.65,58.65,25100
10/26/2007,57.97,57.97,57.97,57.97,8900
10/29/2007,57.97,57.97,57.97,57.97,0
10/30/2007,57.64,57.64,57.55,57.57,400
10/31/2007,57.31,57.31,56.57,56.81,77700
11/1/2007,57.75,58.31,57.75,58.31,25900
11/2/2007,58.11,58.38,58.03,58.03,4700
11/5/2007,58.98,58.98,58.61,58.62,60300
11/6/2007,58.05,58.08,58.03,58.03,800
11/7/2007,58.35,58.96,58.35,58.96,22300
11/8/2007,58.62,59.29,58.56,58.56,8700
11/9/2007,59.94,59.94,59.36,59.69,1200
11/12/2007,60.48,60.96,60.17,60.96,18300
11/13/2007,59.94,59.94,59.77,59.89,3000
11/14/2007,58.93,59.6,58.93,59.6,22600
11/15/2007,60.12,60.35,59.91,60.27,4000
11/16/2007,60.49,60.49,60.33,60.48,1600
11/19/2007,61.07,62.05,61.06,61.79,56600
11/20/2007,60.76,60.94,60.33,60.94,3700
11/21/2007,61.59,62.01,61.53,61.79,29500
11/23/2007,60.71,60.71,60.37,60.42,29300
11/26/2007,60.35,61.29,60.35,61.29,1200
11/27/2007,60.74,61.06,60.52,60.52,4100
11/28/2007,60.07,60.18,58.8,58.84,2600
11/29/2007,59.38,59.38,59.06,59.12,500
11/30/2007,58.35,59.13,58.35,59.13,2000
12/3/2007,59.3,59.3,59.26,59.26,200
12/4/2007,59.67,59.78,59.67,59.78,600
12/5/2007,59.07,59.09,58.79,58.86,5200
12/6/2007,59.01,59.01,58.37,58.37,50900
12/7/2007,58.55,58.55,58.51,58.51,800
12/10/2007,58.38,58.38,58.03,58.13,3300
12/11/2007,58.21,59.56,58.15,59.55,6200
12/12/2007,58.14,58.5,58.14,58.39,7500
12/13/2007,59.86,59.86,59.65,59.65,3600
12/14/2007,60.73,61.22,60.73,61.22,9400
12/17/2007,62.07,62.58,61.96,62.58,12600
12/18/2007,61.57,62.64,61.55,61.91,64200
12/19/2007,61.89,62.48,61.89,62.4,7500
12/20/2007,62.24,62.35,61.98,62.06,7000
12/21/2007,61.43,61.48,61.3,61.36,23400
12/24/2007,62.47,62.47,60.66,60.66,800
12/26/2007,60.64,60.88,60.58,60.64,18700
12/27/2007,60.64,61.04,60.64,61.04,7900
12/28/2007,60.33,60.59,60.33,60.51,2800
12/31/2007,60.53,60.96,60.53,60.79,2600
1/2/2008,60.64,61.01,60.64,61.01,6200
1/3/2008,61.09,61.17,60.96,61.17,1800
1/4/2008,61.59,62.56,61.59,62.56,4800
1/7/2008,62.18,62.69,62.18,62.66,20400
1/8/2008,61.87,62.82,61.87,62.82,10100
1/9/2008,62.93,63.15,62.4,62.4,1500
1/10/2008,62.88,63.21,62.38,62.45,46200
1/11/2008,63.17,63.8,63.17,63.65,19800
1/14/2008,62.63,62.99,62.56,62.75,2600
1/15/2008,63.69,64.9,63.69,64.89,5700
1/16/2008,65.16,66.13,64.85,66.05,63100
1/17/2008,65.4,67.4,65.33,67.18,14300
1/18/2008,66,67.2,65.63,66.67,18800
1/22/2008,71.52,71.52,68.56,68.68,19400
1/23/2008,71.93,72.68,69.2,69.24,17900
1/24/2008,67.94,68.4,67.15,67.3,11400
1/25/2008,65.88,67.83,65.71,67.49,5500
1/28/2008,67.88,68.51,67.03,67.03,8600
1/29/2008,66.66,66.95,66.56,66.58,3800
1/30/2008,67.38,67.44,66.11,66.19,5900
1/31/2008,68.16,68.16,65.74,65.74,11900
2/1/2008,65.55,65.93,65.15,65.15,6300
2/4/2008,65.26,65.63,65.26,65.61,3300
2/5/2008,67.47,68.91,67.47,68.91,7300
2/6/2008,68.07,68.88,67.92,68.88,9100
2/7/2008,69.3,69.75,69.24,69.3,9100
2/8/2008,69.64,69.98,69.35,69.69,14100
2/11/2008,71.16,71.16,69.6,69.6,5200
2/12/2008,69.69,69.69,67.59,68.4,2800
2/13/2008,67.83,67.86,67.83,67.86,200
2/14/2008,67.12,68.01,67.04,68.01,8200
2/15/2008,68.1,68.27,67.83,67.83,1700
2/19/2008,66.29,67.15,66.14,67.14,8800
2/20/2008,68.38,68.38,67.56,67.62,38600
2/21/2008,66.95,67.56,66.95,67.53,1200
2/22/2008,67.75,67.88,67,67,3400
2/25/2008,66.47,66.74,65.74,65.74,13900
2/26/2008,65.61,65.75,64.64,64.64,33300
2/27/2008,64.78,64.78,64.27,64.54,6400
2/28/2008,65.17,65.17,65.09,65.09,500
2/29/2008,65.97,66.88,65.97,66.65,20700
3/3/2008,66.92,67.13,66.72,66.95,3600
3/4/2008,67.75,68.26,67.59,67.68,19000
3/5/2008,67.1,67.32,66.37,66.8,56100
3/6/2008,66.7,67.78,66.67,67.78,86200
3/7/2008,68.48,68.84,67.69,68.53,125200
3/10/2008,68.21,69.32,67.56,68.87,121200
3/11/2008,67.28,68.2,66.98,66.98,30500
3/12/2008,68.47,68.47,66.39,66.45,3700
3/13/2008,68.28,68.28,66.64,66.64,6700
3/14/2008,66.8,68.26,66.8,68.06,20900
3/17/2008,69.56,70.25,69,69.3,47900
3/18/2008,71.15,71.15,67.19,67.21,65200
3/19/2008,66.07,69.49,66.07,69.46,9900
3/20/2008,70.12,70.24,68.8,68.98,6900
3/24/2008,68.18,68.18,67.02,67.23,13500
3/25/2008,66.98,66.98,66.23,66.23,16900
3/26/2008,66.31,66.51,66.25,66.25,1600
3/27/2008,65.5,65.99,65.5,65.99,800
3/28/2008,66.04,66.51,66.04,66.51,6900
3/31/2008,66.47,66.47,65.87,66.2,17500
4/1/2008,66.9,66.9,64.14,64.14,25400
4/2/2008,62.55,64.43,62.55,64.23,4200
4/3/2008,64.05,64.05,63.68,63.86,1300
4/4/2008,63.68,63.68,63.64,63.64,400
4/7/2008,63.11,63.28,63.02,63.28,1200
4/8/2008,64.23,64.23,64.23,64.23,100
4/9/2008,63.98,64.54,63.98,64.54,14300
4/10/2008,65.32,65.32,64.39,64.73,9600
4/11/2008,65.23,65.56,65.18,65.56,500
4/14/2008,65.45,65.45,65.33,65.33,700
4/15/2008,64.98,65.16,64.98,65.09,600
4/16/2008,64.94,64.94,63.02,63.02,800
4/17/2008,63.89,63.93,63.54,63.64,6300
4/18/2008,64.27,64.27,63.06,63.14,1100
4/21/2008,63.11,63.11,62.92,62.92,400
4/22/2008,62.07,63.46,62.07,63.46,1100
4/23/2008,63.74,63.74,63.05,63.14,900
4/24/2008,63.14,63.14,63.14,63.14,0
4/25/2008,62.93,63.1,62.9,63.1,1600
4/28/2008,62.47,62.5,62.39,62.48,3900
4/29/2008,62.98,62.98,62.98,62.98,100
4/30/2008,61.99,62.84,61.99,62.64,1300
5/1/2008,62.64,62.64,62.64,62.64,400
5/2/2008,62.63,62.63,61.96,62.28,4000
5/5/2008,61.71,62.18,61.71,62.18,5100
5/6/2008,61.82,61.94,61.82,61.94,500
5/7/2008,62.1,62.82,62.1,62.74,300
5/8/2008,62.39,62.39,62.24,62.24,400
5/9/2008,62.25,62.76,62.25,62.71,800
5/12/2008,62.56,62.56,62.56,62.56,100
5/13/2008,62.41,62.41,62.37,62.39,2200
5/14/2008,62.22,62.28,61.96,62.28,3900
5/15/2008,61.94,61.96,61.66,61.66,2700
5/16/2008,61.1,61.18,60.68,60.68,3300
5/19/2008,60.84,61.01,60.56,60.91,5300
5/20/2008,61.24,61.53,61.21,61.42,2300
5/21/2008,61.48,62.04,61.48,62.04,2800
5/22/2008,61.57,61.57,61.57,61.57,1000
5/23/2008,60.37,62.16,60.37,62.16,2300
5/27/2008,62.33,62.33,62.33,62.33,300
5/28/2008,62.47,62.61,62.33,62.33,10300
5/29/2008,62.59,62.6,62.3,62.4,1700
5/30/2008,62.25,62.25,62.05,62.14,4800
6/2/2008,62.81,63,62.67,63,1700
6/3/2008,62.75,63.19,62.61,62.94,3600
6/4/2008,63.22,63.22,62.93,63.22,32200
6/5/2008,63.22,63.22,63.22,63.22,0
6/6/2008,63.35,63.42,63.3,63.34,2200
6/9/2008,63.73,64.47,63.66,64.15,21300
6/10/2008,65.3,65.35,64.92,65.22,3500
6/11/2008,65.39,66.04,65.34,66,7800
6/12/2008,66.25,66.59,65.98,66.45,7600
6/13/2008,66.42,66.47,65.9,65.9,2500
6/16/2008,65.82,65.84,65.35,65.4,9000
6/17/2008,65.09,65.29,64.84,65.28,2100
6/18/2008,67.02,67.02,65.75,65.75,1500
6/19/2008,66.06,66.2,65.82,65.82,16400
6/20/2008,66.91,67.43,66.91,67.35,10400
6/23/2008,68.57,68.57,67.26,67.33,14200
6/24/2008,67.75,67.86,67.37,67.65,4200
6/25/2008,67.01,67.04,66.58,66.58,42700
6/26/2008,67.4,68.59,67.4,68.59,4400
6/27/2008,68.22,68.58,67.94,68.41,30000
6/30/2008,68.1,68.1,67.78,68.02,4500
7/1/2008,69.28,69.74,68.53,68.53,20800
7/2/2008,68.55,70.12,68.5,70,12600
7/3/2008,69.3,70.02,69.3,69.66,10900
7/7/2008,69.64,70.42,69.39,70.16,19500
7/8/2008,69.89,70.88,69.82,69.82,18300
7/9/2008,69.5,70.57,69.26,70.57,9300
7/10/2008,70.49,70.74,70.06,70.24,17800
7/11/2008,71.14,71.84,70.79,71.32,7600
7/14/2008,71.12,71.45,70.4,71.38,20000
7/15/2008,72.4,72.87,71.81,72.49,16500
7/16/2008,72.84,72.84,71.04,71.16,18400
7/17/2008,70.26,70.58,69.31,69.31,18900
7/18/2008,68.39,70.29,68.39,69.64,6100
7/21/2008,69.15,69.52,68.99,69.22,7000
7/22/2008,70.13,70.13,68.67,68.67,7200
7/23/2008,68.57,68.85,68.41,68.81,5200
