Data, Open, High, Low, Close, Volume
11/22/2013,74.18,74.18,74.18,74.18,100
11/25/2013,74.34,74.36,74.34,74.34,1500
11/26/2013,74.42,74.42,74.4,74.4,2100
11/27/2013,74.34,74.45,74.3,74.45,9800
11/29/2013,74.4,74.46,74.37,74.46,1700
12/2/2013,74.25,74.25,74.08,74.08,1800
12/3/2013,74.07,74.07,74.07,74.07,100
12/4/2013,74.09,74.09,74.09,74.09,100
12/5/2013,74.03,74.03,74.03,74.03,900
12/6/2013,74.2,74.4,74.16,74.4,4700
12/9/2013,73.83,73.88,73.83,73.88,200
12/10/2013,74.43,74.48,74.43,74.48,2300
12/11/2013,74.46,74.46,74.46,74.46,700
12/12/2013,74.59,74.59,74.44,74.44,3600
12/13/2013,74.44,74.44,74.44,74.44,0
12/16/2013,74.46,74.46,74.4,74.44,5000
12/17/2013,74.46,74.46,74.46,74.46,5100
12/18/2013,74.73,74.73,74.73,74.73,200
12/19/2013,74.62,74.69,74.62,74.69,1400
12/20/2013,74.98,74.98,74.98,74.98,300
12/23/2013,75.7,75.7,74.73,74.73,6000
12/24/2013,74.96,74.96,74.96,74.96,0
12/26/2013,74.96,74.96,74.96,74.96,0
12/27/2013,75.15,75.15,75.14,75.14,300
12/30/2013,75.14,75.14,75.14,75.14,0
12/31/2013,74.69,74.69,74.64,74.68,29700
1/2/2014,74.58,74.81,74.58,74.78,6900
1/3/2014,74.67,74.67,74.67,74.67,100
1/6/2014,74.86,74.86,74.74,74.78,7900
1/7/2014,75.06,75.06,75.06,75.06,3100
1/8/2014,75.01,75.01,74.87,74.87,17800
1/9/2014,74.98,74.98,74.96,74.96,2400
1/10/2014,74.96,74.96,74.96,74.96,0
1/13/2014,74.68,75.2,74.68,75.2,1300
1/14/2014,75.15,75.15,75.15,75.15,300
1/15/2014,75.15,75.23,75.15,75.15,27200
1/16/2014,75.02,75.27,75.02,75.24,1900
1/17/2014,75.24,75.24,75.24,75.24,0
1/21/2014,75.24,75.24,75.24,75.24,0
1/22/2014,75.24,75.24,75.24,75.24,0
1/23/2014,74.85,75.05,74.67,74.67,9500
1/24/2014,75.17,75.17,74.39,74.4,700
1/27/2014,74.16,74.47,74.16,74.47,700
1/28/2014,74.47,74.47,74.47,74.47,0
1/29/2014,74.47,74.47,74.47,74.47,0
1/30/2014,74.47,74.47,74.47,74.47,0
1/31/2014,74.2,74.34,74.14,74.34,1200
2/3/2014,74.6,74.6,74.6,74.6,0
2/4/2014,74.6,74.6,74.6,74.6,0
2/5/2014,74.38,74.38,74.37,74.37,1000
2/6/2014,74.34,74.34,74.34,74.34,700
2/7/2014,74.06,74.07,73.9,73.9,7600
2/10/2014,73.9,73.9,73.9,73.9,0
2/11/2014,74.43,74.43,74.43,74.43,100
