Data, Open, High, Low, Close, Volume
6/19/2009,627.2,627.2,624,624,0
6/22/2009,661.28,672,661.28,664.8,100
6/23/2009,657.76,659.04,644,649.28,300
6/24/2009,628.32,646.4,621.76,646.4,100
6/25/2009,658.24,658.24,628.16,628.8,200
6/26/2009,629.92,631.84,629.92,631.84,0
6/29/2009,617.6,617.6,606.88,614.56,0
6/30/2009,629.76,629.76,620.96,621.44,100
7/1/2009,597.76,602.56,589.76,602.56,300
7/2/2009,636.96,638.72,630.4,632,100
7/6/2009,656.16,662.56,643.2,643.2,400
7/7/2009,651.84,674.24,651.84,674.24,200
7/8/2009,672.16,696.64,665.28,681.6,7000
7/9/2009,661.12,665.6,654.4,656.32,900
7/10/2009,672.32,689.28,672,677.6,2200
7/13/2009,670.56,673.44,640.96,646.08,600
7/14/2009,640.96,650.24,634.88,639.84,500
7/15/2009,607.04,607.04,584,586.56,1100
7/16/2009,581.44,586.4,568.96,569.76,400
7/17/2009,581.6,581.6,569.44,572.64,100
7/20/2009,557.12,560.16,550.4,550.4,600
7/21/2009,547.2,553.92,545.28,546.24,200
7/22/2009,557.28,557.92,537.76,544.32,400
7/23/2009,544,544.48,513.76,522.88,1100
7/24/2009,521.6,529.28,513.76,516.64,200
7/27/2009,512.32,522.56,512,512,0
7/28/2009,522.56,532.32,519.2,520.16,1000
7/29/2009,525.76,529.44,507.2,507.2,100
7/30/2009,509.28,512,500.64,507.84,500
7/31/2009,504.8,504.8,493.76,493.76,100
8/3/2009,473.44,474.4,441.44,464,4400
8/4/2009,476.32,477.92,469.28,471.04,200
8/5/2009,476.8,476.8,464,464,800
8/6/2009,474.56,476.32,473.92,476.32,0
8/7/2009,470.08,472.16,468.32,468.64,200
8/10/2009,480.48,480.48,478.08,479.52,0
8/11/2009,491.36,491.36,491.36,491.36,0
8/12/2009,476.48,480,476.48,480,0
8/13/2009,470.4,470.4,470.4,470.4,0
8/14/2009,463.2,463.2,463.2,463.2,0
8/17/2009,502.4,504.8,502.4,504.32,0
8/18/2009,491.84,491.84,481.76,483.2,100
8/19/2009,473.92,476.8,471.68,475.84,0
8/20/2009,474.56,474.56,465.6,465.6,0
8/21/2009,441.44,441.92,435.36,439.04,200
8/24/2009,434.24,442.72,432.96,441.76,100
8/25/2009,431.36,432.64,430.08,432.16,0
8/26/2009,439.84,439.84,436.8,437.92,300
8/27/2009,439.36,439.36,427.84,428,300
8/28/2009,430.4,430.4,427.84,427.84,0
8/31/2009,441.6,441.6,435.52,435.52,0
9/1/2009,447.04,463.04,437.44,459.2,1200
9/2/2009,467.36,467.36,458.4,458.4,0
9/3/2009,450.24,460.32,450.24,460.32,300
9/4/2009,451.84,451.84,436.8,437.76,300
9/8/2009,416.96,418.4,414.72,414.72,0
9/9/2009,408.8,408.8,403.52,403.52,0
9/10/2009,398.88,398.88,398.88,398.88,0
9/11/2009,394.4,398.08,394.4,397.92,0
9/14/2009,397.92,397.92,397.92,397.92,0
9/15/2009,394.4,394.4,391.68,392.64,500
9/16/2009,382.56,382.56,376.48,376.48,0
9/17/2009,376,379.2,374.4,379.2,0
9/18/2009,375.36,375.36,375.36,375.36,0
9/21/2009,375.36,375.36,375.36,375.36,0
9/22/2009,375.36,375.36,375.36,375.36,0
9/23/2009,375.36,375.36,375.36,375.36,0
9/24/2009,389.44,396.96,389.44,396.96,0
9/25/2009,396.96,401.76,395.36,401.76,0
9/28/2009,395.36,395.36,392,392,0
9/29/2009,392,392,392,392,0
9/30/2009,392,392,392,392,0
10/1/2009,400.64,409.6,400.64,409.6,100
10/2/2009,425.12,425.12,414.24,417.28,200
10/5/2009,418.88,418.88,403.2,403.36,100
10/6/2009,398.72,398.72,386.4,389.44,100
10/7/2009,390.72,391.2,390.72,391.2,0
10/8/2009,380.16,384.32,377.44,377.44,0
10/9/2009,384.16,384.16,382.72,382.88,0
10/12/2009,374.88,376.64,370.56,376.16,100
10/13/2009,380.32,380.32,375.52,375.68,100
10/14/2009,360.16,361.28,339.2,357.6,100
10/15/2009,354.4,354.4,352.8,352.8,0
10/16/2009,362.88,362.88,358.08,358.08,0
10/19/2009,347.84,348,347.2,347.2,0
10/20/2009,354.08,356.32,353.28,353.92,100
10/21/2009,350.88,352.32,344.32,352.32,100
10/22/2009,356.48,356.48,351.36,351.36,0
10/23/2009,355.2,355.2,355.2,355.2,0
10/26/2009,350.72,372.48,350.72,372.48,200
10/27/2009,367.52,378.08,367.52,374.4,500
10/28/2009,381.6,398.08,381.6,398.08,100
10/29/2009,378.72,379.52,368.32,369.6,100
10/30/2009,391.84,396,390.24,394.88,100
11/2/2009,392.32,394.4,381.44,393.28,2200
11/3/2009,401.44,402.08,391.2,391.2,300
11/4/2009,377.44,381.6,321.28,377.44,2700
11/5/2009,372.64,372.64,366.56,369.6,100
11/6/2009,376.48,376.48,367.68,367.68,0
11/9/2009,353.6,353.6,344.32,344.32,500
11/10/2009,351.36,351.84,346.24,346.24,200
11/11/2009,342.4,347.84,340.8,346.88,100
11/12/2009,351.04,354.72,351.04,354.72,300
11/13/2009,351.2,352,350.72,352,100
11/16/2009,333.28,333.28,333.28,333.28,0
11/17/2009,336,337.44,336,336.32,100
11/18/2009,335.04,337.44,332.64,337.44,0
11/19/2009,350.72,350.72,348,348.48,100
11/20/2009,356.96,357.6,355.84,355.84,100
11/23/2009,340.96,341.6,335.04,341.44,1900
11/24/2009,340.8,343.36,339.36,341.92,2100
11/25/2009,336.48,336.8,332,332.32,2400
11/27/2009,352.64,352.64,352.64,352.64,0
11/30/2009,359.68,363.84,339.52,357.6,1000
12/1/2009,339.36,340.64,337.12,339.68,700
12/2/2009,338.88,339.2,338.08,338.4,700
12/3/2009,338.56,338.56,337.6,338.24,700
12/4/2009,336.32,340.96,336.32,340.96,0
12/7/2009,343.04,346.08,343.04,346.08,0
12/8/2009,356.64,365.44,356.64,363.04,1200
12/9/2009,364.8,373.12,362.72,366.24,500
12/10/2009,357.44,363.84,357.44,360.96,700
12/11/2009,360.32,361.92,360.32,361.92,200
12/14/2009,355.84,355.84,352.96,352.96,100
12/15/2009,362.24,362.24,357.92,361.44,200
12/16/2009,353.6,353.6,348.8,352.64,400
12/17/2009,364.64,372.16,364.64,372.16,0
12/18/2009,367.52,374.88,367.52,372.64,0
12/21/2009,367.2,367.2,362.4,364.64,0
12/22/2009,359.04,360,358.08,358.56,100
12/23/2009,358.56,358.56,358.56,358.56,0
12/24/2009,354.72,354.72,348.96,348.96,100
12/28/2009,346.88,347.68,346.08,347.52,200
12/29/2009,342.08,346.72,341.44,346.72,0
12/30/2009,352.48,352.48,351.68,351.68,600
12/31/2009,347.2,349.92,347.04,349.92,0
1/4/2010,336,336,332.48,332.48,0
1/5/2010,334.72,334.72,332.48,332.48,0
1/6/2010,336.64,336.64,334.56,334.88,0
1/7/2010,337.44,339.2,335.2,335.2,100
1/8/2010,333.12,333.12,333.12,333.12,0
1/11/2010,324.32,325.6,323.04,323.04,300
1/12/2010,332,335.36,330.24,333.6,900
1/13/2010,328.48,332.16,324,324,200
1/14/2010,327.68,327.68,323.04,323.2,300
1/15/2010,331.68,338.88,331.68,338.4,300
1/19/2010,363.2,363.2,327.04,327.04,2700
1/20/2010,338.24,348.8,338.24,343.2,3100
1/21/2010,356.64,365.76,344.64,363.04,300
1/22/2010,366.08,380,364.8,380,400
1/25/2010,365.6,369.76,360.64,367.2,1200
1/26/2010,372.16,375.68,366.56,372.8,800
1/27/2010,376.16,378.24,370.08,370.08,700
1/28/2010,369.12,390.4,369.12,382.88,800
1/29/2010,381.12,395.84,381.12,393.44,400
2/1/2010,383.36,383.36,369.12,376.8,1100
2/2/2010,374.56,374.56,365.28,365.28,700
2/3/2010,370.88,376.48,365.44,373.28,1000
2/4/2010,389.44,408.16,388.8,408.16,4600
