Data, Open, High, Low, Close, Volume
7/16/2012,40.82,40.82,40.62,40.62,1900
7/17/2012,40.7,40.96,40.64,40.64,3200
7/18/2012,40.67,40.72,40.65,40.65,1100
7/19/2012,40.8,40.8,40.66,40.66,2200
7/20/2012,41.03,41.07,40.96,41.02,2700
7/23/2012,41.31,41.31,41.09,41.15,5100
7/24/2012,41.24,41.46,41.22,41.34,24000
7/25/2012,41.1,41.17,41,41.06,3600
7/26/2012,40.63,40.63,40.49,40.59,3000
7/27/2012,40.43,40.43,40.31,40.43,7400
7/30/2012,40.71,40.77,40.71,40.71,3300
7/31/2012,40.55,40.55,40.45,40.51,1500
8/1/2012,40.51,40.51,40.51,40.51,0
8/2/2012,41.07,41.07,41.05,41.05,1100
8/3/2012,40.47,40.47,40.24,40.24,2100
8/6/2012,40.15,40.15,40.15,40.15,100
8/7/2012,40.1,40.18,40.1,40.18,1900
8/8/2012,40.37,40.42,40.37,40.42,3400
8/9/2012,40.58,40.58,40.58,40.58,300
8/10/2012,40.58,40.58,40.55,40.55,2900
8/13/2012,40.37,40.37,40.37,40.37,400
8/14/2012,40.38,40.38,40.37,40.37,800
8/15/2012,40.66,40.66,40.53,40.6,7400
8/16/2012,40.53,40.53,40.38,40.39,6600
8/17/2012,40.48,40.48,40.39,40.39,300
8/20/2012,40.4,40.4,40.4,40.4,1000
8/21/2012,40.1,40.1,40.05,40.05,600
8/22/2012,40.11,40.11,39.44,39.73,13100
8/23/2012,39.74,39.74,39.56,39.73,2000
8/24/2012,39.87,39.87,39.87,39.87,1000
8/27/2012,39.85,39.85,39.85,39.85,200
8/28/2012,39.6,39.62,39.6,39.62,2400
8/29/2012,39.74,39.74,39.73,39.73,300
8/30/2012,39.77,39.77,39.77,39.77,200
8/31/2012,39.57,39.69,39.46,39.67,2600
9/4/2012,39.55,39.6,39.55,39.6,1300
9/5/2012,39.61,39.61,39.45,39.5,1200
9/6/2012,39.44,39.44,39.37,39.37,900
9/7/2012,39.05,39.05,38.84,38.84,2900
9/10/2012,39.02,39.07,38.89,39.07,1300
9/11/2012,38.68,38.77,38.66,38.77,900
9/12/2012,38.62,38.72,37.68,38.56,24800
9/13/2012,38.53,38.53,38.29,38.29,800
9/14/2012,37.83,38,37.83,38,6700
9/17/2012,38,38,37.87,37.94,6200
9/18/2012,38,38.1,38,38.1,500
9/19/2012,38.1,38.1,38.1,38.1,0
9/20/2012,38.44,38.44,38.33,38.33,1600
9/21/2012,38.3,38.3,38.3,38.3,2500
9/24/2012,38.55,38.55,38.52,38.52,500
9/25/2012,38.49,38.49,38.4,38.45,1600
9/26/2012,38.76,38.76,38.73,38.73,3900
9/27/2012,38.6,38.62,38.5,38.5,900
9/28/2012,38.63,38.72,38.63,38.64,2800
10/1/2012,38.47,38.47,38.47,38.47,200
10/2/2012,38.47,38.47,38.47,38.47,0
10/3/2012,38.59,38.59,38.59,38.59,100
10/4/2012,38.23,38.23,38.23,38.23,300
10/5/2012,38.23,38.23,38.23,38.23,0
10/8/2012,38.23,38.23,38.23,38.23,0
10/9/2012,38.23,38.23,38.23,38.23,0
10/10/2012,38.56,38.56,38.56,38.56,100
10/11/2012,38.5,38.5,38.5,38.5,400
10/12/2012,38.5,38.5,38.5,38.5,0
10/15/2012,38.46,38.47,38.46,38.46,1800
10/16/2012,38.49,38.49,38.11,38.14,2200
10/17/2012,37.98,37.98,37.93,37.93,500
10/18/2012,38.01,38.02,38.01,38.02,1600
10/19/2012,38.18,38.19,38.15,38.15,2500
10/22/2012,38.15,38.15,38.15,38.15,0
10/23/2012,38.35,38.35,38.33,38.33,400
10/24/2012,38.35,38.35,38.32,38.35,3300
10/25/2012,38.3,38.38,38.3,38.38,200
10/26/2012,38.3,38.62,38.3,38.43,1200
10/31/2012,38.43,38.43,38.43,38.43,0
11/1/2012,38.24,38.24,38.08,38.08,2500
11/2/2012,38.67,38.67,38.67,38.67,1100
11/5/2012,38.89,38.89,38.86,38.86,1100
11/6/2012,38.81,38.85,38.81,38.84,4400
11/7/2012,38.93,38.97,38.93,38.97,400
11/8/2012,38.97,38.97,38.97,38.97,200
11/9/2012,39.05,39.05,39.05,39.05,100
11/12/2012,39.05,39.05,39.05,39.05,500
11/13/2012,39.06,39.06,39.06,39.06,700
11/14/2012,38.97,38.97,38.97,38.97,100
11/15/2012,38.97,38.97,38.97,38.97,0
11/16/2012,39.13,39.13,39.13,39.13,500
11/19/2012,38.88,38.88,38.77,38.82,3300
11/20/2012,38.94,38.94,38.72,38.75,2400
11/21/2012,38.8,38.82,38.79,38.82,1900
11/23/2012,38.82,38.82,38.82,38.82,0
11/26/2012,38.39,38.4,38.36,38.36,1200
11/27/2012,38.36,38.36,38.36,38.36,0
11/28/2012,38.32,38.49,38.32,38.49,1100
11/29/2012,38.24,38.34,38.24,38.33,1000
11/30/2012,38.26,38.27,38.26,38.26,900
12/3/2012,38.03,38.07,38.01,38.07,2700
12/4/2012,38.85,38.85,37.97,38,900
12/5/2012,38,38,38,38,0
12/6/2012,38,38,38,38,0
12/7/2012,38.47,38.47,38.47,38.47,1000
12/10/2012,38.36,38.36,38.36,38.36,200
12/11/2012,38.36,38.36,38.36,38.36,0
12/12/2012,37.91,37.91,37.9,37.9,1000
12/13/2012,37.96,37.99,37.96,37.99,300
12/14/2012,37.99,37.99,37.99,37.99,0
12/17/2012,37.99,37.99,37.99,37.99,0
12/18/2012,37.99,37.99,37.99,37.99,0
12/19/2012,37.48,37.48,37.48,37.48,200
12/20/2012,37.48,37.55,37.48,37.54,700
12/21/2012,37.7,37.7,37.7,37.7,2000
12/24/2012,37.66,37.66,37.66,37.66,100
12/26/2012,37.66,37.66,37.66,37.66,0
12/27/2012,36.73,37.59,36.01,37.55,2200
12/28/2012,37.51,37.51,37.5,37.5,400
12/31/2012,37.64,37.64,37.64,37.64,300
1/2/2013,37.64,37.64,37.64,37.64,0
1/3/2013,37.64,37.64,37.64,37.64,0
1/4/2013,38,38.04,37.92,38.04,700
