Data, Open, High, Low, Close, Volume
11/1/2007,63.99,64.47,63.46,64.47,1200
11/2/2007,63.71,64.88,63.71,64.06,6400
11/5/2007,65.66,66.23,65.26,65.45,8300
11/6/2007,64.21,64.86,63.32,63.48,13000
11/7/2007,64.24,65.97,64.12,65.92,25000
11/8/2007,65.11,67.51,64.79,65.13,30200
11/9/2007,66.1,67.09,65.83,66.45,25300
11/12/2007,67.9,70.49,67.64,70.4,21100
11/13/2007,67.84,67.84,65.4,65.79,71600
11/14/2007,64.3,65.43,64.06,65.43,15600
11/15/2007,66.31,67.53,65.84,67.22,7800
11/16/2007,66.33,67.57,66.19,66.64,8100
11/19/2007,67.78,69.52,67.78,69.07,17700
11/20/2007,68.21,69.02,67,67.82,28500
11/21/2007,70,71.34,69.85,70.52,73900
11/23/2007,68.98,69.22,68.84,69.04,17300
11/26/2007,68.65,71.35,68.15,71.35,10400
11/27/2007,70.41,70.41,68.86,68.98,27900
11/28/2007,67.9,67.9,65.24,65.24,16900
11/29/2007,66.08,66.73,65.54,65.9,15600
11/30/2007,64.1,65.5,64.1,65.5,46200
12/3/2007,65.74,66,65.49,65.91,1700
12/4/2007,66.28,66.28,65.66,65.76,8500
12/5/2007,64.25,64.36,63.35,63.49,79300
12/6/2007,63.87,63.87,62.33,62.33,31500
12/7/2007,62.77,63.3,62.77,63.1,4100
12/10/2007,63.24,63.24,62.88,63.04,5500
12/11/2007,63.08,65.9,62.77,65.55,49200
12/12/2007,63.1,65.07,62.93,63.99,10500
12/13/2007,65.56,66.31,65.24,65.34,4900
12/14/2007,66.91,67.05,66.13,66.96,61800
12/17/2007,68.24,69.94,68.24,69.94,104800
12/18/2007,67.84,69.63,67.63,68.16,13400
12/19/2007,68,68,67.34,67.47,2100
12/20/2007,67.36,67.95,67.36,67.44,15300
12/21/2007,66.22,66.22,65.49,65.5,26500
12/24/2007,65.65,65.65,64.29,64.64,15900
12/26/2007,64.55,64.55,63.88,63.88,11400
12/27/2007,64.49,65.4,64.49,65.4,3200
12/28/2007,64.88,65.3,64.62,65.01,3300
12/31/2007,64.89,65.91,64.89,65.72,3400
1/2/2008,65.3,67.13,65.24,66.97,5800
1/3/2008,66.4,66.62,66.12,66.53,13100
1/4/2008,67.17,68.93,67,68.35,49700
1/7/2008,67.92,68.93,67.53,67.81,165100
1/8/2008,66.73,68.57,66.55,68.57,122900
1/9/2008,67.57,68.25,66.28,66.39,61900
1/10/2008,67.35,67.35,65.25,65.58,25400
1/11/2008,66.94,67.71,66.26,67.63,38500
1/14/2008,66.49,66.92,66.12,66.12,8200
1/15/2008,67.72,69.51,67.72,69.29,78700
1/16/2008,70.55,73.19,70.08,71.98,79600
1/17/2008,70.95,75.51,70.66,74.35,146000
1/18/2008,72.17,74.43,71.6,72.63,61000
1/22/2008,78.39,78.39,72.86,74.96,175200
1/23/2008,78.53,80.01,73.22,74.31,126500
1/24/2008,73.77,74.33,71.93,72.42,40800
1/25/2008,70.8,73.9,70.64,71.84,21800
1/28/2008,74.33,74.97,72.45,72.51,72400
1/29/2008,72.34,72.9,72.14,72.27,21100
1/30/2008,73.65,73.77,70.63,73.39,22900
1/31/2008,74.59,74.96,71.5,72.03,35700
2/1/2008,71.22,71.45,69.78,69.78,257800
2/4/2008,69.8,70.33,69.68,70.07,16900
2/5/2008,72.19,74.09,71.99,73.75,43800
2/6/2008,73.42,75.04,72.42,75.04,38100
2/7/2008,75.05,75.93,73.1,74.24,17500
2/8/2008,74.5,74.9,73.65,73.94,16300
2/11/2008,72.23,74.96,72.23,73.09,21700
2/12/2008,73.09,73.09,70.59,71.99,91400
2/13/2008,70.79,71.84,70.11,70.19,14900
2/14/2008,68.9,71.17,68.89,71.17,22300
2/15/2008,71.18,71.66,70.65,70.73,43300
