Data, Open, High, Low, Close, Volume
11/25/2008,24.75,24.75,24.75,24.75,100
11/26/2008,25,25.24,25,25.03,3500
11/28/2008,25.79,25.79,25.79,25.79,100
12/1/2008,26.27,26.27,26,26.03,14700
12/2/2008,25.92,25.92,25.63,25.63,3600
12/3/2008,26.26,26.27,25.88,25.88,9700
12/4/2008,26.12,26.12,25.28,25.42,7700
12/5/2008,26.01,26.03,25.6,25.71,12200
12/8/2008,25.25,25.25,24.74,24.93,32400
12/9/2008,25.42,31.2,24.67,25.03,70700
12/10/2008,25.02,25.02,24.5,24.63,44000
12/11/2008,23.95,23.95,23.11,23.37,61300
12/12/2008,23.43,23.43,23.05,23.16,13400
12/15/2008,22.68,22.68,22.06,22.14,28000
12/16/2008,21.99,21.99,20.63,20.75,139500
12/17/2008,20.74,20.74,19.81,20.05,68200
12/18/2008,19.74,20.55,19.66,20.44,80800
12/19/2008,21.37,21.67,21.1,21.42,97500
12/22/2008,21.32,21.39,21.03,21.25,58700
12/23/2008,21.17,21.27,21.07,21.24,12600
12/24/2008,21.1,21.18,21,21.18,3500
12/26/2008,20.73,20.92,20.49,20.81,13300
12/29/2008,20.31,21,19.93,20.96,66200
12/30/2008,20.62,20.63,20.39,20.63,18000
12/31/2008,21.19,21.46,20.78,21.26,25500
1/2/2009,21.29,21.5,21,21.47,40400
1/5/2009,22.17,22.3,21.97,22.28,85900
1/6/2009,22.74,22.79,22.18,22.23,121700
1/7/2009,21.62,22.08,21.62,21.89,50100
1/8/2009,21.41,21.8,21.37,21.64,45800
1/9/2009,22.23,22.63,22.23,22.62,26100
1/12/2009,22.78,23.05,22.63,22.82,24000
1/13/2009,23.5,23.58,23.24,23.53,60300
1/14/2009,23.81,23.81,23.45,23.61,16900
1/15/2009,23.41,24.03,23.36,23.61,132900
1/16/2009,22.99,23.32,22.81,22.98,36400
1/20/2009,24.56,24.56,24.11,24.45,124600
1/21/2009,24.37,24.69,23.79,23.86,270000
1/22/2009,24.12,24.26,23.89,23.95,19900
1/23/2009,24.51,24.73,23.87,24.08,37000
1/26/2009,23.3,23.58,23.17,23.3,30000
1/27/2009,23.3,23.56,23.21,23.32,126100
1/28/2009,22.84,23.6,22.84,23.34,45900
1/29/2009,23.38,24.19,23.35,24.19,54500
1/30/2009,24.46,25.04,24.24,25.02,76600
2/2/2009,24.92,24.96,24.44,24.87,63000
2/3/2009,24.47,24.53,23.74,23.82,41500
2/4/2009,24.23,24.53,24.21,24.39,45100
2/5/2009,24.71,24.79,24.39,24.73,21000
2/6/2009,24.49,24.52,23.88,24.1,57600
2/9/2009,23.74,23.89,23.5,23.89,110000
2/10/2009,24.02,24.47,23.7,24.39,37000
2/11/2009,24.16,24.42,24,24.28,82300
2/12/2009,24.77,24.91,24.38,24.46,74800
2/13/2009,24.51,24.51,24.18,24.34,15100
2/17/2009,25.4,25.63,25.13,25.46,215100
2/18/2009,25.37,25.8,25.37,25.66,215900
2/19/2009,24.81,25.15,24.74,25.15,97200
2/20/2009,25.56,25.56,24.2,24.43,111800
2/23/2009,24.65,24.91,24.5,24.88,311100
2/24/2009,24.84,24.88,24.19,24.4,64100
2/25/2009,24.6,24.92,24.47,24.88,46700
2/26/2009,24.66,24.86,24.61,24.76,133400
2/27/2009,25.03,25.18,24.68,24.91,116500
3/2/2009,25.27,25.44,25.15,25.39,237800
3/3/2009,25.19,25.62,25.02,25.39,89700
3/4/2009,25.42,25.45,24.97,25.03,105200
3/5/2009,25.69,25.69,25.35,25.48,113900
3/6/2009,24.77,25.22,24.6,25.12,142700
3/9/2009,25.4,25.4,25,25.26,125800
3/10/2009,24.54,25.15,24.38,24.89,81800
3/11/2009,24.55,24.64,24.09,24.16,125700
3/12/2009,24.47,24.64,23.9,23.97,283700
3/13/2009,24.05,24.16,23.83,24.02,367600
3/16/2009,23.57,23.84,23.48,23.81,95900
3/17/2009,23.93,24.01,23.64,23.7,65200
3/18/2009,23.15,23.35,20.69,21.75,587500
3/19/2009,21.18,21.38,21.02,21.28,225100
3/20/2009,21.46,21.78,21.34,21.7,117000
3/23/2009,21.65,21.91,21.34,21.4,198800
3/24/2009,21.87,22.11,21.65,22.06,504000
3/25/2009,21.98,22.07,21.38,21.59,126600
3/26/2009,21.61,21.88,21.49,21.76,142700
3/27/2009,22.37,22.57,22.37,22.45,140400
3/30/2009,22.99,23.1,22.75,22.87,102300
3/31/2009,22.49,22.65,22.43,22.54,163100
4/1/2009,22.54,22.76,22.5,22.6,53700
4/2/2009,23.34,23.34,21.14,21.91,126200
4/3/2009,21.98,22.07,21.6,21.6,127500
4/6/2009,21.77,22.14,21.76,21.93,68200
4/7/2009,22.47,22.55,22.38,22.43,181400
4/8/2009,22.53,22.65,22.37,22.54,45200
4/9/2009,22.54,22.91,22.43,22.8,46400
4/13/2009,22.44,22.5,22.09,22.11,282000
4/14/2009,22.48,22.53,22.37,22.43,26200
4/15/2009,22.81,22.87,22.59,22.59,35000
4/16/2009,22.6,22.97,22.6,22.84,86200
4/17/2009,23.14,23.36,23.14,23.27,70700
4/20/2009,23.45,23.79,23.45,23.6,67700
4/21/2009,23.63,23.67,23.34,23.61,92400
4/22/2009,23.46,23.46,23.17,23.41,114300
4/23/2009,23.34,23.34,22.75,22.81,484000
4/24/2009,22.4,22.51,22.26,22.44,152300
4/27/2009,22.93,23.32,22.82,23.19,72700
4/28/2009,23.17,23.17,22.76,22.83,76600
4/29/2009,22.52,22.52,22.1,22.39,81700
4/30/2009,22.5,22.64,22.36,22.46,261900
5/1/2009,22.43,22.43,22.33,22.34,35000
5/4/2009,22.37,22.37,21.85,21.93,46500
5/5/2009,21.85,22.24,21.85,22.14,34700
5/6/2009,22.09,22.35,22.09,22.12,18900
5/7/2009,21.83,22.06,21.67,21.93,40400
5/8/2009,21.59,21.73,21.14,21.15,399300
5/11/2009,21.32,21.36,21.15,21.29,195900
5/12/2009,21.01,21.26,21,21.11,100300
5/13/2009,21.23,21.35,21.1,21.33,43000
5/14/2009,21.32,21.32,21.08,21.15,33400
5/15/2009,21.36,21.69,21.22,21.6,146000
5/18/2009,21.55,21.64,21.4,21.42,124300
5/19/2009,21.31,21.33,21.06,21.17,52900
5/20/2009,20.98,21.11,20.54,20.72,282400
5/21/2009,20.74,20.81,20.25,20.32,90900
5/22/2009,20.07,20.11,19.88,20.02,92600
5/26/2009,20.31,20.37,20.02,20.11,89200
5/27/2009,20.35,20.36,20.11,20.34,61800
5/28/2009,20.22,20.26,20.08,20.22,67700
5/29/2009,19.79,19.81,19.55,19.62,406900
6/1/2009,19.42,19.62,19.35,19.6,123500
6/2/2009,19.42,19.42,19.06,19.13,185900
6/3/2009,19.46,19.67,19.42,19.58,105200
6/4/2009,19.65,19.68,19.36,19.46,257100
6/5/2009,19.8,20.18,19.8,20.08,123600
6/8/2009,20.22,20.49,20.2,20.27,220800
6/9/2009,19.96,20.06,19.7,19.75,319400
6/10/2009,19.76,20.16,19.75,19.99,165800
6/11/2009,19.85,19.89,19.45,19.65,64200
6/12/2009,20.01,20.1,19.82,19.97,42400
6/15/2009,20.32,20.65,20.31,20.5,192600
6/16/2009,20.34,20.43,20.16,20.42,121000
6/17/2009,20.26,20.42,19.99,20.07,101600
6/18/2009,20.01,20.26,19.94,20.25,58400
6/19/2009,20.15,20.18,19.9,20.08,67600
6/22/2009,20.32,20.4,20.2,20.31,81600
6/23/2009,19.94,19.95,19.58,19.62,155300
6/24/2009,19.76,20.19,19.76,20.06,46100
6/25/2009,20.11,20.2,19.85,19.96,72000
6/26/2009,19.69,19.78,19.56,19.69,70400
6/29/2009,19.75,19.78,19.6,19.69,64900
6/30/2009,19.67,19.89,19.67,19.83,108500
7/1/2009,19.48,19.56,19.38,19.5,193400
7/2/2009,19.74,19.88,19.74,19.88,219900
7/6/2009,20.12,20.14,19.92,19.92,124500
7/7/2009,19.87,20.13,19.83,20.06,92200
7/8/2009,20.14,20.35,20.08,20.2,74100
7/9/2009,19.97,20.02,19.66,19.79,169000
7/10/2009,20.1,20.14,19.93,19.99,67100
7/13/2009,19.97,20.06,19.86,19.86,100800
7/14/2009,19.88,20.08,19.85,20.03,40200
7/15/2009,19.57,19.62,19.46,19.53,118800
7/16/2009,19.49,19.54,19.4,19.45,129400
7/17/2009,19.5,19.55,19.43,19.53,34700
7/20/2009,19.19,19.27,19.15,19.21,42500
7/21/2009,19.1,19.37,19.09,19.28,74100
7/22/2009,19.36,19.38,19.13,19.22,24300
7/23/2009,19.32,19.32,19.03,19.27,115700
7/24/2009,19.24,19.27,19.16,19.23,26900
7/27/2009,19.09,19.23,19.09,19.18,30500
7/28/2009,19.31,19.45,19.24,19.33,39900
7/29/2009,19.56,19.78,19.51,19.69,68500
7/30/2009,19.61,19.77,19.56,19.64,51900
7/31/2009,19.43,19.46,19.03,19.09,86100
8/3/2009,18.92,18.94,18.59,18.69,166800
8/4/2009,18.73,18.77,18.66,18.71,51200
8/5/2009,18.72,18.82,18.61,18.65,165700
8/6/2009,18.77,18.91,18.76,18.86,82500
8/7/2009,18.99,19.36,18.99,19.35,114700
8/10/2009,19.32,19.49,19.31,19.43,328100
8/11/2009,19.56,19.56,19.33,19.39,240100
8/12/2009,19.35,19.43,19.12,19.21,81500
8/13/2009,19.02,19.08,18.94,19,113600
8/14/2009,19.08,19.35,19.06,19.26,79200
8/17/2009,19.6,19.65,19.54,19.58,110800
8/18/2009,19.56,19.57,19.39,19.48,82100
8/19/2009,19.49,19.51,19.05,19.15,124400
8/20/2009,19.18,19.22,19.03,19.06,45600
8/21/2009,18.91,19,18.75,18.85,141600
8/24/2009,18.89,19,18.84,18.96,78300
8/25/2009,18.84,18.94,18.8,18.92,80400
8/26/2009,19.06,19.19,19.06,19.09,71200
8/27/2009,19.06,19.14,18.65,18.78,168900
8/28/2009,18.73,18.96,18.7,18.94,51800
8/31/2009,19.03,19.03,18.75,18.83,83400
9/1/2009,18.95,19.26,18.83,19.16,100200
9/2/2009,19.29,19.29,18.96,19.01,211600
9/3/2009,18.96,19.09,18.95,19.04,117000
9/4/2009,19.18,19.18,18.86,18.92,52900
9/8/2009,18.45,18.5,17.9,18.41,432700
9/9/2009,18.2,18.31,18.15,18.26,147300
9/10/2009,18.3,18.33,18.1,18.19,85200
9/11/2009,18.1,18.25,18.1,18.15,64700
9/14/2009,18.18,18.18,18.02,18.09,68600
9/15/2009,18.13,18.19,17.92,17.92,48300
9/16/2009,17.86,17.99,17.82,17.84,203700
9/17/2009,17.9,17.9,17.74,17.84,102100
9/18/2009,17.81,17.92,17.8,17.86,32900
9/21/2009,18,18.08,17.9,17.96,92900
9/22/2009,17.6,17.73,17.6,17.67,95900
9/23/2009,17.71,17.8,17.55,17.77,94900
9/24/2009,17.71,18.08,17.71,18,232000
9/25/2009,17.99,18,17.86,17.96,156000
9/28/2009,18.03,18.15,17.94,18.1,78100
9/29/2009,18.21,18.28,18.16,18.18,112400
9/30/2009,18.11,18.21,17.96,18.06,113200
10/1/2009,18.19,18.3,18.19,18.29,122300
10/2/2009,18.26,18.26,18,18.23,72500
10/5/2009,18.1,18.15,17.96,17.99,57100
10/6/2009,17.85,17.87,17.7,17.87,126300
10/7/2009,17.93,17.98,17.86,17.92,64300
10/8/2009,17.81,17.85,17.59,17.72,112900
10/9/2009,17.8,17.94,17.74,17.86,51000
10/12/2009,17.72,17.73,17.62,17.7,38300
10/13/2009,17.56,17.67,17.51,17.57,74800
10/14/2009,17.41,17.44,17.29,17.33,104500
10/15/2009,17.39,18.15,17.25,17.36,95800
10/16/2009,17.46,17.46,17.37,17.42,118800
10/19/2009,17.38,17.39,17.23,17.3,50100
10/20/2009,17.21,17.43,17.21,17.37,43300
10/21/2009,17.29,17.29,17.05,17.15,135300
10/22/2009,17.2,17.24,17.08,17.08,43700
10/23/2009,17.1,17.21,17.06,17.2,46900
10/26/2009,17.11,17.52,17.1,17.48,84700
10/27/2009,17.51,17.72,17.47,17.68,244300
10/28/2009,17.68,17.86,17.6,17.82,180800
10/29/2009,17.64,17.68,17.47,17.56,63100
10/30/2009,17.62,17.89,17.58,17.84,360100
11/2/2009,17.72,17.81,17.53,17.74,73000
11/3/2009,18.04,18.05,17.78,17.88,135700
11/4/2009,17.64,18.3,17.15,17.53,213600
11/5/2009,17.39,17.51,17.39,17.41,122700
11/6/2009,17.42,17.56,17.35,17.56,78700
11/9/2009,17.15,17.2,17.09,17.14,151300
11/10/2009,17.17,17.26,17.11,17.18,39000
11/11/2009,17.06,17.22,17.04,17.16,79900
11/12/2009,17.31,17.54,17.26,17.51,97600
11/13/2009,17.43,17.51,17.27,17.33,30300
11/16/2009,17.19,17.34,17.1,17.18,62000
11/17/2009,17.39,17.54,17.37,17.42,81300
11/18/2009,17.23,17.24,17.13,17.17,33600
11/19/2009,17.34,17.45,17.28,17.31,23200
11/20/2009,17.48,17.51,17.4,17.44,35200
11/23/2009,17.11,17.2,17.09,17.19,109100
11/24/2009,17.14,17.2,17.12,17.19,26400
11/25/2009,16.95,16.97,16.2,16.73,282000
11/27/2009,17.67,17.67,17.07,17.14,43000
11/30/2009,17.09,17.11,16.91,17,33200
12/1/2009,16.85,16.87,16.78,16.84,28900
12/2/2009,16.85,16.99,16.83,16.95,35400
12/3/2009,16.94,16.94,16.84,16.87,11800
12/4/2009,17.14,17.47,17.13,17.43,131800
12/7/2009,17.58,17.58,16.29,17.43,199300
12/8/2009,17.57,17.82,17.55,17.78,261900
12/9/2009,17.68,17.84,17.61,17.7,158700
12/10/2009,17.6,17.79,17.6,17.68,72900
12/11/2009,17.83,18.05,17.83,17.97,406800
12/14/2009,17.9,17.95,17.85,17.9,147300
12/15/2009,18.15,18.23,18.06,18.18,244900
12/16/2009,18.17,19.08,18.01,18.17,242600
12/17/2009,18.53,18.74,18.5,18.65,255600
12/18/2009,18.67,18.87,18.56,18.66,259700
12/21/2009,18.72,20.18,18.63,18.82,1592400
12/22/2009,19.18,19.18,18.73,18.86,616300
12/23/2009,18.77,18.82,18.56,18.74,652300
12/24/2009,18.6,18.65,18.54,18.64,181900
12/28/2009,18.92,19.04,18.52,18.54,319900
12/29/2009,18.55,18.65,18.38,18.63,222100
12/30/2009,18.75,18.86,18.63,18.69,345200
12/31/2009,18.83,18.83,18.55,18.7,193300
1/4/2010,18.49,19.25,18.32,18.47,474400
1/5/2010,18.55,18.72,18.4,18.61,492600
1/6/2010,18.6,18.66,18.41,18.49,429800
1/7/2010,18.62,18.76,18.62,18.7,551700
1/8/2010,18.55,18.75,18.38,18.49,510500
1/11/2010,18.26,18.26,18.08,18.18,554500
1/12/2010,18.25,18.28,18.1,18.21,290700
1/13/2010,18.09,18.25,18.08,18.16,236400
1/14/2010,18.27,18.36,18.19,18.23,214000
1/15/2010,18.49,18.61,18.45,18.5,308400
1/19/2010,18.79,18.84,18.7,18.73,732800
1/20/2010,19.19,19.3,19.15,19.26,825900
1/21/2010,19.29,19.43,19.13,19.28,743600
1/22/2010,19.19,19.24,18.97,19.16,487400
1/25/2010,19.15,19.16,19.05,19.09,893500
1/26/2010,19.29,19.38,19.21,19.28,718200
1/27/2010,19.41,19.49,19.31,19.46,539300
1/28/2010,19.5,19.65,19.5,19.57,621700
1/29/2010,19.7,19.89,19.68,19.89,618600
2/1/2010,19.77,19.9,19.68,19.69,765100
2/2/2010,19.65,19.8,19.56,19.63,448500
2/3/2010,19.63,19.8,19.6,19.77,439500
