Data, Open, High, Low, Close, Volume
11/8/2007,249.47,255.32,249.47,252.33,9100
11/9/2007,263.25,264.98,260.8,260.8,4600
11/12/2007,262.06,262.4,257.2,261.89,2100
11/13/2007,258.15,258.15,251.72,251.72,7600
11/14/2007,247.6,251.69,247.6,251.69,700
11/15/2007,254.07,255.77,252.3,255.77,1200
11/16/2007,255.94,259.68,255.94,258.49,500
11/19/2007,262.91,268.62,262.91,266.21,6000
11/20/2007,253.22,258.52,251.07,251.99,5000
11/21/2007,265.29,267.06,261.28,262.06,1500
11/23/2007,253.39,253.86,251.31,251.31,3600
11/26/2007,248.22,252.88,246.62,252.57,3000
11/27/2007,247.88,247.88,242.6,242.88,1200
11/28/2007,244.78,245.22,237.67,237.67,2800
11/29/2007,236.75,236.75,233.8,236.21,1900
11/30/2007,230.7,236.48,230.7,236.48,1300
12/3/2007,235.7,237.47,235.7,237.47,200
12/4/2007,240.9,242.23,240.73,240.73,900
12/5/2007,231.48,232.47,231.18,231.82,900
12/6/2007,231.62,232.61,226.35,226.45,2900
12/7/2007,229.75,230.77,229.75,229.78,1600
12/10/2007,229.78,229.78,228.73,229.07,800
12/11/2007,228.66,240.7,228.66,240.36,4400
12/12/2007,229.54,238.52,229.48,236.86,4200
12/13/2007,246.92,250.05,246.21,247.03,10700
12/14/2007,253.83,259.41,253.15,258.05,6100
12/17/2007,266.99,273.25,265.36,272.47,4600
12/18/2007,266.62,272.02,263.52,265.26,6700
12/19/2007,266.96,269.75,265.29,269.75,2300
12/20/2007,266.67,269.54,264.55,266.67,1600
12/21/2007,262.98,263.93,257.78,257.78,8400
12/24/2007,265.03,265.03,249.57,260.21,1600
12/26/2007,255.49,256.41,255.11,256.41,300
12/27/2007,259.73,262.77,258.16,262.77,1400
12/28/2007,259.66,260.79,259.59,260.79,3100
12/31/2007,260.24,262.98,260.24,260.69,5100
1/2/2008,256.93,262.09,256.93,261.71,3000
1/3/2008,259.35,261.13,258.6,259.46,2700
1/4/2008,265.13,275.22,265.13,274.02,8000
1/7/2008,273.81,277.27,273.78,275.05,5400
1/8/2008,269.4,277.23,268.21,277.06,4300
1/9/2008,269.23,272.96,264.79,264.79,5100
1/10/2008,273.71,275.28,267.39,269.75,5500
1/11/2008,277.27,280.96,276.89,279.52,7000
1/14/2008,273.51,275.76,272.24,272.24,2800
1/15/2008,283.93,292.99,283.22,290.16,8300
1/16/2008,297.34,303.73,294.02,299.52,10800
1/17/2008,294.19,308.07,291.8,307.08,6300
1/18/2008,292.24,301.61,288.93,290.63,10100
1/22/2008,327.7,327.7,306.02,311.69,10000
1/23/2008,328.96,335.18,307.76,307.76,26500
1/24/2008,304.28,306.43,298.46,300.34,5300
1/25/2008,281.95,295.56,279.46,290.98,13500
1/28/2008,298.05,302.5,290.77,294.05,9100
1/29/2008,286.09,288.52,284.45,285.16,5600
1/30/2008,291.11,293.27,278.67,286.05,9300
1/31/2008,288.72,289.2,275.39,276.93,11600
2/1/2008,274.98,277.1,273.4,273.95,2100
2/4/2008,273.88,277.1,273.51,277.1,2000
2/5/2008,285.4,295.39,285.37,294.57,13900
2/6/2008,295.97,302.19,295.93,301.54,7500
2/7/2008,302.63,303.93,296.04,301.1,1700
2/8/2008,306.7,316.07,305.64,313.58,5400
2/11/2008,320,320,305.34,307.46,18000
2/12/2008,298.57,302.22,296.17,299.18,9600
2/13/2008,302.05,306.84,301.3,301.81,4500
2/14/2008,293.75,297.99,288.34,297.99,10200
2/15/2008,292.79,297.37,291.69,292.24,3300
2/19/2008,291.28,291.28,277.81,285.27,19600
2/20/2008,294.26,301.92,293.44,296.11,9200
2/21/2008,287.73,293.47,285.13,292.24,6100
2/22/2008,295.15,297.85,286.7,288.55,15100
2/25/2008,280.52,283.8,275.42,276.69,10000
2/26/2008,276.93,278.05,268.38,269.47,6700
2/27/2008,269.1,274.91,268.1,272.65,2400
2/28/2008,275.59,278.29,274.53,278.29,3400
2/29/2008,286.36,286.36,281.57,285.95,6000
3/3/2008,287.46,290.6,285.81,287.01,6000
3/4/2008,296.79,304.69,295.08,297.78,12700
3/5/2008,294.05,297.81,289.54,296.75,12900
3/6/2008,293.13,301.4,292.55,301.3,23200
3/7/2008,305.58,309.85,303.05,308.55,16000
3/10/2008,311.08,312.82,304.52,312.82,9200
3/11/2008,302.77,304.28,294.05,294.05,11300
3/12/2008,290.7,294.98,289.13,294.98,6300
3/13/2008,303.52,309.06,290.6,292.31,43500
3/14/2008,286.5,313.3,286.5,310.7,35100
3/17/2008,317.95,322.19,307.39,314.16,45600
3/18/2008,305.06,305.06,296.65,296.72,14900
3/19/2008,297.88,313.51,297.71,313.16,7900
3/20/2008,318.94,318.94,299.39,300.24,6500
3/24/2008,291.56,291.56,283.83,284.38,4800
3/25/2008,284.9,284.9,276.32,279.23,14600
3/26/2008,277.69,284.28,277.24,282.05,8600
3/27/2008,278.58,283.42,278.48,283.42,4100
3/28/2008,283.42,283.42,276.32,282.12,2700
3/31/2008,286.27,286.72,283.35,284.97,1700
4/1/2008,286,286,270.51,270.89,6700
4/2/2008,265.16,272.88,265.16,271.48,6900
4/3/2008,269.62,270.21,265.3,268.01,5700
4/4/2008,267.56,269.28,264.85,266.19,5300
4/7/2008,263.13,265.5,260.87,265.5,5400
4/8/2008,272.54,273.91,271.3,271.72,5400
4/9/2008,277.35,281.36,277.35,280.57,2800
4/10/2008,287.27,287.27,276.59,281.05,5100
4/11/2008,289.15,289.15,275.01,280.26,5000
4/14/2008,281.46,282.49,278.34,282.49,2800
4/15/2008,278.65,281.84,278.07,279.13,1000
4/16/2008,274.6,274.6,260.59,260.59,13900
4/17/2008,263.2,267.84,263.2,266.53,1400
4/18/2008,260.97,262.14,257.44,257.81,2600
4/21/2008,258.19,259.91,255.38,255.38,1600
4/22/2008,261.9,265.26,261.9,264.44,3900
4/23/2008,262.76,264.58,259.91,260.7,1500
4/24/2008,263.03,267.36,259.6,259.6,3800
4/25/2008,252.8,255.41,251.6,254.18,2400
4/28/2008,249.99,249.99,242.88,245.22,2700
4/29/2008,245.59,248.96,245.15,248.96,1200
4/30/2008,247.55,249.03,243.02,247.89,2300
5/1/2008,250.13,250.13,242.88,242.88,1100
5/2/2008,241.06,245.22,240.72,243.71,2700
5/5/2008,240.75,244.91,240.75,242.68,1300
5/6/2008,244.63,244.63,240.17,240.65,1200
