Data, Open, High, Low, Close, Volume
6/5/2009,57.87,57.87,56.64,56.99,39400
6/8/2009,56.89,58.04,56.29,58.04,47800
6/9/2009,57.89,57.89,57.75,57.75,10200
6/10/2009,59,59,57.81,58.29,9900
6/11/2009,60,61.29,60,61.26,23200
6/12/2009,60.31,60.4,59.93,59.98,10800
6/15/2009,58.85,58.97,57.14,57.98,8000
6/16/2009,58.39,58.39,57.02,57.24,1600
6/17/2009,57.47,58.69,57.47,58.35,8600
6/18/2009,57.61,58.35,57.61,58.07,1700
6/19/2009,58.65,59.18,58.65,59.07,3300
6/22/2009,57.62,57.68,56.06,56.07,3600
6/23/2009,57.06,57.79,57.04,57.28,7900
6/24/2009,58.29,59.22,57.74,58.01,6900
6/25/2009,57.59,60.13,57.22,60.13,21400
6/26/2009,60.76,61.05,60.24,60.87,8300
6/29/2009,59.86,60.42,59.64,59.73,6300
6/30/2009,59.6,59.71,58.19,59.07,5300
7/1/2009,59.95,61.05,59.95,60.54,3300
7/2/2009,57.65,58.09,57.18,57.81,5200
7/6/2009,58.44,58.79,58.06,58.76,52100
7/7/2009,58.29,58.29,57.41,57.45,700
7/8/2009,56.79,57.03,56.29,56.76,9300
7/9/2009,57.25,57.26,56.88,57.25,4600
7/10/2009,56.02,56.14,55.53,55.91,3900
7/13/2009,55.29,55.29,55.16,55.16,700
7/14/2009,56.4,56.73,56.14,56.25,5300
7/15/2009,56.74,57.71,56.71,57.71,4700
7/16/2009,56.6,57.24,56.6,56.87,6800
7/17/2009,56.72,56.72,56.47,56.6,1400
7/20/2009,57.94,58.43,57.94,58.06,2400
7/21/2009,60.06,60.21,59.29,59.56,6000
7/22/2009,59.59,60.81,59.59,60.67,4700
7/23/2009,59.88,61.68,59.88,61.3,7900
7/24/2009,62.07,62.07,61.95,61.95,200
7/27/2009,60.91,61.43,60.91,61.43,14700
7/28/2009,61.64,61.69,61.35,61.35,4200
7/29/2009,61.78,62.15,61.04,62.15,10900
7/30/2009,64.15,64.96,64.13,64.49,3600
7/31/2009,64.27,65.28,64.18,64.81,11300
8/3/2009,66.5,67.01,66.01,66.84,6200
8/4/2009,66.2,66.36,65.87,66.14,17700
8/5/2009,65.19,65.53,64.03,65.53,17500
8/6/2009,65.86,65.86,64.54,64.68,4000
8/7/2009,65.22,65.24,64.69,65.24,3100
8/10/2009,64.3,64.85,64.3,64.85,500
8/11/2009,64.58,65.34,64.58,64.96,600
8/12/2009,65.26,65.77,65.26,65.72,2400
8/13/2009,66.13,66.62,66.04,66.62,3300
8/14/2009,66.62,66.62,66.62,66.62,0
8/17/2009,63.65,63.92,63.17,63.32,18900
8/18/2009,64.2,64.96,64.2,64.96,1200
8/19/2009,64.13,65.62,64.13,65.62,11100
8/20/2009,65.61,67,65.56,67,5400
8/21/2009,67.24,68.28,67.24,67.91,15400
8/24/2009,67.7,67.96,67.64,67.96,2700
8/25/2009,68.68,69.28,68.68,69,4800
8/26/2009,68.49,68.85,68.3,68.85,800
8/27/2009,67.98,69.85,67.71,69.85,4200
8/28/2009,69.95,69.95,69,69.27,2400
8/31/2009,68.32,68.32,68.32,68.32,100
9/1/2009,68.05,68.64,66.57,66.57,8100
9/2/2009,67.02,67.55,66.75,67.42,8100
9/3/2009,66.15,66.71,66.15,66.65,4600
9/4/2009,66.57,66.57,66.57,66.57,400
9/8/2009,67.66,67.66,67.66,67.66,500
9/9/2009,68.2,68.39,68.19,68.39,700
9/10/2009,69.47,69.47,69.47,69.47,100
9/11/2009,70.5,70.5,70.5,70.5,200
9/14/2009,69.32,69.35,69.32,69.35,5200
9/15/2009,68,68.6,68,68.24,21200
9/16/2009,68.31,68.97,68.31,68.92,24600
9/17/2009,68.68,68.68,67.74,67.74,2100
9/18/2009,68.74,68.99,68.16,68.43,1400
9/21/2009,66.44,67.19,66.44,66.66,1800
9/22/2009,68.51,68.78,68.51,68.78,2100
9/23/2009,68.61,68.61,67.72,67.72,1200
9/24/2009,66.89,66.89,66.89,66.89,100
9/25/2009,66.89,66.89,66.89,66.89,0
9/28/2009,66.33,66.65,66.33,66.65,300
9/29/2009,65.18,65.18,64.31,64.63,400
9/30/2009,65.25,65.74,64.83,64.85,1500
10/1/2009,64.85,64.85,64.85,64.85,0
10/2/2009,64.85,64.85,64.85,64.85,0
10/5/2009,61.28,61.28,61.05,61.05,200
10/6/2009,63.09,63.09,62.32,62.57,4000
10/7/2009,62.95,63.57,62.95,63.57,2700
10/8/2009,65.55,66.17,65.37,65.37,2100
10/9/2009,65.37,65.37,65.37,65.37,0
10/12/2009,65.64,65.64,65.48,65.48,300
10/13/2009,65.48,65.48,65.48,65.48,0
10/14/2009,65.48,65.48,65.48,65.48,0
