Data, Open, High, Low, Close, Volume
7/16/2012,21.02,21.24,21.02,21.02,3800
7/17/2012,21.31,21.31,20.76,20.95,9800
7/18/2012,21.36,21.36,21.36,21.36,600
7/19/2012,20.48,20.48,20.48,20.48,6600
7/20/2012,20.11,20.14,19.83,19.83,6200
7/23/2012,19.11,19.39,18.82,19.39,19600
7/24/2012,18.85,18.85,18.85,18.85,200
7/25/2012,19.43,19.43,19.3,19.3,4200
7/26/2012,19.95,20.11,19.95,20.11,1000
7/27/2012,20.4,21.21,20.27,21.18,21400
7/30/2012,21.4,21.4,21.12,21.14,1000
7/31/2012,20.99,21.05,20.83,20.95,10800
8/1/2012,20.95,20.95,20.95,20.95,0
8/2/2012,19.62,19.62,19.62,19.62,200
8/3/2012,20.93,21.07,20.93,21.07,1000
8/6/2012,21.84,21.84,21.61,21.61,600
8/7/2012,21.95,21.95,21.74,21.77,3400
8/8/2012,21.61,21.7,21.61,21.7,600
8/9/2012,21.78,21.78,21.78,21.78,400
8/10/2012,21.55,21.55,21.49,21.49,400
8/13/2012,21.49,21.49,21.49,21.49,0
8/14/2012,21.93,21.93,21.93,21.93,400
8/15/2012,21.93,21.93,21.93,21.93,0
8/16/2012,22.03,22.18,22.02,22.18,1800
8/17/2012,22.34,22.34,22.32,22.32,2000
8/20/2012,22.33,22.5,22.31,22.5,8400
8/21/2012,23.12,23.12,23.12,23.12,200
8/22/2012,22.5,22.78,22.4,22.62,35000
8/23/2012,22.62,22.62,22.62,22.62,0
8/24/2012,21.89,22.33,21.89,22.33,400
8/27/2012,22.33,22.33,22.33,22.33,0
8/28/2012,22.24,22.58,22.14,22.45,2600
8/29/2012,22.45,22.52,22.45,22.45,6000
8/30/2012,22.2,22.27,22.1,22.1,4800
8/31/2012,22.71,22.71,22.71,22.71,1000
9/4/2012,22.54,22.68,22.47,22.47,4800
9/5/2012,22.71,22.81,22.59,22.59,1000
9/6/2012,23.19,24.03,23.19,24.03,6200
9/7/2012,24.49,24.78,24.43,24.78,5400
9/10/2012,24.72,24.8,24.25,24.25,5800
9/11/2012,24.26,24.26,24.26,24.26,200
9/12/2012,25.19,25.19,25.01,25.01,1600
9/13/2012,25.08,26.86,25.08,26.84,3800
9/14/2012,27.35,28.05,27.26,27.4,9200
9/17/2012,27.2,27.2,26.55,26.55,7800
9/18/2012,26.16,26.43,26.16,26.43,2400
9/19/2012,26.41,26.67,26.32,26.57,2600
9/20/2012,25.46,25.63,25.43,25.56,3200
9/21/2012,26.12,26.12,25.74,25.74,6000
9/24/2012,25.21,25.9,25.21,25.57,2200
