Data, Open, High, Low, Close, Volume
7/16/2012,149.88,150.04,148.72,148.72,100
7/17/2012,147.08,152.24,146.48,146.48,2800
7/18/2012,147.68,147.68,147.68,147.68,0
7/19/2012,149.52,152.28,149.52,152.28,0
7/20/2012,155.08,157.24,154.88,157.2,400
7/23/2012,165.08,165.8,165.08,165.8,500
7/24/2012,161.28,162.32,161.28,162.32,200
7/25/2012,160,165.04,160,162.56,500
7/26/2012,154.64,156.52,154.64,155.68,900
7/27/2012,150.4,150.4,144.96,147,800
7/30/2012,147.12,147.48,147.12,147.48,300
7/31/2012,147.88,150.08,147.88,150,900
8/1/2012,147.8,147.8,147.8,147.8,0
8/2/2012,153.32,156.2,153.32,156.2,100
8/3/2012,148.36,148.44,143.56,143.56,800
8/6/2012,143.6,143.6,141.4,142.92,400
8/7/2012,140.92,140.92,140.2,140.2,700
8/8/2012,144.56,144.56,144.04,144.04,700
8/9/2012,142.24,142.24,142.24,142.24,0
8/10/2012,144,144.84,142.88,142.88,500
8/13/2012,143.2,143.8,143.2,143.8,200
8/14/2012,141.08,142.88,140.08,142.88,900
8/15/2012,140.64,141.28,140.64,141.28,200
8/16/2012,140.4,142.44,138.8,138.8,1600
8/17/2012,138,138.96,137.48,137.48,900
8/20/2012,138.4,138.4,137.28,137.6,700
8/21/2012,133.8,136.28,133.8,136.28,200
8/22/2012,137.72,137.72,137.72,137.72,0
8/23/2012,139.84,139.84,139.84,139.84,0
8/24/2012,139.84,139.84,139.84,139.84,0
8/27/2012,139.84,139.84,139.84,139.84,0
8/28/2012,139.84,139.84,139.84,139.84,0
8/29/2012,139.84,139.84,139.84,139.84,0
8/30/2012,139.24,139.76,139.24,139.76,0
8/31/2012,139.76,139.76,139.76,139.76,0
9/4/2012,139.76,139.76,139.76,139.76,0
9/5/2012,139.76,139.76,139.76,139.76,0
9/6/2012,130.8,130.8,130.8,130.8,100
9/7/2012,123.6,123.6,123.6,123.6,0
9/10/2012,123.36,125.64,123.36,125.64,300
9/11/2012,125.64,125.64,125.64,125.64,0
9/12/2012,125.64,125.64,125.64,125.64,0
9/13/2012,120.72,120.72,114.04,114.04,200
9/14/2012,111.24,111.52,111.24,111.52,400
9/17/2012,113.36,114.04,113.36,114.04,100
9/18/2012,114.6,116.04,114.6,115.52,300
9/19/2012,115.24,115.4,115.24,115.4,300
9/20/2012,119.24,119.68,118.32,119.12,600
9/21/2012,117.28,118.52,117.28,118.52,200
9/24/2012,118.52,118.52,118.52,118.52,0
9/25/2012,117.32,117.32,117.24,117.24,200
9/26/2012,117.24,117.24,117.24,117.24,0
9/27/2012,124.56,124.56,121.28,122.48,800
9/28/2012,124.04,124.96,123.12,123.28,500
10/1/2012,121.28,122.36,120.08,122.28,2100
10/2/2012,120.64,122.44,120.64,121.44,1500
10/3/2012,120.32,121.64,118.4,118.4,4000
10/4/2012,116.56,117.16,113.96,113.96,4400
10/5/2012,111.16,114.68,111.16,114.68,1000
10/8/2012,114.68,114.68,114.12,114.12,800
10/9/2012,114.12,114.12,114.12,114.12,0
10/10/2012,108.6,118.12,108.6,117,4700
