Data, Open, High, Low, Close, Volume
10/7/2014,20.06,20.06,20.02,20.02,500
10/8/2014,20.06,20.1,19.59,19.59,72500
10/9/2014,19.75,19.75,19.5,19.59,7700
10/10/2014,19.64,19.8,19.64,19.78,2700
10/13/2014,19.86,19.86,19.8,19.8,1100
10/14/2014,19.69,19.69,19.69,19.69,200
10/15/2014,19.69,19.69,19.69,19.69,0
10/16/2014,19.86,19.86,19.55,19.55,119900
10/17/2014,19.6,19.6,19.54,19.54,3600
10/20/2014,20.51,20.51,19.61,19.63,4300
10/21/2014,19.63,19.63,19.63,19.63,0
10/22/2014,19.63,19.63,19.63,19.63,0
10/23/2014,19.63,19.63,19.63,19.63,0
10/24/2014,19.73,19.75,19.73,19.75,200
10/27/2014,19.75,19.75,19.75,19.75,0
10/28/2014,20.05,20.05,20.05,20.05,500
10/29/2014,20.04,20.04,20,20.02,800
10/30/2014,20.02,20.02,20.02,20.02,0
10/31/2014,20.02,20.02,20.02,20.02,0
11/3/2014,20.02,20.02,20.02,20.02,0
11/4/2014,20.02,20.02,20.02,20.02,0
11/5/2014,20.33,20.39,20.33,20.39,400
11/6/2014,20.4,20.4,20.4,20.4,200
11/7/2014,20.4,20.4,20.4,20.4,0
11/10/2014,20.28,20.5,20.28,20.32,19700
11/11/2014,20.32,20.32,20.32,20.32,0
11/12/2014,20.23,20.23,20.18,20.18,6000
11/13/2014,20.18,20.18,20.18,20.18,0
11/14/2014,20.27,20.29,20.19,20.29,10500
11/17/2014,20.31,20.31,20.28,20.28,1100
11/18/2014,20.29,20.45,20.29,20.45,3200
11/19/2014,20.31,20.31,20.31,20.31,300
11/20/2014,20.33,20.33,20.28,20.33,9100
11/21/2014,20.34,20.34,20.34,20.34,200
11/24/2014,20.36,20.36,20.36,20.36,500
11/25/2014,20.21,20.24,20.21,20.23,6000
11/26/2014,20.23,20.3,20.23,20.3,1100
11/28/2014,20.3,20.3,20.3,20.3,0
12/1/2014,20.53,20.53,20.43,20.43,10000
12/2/2014,20.4,20.49,20.39,20.49,6500
12/3/2014,20.39,20.51,20.38,20.5,17700
12/4/2014,20.45,20.45,20.45,20.45,200
12/5/2014,20.5,20.56,20.45,20.56,14800
12/8/2014,20.58,20.75,20.52,20.74,21800
12/9/2014,20.79,20.8,20.53,20.79,18100
12/10/2014,20.77,20.86,20.73,20.85,3200
12/11/2014,20.85,20.88,20.82,20.88,1800
12/12/2014,20.96,20.99,20.96,20.99,600
12/15/2014,21.08,21.08,21.02,21.02,1800
12/16/2014,21.11,21.11,21.02,21.11,1400
12/17/2014,21.15,21.15,21.09,21.14,1600
12/18/2014,21.1,22.15,20.98,21.07,3100
12/19/2014,21.09,21.1,20.97,21.1,2300
12/22/2014,21.11,21.22,21.11,21.22,5500
12/23/2014,21.24,21.24,21.24,21.24,1700
12/24/2014,21.19,21.22,21.19,21.22,200
12/26/2014,21.22,21.22,21.22,21.22,900
12/29/2014,22,22,21.26,21.35,3300
12/30/2014,21.2,21.2,21.2,21.2,200
12/31/2014,21.28,21.28,21.28,21.28,100
1/2/2015,21.44,21.44,21.32,21.32,600
1/5/2015,21.43,21.53,21.43,21.53,200
1/6/2015,21.6,21.64,21.6,21.63,500
1/7/2015,21.97,21.97,21.62,21.66,1300
1/8/2015,21.78,21.78,21.59,21.63,4800
1/9/2015,21.74,21.98,21.61,21.64,56000
1/12/2015,21.81,21.83,21.78,21.83,4200
1/13/2015,21.86,21.89,21.82,21.86,2800
1/14/2015,21.85,21.85,21.76,21.78,6700
1/15/2015,21.69,21.69,21.57,21.67,1800
1/16/2015,21.68,21.68,21.63,21.64,4000
1/20/2015,21.7,21.78,21.61,21.78,3700
1/21/2015,21.91,21.91,21.72,21.77,1600
1/22/2015,21.77,21.77,21.77,21.77,0
1/23/2015,21.96,22,21.96,22,1100
1/26/2015,22.01,22.01,22,22,900
1/27/2015,22.03,22.03,21.94,21.94,3600
1/28/2015,22,22,22,22,1400
1/29/2015,22.22,22.22,22.2,22.2,1300
1/30/2015,22.2,22.22,22.13,22.15,12300
2/2/2015,22.13,22.13,22.1,22.13,3900
2/3/2015,21.95,22.07,21.95,22.01,4600
2/4/2015,22.04,22.04,22.03,22.03,700
2/5/2015,22.18,22.18,21.98,22.06,5100
2/6/2015,22.01,22.01,21.94,21.98,20600
2/9/2015,21.94,21.94,21.76,21.88,21600
2/10/2015,21.91,21.91,21.73,21.73,11500
2/11/2015,21.8,21.8,21.69,21.7,5200
2/12/2015,21.65,21.65,21.57,21.57,2300
2/13/2015,21.5,21.5,21.38,21.47,7800
2/17/2015,21.34,21.48,21.34,21.45,700
2/18/2015,21.43,21.43,21.43,21.43,600
2/19/2015,21.46,21.46,21.3,21.39,6300
2/20/2015,21.33,21.37,21.33,21.37,700
2/23/2015,21.39,21.5,20.62,21.46,7500
2/24/2015,21.44,21.5,21.38,21.5,6600
2/25/2015,21.5,21.5,21.5,21.5,100
2/26/2015,21.52,21.52,21.4,21.4,800
2/27/2015,21.36,21.36,21.31,21.31,400
3/2/2015,21.38,21.38,21.34,21.34,1100
3/3/2015,21.33,21.33,21.33,21.33,100
3/4/2015,21.47,21.51,21.47,21.51,1100
3/5/2015,21.49,21.49,21.47,21.48,1600
3/6/2015,21.58,21.74,21.55,21.74,36600
3/9/2015,21.66,21.68,21.62,21.62,13000
3/10/2015,21.84,21.84,21.6,21.6,10700
3/11/2015,21.6,21.6,21.6,21.6,0
3/12/2015,20,20,20,20,0
3/13/2015,21.73,21.8,21.72,21.72,1800
3/16/2015,21.75,21.75,21.75,21.75,1000
3/17/2015,21.64,21.66,21.64,21.66,300
3/18/2015,21.61,21.61,21.61,21.61,200
3/19/2015,21.61,21.61,21.61,21.61,0
3/20/2015,21.44,21.5,21.44,21.49,1200
3/23/2015,21.45,21.45,21.31,21.34,2100
3/24/2015,21.44,21.53,21.31,21.53,6100
3/25/2015,21.53,21.53,21.53,21.53,0
3/26/2015,21.46,21.53,21.41,21.53,3300
3/27/2015,21.53,21.53,21.53,21.53,0
3/30/2015,21.53,21.64,21.48,21.48,3000
3/31/2015,21.5,21.5,21.5,21.5,5500
4/1/2015,21.53,21.58,21.53,21.58,1300
4/2/2015,21.58,21.58,21.58,21.58,0
4/6/2015,21.54,21.54,16.2,21.4,2000
4/7/2015,21.43,21.51,21.42,21.49,11900
4/8/2015,21.59,21.59,21.4,21.54,21900
4/9/2015,21.5,21.58,21.48,21.54,9300
4/10/2015,21.54,21.57,21.51,21.55,5700
4/13/2015,21.45,21.47,21.15,21.27,39300
4/14/2015,21.39,21.53,21.31,21.45,18500
4/15/2015,21.52,21.52,21.52,21.52,300
4/16/2015,21.52,21.52,21.52,21.52,0
4/17/2015,21.36,21.36,21.36,21.36,400
4/20/2015,21.36,21.36,21.36,21.36,0
4/21/2015,21.46,21.46,21.42,21.42,400
4/22/2015,21.33,21.41,21.3,21.36,2100
4/23/2015,21.22,21.22,21.2,21.2,400
4/24/2015,21.2,21.2,21.2,21.2,0
4/27/2015,21.08,21.2,21.08,21.2,400
4/28/2015,21,21.1,21,21.1,1100
4/29/2015,21.1,21.1,21.1,21.1,500
4/30/2015,20.99,20.99,20.91,20.91,1200
5/1/2015,21.09,21.1,21,21,17200
5/4/2015,21,21,20.97,20.97,1400
5/5/2015,21.02,21.02,21.02,21.02,200
5/6/2015,20.98,20.98,20.98,20.98,900
5/7/2015,20.88,20.88,20.88,20.88,8300
5/8/2015,20.87,20.87,20.87,20.87,1700
5/11/2015,20.87,20.87,20.87,20.87,0
5/12/2015,20.87,20.87,20.87,20.87,0
5/13/2015,21.02,21.02,20.96,20.96,600
5/14/2015,21.46,21.46,21.05,21.07,3500
5/15/2015,21.07,21.07,21.07,21.07,1500
5/18/2015,21.07,21.07,21.07,21.07,0
5/19/2015,20.91,20.91,20.82,20.82,1700
5/20/2015,20.82,20.82,20.82,20.82,0
5/21/2015,20.82,20.82,20.82,20.82,0
5/22/2015,20.82,20.82,20.82,20.82,0
5/26/2015,21.02,21.02,21,21,1900
5/27/2015,21,21,21,21,0
5/28/2015,21,21,21,21,0
5/29/2015,21,21,21,21,300
6/1/2015,20.94,21.1,20.94,20.99,500
6/2/2015,21.02,21.19,21.02,21.02,5000
6/3/2015,22,22,20.99,21.1,5600
6/4/2015,21.03,21.03,21.03,21.03,100
6/5/2015,20.98,20.98,20.98,20.98,1500
6/8/2015,20.89,21.04,20.89,20.91,1600
6/9/2015,21.03,21.03,21.03,21.03,100
6/10/2015,21.03,21.03,21.03,21.03,0
6/11/2015,21.11,21.11,21.11,21.11,100
6/12/2015,21.12,21.19,21.12,21.18,5400
6/15/2015,21.16,21.24,21.16,21.24,2900
6/16/2015,21.16,21.16,21.16,21.16,200
6/17/2015,21.35,21.35,21.13,21.18,5300
6/18/2015,21.18,21.18,21.18,21.18,0
6/19/2015,21.61,21.61,21.17,21.2,4500
6/22/2015,21.12,21.12,21.12,21.12,200
6/23/2015,21.12,21.12,21.12,21.12,0
6/24/2015,21.12,21.12,21.12,21.12,0
6/25/2015,21.12,21.12,21.12,21.12,0
6/26/2015,21.12,21.12,21.12,21.12,0
6/29/2015,20.95,20.95,20.95,20.95,200
6/30/2015,21.02,21.02,20.75,20.9,2800
7/1/2015,20.9,20.99,20.9,20.99,1800
7/2/2015,20.97,20.97,20.97,20.97,100
7/6/2015,20.79,20.79,20.71,20.71,2500
7/7/2015,20.71,20.71,20.71,20.71,0
7/8/2015,20.76,20.76,20.76,20.76,900
7/9/2015,20.76,20.76,20.76,20.76,0
7/10/2015,21,21,21,21,1800
7/13/2015,20.9,20.96,20.9,20.96,400
7/14/2015,20.97,20.98,20.95,20.95,1600
7/15/2015,20.87,20.87,20.87,20.87,200
7/16/2015,20.85,20.85,20.85,20.85,200
7/17/2015,20.85,20.85,20.85,20.85,0
7/20/2015,21,21.03,21,21.02,3000
7/21/2015,21.03,21.95,20.89,21.08,7100
7/22/2015,21.08,21.08,21.08,21.08,0
7/23/2015,21.95,22,19.89,21.01,13600
7/24/2015,20.85,20.85,20.83,20.83,600
7/27/2015,20.93,20.94,20.93,20.93,4000
7/28/2015,20.93,20.94,20.89,20.92,5200
7/29/2015,20.92,20.92,20.92,20.92,0
7/30/2015,20.92,20.92,20.92,20.92,0
7/31/2015,20.84,20.89,20.75,20.89,1000
8/3/2015,20.66,20.69,20.66,20.69,2700
8/4/2015,20.63,20.79,20.63,20.75,2700
