Data, Open, High, Low, Close, Volume
11/8/2007,1486.23,1749.9,1486.23,1570.17,26400
11/9/2007,1623.5,1730.35,1516.45,1618.36,35700
11/12/2007,1745.55,1862.08,1683.34,1836.8,39000
11/13/2007,1690.06,1699.54,1501.44,1537.58,57900
11/14/2007,1376.02,1498.28,1368.71,1469.44,51900
11/15/2007,1548.25,1599.8,1491.56,1516.84,55200
11/16/2007,1599.6,1673.86,1564.05,1590.51,47700
11/19/2007,1685.91,1795.33,1680.97,1777.16,62600
11/20/2007,1638.7,1727.19,1560.49,1603.75,95900
11/21/2007,1780.12,1836.8,1725.41,1802.24,90900
11/23/2007,1726.2,1753.85,1678.8,1691.83,29700
11/26/2007,1589.92,1772.61,1578.86,1772.61,105600
11/27/2007,1659.44,1742.79,1592.49,1594.46,121500
11/28/2007,1540.54,1584.39,1378.98,1402.49,118600
11/29/2007,1431.92,1443.96,1370.89,1416.71,60900
11/30/2007,1323.68,1416.91,1312.82,1392.81,60600
12/3/2007,1402.49,1450.48,1402.49,1435.67,47000
12/4/2007,1435.47,1460.55,1402.29,1424.02,38600
12/5/2007,1316.37,1329.21,1258.11,1258.11,85000
12/6/2007,1288.92,1303.54,1219.4,1226.51,55100
12/7/2007,1295.04,1319.73,1274.11,1315.78,46500
12/10/2007,1352.32,1356.47,1317.56,1328.23,33800
12/11/2007,1317.76,1461.34,1317.76,1454.63,60400
12/12/2007,1346.99,1465.69,1323.29,1399.92,76300
12/13/2007,1498.67,1543.31,1451.67,1489.59,107600
12/14/2007,1570.76,1579.85,1527.51,1575.7,58500
12/17/2007,1670.9,1757.6,1643.05,1757.6,80000
12/18/2007,1629.42,1726.79,1591.9,1591.9,93300
12/19/2007,1581.03,1592.69,1499.46,1568.19,98700
12/20/2007,1524.58,1612.64,1523.19,1538.27,38400
12/21/2007,1480.75,1501.18,1447.83,1460.12,37600
12/24/2007,1408.36,1445.45,1390.31,1394.28,20800
12/26/2007,1414.11,1428.19,1378.41,1395.47,24700
12/27/2007,1428.19,1497.21,1425.02,1492.85,42600
12/28/2007,1469.84,1517.24,1459.33,1497.21,25800
12/31/2007,1445.84,1528.75,1445.84,1524.58,31800
1/2/2008,1502.76,1580.71,1477.97,1566.63,70700
