Data, Open, High, Low, Close, Volume
2/13/2015,20.95,20.95,20.65,20.65,2200
2/17/2015,19.74,19.79,19.22,19.3,2400
2/18/2015,19.6,20.22,19.6,20.22,600
2/19/2015,20.23,20.31,19.36,19.36,33900
2/20/2015,19.65,19.75,19.65,19.75,600
2/23/2015,18.41,18.41,18.41,18.41,100
2/24/2015,18.45,18.45,18.45,18.45,100
2/25/2015,19.27,19.5,19.27,19.46,500
2/26/2015,20.13,20.13,19.42,19.42,400
2/27/2015,19.84,20.25,19.8,19.83,6200
3/2/2015,19.47,19.54,19.01,19.31,1400
3/3/2015,19.51,19.7,18.6,18.6,2900
3/4/2015,18.2,18.42,17.95,17.97,2700
3/5/2015,18.1,18.49,17.84,17.93,2800
3/6/2015,16.57,16.77,15.25,15.32,10600
3/9/2015,14.9,14.91,13.92,13.92,3000
3/10/2015,13.56,13.79,11.95,12.15,5900
3/11/2015,11.98,13.85,11.97,13.73,20700
3/12/2015,14.06,14.34,13.38,13.93,180200
3/13/2015,13.86,13.87,12.86,13.87,20900
3/16/2015,13.74,13.95,13.23,13.67,3400
3/17/2015,12.9,13.79,12.9,13,4200
3/18/2015,12.9,14.8,12.72,14.77,6500
3/19/2015,14.43,14.93,14.43,14.84,3200
3/20/2015,15.72,16.28,15.69,15.95,3800
3/23/2015,16.25,16.86,16.25,16.84,4100
3/24/2015,16.71,16.97,16.62,16.96,7800
3/25/2015,17.17,17.29,16.5,16.5,8100
3/26/2015,16.76,16.94,15.63,15.79,3100
3/27/2015,15.71,15.76,15.04,15.55,5600
3/30/2015,14.63,14.72,14.1,14.22,3600
3/31/2015,14.42,14.63,13.78,13.78,5500
4/1/2015,15.12,15.83,14.89,15.75,7200
4/2/2015,15.46,15.63,14.99,15.34,9600
4/6/2015,16.69,16.84,16.4,16.8,3900
4/7/2015,16.2,16.63,15.92,15.92,2900
4/8/2015,15.84,16,15.4,15.48,8400
4/9/2015,15.16,15.29,15.02,15.09,3700
4/10/2015,16.11,16.12,15.83,16.05,4700
4/13/2015,15.86,15.86,15.41,15.54,4400
4/14/2015,15.69,15.96,15.41,15.48,2900
4/15/2015,15.91,16.97,15.83,16.97,2800
4/16/2015,17,17.24,16.28,16.73,5800
4/17/2015,16.75,16.82,16.35,16.47,5400
4/20/2015,16.04,16.61,15.87,16.61,4800
4/21/2015,16.64,17.15,16.54,17,4400
4/22/2015,16.76,16.77,15.9,15.91,4200
4/23/2015,15.95,16.8,15.95,16.64,3900
4/24/2015,15.96,16.1,15.82,15.85,4500
4/27/2015,16.71,17.09,16.69,16.73,3200
4/28/2015,17.17,18.01,17.17,17.97,7900
4/29/2015,18.03,18.68,17.8,17.98,9800
4/30/2015,16.98,16.98,16.46,16.8,12800
5/1/2015,16.37,16.86,16.37,16.85,6500
5/4/2015,17.54,17.72,17.33,17.7,3600
5/5/2015,17.87,17.88,17.01,17.21,4700
5/6/2015,16.85,16.89,16.57,16.75,3600
5/7/2015,16.44,16.79,16.04,16.79,4600
5/8/2015,17.13,17.37,16.61,17.13,11500
5/11/2015,17.21,17.6,16.89,17.33,4400
5/12/2015,17.54,18.01,17.54,17.94,4500
5/13/2015,18.64,19.12,18.49,18.99,6900
5/14/2015,19.3,19.91,18.8,18.81,6800
5/15/2015,18.8,19.49,18.67,19.06,6300
5/18/2015,19.43,19.48,19.04,19.14,6800
5/19/2015,18.53,18.61,17.89,17.9,6700
5/20/2015,18.32,18.59,18.22,18.35,5000
5/21/2015,18.39,18.41,18.06,18.06,2600
5/22/2015,18.12,18.39,17.99,18.08,14800
5/26/2015,17.34,17.45,17.06,17.07,9000
5/27/2015,17.16,17.4,17.02,17.37,3700
5/28/2015,17.09,17.73,16.3,17.73,5100
5/29/2015,17.63,17.97,17.58,17.61,3000
6/1/2015,18.04,18.08,17.41,17.41,2600
6/2/2015,17.8,18.19,17.72,18.1,5000
6/3/2015,17.88,18.05,17.49,17.7,5100
6/4/2015,17.24,17.24,16.97,16.97,3100
6/5/2015,16.66,16.83,16.57,16.57,2200
6/8/2015,16.8,17.14,16.69,17.14,3900
6/9/2015,17.5,17.5,16.8,16.8,1700
6/10/2015,17.31,17.45,17.16,17.24,1800
6/11/2015,16.9,16.9,16.66,16.73,2300
6/12/2015,16.52,16.7,16.28,16.4,1300
6/15/2015,16.49,16.92,16.41,16.48,1700
6/16/2015,16.22,16.46,16.18,16.24,1900
6/17/2015,16.31,17.34,16.18,17.27,2200
6/18/2015,17.85,17.85,17.69,17.81,3800
6/19/2015,17.6,17.72,17.09,17.22,2900
6/22/2015,16.86,17.08,16.69,16.73,45700
6/23/2015,16.75,16.75,16.6,16.63,9600
6/24/2015,16.56,16.68,16.45,16.59,2500
6/25/2015,16.61,16.63,16.44,16.44,1700
6/26/2015,16.36,16.45,16.33,16.4,1300
6/29/2015,16.4,16.4,15.84,15.87,2600
6/30/2015,15.64,15.86,15.4,15.46,2600
7/1/2015,15.17,15.2,14.21,14.21,1800
7/2/2015,14.78,15.06,14.62,15.06,3100
7/6/2015,14.83,15.15,14.61,14.89,1800
