Data, Open, High, Low, Close, Volume
2/13/2015,19.22,19.22,19.19,19.19,200
2/17/2015,20.62,20.62,20.62,20.62,100
2/18/2015,20.55,20.55,20.07,20.07,1100
2/19/2015,19.56,19.56,19.54,19.54,1000
2/20/2015,20.03,20.86,20.03,20.86,4700
2/23/2015,21.46,21.46,20.75,21.38,3200
2/24/2015,21.67,21.67,21.11,21.11,1600
2/25/2015,20.49,20.54,20.49,20.54,400
2/26/2015,19.98,19.98,19.73,19.89,400
2/27/2015,19.6,20.01,19.47,19.9,5700
3/2/2015,20.25,20.67,20.18,20.41,1200
3/3/2015,20.3,21.21,20.05,21.18,9200
3/4/2015,21.07,21.94,21.07,21.94,3000
3/5/2015,22.1,22.1,21.23,21.86,3800
3/6/2015,23.56,25.2,23.33,25.1,9700
3/9/2015,24.74,27.72,24.74,27.72,14300
3/10/2015,27.71,31.44,27.28,29.86,27100
3/11/2015,30.07,31.54,26.96,26.96,27600
3/12/2015,26.2,28.03,25.99,27.79,188200
3/13/2015,27.45,28.88,26.82,26.82,13100
3/16/2015,26.98,27.93,26.57,27.58,4900
3/17/2015,28.76,28.76,26.97,28.65,5500
3/18/2015,28.48,29.07,24.46,24.53,8500
3/19/2015,25.39,25.47,24.02,24.31,6300
3/20/2015,23.95,23.95,22.12,22.8,4500
3/23/2015,21.74,22.1,21.29,21.29,2900
3/24/2015,21.39,21.67,21.19,21.34,3000
3/25/2015,20.85,21.73,20.76,21.73,7400
3/26/2015,20.91,22.85,20.67,22.7,4300
3/27/2015,23.37,23.48,22.74,23.17,16500
3/30/2015,24.59,25.19,24.48,25.03,8100
3/31/2015,24.77,25.74,24.27,25.21,3700
4/1/2015,24.59,24.65,22.22,22.22,6800
4/2/2015,22.64,23.29,22.39,22.91,3600
4/6/2015,20.76,21.2,20.45,20.66,6900
4/7/2015,21.14,21.75,20.84,21.52,18100
4/8/2015,21.77,22.44,21.63,22.34,4900
4/9/2015,22.67,22.94,22.52,22.74,3300
4/10/2015,21.75,21.79,21.27,21.38,30300
4/13/2015,21.58,22.31,21.38,22.17,8500
4/14/2015,21.65,22.26,21.47,22.14,3900
4/15/2015,21.75,21.84,19.99,19.99,8000
4/16/2015,20.14,20.88,19.65,20.49,4400
4/17/2015,20.48,20.72,20.07,20.71,4700
4/20/2015,21.23,21.37,20.45,20.45,15900
4/21/2015,20.69,20.69,19.79,19.98,3900
4/22/2015,20.12,21.29,20.12,21.29,4000
4/23/2015,21.13,21.15,20,20.24,5500
4/24/2015,20.59,21.25,20.21,21.22,6800
4/27/2015,20.6,20.6,19.51,20,5600
4/28/2015,19.71,19.71,18.45,18.52,4900
4/29/2015,18.48,18.87,17.77,18.65,5100
4/30/2015,19.74,20.06,19.58,19.76,4700
5/1/2015,19.95,20.14,19.74,19.74,3200
5/4/2015,18.86,19.08,18.54,18.62,4700
5/5/2015,18.36,19.33,18.36,19.06,4700
5/6/2015,19.44,19.84,19.4,19.68,3900
5/7/2015,20.04,20.44,19.57,19.57,6800
5/8/2015,19.3,19.85,18.99,19.21,5300
5/11/2015,18.8,19.51,18.7,19,4800
5/12/2015,18.81,18.81,18.25,18.34,5100
5/13/2015,17.7,17.7,17.06,17.35,12900
5/14/2015,16.98,17.4,16.51,17.35,7900
5/15/2015,17.5,17.61,16.81,17.16,4200
5/18/2015,16.81,17.19,16.78,17.16,3700
5/19/2015,17.75,18.22,17.75,18.19,6700
5/20/2015,17.69,17.87,17.47,17.65,3800
5/21/2015,17.71,18.03,17.62,18.03,6000
5/22/2015,17.97,18.07,17.7,17.93,5100
5/26/2015,18.76,19.03,18.61,19,6400
5/27/2015,18.91,19.03,18.63,18.64,6600
5/28/2015,18.99,19,18.26,18.27,2100
5/29/2015,18.36,18.43,18.02,18.39,3000
6/1/2015,17.95,18.59,17.95,18.57,2400
6/2/2015,18.23,18.23,17.79,17.85,4500
6/3/2015,18.11,18.43,17.82,18.21,3400
6/4/2015,18.71,18.99,18.71,18.99,2800
6/5/2015,19.6,19.6,19.16,19.43,4300
6/8/2015,19.24,19.38,18.68,18.75,8400
6/9/2015,18.43,19.14,18.43,19.12,3500
6/10/2015,18.4,18.73,18.32,18.67,4500
6/11/2015,18.92,19.26,18.92,19.18,3300
6/12/2015,19.41,19.6,19.27,19.6,1900
6/15/2015,19.61,19.61,19.03,19.49,2400
6/16/2015,19.62,19.75,19.44,19.75,1700
6/17/2015,19.72,19.81,18.4,18.46,4200
6/18/2015,17.84,18.04,17.81,17.88,3400
6/19/2015,18.12,18.54,18.04,18.34,1700
6/22/2015,18.89,19.07,18.69,19.07,2700
6/23/2015,18.89,19.23,18.72,19.13,1100
6/24/2015,19.27,19.27,18.92,19.13,3100
6/25/2015,19.12,19.34,19.1,19.32,2500
6/26/2015,19.44,19.44,19.34,19.39,1700
6/29/2015,19.31,20.02,19.28,20,2900
6/30/2015,20.35,20.61,19.9,20.56,2300
7/1/2015,21,22.16,20.89,22.01,3400
7/2/2015,21.64,21.64,20.9,20.92,6500
7/6/2015,21.38,21.54,20.71,21.08,3600
7/7/2015,22.09,23.43,22.09,23.17,7800
7/8/2015,22.95,24.27,22.95,24.23,7800
7/9/2015,22.92,23.81,22.75,23.78,2300
7/10/2015,23.46,24.07,23.44,23.69,5600
7/13/2015,24.27,24.65,22.52,22.59,12800
7/14/2015,22.82,23.12,22.37,23.06,3300
7/15/2015,23.67,24.11,23.53,23.87,1900
7/16/2015,24.18,24.38,23.77,24.05,8300
7/17/2015,24.38,26.49,24.37,26.1,6500
7/20/2015,28.7,32.74,28.15,32.25,13100
7/21/2015,30.99,31,28.73,29.81,11200
7/22/2015,31.99,31.99,29.84,30.53,1600
7/23/2015,29.98,32.81,29.8,32.5,3400
7/24/2015,33.85,34.29,29.15,29.2,8100
7/27/2015,30.1,31.28,27.22,31.28,9200
7/28/2015,29.69,30.3,29.32,29.65,3900
7/29/2015,30.08,30.42,28.16,28.52,3900
7/30/2015,30.16,30.6,28.95,30.29,4500
7/31/2015,28.86,29.3,28.65,28.72,2100
8/3/2015,29.87,31.28,29.74,31.28,3800
8/4/2015,30.05,30.98,29.91,30.4,2100
