Data, Open, High, Low, Close, Volume
2/13/2015,19.56,19.56,19.51,19.51,200
2/17/2015,20.95,21.08,20.95,21.08,300
2/18/2015,20.98,20.98,20.14,20.14,1400
2/19/2015,20.45,21.28,20.37,21.28,2500
2/20/2015,20.68,20.81,20.52,20.81,2400
2/23/2015,21.65,21.65,20.74,20.74,900
2/24/2015,21.64,21.69,21.31,21.31,2600
2/25/2015,20.84,20.84,20.34,20.44,2000
2/26/2015,20.05,20.23,19.83,20.23,4800
2/27/2015,19.44,19.66,19.24,19.62,5200
3/2/2015,19.61,20.72,19.61,20.72,1800
3/3/2015,20.38,21.42,20.1,21.23,4800
3/4/2015,21.14,22.05,21.14,21.9,6900
3/5/2015,21.59,22.02,21.27,21.99,6200
3/6/2015,23.21,25.28,23.21,25.14,28700
3/9/2015,24.56,26.95,24.56,26.91,12400
3/10/2015,26.83,28.17,26,27.83,11500
3/11/2015,27.61,28.86,25.96,25.96,9400
3/12/2015,25.99,26.96,25.8,26.4,179900
3/13/2015,26.44,27.81,26.34,26.37,7800
3/16/2015,26.31,27.33,25.84,26.22,9200
3/17/2015,27.08,27.23,25.85,26.65,5800
3/18/2015,27.02,27.4,24.14,24.14,5400
3/19/2015,24.8,24.8,24.04,24.27,2900
3/20/2015,23.45,23.45,22.48,22.81,4500
3/23/2015,22.43,22.64,21.78,21.78,4600
3/24/2015,22.1,22.25,21.82,22,3700
3/25/2015,21.44,22.61,21.44,22.61,5600
3/26/2015,21.61,23.64,21.61,23.4,6600
3/27/2015,23.97,24.24,23.19,23.7,6500
3/30/2015,25.01,25.01,24.31,24.85,8800
3/31/2015,24.5,25.6,24.49,25.56,7600
4/1/2015,24.69,24.8,22.71,22.85,9900
4/2/2015,23.05,23.63,22.96,23.37,3100
4/6/2015,21.54,21.88,21.33,21.61,4700
4/7/2015,21.95,22.6,21.74,22.6,4900
4/8/2015,22.51,23.25,22.38,22.84,4400
4/9/2015,23.1,23.4,23,23.18,4100
4/10/2015,22.34,22.34,21.96,21.96,4900
4/13/2015,22.03,22.49,22.03,22.49,4500
4/14/2015,22.35,22.36,21.7,22.18,5700
4/15/2015,21.87,21.87,20.72,20.8,4900
4/16/2015,20.9,21.3,20.7,21.12,8300
4/17/2015,20.92,21.39,20.66,21.27,17900
4/20/2015,21.56,21.73,21.02,21.02,3600
4/21/2015,21.22,21.22,20.59,20.84,3200
4/22/2015,20.96,22.09,20.96,22.09,7800
4/23/2015,21.93,21.93,20.87,21.12,5400
4/24/2015,21.41,21.91,21.04,21.91,3800
4/27/2015,20.82,20.99,20.14,20.99,9000
4/28/2015,20.17,20.22,19.33,19.4,9600
4/29/2015,19.42,19.6,18.73,18.98,14900
4/30/2015,20.53,20.53,19.89,20.1,5600
5/1/2015,19.99,20.19,19.89,19.96,3700
5/4/2015,19.27,19.72,19.21,19.6,2900
5/5/2015,19.16,20.13,19.15,19.9,6900
5/6/2015,19.8,20.96,19.8,20.87,4200
5/7/2015,21.36,21.75,20.76,20.76,4600
5/8/2015,20.42,20.99,20.19,20.4,6900
5/11/2015,20.47,20.61,20.05,20.32,6700
5/12/2015,20.11,20.14,19.65,19.75,11200
5/13/2015,19.16,19.16,18.59,18.76,8900
5/14/2015,17.98,18.8,17.98,18.77,4700
5/15/2015,18.78,18.86,18.48,18.86,7400
5/18/2015,18.97,18.97,18.57,18.87,9000
5/19/2015,19.7,20.18,19.67,20.14,15900
5/20/2015,19.89,20.08,19.63,20.04,8200
5/21/2015,20.03,20.34,19.99,20.28,4800
5/22/2015,20.28,20.48,20.14,20.36,3300
5/26/2015,21.34,21.75,21.34,21.7,4000
5/27/2015,21.63,21.81,21.3,21.41,7600
5/28/2015,21.84,21.84,20.86,20.89,5900
5/29/2015,20.71,21.06,20.63,21.01,3900
6/1/2015,20.38,21.23,20.38,21.14,4900
6/2/2015,20.5,20.67,20.39,20.57,3900
6/3/2015,20.69,21.4,20.69,21.35,5500
6/4/2015,21.9,22.04,21.9,21.97,5500
6/5/2015,22.58,22.93,22.28,22.55,5700
6/8/2015,22.72,22.87,22.16,22.2,5000
6/9/2015,21.73,22.71,21.72,22.7,8300
6/10/2015,22.1,22.35,21.9,22.28,4700
6/11/2015,22.68,22.96,22.68,22.83,1700
6/12/2015,22.94,23.26,22.9,23.22,3100
6/15/2015,23.31,23.31,22.81,23.12,3800
6/16/2015,23.42,23.82,23.42,23.79,2900
6/17/2015,23.93,23.99,22.46,22.46,5400
6/18/2015,21.7,22.05,21.66,21.89,14400
6/19/2015,21.95,23,21.93,22.95,2400
6/22/2015,23.41,23.57,23.3,23.57,4900
6/23/2015,23.31,23.68,23.29,23.6,1800
6/24/2015,23.66,23.74,23.32,23.51,3100
6/25/2015,23.65,24,23.59,24,2800
6/26/2015,24.11,24.26,23.88,24.23,3200
6/29/2015,24.11,24.71,24.11,24.65,2900
6/30/2015,25.24,25.36,24.47,25.15,3400
7/1/2015,25.53,26.46,25.44,26.46,6700
7/2/2015,26.08,26.08,25.38,25.46,4700
7/6/2015,25.72,25.72,24.37,24.8,4700
7/7/2015,26.85,27.24,26.82,27.17,5000
7/8/2015,26.59,27.56,26.34,27.56,5300
7/9/2015,26.74,27.57,26.54,27.33,4100
7/10/2015,27.59,28.31,27.46,27.94,6200
7/13/2015,28.69,28.97,27.84,27.85,8700
7/14/2015,27.76,28.08,27.42,28.08,7200
7/15/2015,28.64,29.5,28.56,29.42,6900
7/16/2015,29.51,30.04,29.51,30,5200
7/17/2015,30.43,32.84,30.42,32.63,11500
7/20/2015,35.79,39.74,35.79,39.59,20100
7/21/2015,38.03,38.27,35.37,37.53,19300
7/22/2015,39.28,40,37.06,37.76,4600
7/23/2015,37.05,40.85,36.94,40.39,6000
7/24/2015,41.72,42.93,37.52,37.95,18500
7/27/2015,38.52,40.91,36.07,40.77,16400
7/28/2015,39.47,40.31,38.81,39.57,16400
7/29/2015,39.54,40.15,37.74,37.96,10500
7/30/2015,39.79,41.04,39,40.69,12800
7/31/2015,38.94,39.53,38.4,38.91,8100
8/3/2015,39.61,42,39.4,41.74,14800
8/4/2015,40.43,42.2,40.43,41.56,7500
