Data, Open, High, Low, Close, Volume
2/13/2015,20.68,20.68,20.56,20.56,21000
2/17/2015,19.15,19.15,19,19,1000
2/18/2015,19.72,19.72,19.72,19.72,600
2/19/2015,19.74,19.75,19.37,19.37,5000
2/20/2015,19.37,19.37,18.62,18.66,6900
2/23/2015,18.45,18.93,18.35,18.79,5500
2/24/2015,18.38,18.84,18.38,18.63,2800
2/25/2015,19.05,19.47,19.05,19.24,1500
2/26/2015,19.76,19.84,19.47,19.54,3000
2/27/2015,20.05,20.45,20,20.14,7200
3/2/2015,19.86,19.86,18.97,19.19,4200
3/3/2015,19.64,19.64,18.42,18.5,4800
3/4/2015,18.35,18.35,17.8,17.97,7300
3/5/2015,17.93,18.41,17.83,17.95,4600
3/6/2015,16.88,16.88,15.18,15.36,12900
3/9/2015,14.97,14.97,14.19,14.22,7400
3/10/2015,14.23,14.53,13.53,13.56,6300
3/11/2015,13.61,14.58,13.22,14.58,11600
3/12/2015,14.79,14.79,14.13,14.34,184300
3/13/2015,14.21,14.43,13.61,14.42,13200
3/16/2015,14.46,14.68,13.96,14.62,6400
3/17/2015,14.43,14.64,14.08,14.16,4900
3/18/2015,14.05,15.55,13.86,15.55,9800
3/19/2015,15.3,15.61,15.13,15.37,5600
3/20/2015,15.99,16.62,15.99,16.38,11500
3/23/2015,16.63,17.02,16.49,17.02,9100
3/24/2015,17.23,17.23,16.74,16.92,6400
3/25/2015,17.3,17.3,16.48,16.5,5700
3/26/2015,16.65,16.86,15.74,15.91,4200
3/27/2015,15.5,16.02,15.25,15.79,11500
3/30/2015,15.05,15.24,14.81,15.03,4800
3/31/2015,14.97,15.15,14.46,14.57,4900
4/1/2015,15.17,16.13,15.17,16.07,5600
4/2/2015,15.94,15.96,15.44,15.62,3600
4/6/2015,16.84,17.03,16.65,16.9,5200
4/7/2015,16.56,16.57,16.04,16.04,8400
4/8/2015,16.45,16.45,15.62,15.81,10600
4/9/2015,15.54,15.77,15.45,15.54,6700
4/10/2015,16.3,16.46,16.18,16.46,8100
4/13/2015,16.49,16.49,16.03,16.04,5100
4/14/2015,16.48,16.62,16.15,16.26,6200
4/15/2015,16.52,17.35,16.52,17.33,3600
4/16/2015,17.16,17.41,16.82,17.01,3800
4/17/2015,17.39,17.42,16.86,16.9,3600
4/20/2015,16.82,17.07,16.5,17.07,5400
4/21/2015,16.87,17.4,16.86,17.25,4800
4/22/2015,17.13,17.13,16.23,16.28,5000
4/23/2015,16.28,17.09,16.28,16.88,5100
4/24/2015,16.67,16.96,16.29,16.3,4400
4/27/2015,16.69,17.51,16.69,16.89,6900
4/28/2015,17.6,18.26,17.6,18.2,7000
4/29/2015,18.57,18.8,18.04,18.56,3900
4/30/2015,17.35,17.66,17.02,17.4,9700
5/1/2015,17.24,17.7,17.23,17.69,5500
