Data, Open, High, Low, Close, Volume
1/26/2012,38.9,38.98,38.9,38.98,800
1/27/2012,39.77,39.77,39.77,39.77,100
1/30/2012,39.64,39.64,39.64,39.64,200
1/31/2012,39.64,39.92,39.64,39.87,2900
2/1/2012,39.87,39.87,39.87,39.87,0
2/2/2012,39.86,39.86,39.86,39.86,600
2/3/2012,39.86,39.86,39.86,39.86,0
2/6/2012,39.86,39.86,39.86,39.86,0
2/7/2012,39.86,39.86,39.86,39.86,0
2/8/2012,39.86,39.86,39.86,39.86,0
2/9/2012,39.86,39.86,39.86,39.86,0
2/10/2012,39.86,39.86,39.86,39.86,0
2/13/2012,39.86,39.86,39.86,39.86,0
2/14/2012,39.86,39.86,39.86,39.86,0
2/15/2012,39.86,39.86,39.86,39.86,0
2/16/2012,39.86,39.86,39.86,39.86,0
2/17/2012,39.86,39.86,39.86,39.86,0
2/21/2012,39.86,39.86,39.86,39.86,0
2/22/2012,39.86,39.86,39.86,39.86,0
2/23/2012,39.86,39.86,39.86,39.86,0
2/24/2012,39.86,39.86,39.86,39.86,0
2/27/2012,39.86,39.86,39.86,39.86,0
2/28/2012,39.86,39.86,39.86,39.86,0
2/29/2012,40.55,40.55,40.33,40.33,500
3/1/2012,40.36,40.36,40.36,40.36,0
3/2/2012,40.36,40.36,40.36,40.36,0
3/5/2012,43.42,43.42,39.92,39.92,1000
3/6/2012,39.92,39.92,39.77,39.77,400
3/7/2012,39.77,39.77,39.77,39.77,0
3/8/2012,39.77,39.77,39.77,39.77,0
3/9/2012,39.88,39.88,39.88,39.88,400
3/12/2012,39.62,39.62,39.62,39.62,600
3/13/2012,39.62,39.62,39.62,39.62,0
3/14/2012,39.62,39.62,39.62,39.62,0
3/15/2012,39.14,39.14,39.14,39.14,100
3/16/2012,39.14,39.14,39.14,39.14,0
3/19/2012,39.14,39.14,39.14,39.14,0
3/20/2012,39.14,39.14,39.14,39.14,0
3/21/2012,39.14,39.14,39.14,39.14,0
3/22/2012,39.14,39.14,39.14,39.14,0
3/23/2012,39.14,39.14,39.14,39.14,0
3/26/2012,39.91,39.91,39.91,39.91,5000
3/27/2012,39.91,39.91,39.91,39.91,0
3/28/2012,39.91,39.91,39.91,39.91,0
3/29/2012,39.91,39.91,39.91,39.91,0
3/30/2012,39.91,39.91,39.91,39.91,0
4/2/2012,39.94,39.94,39.94,39.94,0
4/3/2012,46.52,46.52,40.16,40.16,1800
4/4/2012,40.16,40.16,40.16,40.16,0
4/5/2012,40.16,40.16,40.16,40.16,0
4/9/2012,40.16,40.16,40.16,40.16,0
4/10/2012,40.16,40.16,40.16,40.16,0
4/11/2012,40.16,40.16,40.16,40.16,0
4/12/2012,40.16,40.16,40.16,40.16,0
