Data, Open, High, Low, Close, Volume
12/3/2008,505.8,517,505.6,510.8,100
12/4/2008,514.4,520,502.4,520,200
12/5/2008,535.8,544.4,523.6,526.6,300
12/8/2008,499.8,510,496.2,503.2,200
12/9/2008,516.2,516.2,501.4,503.2,700
12/10/2008,465,467.4,452.8,457.2,1200
12/11/2008,438,446,431,446,100
12/12/2008,446.6,457.6,436.8,443.4,400
12/15/2008,437.8,437.8,421.2,423.8,500
12/16/2008,428.8,429.8,400,401.2,1500
12/17/2008,399.8,448.2,385,395.8,3100
12/18/2008,403,414.6,399.2,410.4,4600
12/19/2008,424,427.6,420,424.2,2900
12/22/2008,406.8,417.6,406,414,1300
12/23/2008,417.6,428.4,396,421.4,3100
12/24/2008,420,421.6,411.4,412.2,300
12/26/2008,410.2,412.6,376,390.6,500
12/29/2008,379,387,357.2,382.6,1800
12/30/2008,387.6,391.6,385,385.6,600
12/31/2008,398,400,373.8,382,900
1/2/2009,382,386.2,379,385.4,600
1/5/2009,416.2,416.2,396.6,401,1900
1/6/2009,410.6,413,386.6,392,1600
1/7/2009,433,433,401.4,417,700
1/8/2009,393.4,404.8,393.4,400.2,1500
1/9/2009,411,411,386.6,400.4,4400
1/12/2009,420.2,440,420,432.8,5400
1/13/2009,432.8,436.2,422.4,432.6,28800
1/14/2009,434.6,447,433.2,445.8,15500
1/15/2009,441,452.4,434.4,436.2,3700
1/16/2009,416.4,421.6,408,409.6,4800
1/20/2009,394.6,402.4,386,397.4,11500
1/21/2009,401.4,406.4,395.2,398.8,2400
1/22/2009,397,398.8,390.6,394.2,1200
1/23/2009,375.8,420,353,358.8,6400
1/26/2009,349,355.8,342,352,3100
1/27/2009,358,360.2,355.6,359.6,3200
1/28/2009,361.2,370,357,369.6,5700
1/29/2009,372.8,374,349,349.4,4300
1/30/2009,340,347.2,331.8,334.8,9100
2/2/2009,342.8,353.8,339.2,353.2,3400
2/3/2009,348.6,362,345.4,355,6100
2/4/2009,350.8,353.8,346.6,350.8,2800
2/5/2009,337.6,347.6,336,340,3800
2/6/2009,344.4,346.2,341.6,344.2,2700
2/9/2009,355.6,360,352.6,356,3200
2/10/2009,350.2,350.2,339.4,340.2,3300
2/11/2009,336.8,336.8,317.8,323.2,10800
2/12/2009,320,322,315.2,317.2,7400
2/13/2009,323.4,328.6,321,321,7800
2/17/2009,304,305.4,300,302,8600
2/18/2009,303.4,306.6,292,293.8,9100
2/19/2009,298.4,301,294.8,300.4,10100
2/20/2009,284.4,291,280,287.6,16400
2/23/2009,295.6,298.8,285.4,289,26000
2/24/2009,289,308.6,288.6,304.4,55100
2/25/2009,306.4,317,296.4,313.4,37100
2/26/2009,317.8,324.6,313.6,314,38000
2/27/2009,306,327.8,303.4,318,26300
3/2/2009,312,330.4,310.4,328.4,31800
3/3/2009,330,342.2,328,335.6,24300
3/4/2009,333,346.2,332,341,15200
3/5/2009,335.6,340.6,316.8,319.2,30200
3/6/2009,320.2,323,312.2,317.2,12900
3/9/2009,317,336.2,317,328,11500
3/10/2009,336.8,350,336.8,346.8,22700
3/11/2009,344.8,349.2,333.8,338.4,14700
3/12/2009,330.4,331.2,320.8,325,17100
3/13/2009,320,327,318.8,322.2,11600
3/16/2009,329.8,331.6,324.8,325,7000
3/17/2009,330,333.6,328.2,332.4,4300
3/18/2009,341.2,354.6,303.8,305.6,38800
3/19/2009,302.8,306.6,293.6,297.2,24500
3/20/2009,301.4,303.6,297.4,301.2,10500
3/23/2009,303.4,313,300.6,313,17800
3/24/2009,320.4,322.4,313.4,318,23500
3/25/2009,319.8,322.2,307.2,310,10400
3/26/2009,305.6,312.8,305.4,312.8,8300
3/27/2009,319.6,322,317.4,320,7700
3/30/2009,325,326,312.6,324.2,19500
3/31/2009,322.2,327,319,323.4,5800
4/1/2009,315.2,322.4,314.8,317.8,5900
4/2/2009,333,339.6,329.8,333.2,34800
4/3/2009,332.4,343,328.8,341.4,19000
4/6/2009,352,361.8,350.8,359.8,34900
4/7/2009,351.4,352,344.6,347.4,18400
4/8/2009,343,350,340,348.2,27900
4/9/2009,351,352,345.8,350.6,9000
4/13/2009,335.6,339.6,332.2,337,18900
4/14/2009,338,343.6,337.4,341.4,6800
4/15/2009,341.2,342,337,339.2,5900
4/16/2009,340.8,354.6,340.8,353.2,20700
4/17/2009,354.6,360.2,354,358.2,11700
4/20/2009,352,352,341,343,18900
4/21/2009,336.6,348.2,335.8,343.6,8500
4/22/2009,342.8,344.8,336.8,339.8,7900
4/23/2009,338,338.2,325,329.6,11800
4/24/2009,327,328.4,321.2,321.8,11900
4/27/2009,325.8,327.6,322.2,327,4600
4/28/2009,339.8,341,335.6,336,8800
4/29/2009,332.8,338.2,329,332.4,20000
4/30/2009,344.8,346.2,336.2,340.2,15000
5/1/2009,343.6,344.4,338.4,342.6,11400
5/4/2009,338.2,338.2,325,329.4,12400
5/5/2009,320.2,334.4,320.2,330.6,13100
5/6/2009,323.2,327.2,321,321.6,11000
5/7/2009,316.2,323,315.8,322.8,19800
5/8/2009,320,326,317.4,318.2,5700
5/11/2009,319.8,321.6,317.8,319.8,4200
5/12/2009,315.8,318,311.4,312.2,50700
5/13/2009,312.8,315,307.4,311.4,9100
5/14/2009,311.8,312.8,308.8,311,5800
5/15/2009,310.4,310.4,305.2,307.4,6000
5/18/2009,307.6,316,307.2,314.8,7400
5/19/2009,313.8,313.8,308,311,5800
5/20/2009,307.2,307.2,300.8,301.8,12000
5/21/2009,301.2,303.8,291.2,292,17100
5/22/2009,288.8,291.6,288.2,289.8,9300
5/26/2009,296.6,297.4,290.8,292,8100
5/27/2009,291.4,295.2,288.4,293.4,15700
5/28/2009,288.6,290.4,285,289,8200
5/29/2009,279.8,280,276,276.6,22200
6/1/2009,274,280,273.6,279.4,15400
