Data, Open, High, Low, Close, Volume
6/24/2015,20.59,20.59,20.49,20.49,1200
6/25/2015,20.6,20.6,20.5,20.5,1700
6/26/2015,20.5,20.6,20.5,20.6,2800
6/29/2015,20.39,20.39,20.02,20.02,1200
6/30/2015,19.87,19.99,19.7,19.99,1500
7/1/2015,19.94,19.98,19.94,19.98,2800
7/2/2015,19.98,19.98,19.98,19.98,0
7/6/2015,20.17,20.17,20,20,1000
7/7/2015,19.53,20.18,19.53,20.18,700
7/8/2015,20.18,20.18,20.18,20.18,0
7/9/2015,20.46,20.46,19.99,19.99,900
7/10/2015,20.35,20.35,20.32,20.32,500
7/13/2015,20.32,20.32,20.32,20.32,0
7/14/2015,20.8,20.8,20.8,20.8,300
7/15/2015,20.54,20.54,20.19,20.19,300
7/16/2015,20.12,20.21,19.94,20.18,1400
7/17/2015,20.45,20.45,19.89,19.89,4300
7/20/2015,19.89,19.89,19.89,19.89,0
7/21/2015,19.89,19.89,19.89,19.89,0
7/22/2015,19.9,19.9,19.9,19.9,200
7/23/2015,19.9,19.9,19.9,19.9,0
7/24/2015,20.15,20.15,19.29,19.29,800
7/27/2015,19.26,19.26,19.17,19.17,300
7/28/2015,19.17,19.17,19.17,19.17,0
7/29/2015,19.17,19.17,19.17,19.17,0
7/30/2015,20.64,20.64,20.64,20.64,200
7/31/2015,20.75,20.75,20.75,20.75,100
8/3/2015,21.09,21.09,21.09,21.09,500
8/4/2015,20.7,20.7,20.7,20.7,500
