Data, Open, High, Low, Close, Volume
6/29/2015,19.86,19.86,19.86,19.86,100
6/30/2015,20.24,20.24,20,20,400
7/2/2015,20.25,20.25,20.25,20.25,700
7/6/2015,20.25,20.25,20.25,20.25,0
7/7/2015,19.81,19.81,19.81,19.81,500
7/8/2015,19.81,19.81,19.81,19.81,0
7/9/2015,19.81,19.81,19.81,19.81,0
7/10/2015,19.81,19.81,19.81,19.81,0
7/13/2015,19.17,19.42,19.17,19.24,700
7/14/2015,19.24,19.24,19.24,19.24,0
7/15/2015,19.24,19.24,19.24,19.24,0
7/16/2015,19.24,19.24,19.24,19.24,0
7/17/2015,19.4,19.95,19.4,19.95,1300
7/20/2015,20.17,20.18,20.17,20.18,300
7/21/2015,20.18,20.18,20.18,20.18,0
7/22/2015,20.18,20.18,20.18,20.18,0
7/23/2015,19.58,19.58,19.58,19.58,100
7/24/2015,19.58,19.58,19.58,19.58,0
7/27/2015,20.69,20.69,20.5,20.5,700
7/28/2015,19.98,19.98,19.98,19.98,1000
7/29/2015,19.17,19.17,19.17,19.17,300
7/30/2015,19.17,19.17,19.17,19.17,0
7/31/2015,19.17,19.17,19.17,19.17,0
8/3/2015,19.17,19.17,19.17,19.17,0
8/4/2015,19.17,19.17,19.17,19.17,0
