Data, Open, High, Low, Close, Volume
7/14/2011,40.11,40.15,39.96,40.02,5500
7/15/2011,40.08,40.08,39.91,39.91,2500
7/18/2011,39.91,39.91,39.85,39.88,2600
7/19/2011,40.03,40.08,40.03,40.08,300
7/20/2011,40.13,40.13,40.13,40.13,200
7/21/2011,40.14,40.32,40.14,40.31,7200
7/22/2011,40.26,40.34,40.06,40.26,167800
7/25/2011,40.26,40.27,40.26,40.27,5400
7/26/2011,40.32,40.32,40.17,40.24,3100
7/27/2011,40.05,40.05,39.95,39.95,4600
7/28/2011,39.89,40.01,39.89,39.93,2600
7/29/2011,39.89,39.89,39.89,39.89,100
8/1/2011,40.07,40.07,39.88,39.88,800
8/2/2011,39.7,39.7,39.55,39.55,1900
8/3/2011,39.41,39.41,39.39,39.39,10200
8/4/2011,39.11,39.11,38.96,38.96,2000
8/5/2011,38.96,38.96,38.58,38.74,27700
8/8/2011,38.15,38.15,37.83,37.89,600
8/9/2011,38.14,38.25,38.14,38.25,4200
8/10/2011,38.11,38.11,38,38,2300
8/11/2011,38.29,38.29,38.23,38.23,3900
8/12/2011,38.61,38.61,38.45,38.45,900
8/15/2011,38.45,38.45,38.45,38.45,0
8/16/2011,38.62,38.64,38.61,38.61,400
8/17/2011,38.78,38.9,38.7,38.7,28600
8/18/2011,38.7,38.7,38.07,38.07,2400
8/19/2011,38.54,38.55,37.92,37.92,110600
8/22/2011,39.05,39.05,39.05,39.05,300
8/23/2011,38.55,38.55,38.55,38.55,100
8/24/2011,38.55,38.55,38.55,38.55,0
8/25/2011,39.04,39.04,38.19,38.21,1100
8/26/2011,38.31,38.31,38.31,38.31,200
8/29/2011,38.31,38.31,38.31,38.31,0
8/30/2011,38.5,38.77,38.5,38.77,2700
8/31/2011,44.2,44.2,38.81,38.81,1400
9/1/2011,38.89,38.89,38.75,38.75,1500
9/2/2011,38.42,38.42,38.42,38.42,100
9/6/2011,38.03,38.03,37.88,37.97,3400
9/7/2011,38.48,38.48,38.48,38.48,300
9/8/2011,37.81,38.57,37.81,38.57,900
9/9/2011,38.18,38.18,38.18,38.18,1000
9/12/2011,37.96,37.96,37.79,37.92,300
9/13/2011,38.14,38.14,38.14,38.14,200
9/14/2011,38.14,38.14,38.14,38.14,0
9/15/2011,38.31,38.31,38.31,38.31,200
9/16/2011,38.39,38.39,38.39,38.39,1000
9/19/2011,39.09,39.09,38.15,38.16,1800
9/20/2011,38.4,38.4,38.37,38.37,600
9/21/2011,38.06,38.07,38.01,38.01,1600
9/22/2011,37.3,37.3,37.2,37.2,1600
9/23/2011,37.34,37.34,37.34,37.34,100
9/26/2011,37.43,37.46,37.41,37.41,6400
9/27/2011,38.1,38.1,38.01,38.03,1200
9/28/2011,37.95,38.01,37.77,37.77,3900
