Data, Open, High, Low, Close, Volume
6/25/2015,39.76,39.88,39.76,39.82,2800
6/26/2015,40.02,40.04,39.84,39.86,5000
6/29/2015,39.19,39.19,38.49,38.49,10000
6/30/2015,38.67,38.67,38.43,38.49,1700
7/1/2015,39.04,39.04,38.83,38.83,500
7/2/2015,38.81,38.84,38.74,38.84,1100
7/6/2015,38.14,38.19,37.92,37.92,1700
7/7/2015,37.76,38.16,37.56,38.12,3300
7/8/2015,37.62,37.63,37.4,37.58,4600
7/9/2015,38.14,38.54,38.14,38.54,200
7/10/2015,39.21,39.56,39.14,39.38,51000
7/13/2015,42,42,39.68,39.79,4700
7/14/2015,39.68,39.94,39.68,39.94,20500
7/15/2015,40.09,40.09,39.79,39.89,13500
7/16/2015,40.48,40.49,40.19,40.33,38000
7/17/2015,40.37,40.37,40.23,40.33,6700
7/20/2015,40.52,40.56,40.41,40.47,11700
7/21/2015,40.35,40.35,40.08,40.14,13700
7/22/2015,39.88,39.96,39.84,39.88,4300
7/23/2015,39.8,39.96,39.66,39.68,16400
7/24/2015,39.77,39.77,39.31,39.32,6800
7/27/2015,38.91,38.96,38.72,38.72,7900
7/28/2015,39.03,39.29,38.93,39.2,7000
7/29/2015,39.31,39.61,39.28,39.61,4600
7/30/2015,39.64,39.64,39.4,39.59,4100
7/31/2015,39.56,39.82,39.56,39.73,4100
8/3/2015,39.98,39.98,39.98,39.98,100
8/4/2015,39.91,39.98,39.91,39.98,124900
