Data, Open, High, Low, Close, Volume
6/25/2015,39.94,39.99,39.94,39.99,2600
6/26/2015,40.41,40.41,40.13,40.13,1200
6/29/2015,39.2,39.2,38.74,38.74,900
6/30/2015,39.08,39.08,38.9,38.91,1500
7/1/2015,39.55,39.55,39.55,39.55,100
7/2/2015,39.19,39.19,39.19,39.19,200
7/6/2015,39.04,39.04,38.75,38.84,1200
7/7/2015,38.68,38.99,38.68,38.94,1200
7/8/2015,37.45,37.45,36.95,37.01,3300
7/9/2015,37.52,37.66,37.52,37.66,300
7/10/2015,38.4,38.56,38.27,38.35,1600
7/13/2015,46.02,46.02,38.37,39.25,6900
7/14/2015,39.11,39.42,39.11,39.34,64000
7/15/2015,39.45,39.73,39.4,39.46,6000
7/16/2015,39.76,39.8,39.63,39.68,13600
7/17/2015,39.83,39.83,39.71,39.71,6500
7/20/2015,39.93,40.1,39.84,39.95,24700
7/21/2015,39.89,39.89,39.49,39.55,15700
7/22/2015,39.45,39.56,39.45,39.49,4300
7/23/2015,39.66,39.66,39.38,39.38,11300
7/24/2015,39.54,39.55,39.09,39.21,8000
7/27/2015,38.59,38.66,38.42,38.59,7900
7/28/2015,38.74,38.93,38.59,38.9,7600
7/29/2015,38.85,39.13,38.81,39.13,2900
7/30/2015,39.3,39.35,39.21,39.3,3600
7/31/2015,39.4,39.57,39.4,39.53,3500
8/3/2015,39.48,39.48,39.48,39.48,100
8/4/2015,39.38,39.38,39.38,39.38,127200
