Data, Open, High, Low, Close, Volume
5/23/2013,71.57,71.73,71.57,71.73,3200
5/24/2013,72.11,72.11,71.86,72.09,3500
5/28/2013,72.36,72.96,71.91,72.55,6000
5/29/2013,72.14,72.14,71.84,71.97,3700
5/30/2013,71.98,71.98,71.86,71.98,10900
5/31/2013,72,72.11,72,72.11,1200
6/3/2013,72.45,72.45,71.67,71.83,2300
6/4/2013,70.43,73.24,70.35,71.62,2800
6/5/2013,71.58,71.58,71.32,71.32,10900
6/6/2013,71.49,71.49,71.49,71.49,100
6/7/2013,70.36,71.64,70.36,71.36,400
6/10/2013,71.78,72.25,71.78,71.78,600
6/11/2013,71.71,71.95,71.71,71.95,700
6/12/2013,71.4,71.59,71.4,71.59,1800
6/13/2013,71.49,71.81,71.49,71.81,6500
6/14/2013,71.53,71.63,71.31,71.63,600
6/17/2013,71.33,72.49,71.33,72.49,1100
6/18/2013,72.54,72.71,71.71,71.75,24100
6/19/2013,71.58,71.58,71.09,71.09,2700
6/20/2013,71.61,71.61,71.13,71.13,5900
6/21/2013,70.91,71.13,70.73,71.13,2100
6/24/2013,71.15,71.15,70.81,70.91,6600
6/25/2013,70.91,70.91,70.82,70.82,1000
6/26/2013,70.51,70.6,68.82,70.6,1100
6/27/2013,70.22,70.96,70.22,70.96,400
6/28/2013,70.52,70.52,70.52,70.52,100
7/1/2013,70.76,70.95,70.31,70.49,7000
7/2/2013,70.49,70.49,70.46,70.46,200
7/3/2013,70.49,70.49,70.49,70.49,1600
7/5/2013,71.7,71.7,71.36,71.36,1200
7/8/2013,71.21,71.21,70.49,70.49,900
7/9/2013,71.34,72.4,71.19,71.35,2200
7/10/2013,71.35,71.35,71.35,71.35,200
7/11/2013,71.71,72.72,71.71,72.72,400
7/12/2013,72.91,72.91,71.89,71.91,2900
7/15/2013,72.77,72.89,72.5,72.5,1800
7/16/2013,74.27,74.27,71.89,72.01,8400
7/17/2013,72.17,72.17,72.15,72.15,2000
7/18/2013,72.43,72.47,72.43,72.47,2300
7/19/2013,73.91,73.91,72.5,72.83,2500
7/22/2013,72.83,72.85,72.06,72.85,3600
7/23/2013,73.74,73.74,72.44,72.94,3000
7/24/2013,73.59,73.59,72.86,72.86,6400
7/25/2013,72.4,74.45,71.21,72.64,3900
7/26/2013,72.65,72.65,72.65,72.65,700
7/29/2013,71.86,73,71.86,72.58,3600
7/30/2013,72.41,72.41,72.4,72.41,600
7/31/2013,72.47,72.56,72.41,72.5,9200
8/1/2013,72.26,72.26,72.12,72.12,4200
8/2/2013,71.72,72.22,71.72,72.14,1600
8/5/2013,71.63,71.72,71.63,71.63,300
8/6/2013,72.34,72.34,71.72,71.72,300
8/7/2013,71.54,71.56,71.09,71.53,3200
8/8/2013,71.76,71.76,71.69,71.69,1100
8/9/2013,71.4,71.4,71.37,71.37,1700
8/12/2013,72.9,72.9,71.36,71.36,200
8/13/2013,71.78,72.99,71.06,71.63,5400
8/14/2013,71.87,71.9,71.86,71.86,200
8/15/2013,71.86,71.86,71.86,71.86,200
8/16/2013,71.72,71.72,71.67,71.67,6300
8/19/2013,71.81,71.81,71.67,71.67,1300
8/20/2013,72.04,72.15,71.9,72.15,300
8/21/2013,71.58,71.58,71.31,71.31,600
8/22/2013,71.63,71.99,71.63,71.95,1700
8/23/2013,71.84,71.84,71.84,71.84,300
8/26/2013,71.52,71.52,71.45,71.45,400
8/27/2013,71.26,71.26,71.26,71.26,100
8/28/2013,71.44,71.44,71.44,71.44,0
8/29/2013,71.72,71.72,71.72,71.72,0
8/30/2013,71.52,71.52,71.49,71.49,100
9/3/2013,71.82,71.82,71.82,71.82,300
9/4/2013,72.2,72.2,72.2,72.2,0
9/5/2013,72.37,72.37,72.09,72.31,18600
9/6/2013,72.4,72.43,72.05,72.38,25100
9/9/2013,72.18,72.18,72.17,72.17,100
9/10/2013,72.56,72.56,72.56,72.56,2100
9/11/2013,72.26,72.27,72.18,72.18,400
9/12/2013,72.14,72.14,72.09,72.09,6700
9/13/2013,72.35,72.35,72.32,72.32,2700
9/16/2013,72.3,72.3,72.27,72.27,200
9/17/2013,72.59,72.59,72.59,72.59,5200
9/18/2013,72.53,72.64,72.53,72.64,600
9/19/2013,73.03,73.03,73.03,73.03,1800
9/20/2013,72.73,72.73,72.7,72.73,1300
9/23/2013,72.54,72.54,72.18,72.47,900
9/24/2013,72.32,72.32,72.32,72.32,0
9/25/2013,72.18,72.18,72.14,72.14,400
9/26/2013,72.07,72.07,72.07,72.07,500
9/27/2013,72,72.03,71.88,71.88,2000
9/30/2013,72.14,72.14,71.22,71.67,3000
10/1/2013,71.75,71.78,71.5,71.6,3800
10/2/2013,71.19,72.37,71.19,71.73,14500
10/3/2013,72.28,72.35,71.69,72.33,6400
10/4/2013,72.28,72.97,71.83,71.96,6800
10/7/2013,71.73,71.78,71.73,71.76,13500
10/8/2013,72.1,72.14,71.47,71.49,42300
10/9/2013,72.23,73.05,71.98,72.68,25500
10/10/2013,72.28,72.93,72.11,72.28,27000
10/11/2013,72.6,73.1,72.1,72.67,12000
10/14/2013,72.65,72.99,72.52,72.92,11000
10/15/2013,72.83,73.56,72.83,72.83,6300
10/16/2013,71.93,73.37,71.93,73.37,4500
10/17/2013,74.48,74.48,72.16,73.65,3100
10/18/2013,72.98,74.07,72.23,72.88,24600
10/21/2013,72.88,72.88,72.65,72.68,3500
10/22/2013,73.38,74.36,72.65,73.95,17700
10/23/2013,73.1,73.71,73.08,73.2,17900
10/24/2013,73.34,73.5,72.8,73.11,12000
10/25/2013,72.69,74.2,72.69,73.48,4300
10/28/2013,73.48,74.34,73.1,74.28,17500
10/29/2013,74.18,74.3,73.25,73.25,7900
10/30/2013,73.91,74.21,72.74,73.1,15500
10/31/2013,73.61,73.86,73.24,73.56,20200
11/1/2013,73.81,73.84,73.13,73.56,9500
11/4/2013,73.82,73.82,72.64,72.91,10100
11/5/2013,72.95,73.14,72.74,73.14,2900
11/6/2013,73.14,73.27,72.54,72.94,6200
11/7/2013,73.07,73.3,72.83,73.06,6400
11/8/2013,74.23,74.23,72.81,73.37,19100
11/11/2013,74.07,74.07,72.81,73.15,11300
11/12/2013,73.15,73.15,72.83,73.06,6500
11/13/2013,72.81,73.02,72.81,73.01,6300
11/14/2013,73.01,73.29,72.81,73.04,11700
11/15/2013,73.35,73.35,72.4,72.4,6500
11/18/2013,72.16,73.04,72.16,72.82,8400
11/19/2013,73.03,73.23,72.84,72.84,12000
11/20/2013,73.58,73.58,72.9,73.06,2600
11/21/2013,72.95,73.25,72.95,73.21,8500
11/22/2013,73.77,73.77,72.97,73.13,45800
11/25/2013,73.09,73.09,72.95,72.95,2800
11/26/2013,73.03,73.17,72.91,73.12,10800
11/27/2013,73.02,73.43,73.02,73.14,13000
11/29/2013,73.61,73.63,73.5,73.54,3000
12/2/2013,73.62,73.66,73.15,73.41,11400
12/3/2013,73.44,73.56,73.34,73.43,7400
12/4/2013,73.48,73.51,73.16,73.29,6900
12/5/2013,73.25,73.49,73.25,73.42,3300
