Data, Open, High, Low, Close, Volume
11/13/2013,75.9,75.9,75.9,75.9,200
11/14/2013,75.75,75.75,75.75,75.75,0
11/15/2013,75.53,75.53,75.53,75.53,0
11/18/2013,76,76,76,76,0
11/19/2013,75.93,75.93,75.91,75.91,1000
11/20/2013,76.11,76.11,76.1,76.1,600
11/21/2013,76.02,76.03,75.97,75.97,1500
11/22/2013,76.01,76.19,76.01,76.19,3000
11/25/2013,76.13,76.17,76.13,76.14,900
11/26/2013,76.07,76.1,76.07,76.1,700
11/27/2013,76.16,76.42,76.16,76.42,700
11/29/2013,76.42,76.42,76.42,76.42,0
12/2/2013,76.65,76.68,76.45,76.5,3800
12/3/2013,76.15,76.32,76.15,76.32,1800
12/4/2013,76.62,76.62,76.38,76.38,2700
12/5/2013,76.34,76.34,76.17,76.17,1400
12/6/2013,76.37,76.4,76.37,76.37,7400
12/9/2013,76.38,76.38,76.27,76.29,5800
12/10/2013,76.16,76.44,76.16,76.42,7800
12/11/2013,76.55,76.68,76.44,76.63,5200
12/12/2013,76.57,76.6,76.57,76.58,1300
12/13/2013,76.58,76.58,76.58,76.58,0
12/16/2013,76.54,76.63,76.54,76.6,5100
12/17/2013,76.5,76.74,76.5,76.74,1000
12/18/2013,76.88,76.98,76.88,76.92,3400
12/19/2013,76.94,77.08,76.94,77.08,2600
12/20/2013,77.26,77.37,77.24,77.37,6400
12/23/2013,77.52,77.6,77.52,77.58,36200
12/24/2013,77.65,77.74,77.65,77.74,7000
12/26/2013,77.85,77.85,77.41,77.41,1300
12/27/2013,77.29,77.39,77.29,77.39,1200
12/30/2013,77.74,77.74,77.65,77.7,1600
12/31/2013,77.95,77.95,77.73,77.78,9700
1/2/2014,77.88,77.88,77.84,77.88,3600
1/3/2014,77.97,77.98,77.89,77.89,5300
1/6/2014,78.01,78.04,77.77,77.77,8700
1/7/2014,77.89,77.89,77.7,77.82,1700
1/8/2014,77.87,77.87,77.81,77.82,3900
1/9/2014,77.71,77.74,77.67,77.67,2200
1/10/2014,77.65,77.67,77.63,77.65,1700
1/13/2014,81.8,81.8,77.41,77.65,1000
1/14/2014,77.68,77.72,77.68,77.71,5400
1/15/2014,77.77,77.77,77.43,77.43,1800
1/16/2014,77.41,77.7,77.41,77.65,3500
1/17/2014,77.59,77.65,77.42,77.56,4600
1/21/2014,77.61,77.62,77.56,77.58,10800
1/22/2014,77.66,77.67,77.63,77.66,1300
1/23/2014,77.6,77.6,77.22,77.31,1300
1/24/2014,77.34,77.34,77.31,77.31,1400
1/27/2014,77.22,77.22,76.64,76.84,6600
1/28/2014,76.84,76.84,76.84,76.84,200
1/29/2014,76.89,76.97,76.87,76.97,3500
1/30/2014,77.08,77.08,76.99,77.04,6300
1/31/2014,76.81,76.81,76.81,76.81,300
2/3/2014,76.78,76.78,76.32,76.44,2400
