Data, Open, High, Low, Close, Volume
3/29/2011,40.01,40.2,40.01,40.16,14500
3/30/2011,40.31,40.31,40.1,40.1,17500
3/31/2011,40,40.11,40,40.1,33900
4/1/2011,40.14,40.21,40.05,40.05,22200
4/4/2011,39.82,39.91,39.8,39.82,31200
4/5/2011,39.94,39.94,39.79,39.79,6400
4/6/2011,39.97,39.99,39.95,39.99,700
4/7/2011,39.99,39.99,39.99,39.99,0
4/8/2011,40.09,40.15,39.91,39.97,43100
4/11/2011,40.12,40.15,39.98,40.05,21200
4/12/2011,40.05,40.05,40.05,40.05,0
4/13/2011,39.94,39.99,39.74,39.82,24800
4/14/2011,39.81,39.92,39.81,39.81,37200
4/15/2011,39.91,39.91,39.72,39.72,500
4/18/2011,39.77,39.82,39.61,39.69,27600
4/19/2011,39.69,39.69,39.69,39.69,0
4/20/2011,39.59,39.61,39.5,39.56,13000
4/21/2011,39.49,39.62,39.49,39.62,5200
4/25/2011,39.56,39.56,39.39,39.41,15800
4/26/2011,39.4,39.42,39.4,39.42,700
4/27/2011,39.37,39.4,39.37,39.4,4000
4/28/2011,39.32,39.35,39.15,39.15,11800
4/29/2011,39.12,39.22,39.12,39.22,38000
5/2/2011,39.22,39.22,39.22,39.22,0
5/3/2011,39.22,39.22,39.22,39.22,0
5/4/2011,39.09,39.09,38.98,38.99,1400
5/5/2011,38.89,38.89,38.89,38.89,100
5/6/2011,38.92,38.92,38.79,38.79,300
5/9/2011,38.82,38.82,38.82,38.82,100
5/10/2011,38.86,38.86,38.86,38.86,100
5/11/2011,38.9,38.97,38.9,38.97,400
5/12/2011,39,39,39,39,200
5/13/2011,38.79,38.79,38.79,38.79,200
5/16/2011,38.76,38.76,38.75,38.75,200
5/17/2011,38.75,38.75,38.75,38.75,0
5/18/2011,38.75,38.75,38.75,38.75,0
5/19/2011,38.74,38.78,38.74,38.78,400
5/20/2011,38.76,38.76,38.76,38.76,100
5/23/2011,38.76,38.76,38.76,38.76,0
5/24/2011,38.72,38.72,38.71,38.71,200
5/25/2011,38.71,38.71,38.71,38.71,0
5/26/2011,38.71,38.71,38.71,38.71,0
5/27/2011,38.58,38.58,38.58,38.58,400
5/31/2011,38.58,38.58,38.58,38.58,0
6/1/2011,38.58,38.58,38.58,38.58,0
6/2/2011,38.58,38.58,38.58,38.58,0
6/3/2011,38.58,38.58,38.58,38.58,0
6/6/2011,38.51,38.51,38.51,38.51,800
6/7/2011,38.51,38.51,38.51,38.51,0
6/8/2011,38.64,38.64,38.5,38.5,8600
6/9/2011,38.5,38.66,38.5,38.66,400
6/10/2011,38.7,38.7,38.5,38.55,3600
6/13/2011,38.55,38.55,38.55,38.55,0
6/14/2011,38.55,38.55,38.55,38.55,0
6/15/2011,38.55,38.55,38.55,38.55,200
6/16/2011,38.55,38.55,38.55,38.55,0
6/17/2011,38.55,38.55,38.55,38.55,0
6/20/2011,38.55,38.55,38.55,38.55,0
6/21/2011,38.55,38.55,38.55,38.55,0
6/22/2011,38.55,38.55,38.55,38.55,0
6/23/2011,38.55,38.55,38.55,38.55,0
6/24/2011,38.55,38.55,38.55,38.55,0
6/27/2011,38.55,38.55,38.55,38.55,0
6/28/2011,38.55,38.55,38.55,38.55,0
6/29/2011,38.55,38.55,38.55,38.55,0
6/30/2011,38.98,38.98,38.98,38.98,200
7/1/2011,38.98,38.98,38.98,38.98,0
