Data, Open, High, Low, Close, Volume
4/14/2011,39.74,39.74,39.54,39.59,11400
4/15/2011,39.81,39.91,39.77,39.91,4500
4/18/2011,39.84,40.16,39.71,40.04,24700
4/19/2011,40.17,40.26,40.17,40.23,4100
4/20/2011,40.26,40.27,40.09,40.1,20700
4/21/2011,40.28,40.47,40.25,40.25,10800
4/25/2011,40.42,40.47,40.25,40.25,30300
4/26/2011,40.43,40.81,40.43,40.81,6800
4/27/2011,40.67,40.67,40.62,40.62,1000
4/28/2011,40.7,40.93,40.61,40.88,29600
4/29/2011,41.09,41.11,40.94,40.95,4200
5/2/2011,41.1,41.25,41.06,41.24,11000
5/3/2011,41.26,41.26,41.26,41.26,300
5/4/2011,41.26,41.26,41.26,41.26,0
5/5/2011,41.26,41.26,41.26,41.26,0
5/6/2011,41.6,41.6,41.55,41.55,8400
5/9/2011,41.55,41.55,41.55,41.55,0
5/10/2011,41.52,41.52,41.49,41.49,700
5/11/2011,41.44,41.44,41.44,41.44,500
5/12/2011,41.44,41.44,41.44,41.44,0
5/13/2011,41.49,41.58,41.48,41.56,2900
5/16/2011,41.58,41.72,41.52,41.72,3900
5/17/2011,41.72,41.72,41.72,41.72,0
5/18/2011,41.72,41.72,41.72,41.72,0
5/19/2011,41.72,41.72,41.72,41.72,0
5/20/2011,41.69,41.69,41.67,41.67,2500
5/23/2011,41.84,41.9,41.84,41.9,4000
5/24/2011,41.7,41.7,41.67,41.67,5000
5/25/2011,41.83,41.84,41.82,41.84,10000
5/26/2011,41.84,41.98,41.84,41.98,1100
5/27/2011,41.89,42.02,41.89,42.02,5100
5/31/2011,42.24,42.24,42.2,42.2,600
6/1/2011,42.45,42.56,42.45,42.5,6000
6/2/2011,42.3,42.31,41.78,41.78,11400
6/3/2011,42.11,42.11,41.7,41.7,3200
6/6/2011,41.7,41.74,41.7,41.74,4000
6/7/2011,41.74,41.83,41.74,41.83,3000
6/8/2011,41.93,42.13,41.76,42.13,14200
6/9/2011,42.14,42.14,41.69,41.69,2400
6/10/2011,41.97,42.03,41.79,41.79,20400
6/13/2011,41.84,41.89,41.8,41.89,2500
6/14/2011,41.61,41.61,41.57,41.57,500
6/15/2011,41.51,41.98,41.51,41.96,13500
6/16/2011,41.79,41.79,41.79,41.79,1000
6/17/2011,41.79,41.79,41.79,41.79,0
6/20/2011,41.8,41.8,41.8,41.8,400
6/21/2011,41.8,41.8,41.8,41.8,300
6/22/2011,41.8,41.8,41.8,41.8,0
