Data, Open, High, Low, Close, Volume
10/6/2011,55.24,58.79,54.59,54.59,2400
10/7/2011,57.65,57.65,57.65,57.65,1500
10/10/2011,56.11,56.24,56.11,56.24,100
10/11/2011,56.51,57.43,54.95,54.95,31900
10/12/2011,55.73,57.32,55.73,57.31,13100
10/13/2011,57.65,57.79,56.68,56.68,13100
10/14/2011,55.93,55.93,53.25,53.25,2300
10/17/2011,53.25,53.25,53.25,53.25,0
10/18/2011,56.29,57.44,56.29,57.44,1500
10/19/2011,56.37,56.88,56.08,56.48,11600
10/20/2011,56.48,56.48,56.48,56.48,0
10/21/2011,56.48,56.48,56.48,56.48,0
10/24/2011,56.48,56.48,56.48,56.48,0
10/25/2011,56.32,56.32,56.32,56.32,2000
10/26/2011,57.41,57.95,57.41,57.95,300
10/27/2011,58.71,58.71,56.63,58.07,2400
10/28/2011,54.88,55.43,53.84,54.08,36600
10/31/2011,54.43,54.43,54.43,54.43,4500
11/1/2011,57.12,57.12,56.56,57.03,6900
11/2/2011,58.35,58.35,57.15,58.09,6100
11/3/2011,55.87,57.68,55.79,57.68,4600
11/4/2011,56.68,58.21,56.41,58.21,5000
11/7/2011,60.72,60.72,60.16,60.16,2300
11/8/2011,60.77,60.77,59.25,59.25,3300
11/9/2011,61.04,61.83,60.53,61.57,4100
11/10/2011,62.09,62.97,61.27,62.56,5900
11/11/2011,64.29,64.29,63.19,63.81,3500
11/14/2011,66.49,67.47,66.49,67.36,22200
11/15/2011,67.77,69.79,67.45,69.12,20500
11/16/2011,68.37,72.28,68.37,71.63,14300
11/17/2011,70.48,71.55,67.24,67.84,20700
11/18/2011,69.23,72.19,69.03,71.44,15800
11/21/2011,70.75,71.49,67.57,68.24,23700
11/22/2011,69.76,69.77,69.19,69.25,3200
11/23/2011,70.51,70.83,66.17,66.73,5100
11/25/2011,64.83,65.55,64.8,65.44,9200
11/28/2011,66.83,69.25,66.83,69.15,8100
11/29/2011,66.51,67.65,65.29,65.29,21300
11/30/2011,67.39,68.13,65.56,67.79,9900
12/1/2011,67.93,68.05,63.2,64.68,5800
12/2/2011,66.39,66.57,66.39,66.57,4900
12/5/2011,69.81,71.88,69.48,71.24,7400
12/6/2011,71.79,72.12,69.8,70.53,11400
12/7/2011,72,72.71,72,72.61,6100
12/8/2011,70.71,71.56,70.71,71.28,4900
12/9/2011,74.61,76.89,74.59,76.49,8400
