Data, Open, High, Low, Close, Volume
4/22/2010,59.3,59.3,56.95,57.08,509400
4/23/2010,57.37,57.67,56.82,56.91,818000
4/26/2010,56.97,59.32,56.97,58.82,582200
4/27/2010,59.42,60.22,58.36,60.17,282500
4/28/2010,59.87,60.08,59.19,59.96,176800
4/29/2010,59.51,60.25,58.33,58.61,166000
4/30/2010,58.65,60.29,58.5,60.29,80000
5/3/2010,59.75,60.56,59.68,60.16,62800
5/4/2010,61.08,62.59,61.07,62.35,70000
5/5/2010,63.36,63.36,61.6,61.95,65700
5/6/2010,62.5,70.63,61.48,63.38,146700
5/7/2010,63.62,66.13,63.49,65.46,50200
5/10/2010,62.99,63.18,61.48,61.79,150900
5/11/2010,62.44,62.52,60.04,60.3,12200
5/12/2010,60.03,60.42,59.03,59.21,51900
5/13/2010,59.27,59.9,58.87,59.68,48100
5/14/2010,60.39,61.79,60.38,61.28,31600
5/17/2010,60.45,61.93,60.27,60.9,9700
5/18/2010,60.36,62.96,60.12,62.72,48700
5/19/2010,62.82,63.91,61.52,63.25,23800
5/20/2010,64.84,67.01,64.53,66.99,20000
5/21/2010,68.03,68.06,65.22,65.62,209500
5/24/2010,65.5,66.74,65.4,66.23,28200
5/25/2010,68.75,69.64,66.95,67.21,53800
5/26/2010,65.94,66.96,65.71,66.75,21000
5/27/2010,66.19,66.23,64.45,64.45,23800
5/28/2010,65,66.05,64.85,65.61,19100
6/1/2010,66.09,67.57,65.65,67.52,56800
6/2/2010,67.14,67.54,65.86,65.86,10400
6/3/2010,65.09,65.95,65.03,65.45,10100
6/4/2010,67.27,69.2,66.99,69.19,47300
6/7/2010,68.71,69.71,68.34,69.7,39500
6/8/2010,70.1,71.31,69.17,69.75,26200
6/9/2010,69.04,70.61,69.01,70.46,26800
6/10/2010,69.3,69.46,68.28,68.28,45900
6/11/2010,67.93,68.86,67.44,67.44,10600
6/14/2010,66.41,67.64,66.28,67.62,11600
6/15/2010,67.12,67.5,66.01,66.13,7500
6/16/2010,66.15,66.15,65.48,65.56,5100
6/17/2010,65.79,66.48,65.59,66.08,7100
6/18/2010,66.19,66.69,65.64,65.89,29000
6/21/2010,65.25,66.32,64.97,65.96,20900
6/22/2010,65.69,66.68,65.31,66.6,19900
6/23/2010,67.58,68.06,67.09,67.97,46200
6/24/2010,68.19,68.91,67.49,68.85,24900
6/25/2010,68.28,68.73,67.08,67.08,14400
6/28/2010,66.97,67.72,66.84,67.26,17200
6/29/2010,68.2,69.7,68.2,69.67,45700
6/30/2010,69.21,70.77,68.58,70.77,24500
7/1/2010,70.74,73.3,69.96,71.87,16800
7/2/2010,71.94,73.02,71.61,72.7,15900
7/6/2010,71.72,72.89,70.37,72.57,9400
7/7/2010,72.15,72.15,69.37,69.37,28000
7/8/2010,68.99,69.42,68.28,68.37,24700
7/9/2010,68.42,68.42,66.88,66.88,14900
7/12/2010,67.4,67.67,66.97,67.35,10900
7/13/2010,66.5,66.5,64.52,64.52,32900
7/14/2010,65.52,66.02,65.52,65.84,1900
7/15/2010,65.7,67.39,65.7,67.02,11800
7/16/2010,66.94,69.6,66.94,69.2,21000
7/19/2010,70.2,70.65,68.77,69.9,10000
7/20/2010,71.21,71.41,69.5,69.5,19100
7/21/2010,68.7,72.51,68.61,72.51,24500
7/22/2010,71.02,71.31,69.5,70.02,26200
