Data, Open, High, Low, Close, Volume
4/22/2010,59.15,64.08,59.15,63.74,555000
4/23/2010,63.04,64.51,62.48,64.11,742100
4/26/2010,64.1,64.12,59.73,59.73,325300
4/27/2010,58.95,60.71,56.86,56.99,387400
4/28/2010,57.83,58.97,57.18,57.43,339200
4/29/2010,57.74,60.55,56.89,60.22,328900
4/30/2010,59.8,60.17,56.59,56.6,194200
5/3/2010,58.11,58.62,55.85,56.8,151800
5/4/2010,55.76,55.76,52.16,52.64,168600
5/5/2010,50.92,53.94,50.42,53.35,393200
5/6/2010,52.46,54.11,44.48,49.4,277700
5/7/2010,49.6,50.95,46.39,47.45,218800
5/10/2010,52.46,53.08,50.76,52.91,83500
5/11/2010,51.63,56.42,51.28,54.76,105600
5/12/2010,55.75,57.6,54.87,57.07,59900
5/13/2010,57.01,57.76,56.13,56.35,31300
5/14/2010,55.49,55.49,52.27,53.52,82700
5/17/2010,53.5,55.21,51.48,53.85,60400
5/18/2010,55.05,55.3,49.98,50.96,32400
5/19/2010,49.48,52.74,48.69,49.75,71400
5/20/2010,47.65,47.99,43.96,44,99900
5/21/2010,41.99,46.67,41.99,45.82,128200
5/24/2010,46.27,46.27,43.26,43.3,39100
5/25/2010,41.45,43.9,40.33,43.65,44000
5/26/2010,45.3,45.51,43.66,44.1,42800
5/27/2010,45.64,47.35,45.2,47.32,18300
5/28/2010,46.37,46.64,44.75,45.37,57000
6/1/2010,44.97,45.34,43.83,44.15,17900
6/2/2010,43.28,45.39,42.72,45.39,25400
6/3/2010,45.55,45.93,44.57,45.49,13300
6/4/2010,44.52,44.52,40.05,40.07,91900
6/7/2010,40.66,41.15,39.72,39.73,35800
6/8/2010,39.57,40.27,37.9,39.51,64600
6/9/2010,40.04,40.21,38.57,38.7,24000
6/10/2010,39.56,41.17,39.56,41.17,15100
6/11/2010,40.31,42.05,40.31,42.05,12300
6/14/2010,42.65,43.55,41.85,41.85,8600
6/15/2010,42.24,43.22,41.99,43.22,15800
6/16/2010,43.03,44.64,43.03,43.93,3200
6/17/2010,44.14,44.37,43.04,43.85,25500
6/18/2010,44,44.34,42.89,43.99,8100
6/21/2010,44.87,45.16,43.41,43.88,22500
6/22/2010,44.05,44.78,43.06,43.06,17400
6/23/2010,42.66,42.66,41.21,41.25,28200
6/24/2010,41.13,41.55,40.07,40.18,15000
6/25/2010,40.81,42.28,40.29,42.27,16000
6/28/2010,42.25,42.49,41.37,41.94,11500
6/29/2010,41.04,41.04,38.7,38.99,21800
6/30/2010,39.1,40.18,37.65,37.72,58100
7/1/2010,37.65,38.54,34.94,36.69,36600
7/2/2010,36.88,37.43,35.4,36,6800
7/6/2010,36.87,38.01,35.3,35.83,12900
7/7/2010,36.24,38.9,36.24,38.89,18100
7/8/2010,39.89,40.12,38.83,40.05,11200
7/9/2010,39.86,41.75,39.77,41.73,14000
7/12/2010,41.64,42.21,40.51,41.07,8400
7/13/2010,42.18,44.78,42.18,44.57,14900
7/14/2010,44.52,44.52,42.12,43.02,23600
7/15/2010,43.44,43.44,40.51,41.96,44000
7/16/2010,40.94,40.94,38.09,38.41,46300
7/19/2010,38.77,38.91,36.91,37.65,40000
7/20/2010,36.32,38.21,36.15,38.16,38900
7/21/2010,38.62,38.62,34.76,34.77,38100
7/22/2010,36.07,37.57,35.87,37.57,19900
7/23/2010,37.6,38.68,36.54,38.67,29400
7/26/2010,38.73,40.6,38.15,40.6,13600
7/27/2010,41.19,42.27,41.19,41.46,12400
7/28/2010,41.42,41.87,39.98,40.25,13100
7/29/2010,41.18,41.23,39.22,40.09,16200
7/30/2010,39.03,40.53,38.89,39.97,13400
8/2/2010,41.03,41.3,40.36,41.24,9300
8/3/2010,41,42.05,40.42,40.7,11900
8/4/2010,41.14,41.68,40.68,40.97,14900
8/5/2010,40.29,40.51,39.69,40.02,13600
8/6/2010,39.25,39.37,37.72,38.33,17500
8/9/2010,39.28,40.5,38.88,40.5,4200
8/10/2010,39.63,39.9,38.58,38.94,10600
8/11/2010,37.07,37.33,35.48,35.48,14500
8/12/2010,34.91,34.91,33.94,34.28,14700
8/13/2010,34.17,34.41,33.54,33.54,28700
8/16/2010,33.34,34.42,33.31,34.08,9700
8/17/2010,35.13,35.46,34.55,35,14000
8/18/2010,34.56,35.62,34.53,35.13,3600
8/19/2010,34.78,35.1,33.04,33.52,55700
8/20/2010,32.96,33.26,31.53,33.11,47900
8/23/2010,33.66,34.07,32.18,32.18,11300
8/24/2010,31.65,32.12,30.31,31.91,23800
8/25/2010,31.34,31.88,30.42,31.88,8600
8/26/2010,32.19,32.73,31.26,31.26,5200
8/27/2010,31.75,32.91,31.42,32.91,12800
8/30/2010,32.26,32.33,30.5,30.5,3800
8/31/2010,30.72,31.67,30.42,31.01,12400
9/1/2010,31.99,33.51,31.72,33.51,20700
9/2/2010,33.61,34.03,33.1,33.89,14200
9/3/2010,34.65,35.14,34.42,34.87,12400
9/7/2010,34.8,34.8,33.25,33.34,9500
9/8/2010,33.81,34.65,33.81,34.12,16200
9/9/2010,34.69,35.53,34.02,34.56,6800
9/10/2010,35.07,35.07,34.75,34.81,1500
9/13/2010,35.61,37.02,35.61,36.93,18200
9/14/2010,36.33,36.33,35.24,35.46,9900
9/15/2010,35.17,35.75,34.72,35.68,9200
9/16/2010,35.13,35.13,34.34,34.79,7400
9/17/2010,35.22,35.29,34.18,34.97,7800
9/20/2010,34.86,37.08,34.86,37.08,9000
9/21/2010,36.8,37.89,36.32,36.45,14800
9/22/2010,35.96,36.15,34.07,34.45,43500
9/23/2010,33.75,35.72,33.67,33.79,22400
9/24/2010,35.1,36.11,34.53,36.11,29000
