Data, Open, High, Low, Close, Volume
5/22/2008,75.94,76,75.94,76,300
5/23/2008,74.9,74.9,73.66,74.05,700
5/27/2008,75.47,75.47,75.47,75.47,100
5/28/2008,76.38,76.38,76.38,76.38,100
5/29/2008,78.14,79.98,77.91,79.98,2300
5/30/2008,79.98,80.6,79.98,80.38,600
6/2/2008,77.91,77.91,77.76,77.76,1000
6/3/2008,76.28,76.28,76.28,76.28,100
6/4/2008,78.39,78.39,78.39,78.39,400
6/5/2008,81.4,81.4,81.4,81.4,600
6/6/2008,80,80,80,80,100
6/9/2008,76.22,76.69,75.54,76.69,24500
6/10/2008,76.69,76.69,76.69,76.69,0
6/11/2008,72.08,72.88,70.83,70.83,700
6/12/2008,72.63,72.63,69.06,69.25,1100
6/13/2008,71.35,71.97,71.12,71.97,300
6/16/2008,70.22,71.34,70.22,71.34,2100
6/17/2008,71.81,71.81,71.81,71.81,200
6/18/2008,69.83,69.83,69.83,69.83,200
6/19/2008,69.83,69.83,69.83,69.83,0
6/20/2008,66.49,66.49,65.92,66.24,600
6/23/2008,65.85,65.85,65.14,65.14,200
6/24/2008,64.8,64.81,64.8,64.81,500
6/25/2008,64.81,64.81,64.81,64.81,0
6/26/2008,65.01,65.01,63.9,63.99,1000
6/27/2008,61.85,62.52,61.85,62.01,1400
6/30/2008,64.62,64.62,64.62,64.62,100
7/1/2008,62.27,62.27,61.26,61.26,3300
7/2/2008,63.62,63.62,60.48,60.48,400
7/3/2008,59.41,59.41,58.76,58.76,300
7/7/2008,59.83,59.83,58.37,58.37,1600
7/8/2008,60.03,61.45,60.03,61.45,2200
7/9/2008,59.58,59.58,58.83,58.83,300
7/10/2008,58.64,58.64,58.64,58.64,100
7/11/2008,57.15,57.36,56.99,57.36,300
7/14/2008,58.12,58.64,58.12,58.64,400
7/15/2008,58.04,58.04,58.04,58.04,100
7/16/2008,58.12,58.45,58.12,58.45,1100
7/17/2008,58.64,58.64,58.64,58.64,200
7/18/2008,58.77,59.77,58.77,59.77,700
7/21/2008,60.6,60.6,59.54,59.54,16300
7/22/2008,58.62,58.65,58.62,58.65,600
7/23/2008,61.51,64.5,61.51,63.82,800
7/24/2008,63.15,63.17,61.62,61.62,800
7/25/2008,60.49,60.49,60.49,60.49,200
7/28/2008,59.13,59.13,59.13,59.13,300
7/29/2008,58.67,59.3,58.67,59.14,800
7/30/2008,60.51,60.51,59.85,59.85,2300
7/31/2008,60.67,61.02,60.67,61.02,2100
8/1/2008,61.02,61.02,61.02,61.02,0
8/4/2008,61.02,61.02,61.02,61.02,0
8/5/2008,58.89,59.29,58.83,59.29,4400
8/6/2008,59.29,59.29,59.29,59.29,0
8/7/2008,57.78,57.78,56.5,56.81,2400
8/8/2008,58.37,61.34,58.37,60.44,3000
8/11/2008,60.8,63.29,60.8,62.62,9900
8/12/2008,62.55,63.29,62.18,62.18,1500
8/13/2008,61.13,61.79,59.94,61.38,2900
8/14/2008,60.44,62.02,60.44,61.35,1000
8/15/2008,62.29,62.82,62.29,62.82,600
8/18/2008,62.82,62.82,62.82,62.82,0
8/19/2008,59.65,59.65,58.63,58.63,1900
8/20/2008,59.87,60.12,59.87,60.12,300
8/21/2008,58.68,60.1,58.68,59.5,300
8/22/2008,60.44,61.52,60.44,61.52,2200
8/25/2008,60.19,60.19,58.77,58.77,1000
8/26/2008,58.46,58.83,58.19,58.19,1000
8/27/2008,59.42,60.86,59.42,60.73,1900
8/28/2008,62.42,62.78,62.42,62.78,2500
8/29/2008,63.15,63.15,62.36,62.36,200
9/2/2008,65.13,65.54,63.67,63.91,6200
9/3/2008,64.27,64.27,64.12,64.18,600
