Data, Open, High, Low, Close, Volume
12/13/2012,38.83,38.83,38.73,38.74,101800
12/14/2012,38.77,38.77,38.7,38.71,4700
12/17/2012,38.76,38.76,38.7,38.7,2200
12/18/2012,38.8,38.8,38.73,38.74,1700
12/19/2012,38.8,38.87,38.8,38.8,8800
12/20/2012,38.84,38.84,38.81,38.82,3400
12/21/2012,38.84,38.84,38.84,38.84,300
12/24/2012,38.87,38.87,38.87,38.87,100
12/26/2012,38.91,38.91,38.91,38.91,3700
12/27/2012,38.98,38.98,38.84,38.91,14000
12/28/2012,38.88,38.96,38.88,38.96,3000
12/31/2012,38.9,39.13,38.9,39.13,1900
1/2/2013,39.06,39.07,39.06,39.07,900
1/3/2013,39.07,39.07,39.02,39.02,500
1/4/2013,38.99,39,38.99,39,3500
1/7/2013,38.93,38.99,38.93,38.99,700
1/8/2013,38.97,38.98,38.97,38.98,1000
1/9/2013,38.94,39.01,38.94,39.01,800
1/10/2013,39.01,39.01,39.01,39.01,0
1/11/2013,38.96,39.01,38.94,39,900
1/14/2013,38.87,38.87,38.44,38.45,3000
1/15/2013,38.34,38.34,38.33,38.33,2200
1/16/2013,38.33,38.41,38.33,38.41,400
1/17/2013,38.56,38.56,38.33,38.33,1000
1/18/2013,38.33,38.49,38.33,38.48,1000
1/22/2013,38.48,38.48,38.48,38.48,100
1/23/2013,38.32,38.32,38.24,38.24,1800
1/24/2013,38.18,38.18,38.18,38.18,100
1/25/2013,38.14,38.14,38.08,38.12,600
1/28/2013,38.12,38.22,38.12,38.22,500
1/29/2013,38.04,38.04,38.04,38.04,300
1/30/2013,38.03,38.03,37.84,37.84,700
1/31/2013,37.84,37.84,37.84,37.84,0
2/1/2013,37.79,37.79,37.79,37.79,100
2/4/2013,37.79,37.79,37.79,37.79,0
2/5/2013,37.79,37.79,37.79,37.79,0
2/6/2013,37.79,37.79,37.79,37.79,0
2/7/2013,37.76,37.76,37.76,37.76,200
2/8/2013,37.76,37.76,37.76,37.76,0
2/11/2013,37.76,37.76,37.76,37.76,0
2/12/2013,37.83,37.83,37.83,37.83,200
2/13/2013,37.83,37.83,37.83,37.83,0
2/14/2013,37.83,37.83,37.83,37.83,0
