Data, Open, High, Low, Close, Volume
6/21/2006,30.89,32.14,30.89,32.02,21000
6/22/2006,31.66,31.66,31.28,31.55,90000
6/23/2006,31.37,32.33,31.25,32.08,9600
6/26/2006,32.31,32.41,32.18,32.41,24200
6/27/2006,32.5,32.63,31.75,31.77,42800
6/28/2006,31.87,31.95,31.3,31.95,133200
6/29/2006,32.23,33.76,32.23,33.76,101000
6/30/2006,34.17,34.19,33.59,33.87,228000
7/3/2006,34.13,34.55,34.08,34.55,128800
7/5/2006,34.14,34.14,32.95,33.46,139800
7/6/2006,33.84,34.09,33.51,33.52,75400
7/7/2006,33.43,33.76,32.95,33.07,21400
7/10/2006,33.37,33.56,32.81,32.83,34400
7/11/2006,32.6,33.16,32.35,33.16,151200
7/12/2006,33.1,33.1,32.25,32.38,110200
7/13/2006,31.95,32.1,31.14,31.22,266400
7/14/2006,31.04,31.07,30.37,30.58,304200
7/17/2006,30.67,30.95,30.22,30.22,47800
7/18/2006,30.41,30.41,29.54,30.33,77200
7/19/2006,30.76,31.91,30.71,31.86,212200
7/20/2006,31.95,31.95,30.23,30.23,149200
7/21/2006,29.76,29.87,29.19,29.41,282600
7/24/2006,30.01,30.76,29.84,30.76,343000
7/25/2006,30.75,31.58,30.63,31.32,308400
7/26/2006,31.3,31.79,30.82,31.43,165800
7/27/2006,31.74,31.99,30.64,30.81,192200
7/28/2006,31.05,31.79,31.05,31.72,83200
7/31/2006,31.71,31.95,31.54,31.9,63400
8/1/2006,31.29,31.44,30.92,31.44,73200
8/2/2006,31.87,32.15,31.45,31.7,95800
8/3/2006,31.2,32.37,31.2,32.2,174600
8/4/2006,32.75,33.08,31.5,31.91,180600
8/7/2006,31.78,31.78,31.27,31.44,82600
8/8/2006,31.51,31.76,30.76,30.88,126400
8/9/2006,31.53,31.54,30.44,30.44,133200
8/10/2006,30.03,31.05,30.03,30.84,78600
8/11/2006,30.45,30.66,30.06,30.42,63800
8/14/2006,30.71,31.03,30.18,30.29,80000
8/15/2006,31.15,31.5,30.89,31.49,63600
8/16/2006,31.82,32.43,31.67,32.34,143000
8/17/2006,32.4,32.68,32.13,32.41,244400
8/18/2006,32.39,32.59,31.85,32.44,139600
8/21/2006,32.26,32.26,31.75,31.93,74200
8/22/2006,31.93,32.13,31.72,31.99,88400
8/23/2006,32.13,32.19,31.07,31.33,102200
8/24/2006,31.33,31.34,30.83,31.16,97600
8/25/2006,30.98,31.53,30.98,31.15,78800
8/28/2006,31.22,31.73,31.14,31.6,66400
8/29/2006,31.8,32,31.25,31.99,95000
8/30/2006,31.93,32.2,31.56,32.13,90600
8/31/2006,32.22,32.5,32.11,32.39,108800
9/1/2006,32.46,32.83,32.26,32.67,132200
9/5/2006,32.75,32.97,32.55,32.95,120600
9/6/2006,32.31,32.38,31.75,31.81,125600
9/7/2006,31.37,31.87,31.09,31.37,117600
9/8/2006,31.36,31.64,31.36,31.48,76200
9/11/2006,31.29,31.68,30.74,31.37,107200
9/12/2006,31.49,32.48,31.49,32.44,96800
9/13/2006,32.44,32.99,32.41,32.94,121600
9/14/2006,32.91,32.91,32.35,32.49,70200
9/15/2006,32.86,32.86,32.27,32.5,208800
9/18/2006,32.33,32.71,32.21,32.36,65000
9/19/2006,32.37,32.46,31.56,32.15,115400
