Data, Open, High, Low, Close, Volume
6/21/2006,54.33,54.33,54.33,54.33,200
6/22/2006,54.76,55.06,54.76,54.92,2800
6/23/2006,54.57,54.57,54.38,54.38,6600
6/26/2006,54.27,54.54,54.24,54.24,21300
6/27/2006,54.03,54.75,54.03,54.73,49000
6/28/2006,54.62,55.1,54.58,54.74,58500
6/29/2006,54.3,54.3,53.36,53.48,23000
6/30/2006,52.96,53.18,52.67,52.72,62200
7/3/2006,52.88,52.92,52.57,52.57,11200
7/5/2006,52.95,53.66,52.95,53.37,42300
7/6/2006,53.06,53.33,52.92,53.18,16800
7/7/2006,53.32,53.82,53.21,53.64,66000
7/10/2006,53.91,54.07,53.39,53.99,1058500
7/11/2006,53.99,54.31,53.62,53.74,367100
7/12/2006,53.46,54.42,53.46,54.38,90500
7/13/2006,54.74,55.24,54.4,55.17,273800
7/14/2006,55.53,56.08,55.29,55.71,291500
7/17/2006,55.65,56.1,55.44,55.92,82000
7/18/2006,55.57,56.65,55.57,55.99,351900
7/19/2006,55.85,55.85,54.5,54.62,248600
7/20/2006,54.46,55.95,54.38,55.95,262300
7/21/2006,56.32,56.91,56.2,56.72,339900
7/24/2006,56.12,56.3,55.53,55.53,197900
7/25/2006,55.53,55.63,54.54,54.8,134900
7/26/2006,54.74,55.44,54.59,54.95,88500
7/27/2006,54.56,55.63,54.38,55.5,212900
7/28/2006,55.33,55.33,54.45,54.62,96800
7/31/2006,54.62,54.79,54.31,54.51,72200
8/1/2006,54.9,55.43,54.54,54.98,73800
8/2/2006,54.58,54.81,54.23,54.66,57500
8/3/2006,55.12,55.18,54.07,54.15,117000
8/4/2006,53.63,54.82,53.32,54.46,246800
8/7/2006,54.81,55.12,54.69,55.02,132300
8/8/2006,54.82,55.53,54.38,55.46,103400
8/9/2006,55.05,55.84,54.94,55.84,117400
8/10/2006,56.15,56.29,55.36,55.48,149900
8/11/2006,55.65,56.22,55.65,55.91,68200
8/14/2006,55.45,56.11,55.39,56.01,122100
8/15/2006,55.53,55.53,54.86,54.92,103200
8/16/2006,54.54,54.72,54.05,54.12,103800
8/17/2006,54.27,54.35,53.88,54.23,173800
8/18/2006,54.13,54.57,53.99,54.07,101800
8/21/2006,54.19,54.66,54.19,54.54,103400
8/22/2006,54.65,54.73,54.41,54.54,156200
8/23/2006,54.51,55.32,54.4,55.14,173100
8/24/2006,55.02,55.54,55.02,55.24,118200
8/25/2006,55.33,55.45,54.96,55.28,211700
8/28/2006,55.28,55.36,54.78,54.86,46400
8/29/2006,54.86,55.25,54.59,54.6,64900
8/30/2006,54.5,54.73,54.4,54.52,46500
8/31/2006,54.36,54.5,54.14,54.27,42600
9/1/2006,54.08,54.31,53.92,54.03,30800
9/5/2006,54.13,54.21,53.75,53.81,63600
9/6/2006,54.35,54.99,54.31,54.76,88900
9/7/2006,55.21,55.4,54.78,55.23,204600
9/8/2006,55.18,55.28,54.94,55.12,46500
9/11/2006,55.41,55.79,54.97,55.3,92100
9/12/2006,55.14,56.01,54.23,54.34,110500
9/13/2006,54.3,54.31,53.75,53.85,89400
9/14/2006,53.91,54.35,53.91,54.24,70300
9/15/2006,54.01,54.41,53.99,54.3,93400
9/18/2006,54.33,54.49,54.07,54.38,55100
9/19/2006,54.31,55.1,54.31,54.65,168800
9/20/2006,54.26,54.42,53.95,54.2,75300
9/21/2006,54.12,54.75,54.04,54.62,72500
9/22/2006,54.84,55.33,54.84,55.03,67000
9/25/2006,55.05,55.53,54.46,54.56,59600
9/26/2006,54.54,54.97,54,54.01,111300
9/27/2006,54.05,54.09,53.73,53.84,107700
9/28/2006,53.66,54.21,53.59,53.94,37300
9/29/2006,53.82,54.28,53.82,54.15,45900
10/2/2006,54.38,54.69,54.1,54.54,39600
10/3/2006,54.74,55.06,54.42,54.76,61000
10/4/2006,54.87,54.87,53.82,53.9,87500
10/5/2006,53.44,53.63,52.94,52.99,1084400
10/6/2006,53.12,53.75,53.12,53.36,145000
10/9/2006,53.4,53.63,52.96,53.12,172800
10/10/2006,53.12,53.21,52.86,52.97,86700
10/11/2006,53.18,53.44,52.88,53.07,69700
10/12/2006,52.8,52.88,52.35,52.39,211700
10/13/2006,52.42,52.43,52.08,52.13,82500
10/16/2006,52.08,52.17,51.78,51.83,51600
10/17/2006,52.12,52.59,52.08,52.33,258200
10/18/2006,52,52.57,52,52.49,54100
10/19/2006,52.57,52.65,52.18,52.18,26800
10/20/2006,52.4,52.72,52.4,52.64,25500
10/23/2006,52.8,52.8,52.25,52.4,45700
10/24/2006,52.48,52.54,52.23,52.24,42200
10/25/2006,52.24,52.34,52.01,52.01,198000
10/26/2006,51.86,52.22,51.63,51.67,66100
10/27/2006,51.82,52.28,51.67,52.28,39700
10/30/2006,52.48,52.62,52.08,52.19,61000
10/31/2006,52.14,52.7,52.14,52.49,44200
11/1/2006,52.29,53.14,52.25,53.14,80200
11/2/2006,53.24,53.5,53.08,53.1,74500
11/3/2006,52.96,53.41,52.85,53.03,54500
11/6/2006,52.72,52.82,52.29,52.5,52700
11/7/2006,52.47,52.57,51.97,52.35,60300
11/8/2006,52.54,52.65,51.95,51.99,72100
11/9/2006,51.97,52.57,51.97,52.29,54000
11/10/2006,52.31,52.35,52.05,52.05,15700
11/13/2006,52.15,52.22,51.86,51.98,36700
11/14/2006,51.81,52.12,51.4,51.4,31600
11/15/2006,51.39,51.43,50.99,51.1,87400
11/16/2006,51,51.21,51,51.1,21700
11/17/2006,51.28,51.56,51.18,51.21,20600
11/20/2006,51.25,51.35,51.03,51.1,28600
11/21/2006,51.18,51.28,51.08,51.08,20000
11/22/2006,51,51.14,50.88,50.88,16800
11/24/2006,51.13,51.13,50.85,50.95,8000
11/27/2006,51.15,52.02,51.11,52.02,45600
11/28/2006,52.06,52.17,51.84,51.86,161900
11/29/2006,51.5,51.62,51.22,51.25,63700
11/30/2006,51.16,51.43,50.96,51.14,90700
12/1/2006,51.06,51.73,51.06,51.14,46100
12/4/2006,51.05,51.05,50.55,50.59,37300
12/5/2006,50.54,50.69,50.41,50.46,22700
12/6/2006,50.59,50.67,50.39,50.67,35100
12/7/2006,50.48,50.78,50.37,50.75,48500
12/8/2006,50.91,50.99,50.54,50.72,18200
12/11/2006,50.96,50.96,50.72,50.84,13700
12/12/2006,50.91,51.33,50.89,51.08,35900
12/13/2006,50.92,51.22,50.84,51.08,242300
12/14/2006,51.06,51.06,50.51,50.71,17900
12/15/2006,50.55,50.94,50.55,50.88,30000
12/18/2006,50.75,51.58,50.75,51.38,103400
12/19/2006,51.86,51.86,51.35,51.46,134700
12/20/2006,51.35,51.42,51.14,51.39,16300
12/21/2006,51.25,51.76,51.13,51.66,96900
12/22/2006,51.78,51.97,51.74,51.86,16900
12/26/2006,51.74,51.93,51.74,51.84,14300
12/27/2006,51.29,51.36,50.34,51.14,23100
12/28/2006,51.25,51.49,51.21,51.45,40400
12/29/2006,51.33,51.9,51.29,51.81,56700
1/3/2007,51.48,52.15,51.28,51.64,42300
1/4/2007,51.92,52.11,51.51,51.58,18100
1/5/2007,51.89,52.31,51.86,52.2,35900
1/8/2007,52.31,52.44,52.02,52.11,43900
1/9/2007,52.16,52.4,51.9,51.97,62000
1/10/2007,52.16,52.26,51.68,51.68,47700
1/11/2007,51.54,51.59,51.01,51.27,85800
1/12/2007,51.14,51.22,50.57,50.88,85800
1/16/2007,50.8,51.06,50.64,50.99,21200
1/17/2007,51.12,51.12,50.82,51.02,25800
1/18/2007,51.09,51.76,51.09,51.54,20600
1/19/2007,51.72,51.77,50.86,50.86,475100
1/22/2007,51.14,51.95,51.14,51.41,68900
1/23/2007,51.42,51.46,50.88,50.89,83300
1/24/2007,51.03,51.03,50.42,50.58,28100
1/25/2007,50.68,51.3,50.68,51.18,10000
1/26/2007,51.1,51.48,51.01,51.1,23700
1/29/2007,51.06,51.12,50.72,50.87,65000
1/30/2007,50.81,50.92,50.61,50.63,50200
1/31/2007,50.75,50.83,50.19,50.45,63600
2/1/2007,50.31,50.31,49.82,49.95,107700
2/2/2007,49.77,49.89,49.7,49.78,120900
2/5/2007,49.78,49.91,49.65,49.82,37200
2/6/2007,49.8,49.81,49.5,49.58,35400
2/7/2007,49.7,49.7,49.29,49.4,33200
2/8/2007,49.37,49.56,49.29,49.29,24000
2/9/2007,49.31,49.94,49.23,49.65,122500
2/12/2007,49.65,50.02,49.65,49.86,39700
2/13/2007,49.8,49.8,49.38,49.38,29200
2/14/2007,49.38,49.38,49.04,49.1,62000
2/15/2007,49.07,49.16,48.93,49.03,48200
2/16/2007,49.03,49.26,48.96,49,71700
2/20/2007,49.11,49.21,48.61,48.68,95400
2/21/2007,48.77,48.89,48.52,48.53,79700
2/22/2007,48.56,48.78,48.39,48.54,43900
2/23/2007,48.48,48.72,48.46,48.5,23300
2/26/2007,48.37,48.95,48.37,48.73,26200
2/27/2007,49.75,50.57,49.43,50.44,217600
2/28/2007,50.35,50.67,49.99,50.29,201600
3/1/2007,51.07,51.33,50.11,50.39,164700
3/2/2007,50.58,51.24,50.48,51.16,106100
3/5/2007,51.84,52.32,51.32,52.32,292800
3/6/2007,51.72,51.76,51.09,51.45,235700
3/7/2007,51.33,51.38,50.88,51.13,80200
3/8/2007,50.52,50.92,50.52,50.74,77200
3/9/2007,50.49,50.88,50.42,50.61,88100
3/12/2007,50.58,50.74,50.42,50.45,65400
3/13/2007,50.79,51.49,50.65,51.44,62400
3/14/2007,51.32,52.13,51.15,51.27,138600
3/15/2007,51.21,51.24,50.89,50.93,27000
3/16/2007,50.86,51.33,50.85,51.27,80200
3/19/2007,50.83,50.98,50.6,50.79,103000
3/20/2007,50.87,50.87,50.28,50.34,84100
3/21/2007,50.26,50.41,49.48,49.62,116700
3/22/2007,49.46,49.69,49.38,49.42,148400
3/23/2007,49.38,49.42,49.22,49.26,26200
3/26/2007,49.33,49.82,49.28,49.41,53000
3/27/2007,49.7,49.79,49.57,49.59,61300
3/28/2007,49.82,50.14,49.67,49.88,125400
3/29/2007,49.67,50.21,49.67,49.93,15900
3/30/2007,49.67,50.13,49.67,49.8,29200
4/2/2007,49.6,49.92,49.6,49.62,43000
4/3/2007,49.42,49.53,49.14,49.25,30900
4/4/2007,49.29,49.43,49.2,49.25,66000
4/5/2007,49.29,49.29,48.99,49.16,21600
4/9/2007,49.19,49.23,49,49.12,90300
4/10/2007,48.96,49.02,48.89,48.98,124000
4/11/2007,49.04,49.41,49.04,49.26,29500
4/12/2007,49.39,49.56,48.96,48.97,26100
4/13/2007,48.99,49.13,48.81,48.82,53100
4/16/2007,48.61,48.61,48.34,48.34,50500
4/17/2007,48.35,48.51,48.26,48.43,61600
4/18/2007,48.52,48.83,48.41,48.48,29000
4/19/2007,48.96,49.02,48.54,48.75,207300
4/20/2007,48.36,48.47,48.21,48.21,43800
4/23/2007,48.38,48.45,48.12,48.19,13100
4/24/2007,48.22,48.55,48.19,48.31,30400
4/25/2007,47.99,48.3,47.79,47.92,29400
4/26/2007,47.93,48.13,47.75,47.8,41500
4/27/2007,47.99,48.1,47.88,47.97,30000
4/30/2007,48.14,48.73,48.12,48.73,37100
5/1/2007,48.82,49.07,48.5,48.56,35100
5/2/2007,48.51,48.51,47.99,48.05,30200
5/3/2007,48.07,48.13,47.83,47.94,37000
5/4/2007,47.97,47.97,47.67,47.72,31800
5/7/2007,47.68,47.84,47.64,47.77,32800
5/8/2007,48.03,48.27,47.73,47.74,27000
5/9/2007,47.91,47.91,47.42,47.5,106900
5/10/2007,47.79,48.14,47.6,48.1,14800
5/11/2007,48,48.09,47.71,47.71,15200
5/14/2007,47.74,48.1,47.56,47.96,55600
5/15/2007,47.92,48.19,47.6,48.18,33400
5/16/2007,48.06,48.28,47.84,47.84,29100
5/17/2007,48.04,48.12,47.66,47.89,109900
5/18/2007,47.78,47.83,47.48,47.64,10100
5/21/2007,47.63,47.63,47.12,47.29,39100
5/22/2007,47.22,47.35,47.04,47.13,113200
5/23/2007,47.09,47.37,46.85,47.32,19300
5/24/2007,47.46,48.14,47.17,48.12,48900
5/25/2007,47.93,47.98,47.73,47.78,18100
5/29/2007,47.59,47.72,47.36,47.54,38600
5/30/2007,47.95,47.95,47,47,11200
5/31/2007,46.81,47,46.65,46.75,46300
6/1/2007,46.44,46.65,46.37,46.51,19700
6/4/2007,46.52,46.63,46.28,46.29,26300
6/5/2007,46.4,46.77,46.4,46.61,34100
6/6/2007,47,47.33,46.92,47.21,58900
6/7/2007,47.46,48.15,47.29,48.15,142200
6/8/2007,48.27,48.39,47.65,47.73,72400
6/11/2007,47.91,47.94,47.53,47.67,25600
6/12/2007,47.92,48.33,47.68,48.24,501700
6/13/2007,48.07,48.07,47.61,47.62,24400
6/14/2007,47.41,47.45,47.16,47.32,23400
6/15/2007,46.86,47.11,46.81,47.04,32000
6/18/2007,47.04,47.3,47.04,47.17,9600
