Data, Open, High, Low, Close, Volume
7/13/2006,794.27,811.5,794.27,809.21,2100
7/14/2006,813.9,833.63,813.9,824.8,3800
7/17/2006,826.43,837.34,819.24,831.89,2700
7/18/2006,825.34,855.87,822.29,833.85,5800
7/19/2006,831.45,831.45,789.36,795.69,6000
7/20/2006,792.09,830.03,790.67,828.72,3700
7/21/2006,833.85,861.32,832.65,856.63,8000
7/24/2006,841.15,843.55,817.82,817.82,7300
7/25/2006,816.08,821.53,795.25,798.41,9800
7/26/2006,806.81,816.73,791.98,799.83,7900
7/27/2006,792.64,819.57,785.88,813.9,6300
7/28/2006,804.63,810.95,787.95,789.8,4300
7/31/2006,797,797.32,785.33,788.49,4600
8/1/2006,801.36,813.57,797.11,802.12,6400
8/2/2006,791.54,798.85,781.51,792.09,3400
8/3/2006,803.21,803.65,775.19,781.08,4700
8/4/2006,766.47,797.32,759.38,785.55,5200
8/7/2006,794.82,803.76,790.35,797.87,4200
8/8/2006,793.73,817.6,787.84,813.13,5500
8/9/2006,798.85,826.22,796.45,825.78,11000
8/10/2006,833.41,838.54,810.84,813.35,7600
8/11/2006,820.44,835.81,819.35,827.2,4500
8/14/2006,819.89,832.21,809.64,826.43,7200
8/15/2006,807.68,815.1,797.32,798.3,7400
8/16/2006,791.44,792.64,773.56,774.1,6700
8/17/2006,778.35,781.19,768.32,777.04,5200
8/18/2006,776.06,787.18,771.05,771.81,5100
8/21/2006,779.55,791.44,779.55,786.86,3400
8/22/2006,789.69,792.09,782.39,785.66,5500
8/23/2006,782.82,808.44,780.86,806.48,6900
8/24/2006,801.36,816.62,798.85,808.77,7500
8/25/2006,808.77,812.04,796.67,809.43,5300
8/28/2006,807.46,809.53,791.98,794.27,5200
8/29/2006,790.67,806.26,785,785.66,4800
8/30/2006,783.37,791.33,780.86,783.48,5500
8/31/2006,779.55,783.59,773.12,777.59,4200
9/1/2006,772.03,780.53,766.47,770.61,8100
9/5/2006,772.46,774.1,763.2,763.42,10200
9/6/2006,776.17,792.96,776.06,790.02,7700
9/7/2006,800.27,809.97,789.58,800.7,15100
9/8/2006,801.79,804.52,794.82,800.59,3700
9/11/2006,812.37,818.91,794.16,801.36,10100
9/12/2006,800.81,805.5,774.21,776.17,10700
9/13/2006,777.92,779.88,762.11,764.51,8000
9/14/2006,767.78,777.7,765.81,771.59,7400
9/15/2006,763.2,779.22,763.2,774.75,7200
9/18/2006,783.26,797,768.87,774.86,7700
9/19/2006,775.63,797.54,775.08,781.73,9700
9/20/2006,773.45,778.46,764.61,768.98,7000
9/21/2006,768.65,786.64,767.01,784.02,7100
9/22/2006,790.24,803.97,789.36,795.14,11400
9/25/2006,794.49,809.53,779.01,780.64,10900
9/26/2006,781.73,785.11,767.34,767.34,10700
9/27/2006,769.09,770.18,759.93,763.96,12800
9/28/2006,762.76,771.59,755.35,763.31,6900
9/29/2006,762.87,774.54,759.93,771.7,7600
10/2/2006,775.52,786.53,767.99,783.37,6800
10/3/2006,789.8,795.8,776.94,788.17,9700
10/4/2006,791,791,761.02,761.34,14000
10/5/2006,759.16,761.02,741.17,741.61,21800
10/6/2006,746.84,759.71,745.75,753.39,8800
10/9/2006,753.17,756.55,738.99,744.88,4700
10/10/2006,745.53,745.64,736.27,740.19,6100
10/11/2006,744.12,752.29,735.61,741.5,4600
10/12/2006,734.85,736.92,720.46,720.68,7900
10/13/2006,721.11,722.97,712.5,713.37,8700
10/16/2006,714.68,714.68,704.54,705.63,8300
10/17/2006,710.32,724.17,710.32,717.08,8300
10/18/2006,707.16,725.58,707.16,719.59,7500
10/19/2006,721.77,724.6,712.5,712.72,6100
10/20/2006,715.55,728.85,715.55,724.82,4500
10/23/2006,729.94,732.89,714.24,719.59,4900
