Data, Open, High, Low, Close, Volume
10/10/2013,39.24,39.75,39.24,39.58,18000
10/11/2013,40.3,40.3,39.53,39.86,81900
10/14/2013,39.68,40.03,39.64,40,83600
10/15/2013,39.93,39.94,39.66,39.7,49500
10/16/2013,40.03,40.13,39.81,40.1,57800
10/17/2013,40.23,40.55,40.03,40.54,29400
10/18/2013,40.9,40.9,40.46,40.59,26900
10/21/2013,40.76,40.76,40.5,40.6,63000
10/22/2013,40.93,41.08,40.74,40.99,61300
10/23/2013,41.13,41.13,40.87,41.02,23900
10/24/2013,41.33,41.33,40.95,41.09,45500
10/25/2013,41.09,41.3,41.08,41.3,43200
10/28/2013,41.46,41.49,41.33,41.43,109700
10/29/2013,41.64,41.74,41.51,41.74,53400
10/30/2013,41.94,42.04,41.3,41.44,51600
10/31/2013,41.61,41.61,41.3,41.43,56200
11/1/2013,41.63,41.63,41.3,41.49,195100
11/4/2013,41.88,41.88,41.52,41.71,95800
11/5/2013,41.92,41.92,41.38,41.51,242700
11/6/2013,41.71,41.86,41.64,41.83,49800
11/7/2013,42.13,42.13,41.29,41.32,37500
11/8/2013,40.9,41.69,40.9,41.61,57600
11/11/2013,41.85,41.85,41.66,41.69,38800
11/12/2013,41.91,41.91,41.51,41.63,46700
11/13/2013,41.42,41.92,41.42,41.9,105400
11/14/2013,42.06,42.17,41.91,42.17,52100
11/15/2013,42.41,42.41,42.11,42.28,46500
11/18/2013,42.57,42.57,42.11,42.14,64200
11/19/2013,42.3,42.3,42.05,42.15,27400
11/20/2013,42.32,42.32,41.79,41.85,33900
11/21/2013,41.95,42.19,41.95,42.17,19400
11/22/2013,42.38,42.38,42.09,42.34,25700
11/25/2013,42.47,42.47,42.18,42.19,90500
11/26/2013,42.31,42.39,42.22,42.24,70700
11/27/2013,42.4,42.4,42.17,42.26,234500
11/29/2013,42.15,42.33,42.12,42.12,14900
12/2/2013,42.26,42.26,41.85,41.85,42800
12/3/2013,41.92,41.93,41.63,41.83,56600
12/4/2013,41.81,41.89,41.43,41.76,32400
12/5/2013,41.83,41.83,41.48,41.5,27100
12/6/2013,41.95,42.16,41.9,42.14,13100
12/9/2013,42.4,42.43,42.23,42.25,99100
12/10/2013,42.52,42.52,42.08,42.1,88400
12/11/2013,42.27,42.27,41.72,41.72,23500
12/12/2013,41.77,41.77,41.43,41.47,46600
12/13/2013,41.82,41.82,41.42,41.46,59500
12/16/2013,41.86,41.86,41.59,41.68,47700
12/17/2013,41.59,41.62,41.45,41.54,24500
12/18/2013,41.99,42.33,41.5,42.33,62900
12/19/2013,42.06,42.26,42.06,42.23,93800
12/20/2013,42.48,42.54,42.31,42.47,107400
12/23/2013,42.72,42.72,42.48,42.54,66500
12/24/2013,42.82,42.82,42.57,42.68,80100
12/26/2013,42.95,42.95,42.77,42.89,77100
12/27/2013,43.14,43.14,42.9,42.95,72000
12/30/2013,43.07,43.07,42.94,43,70300
12/31/2013,43.38,43.38,42.9,42.99,81300
1/2/2014,43.04,43.04,42.51,42.62,58000
1/3/2014,42.81,42.81,42.64,42.66,54400
1/6/2014,42.81,42.81,42.44,42.52,76900
