Data, Open, High, Low, Close, Volume
2/28/2013,34.78,34.78,34.78,34.78,100
3/1/2013,34.68,34.68,34.68,34.68,500
3/4/2013,34.53,34.7,34.53,34.7,1200
3/5/2013,35.01,35.04,35.01,35.04,800
3/6/2013,35.16,35.16,34.99,35.04,400
3/7/2013,35.04,35.04,35.04,35.04,0
3/8/2013,35.04,35.04,35.04,35.04,0
3/11/2013,35.7,35.7,35.29,35.47,4500
3/12/2013,35.95,35.95,35.32,35.32,500
3/13/2013,35.32,35.32,35.32,35.32,0
3/14/2013,35.32,35.32,35.32,35.32,0
3/15/2013,35.63,35.71,35.63,35.64,2700
3/18/2013,35.26,35.46,35.26,35.45,20000
3/19/2013,35.21,35.21,34.95,35.03,5900
3/20/2013,35.22,35.22,35.13,35.15,700
3/21/2013,35.55,35.55,34.92,34.92,5700
3/22/2013,34.99,34.99,34.99,34.99,2000
3/25/2013,35.7,35.7,34.84,34.84,1100
3/26/2013,34.98,34.99,34.98,34.99,4900
3/27/2013,34.7,34.7,34.7,34.7,300
3/28/2013,34.7,34.7,34.7,34.7,0
4/1/2013,35.15,35.15,34.92,34.92,2400
4/2/2013,35.1,35.1,35.1,35.1,2000
4/3/2013,34.88,34.88,34.68,34.68,3100
4/4/2013,34.49,34.59,34.49,34.59,3700
4/5/2013,34.18,34.18,34.18,34.18,300
4/8/2013,34.41,34.41,34.41,34.41,3200
4/9/2013,34.62,34.62,34.62,34.62,300
4/10/2013,34.95,35.18,34.95,35.18,600
4/11/2013,35.18,35.18,35.18,35.18,0
4/12/2013,35.11,35.11,35.11,35.11,200
4/15/2013,34.63,34.63,34.27,34.29,4400
4/16/2013,34.61,34.71,34.61,34.71,8400
4/17/2013,34.7,34.7,34.18,34.18,48700
4/18/2013,33.61,33.8,33.54,33.55,7000
4/19/2013,33.75,33.76,33.75,33.75,400
4/22/2013,34.21,34.37,34.21,34.37,10100
4/23/2013,34.96,34.96,34.55,34.55,200
4/24/2013,35.13,35.19,34.71,34.71,300
4/25/2013,35.35,35.35,35.26,35.26,300
4/26/2013,35.37,35.37,35.37,35.37,200
4/29/2013,35.37,35.37,35.37,35.37,0
4/30/2013,36.05,36.05,35.54,35.54,300
5/1/2013,35.59,35.59,35.59,35.59,5100
5/2/2013,36.22,36.22,35.28,35.28,200
5/3/2013,36.13,36.13,36.13,36.13,100
5/6/2013,35.39,35.39,35.39,35.39,100
5/7/2013,35.39,35.39,35.39,35.39,0
5/8/2013,35.39,35.39,35.39,35.39,0
5/9/2013,35.39,35.39,35.39,35.39,0
5/10/2013,35.84,35.84,35.84,35.84,200
5/13/2013,35.64,35.75,35.64,35.75,200
5/14/2013,36.02,36.02,35.91,35.91,2500
5/15/2013,35.91,35.91,35.91,35.91,0
5/16/2013,35.91,35.91,35.91,35.91,0
5/17/2013,35.91,35.91,35.91,35.91,0
5/20/2013,36.26,36.28,36.26,36.28,400
5/21/2013,36.37,36.37,36.37,36.37,100
5/22/2013,36.21,36.21,36.08,36.08,1500
5/23/2013,35.9,36.15,35.39,36.03,1600
5/24/2013,36.03,36.03,36.03,36.03,0
5/28/2013,36.08,36.08,35.95,35.96,400
5/29/2013,35.71,35.71,35.71,35.71,900
5/30/2013,35.25,35.25,35.25,35.25,3000
5/31/2013,34.84,34.9,34.84,34.9,2200
6/3/2013,35.43,35.43,33.9,34.9,2000
6/4/2013,34.82,34.82,34.82,34.82,700
6/5/2013,34.35,34.35,34.34,34.34,4000
6/6/2013,34.42,34.42,34.42,34.42,100
6/7/2013,34.92,34.92,34.92,34.92,1000
6/10/2013,34.98,34.98,34.98,34.98,100
6/11/2013,34.98,34.98,34.98,34.98,0
6/12/2013,34.98,34.98,34.98,34.98,0
6/13/2013,34.98,34.98,34.98,34.98,10700
6/14/2013,34.56,35.22,34.56,35.09,1100
6/17/2013,35.79,35.79,34.86,34.86,200
6/18/2013,34.86,34.86,34.86,34.86,0
6/19/2013,35.99,35.99,34.89,35.08,13200
6/20/2013,33.84,34.7,33.84,34.7,300
6/21/2013,33.99,33.99,33.97,33.97,1300
6/24/2013,33.09,33.09,33.09,33.09,100
6/25/2013,33.09,33.09,33.09,33.09,0
6/26/2013,34.06,34.19,33.88,34.15,20700
6/27/2013,33.31,34.03,33.31,33.43,300
6/28/2013,33.43,33.43,33.43,33.43,0
7/1/2013,34.29,34.61,34.25,34.34,2300
7/2/2013,34.08,34.77,34.08,34.36,3000
7/3/2013,34.92,34.92,34.92,34.92,1100
7/5/2013,34.92,34.92,34.92,34.92,0
7/8/2013,34.92,34.92,34.92,34.92,0
7/9/2013,34.92,34.92,34.92,34.92,0
7/10/2013,34.92,34.92,34.92,34.92,0
7/11/2013,34.92,34.92,34.92,34.92,0
7/12/2013,34.92,34.92,34.92,34.92,0
7/15/2013,34.92,34.92,34.92,34.92,0
7/16/2013,34.92,34.92,34.92,34.92,0
7/17/2013,34.92,34.92,34.92,34.92,0
7/18/2013,34.92,34.92,34.92,34.92,0
7/19/2013,37.73,37.73,37.73,37.73,500
7/22/2013,37.73,37.73,37.73,37.73,0
7/23/2013,37.73,37.73,37.73,37.73,0
7/24/2013,36.76,36.76,36.76,36.76,100
