Data, Open, High, Low, Close, Volume
6/21/2006,241.72,241.72,241.72,241.72,100
6/22/2006,243.52,246.13,243.52,245.88,3700
6/23/2006,247.29,247.29,244.68,245.84,4200
6/26/2006,245.91,247.01,245.49,245.88,4100
6/27/2006,245.88,250.81,245.88,250.64,15700
6/28/2006,250.64,251.69,248.17,249.05,38100
6/29/2006,246.94,247.78,243.06,244.12,17200
6/30/2006,244.12,246.41,241.86,242.96,14600
7/3/2006,242.18,242.64,241.37,241.72,4600
7/5/2006,244.47,247.11,244.29,246.76,19600
7/6/2006,245.88,247.54,245.25,246.76,16600
7/7/2006,248.59,249.93,247.08,249.05,23000
7/10/2006,249.58,253.1,249.16,252.5,29800
7/11/2006,253.1,254.33,249.93,250.46,61800
7/12/2006,251.16,256.17,251.06,255.78,31900
7/13/2006,257.86,259.48,254.86,258.74,111900
7/14/2006,260.32,262.96,259.44,261.63,72900
7/17/2006,260.67,262.68,259.86,261.03,38600
7/18/2006,259.65,264.66,259.3,259.41,53800
7/19/2006,259.97,260.75,255.04,257.33,98800
7/20/2006,256.41,261.7,255.57,261.7,42200
7/21/2006,264.02,264.23,262.08,263.85,42700
7/24/2006,263.14,263.14,258.28,258.28,39200
7/25/2006,258.88,260.18,256.45,257.93,49500
7/26/2006,259.27,260.22,255.74,257.79,16100
7/27/2006,254.79,260.25,254.62,259.55,22500
7/28/2006,258.1,258.31,253.88,254.51,28900
7/31/2006,255.21,255.39,252.93,254.51,14400
8/1/2006,257.33,260.22,257.33,258.98,17400
8/2/2006,257.05,257.43,254.16,256.45,34100
8/3/2006,258.91,258.91,253.17,254.69,30900
8/4/2006,251.52,258.21,250.64,255.92,62500
8/7/2006,257.33,258.88,255.64,257.65,17800
8/8/2006,257.29,260.92,256.45,259.27,23000
8/9/2006,256.27,260.08,254.16,259.55,26100
8/10/2006,261.56,261.56,255.71,257.54,19900
8/11/2006,258.31,260.29,257.72,259.34,11500
8/14/2006,256.98,258.03,253.84,257.79,23600
8/15/2006,254.55,255.36,250.11,250.32,36000
8/16/2006,248.7,249.9,245.32,245.6,57300
8/17/2006,245.6,245.91,242.64,244.4,26100
8/18/2006,244.89,247.08,243.98,244.29,35100
8/21/2006,244.12,247.46,244.12,246.58,43900
8/22/2006,246.94,247.78,244.08,246.83,19600
8/23/2006,245.7,249.54,245.28,248.49,23900
8/24/2006,248.17,249.97,246.83,248.28,17600
8/25/2006,248.13,248.63,245.46,247.54,14000
8/28/2006,247.89,247.89,244.89,245.88,11900
8/29/2006,246.55,248.59,244.89,245.03,25400
8/30/2006,244.47,245.88,243.91,244.01,20000
8/31/2006,243.77,245.07,243.38,244.44,12500
9/1/2006,242.71,244.08,242.36,242.96,34500
9/5/2006,243.84,244.37,240.7,241.16,23400
9/6/2006,242.99,246.48,242.71,246.23,56300
9/7/2006,248.35,248.35,244.86,247.29,54000
9/8/2006,247.61,247.61,245.28,245.99,10000
9/11/2006,247.89,248.31,243.38,244.44,21000
9/12/2006,243.98,244.12,238.98,239.75,38200
9/13/2006,239.72,239.93,237.57,237.57,32300
9/14/2006,238.66,238.73,237.35,237.92,13000
9/15/2006,236.19,237.74,227.21,237.21,28600
9/18/2006,237.07,238.09,235.35,237.28,12000
9/19/2006,236.9,241.05,236.9,239.22,25000
9/20/2006,236.37,236.83,234.78,235.42,26000
9/21/2006,234.89,237.43,234.11,237.25,24600
9/22/2006,237.43,240.07,237.43,239.01,21600
9/25/2006,238.83,240.21,234.33,234.96,23400
9/26/2006,235.49,235.66,233.41,233.83,32400
9/27/2006,233.9,235.98,232.56,234.47,16400
9/28/2006,233.27,235.91,233.27,233.8,8300
9/29/2006,233.9,234.82,233.09,234.61,7200
10/2/2006,235.24,238.13,234.85,237.99,25300
10/3/2006,238.83,239.86,236.02,237.04,28700
10/4/2006,237.14,237.88,230.56,230.56,93000
10/5/2006,229.85,231.3,228.48,229.53,60700
10/6/2006,229.82,231.12,229.29,230.42,33800
10/9/2006,230.98,230.98,228.65,229.68,16100
10/10/2006,229.53,230.94,228.83,229.29,12200
10/11/2006,230.42,231.79,228.34,229.64,25600
10/12/2006,228.44,229.08,225.98,226.12,22400
10/13/2006,225.38,226.51,224.6,225.27,29300
10/16/2006,225.17,225.34,224.22,224.92,12600
10/17/2006,226.72,229.01,226.72,227.74,68800
10/18/2006,226.47,229.82,226.47,228.87,15700
10/19/2006,229.89,230.03,227.25,227.98,16800
10/20/2006,228.83,229.75,227.98,228.06,18700
10/23/2006,228.44,228.69,225.03,226.15,19700
10/24/2006,226.72,228.65,226.05,227.56,10900
10/25/2006,227.46,227.91,225.7,226.4,31600
10/26/2006,225.48,227.1,223.55,224,27400
10/27/2006,224.57,228.09,224.25,227.21,15000
10/30/2006,227.6,228.27,225.24,226.15,16400
10/31/2006,225.24,227,224.67,225.7,14600
11/1/2006,224.88,229.78,224.64,228.72,19200
11/2/2006,229.78,230.27,228.23,228.97,23000
11/3/2006,228.97,231.16,228.3,229.32,29800
11/6/2006,228.09,228.48,225.24,226.26,15600
11/7/2006,225.98,225.98,223.19,224.57,26100
11/8/2006,225.8,225.8,222.77,223.48,25800
11/9/2006,222.98,225.45,222.1,224.92,24800
11/10/2006,224.92,225.31,223.62,223.79,4700
11/13/2006,223.58,223.65,221.36,221.93,15200
11/14/2006,221.05,222.77,218.97,219.11,13800
11/15/2006,218.97,218.97,217.03,218.3,31600
11/16/2006,218.05,218.9,217.1,217.7,16300
11/17/2006,218.05,219,217.73,217.91,7400
11/20/2006,218.76,219,217.31,217.52,12800
