Data, Open, High, Low, Close, Volume
5/22/2008,70.28,70.97,70.28,70.66,20200
5/23/2008,70.23,70.32,69.78,70.02,8500
5/27/2008,70.65,70.69,70.28,70.69,15700
5/28/2008,71.26,71.77,71.04,71.73,48500
5/29/2008,72.32,72.84,72.14,72.31,93800
5/30/2008,71.92,72.06,71.68,72.03,59300
6/2/2008,73.35,73.35,70.85,71.05,27700
6/3/2008,71.4,71.45,69.93,70.3,35400
6/4/2008,70.07,70.84,70.07,70.83,39000
6/5/2008,71.27,71.55,71.11,71.37,29600
6/6/2008,70.87,70.98,70.12,70.28,38800
6/9/2008,71.17,71.4,70.82,71.29,34200
6/10/2008,71.87,72.38,71.52,72.13,46300
6/11/2008,72.59,72.59,71.41,71.98,30200
6/12/2008,72.57,73.51,72.57,73.43,41100
6/13/2008,73.45,73.8,72.84,73.76,56400
6/16/2008,73.37,73.79,73.21,73.61,39800
6/17/2008,73.28,73.58,72.92,72.97,12400
6/18/2008,72.61,72.89,72.18,72.42,75500
6/19/2008,72.75,73.2,72.5,73.12,30800
6/20/2008,72.45,72.69,71.98,72.52,65200
6/23/2008,72.3,72.72,72.06,72.61,36600
6/24/2008,72.05,72.26,71.49,71.67,47300
6/25/2008,71.77,72.66,71.77,71.87,30500
6/26/2008,70.64,71.59,70.62,71.16,87600
6/27/2008,70.01,70.77,70.01,70.32,60700
6/30/2008,70.29,70.58,70.21,70.38,62900
7/1/2008,69.56,70.66,69.54,70.61,49700
7/2/2008,70.49,70.54,70.06,70.14,28700
7/3/2008,70.46,70.62,69.88,70.13,27200
7/7/2008,70.02,70.38,68.9,69.61,59800
7/8/2008,69.38,69.42,69.08,69.2,31600
7/9/2008,69.28,69.28,68.52,68.54,34600
7/10/2008,68.54,68.88,68.27,68.5,21000
7/11/2008,68.56,69.93,68.5,69.75,102400
7/14/2008,69.72,69.76,68.78,68.98,32900
7/15/2008,68.73,68.84,68.06,68.64,105500
7/16/2008,68.39,69.81,68.39,69.81,51400
7/17/2008,69.93,70.71,69.68,70.61,32800
