Data, Open, High, Low, Close, Volume
7/13/2006,1198.3,1219.34,1183.74,1215.78,5900
7/14/2006,1217.72,1255.75,1217.72,1245.23,12400
7/17/2006,1237.95,1251.71,1225.33,1237.95,16000
7/18/2006,1221.77,1271.13,1220.15,1229.86,20000
7/19/2006,1230.67,1232.29,1184.55,1203.97,12200
7/20/2006,1191.02,1240.38,1191.02,1240.38,16600
7/21/2006,1257.37,1267.08,1245.4,1260.61,14500
7/24/2006,1237.95,1253.81,1211.25,1212.06,13000
7/25/2006,1211.25,1225.01,1191.02,1197.5,15400
7/26/2006,1195.88,1223.06,1182.12,1203.32,16200
7/27/2006,1190.7,1223.39,1171.6,1220.15,18900
7/28/2006,1204.78,1207.2,1165.13,1170.79,19500
7/31/2006,1176.46,1182.12,1156.23,1166.75,7200
8/1/2006,1195.07,1221.77,1191.02,1208.82,16400
8/2/2006,1186.33,1207.37,1166.75,1184.55,18700
8/3/2006,1207.2,1208.82,1156.23,1169.18,24300
8/4/2006,1132.77,1199.11,1132.77,1178.08,27900
8/7/2006,1190.21,1204.45,1180.5,1192.64,18100
8/8/2006,1186.98,1229.7,1182.93,1212.38,23000
8/9/2006,1174.84,1216.1,1158.01,1211.41,39100
8/10/2006,1215.62,1221.77,1186.17,1193.45,24200
8/11/2006,1205.59,1220.96,1197.5,1207.53,20200
8/14/2006,1202.35,1202.35,1163.51,1195.07,28100
8/15/2006,1160.28,1173.71,1134.22,1136.81,47600
8/16/2006,1120.47,1126.29,1083.57,1084.22,52700
8/17/2006,1090.69,1090.69,1061.56,1076.13,45800
8/18/2006,1084.06,1097.97,1069.33,1071.27,34400
8/21/2006,1090.53,1100.24,1084.38,1092.31,30600
8/22/2006,1096.19,1103.48,1071.27,1092.63,34000
8/23/2006,1089.07,1118.69,1079.04,1114.16,51400
8/24/2006,1102.02,1122.25,1100.4,1102.99,30100
8/25/2006,1103.31,1121.44,1082.11,1100.56,26200
8/28/2006,1099.11,1103.96,1079.04,1084.22,34900
8/29/2006,1088.26,1107.2,1075.32,1079.36,34200
8/30/2006,1075.32,1087.13,1069.98,1073.7,33400
8/31/2006,1069.17,1077.91,1064.96,1072.73,25200
9/1/2006,1063.51,1072.57,1054.28,1061.08,35500
9/5/2006,1065.45,1073.21,1040.85,1042.63,40300
