Data, Open, High, Low, Close, Volume
6/21/2006,16.15,16.15,15.97,15.99,95200
6/22/2006,15.93,15.96,15.44,15.61,850800
6/23/2006,15.55,15.84,15.38,15.57,213200
6/26/2006,15.6,15.71,15.49,15.62,226400
6/27/2006,15.65,15.65,15.04,15.04,399600
6/28/2006,15.1,15.26,14.92,15.22,398400
6/29/2006,15.41,16.14,15.34,16.14,705600
6/30/2006,16.27,16.27,15.97,15.99,948000
7/3/2006,16.11,16.19,16.08,16.17,148800
7/5/2006,15.88,15.88,15.49,15.54,618800
7/6/2006,15.61,15.73,15.39,15.45,335600
7/7/2006,15.17,15.47,15.02,15.11,286800
7/10/2006,15.25,15.31,14.73,14.86,499200
7/11/2006,14.75,15.14,14.64,15.1,662800
7/12/2006,15.01,15.05,14.43,14.5,912400
7/13/2006,14.57,14.57,14.01,14.04,1671600
7/14/2006,13.99,14.02,13.61,13.75,866000
7/17/2006,13.86,13.94,13.64,13.82,616800
7/18/2006,13.94,13.99,13.43,13.9,1628400
7/19/2006,13.86,14.4,13.86,14.2,1058800
7/20/2006,14.36,14.36,13.8,13.81,751200
7/21/2006,13.57,13.72,13.48,13.5,1164400
7/24/2006,13.61,14.04,13.61,14,958400
7/25/2006,14.06,14.3,13.89,14.13,1355200
7/26/2006,14.07,14.38,13.9,14.16,1468800
7/27/2006,14.46,14.5,13.9,14.02,752400
7/28/2006,14.17,14.58,14.09,14.58,422000
7/31/2006,14.47,14.71,14.37,14.55,622400
8/1/2006,14.28,14.28,13.9,14.05,975600
8/2/2006,14.22,14.54,14.19,14.31,871200
8/3/2006,14.06,14.69,14.05,14.55,1247600
8/4/2006,14.82,14.94,14.14,14.42,1176000
8/7/2006,14.32,14.37,14.11,14.24,1063600
8/8/2006,14.3,14.38,13.92,14.06,1802400
8/9/2006,14.25,14.65,14.01,14.06,1801600
8/10/2006,14.07,14.34,13.92,14.24,1455200
8/11/2006,14.1,14.17,13.95,14.1,831600
8/14/2006,14.27,14.61,14.19,14.23,1207600
8/15/2006,14.69,15.16,14.49,14.97,1378400
8/16/2006,15.16,15.69,15.07,15.68,1940000
8/17/2006,15.7,16,15.58,15.78,2771600
8/18/2006,15.72,15.83,15.44,15.76,1058400
8/21/2006,15.5,15.62,15.39,15.47,1017200
8/22/2006,15.63,15.82,15.38,15.51,1016800
8/23/2006,15.55,15.7,15.14,15.25,1162400
8/24/2006,15.42,15.44,15.11,15.36,1152000
8/25/2006,15.2,15.67,15.2,15.42,953600
8/28/2006,15.38,15.73,15.38,15.65,1036800
8/29/2006,15.62,15.77,15.31,15.75,1663600
8/30/2006,15.76,15.9,15.62,15.88,1411600
8/31/2006,15.88,15.96,15.77,15.87,587200
9/1/2006,16.09,16.1,15.87,16.01,1156000
9/5/2006,16.03,16.33,15.8,16.3,1340800
9/6/2006,16,16.08,15.6,15.66,1462400
9/7/2006,15.58,15.83,15.4,15.52,1689200
9/8/2006,15.6,15.78,15.49,15.68,874400
9/11/2006,15.45,16.04,15.36,15.89,1666400
9/12/2006,15.94,16.59,15.91,16.51,1189200
9/13/2006,16.55,16.74,16.41,16.7,1411200
9/14/2006,16.54,16.78,16.54,16.68,949200
9/15/2006,17.07,18.06,16.75,16.84,993200
9/18/2006,16.87,17.06,16.66,16.83,824000
9/19/2006,16.82,16.89,16.35,16.62,1300800
9/20/2006,16.99,17.21,16.9,17.12,1361600
9/21/2006,17.22,17.29,16.82,16.9,3186000
9/22/2006,16.84,16.84,16.49,16.6,1138400
9/25/2006,16.79,17.26,16.47,17.22,2354400
9/26/2006,17.17,17.41,17.07,17.36,1558400
9/27/2006,17.33,17.49,17.12,17.27,1745600
9/28/2006,17.41,17.45,17.05,17.37,902800
9/29/2006,17.46,17.47,17.22,17.24,779600
10/2/2006,17.16,17.27,16.74,16.82,1426400
10/3/2006,16.66,17.07,16.56,16.94,1272800
10/4/2006,16.91,17.76,16.8,17.72,1700400
10/5/2006,17.76,17.98,17.67,17.95,1348800
10/6/2006,17.73,17.98,17.71,17.85,1360400
10/9/2006,17.84,18.12,17.77,17.94,763600
10/10/2006,17.99,18.14,17.76,18.04,1044400
10/11/2006,17.84,18.19,17.57,17.97,1458400
10/12/2006,18.17,18.57,18.1,18.57,1642800
10/13/2006,18.57,18.8,18.47,18.71,1355200
10/16/2006,18.76,18.89,18.7,18.74,1116800
10/17/2006,18.58,18.58,18.12,18.38,2205600
10/18/2006,18.58,18.6,18.02,18.12,2298000
10/19/2006,18.04,18.42,17.97,18.28,2255600
10/20/2006,18.29,18.33,18.03,18.32,1356000
10/23/2006,18.19,18.82,18.17,18.65,2161200
10/24/2006,18.6,18.7,18.24,18.47,1957200
10/25/2006,18.46,18.75,18.35,18.7,1554000
10/26/2006,18.79,19.1,18.49,19,1895200
10/27/2006,18.92,18.99,18.35,18.46,1982800
10/30/2006,18.43,18.83,18.32,18.68,1796800
10/31/2006,18.87,18.92,18.54,18.79,1734000
11/1/2006,18.92,18.95,18.11,18.28,2371200
11/2/2006,18.24,18.38,18.05,18.3,1840000
11/3/2006,18.43,18.43,17.92,18.19,2666000
11/6/2006,18.38,18.84,18.35,18.6,1782800
11/7/2006,18.77,19.19,18.66,18.98,2149200
11/8/2006,18.74,19.31,18.64,19.23,2586400
11/9/2006,19.37,19.42,18.82,18.97,2053200
11/10/2006,18.99,19.18,18.83,19.18,1559600
11/13/2006,19.16,19.58,19.11,19.49,1781600
11/14/2006,19.52,19.98,19.33,19.98,2005200
11/15/2006,19.97,20.36,19.94,20.11,2519200
11/16/2006,20.2,20.37,20.03,20.32,1637600
11/17/2006,20.05,20.27,19.95,20.27,1504000
11/20/2006,20.11,20.43,20.02,20.35,1305200
11/21/2006,20.37,20.43,20.22,20.4,1573600
11/22/2006,20.48,20.68,20.22,20.66,1293600
11/24/2006,20.33,20.75,20.33,20.53,942400
