Data, Open, High, Low, Close, Volume
12/9/2010,38.49,38.7,38.49,38.62,2400
12/10/2010,39.51,39.51,38.81,38.9,4100
12/13/2010,38.89,39.61,38.76,38.79,9200
12/14/2010,38.8,38.8,38.76,38.77,2100
12/15/2010,38.79,38.79,38.71,38.72,4000
12/16/2010,38.74,38.81,38.74,38.81,2500
12/17/2010,39.62,39.62,38.78,38.78,3800
12/20/2010,38.88,38.97,38.88,38.92,2500
12/21/2010,39.01,39.1,39.01,39.1,4300
12/22/2010,39.91,39.91,39.16,39.34,8400
12/23/2010,39.4,40.15,39.35,39.37,24800
12/27/2010,39.32,39.46,39.32,39.38,5900
12/28/2010,39.43,39.53,39.43,39.53,2900
12/29/2010,39.67,39.77,38.9,39.4,9600
12/30/2010,39.4,39.42,39.15,39.41,5800
12/31/2010,39.38,40.03,39.38,39.44,12300
1/3/2011,39.5,39.55,39.48,39.55,2700
1/4/2011,39.72,39.87,39.72,39.86,2000
1/5/2011,40.03,40.15,40.01,40.15,2400
1/6/2011,40.14,40.17,40.14,40.15,4700
1/7/2011,40.13,40.8,39.99,40.06,4800
1/10/2011,40.04,40.04,39.96,39.98,1800
1/11/2011,39.97,40.34,39.94,39.98,7400
1/12/2011,40.02,40.33,40,40,8800
1/13/2011,40.09,40.1,40.02,40.03,3200
1/14/2011,40.01,40.03,40.01,40.03,300
1/18/2011,40.01,40.37,39.92,39.94,8200
1/19/2011,39.91,39.91,39.79,39.79,2100
1/20/2011,39.8,39.96,39.8,39.96,900
1/21/2011,40.12,40.15,40.1,40.15,1600
1/24/2011,40.18,40.84,39.99,40.04,29400
1/25/2011,40.04,40.13,40.04,40.07,7500
1/26/2011,40.08,40.15,39.44,40.06,8400
1/27/2011,40.08,40.24,40.08,40.24,4500
1/28/2011,40.23,40.63,40.05,40.05,14500
1/31/2011,40.22,40.61,40,40.01,15800
2/1/2011,40.08,40.37,40.01,40.15,12800
2/2/2011,40.27,40.33,40.2,40.2,4400
2/3/2011,40.08,40.3,40.06,40.14,7900
2/4/2011,40.18,40.18,40.16,40.18,3300
2/7/2011,40.25,40.34,40.25,40.29,1300
2/8/2011,40.35,40.45,40.32,40.45,3100
2/9/2011,41,41.13,40.29,40.29,16700
2/10/2011,40.24,40.37,40.24,40.3,2900
2/11/2011,40.43,40.47,40.17,40.17,5700
2/14/2011,40.2,40.24,40.16,40.22,3300
2/15/2011,40.38,40.55,40.2,40.27,5600
2/16/2011,40.54,40.54,40.2,40.34,6600
2/17/2011,40.52,41.37,40.51,41.37,20400
2/18/2011,41.35,41.35,40.45,40.5,5700
2/22/2011,41.1,41.24,40.37,40.37,10700
2/23/2011,40.51,40.98,40.18,40.28,4800
2/24/2011,40.87,40.87,40.05,40.09,12000
2/25/2011,40.11,40.12,40.09,40.09,2900
2/28/2011,40.77,40.77,40.12,40.13,4100
3/1/2011,40.16,40.16,40.1,40.11,4600
3/2/2011,40.28,40.72,40.25,40.25,12200
3/3/2011,40.15,40.24,40.15,40.16,2300
3/4/2011,40.35,40.35,40.04,40.05,7100
3/7/2011,40.04,40.51,39.88,39.97,20800
3/8/2011,39.97,39.97,39.97,39.97,700
3/9/2011,40.36,40.39,40.34,40.39,1100
3/10/2011,40.32,40.32,40.25,40.26,1000
3/11/2011,40.39,40.76,40.33,40.38,4200
3/14/2011,40.78,40.78,40.26,40.26,1700
3/15/2011,40.24,40.35,40.24,40.25,2400
3/16/2011,40.25,40.25,40.19,40.19,600
3/17/2011,40.34,40.34,40.01,40.18,1700
3/18/2011,40.28,40.34,40.18,40.34,1200
3/21/2011,40.74,40.74,40.38,40.53,1300
3/22/2011,40.57,40.57,40.34,40.34,6100
3/23/2011,40.78,40.78,40.2,40.58,2900
3/24/2011,40.94,40.94,40.13,40.62,16300
3/25/2011,40.62,40.62,40.14,40.21,2200
3/28/2011,40.74,40.74,40.11,40.16,4600
3/29/2011,40.07,40.09,40.04,40.04,1400
3/30/2011,39.87,39.95,39.82,39.93,3700
3/31/2011,39.67,40.45,39.67,40.16,9400
4/1/2011,39.74,40.02,39.74,39.86,5600
4/4/2011,39.91,40.24,39.68,39.72,11000
4/5/2011,39.74,39.87,39.74,39.87,4200
4/6/2011,39.95,40.09,39.94,40.09,2600
4/7/2011,40.57,40.57,40.1,40.11,3400
4/8/2011,40.07,40.52,40.02,40.03,8300
4/11/2011,40.35,40.46,40.05,40.19,4600
4/12/2011,40.09,40.45,39.95,40.19,11300
4/13/2011,40.47,40.47,39.94,39.98,5800
4/14/2011,39.96,40.42,39.47,40.39,13800
4/15/2011,40.51,40.51,39.88,39.92,61000
4/18/2011,39.94,39.97,39.85,39.85,6000
4/19/2011,40.23,40.23,39.81,39.83,16800
4/20/2011,39.79,40.41,39.6,39.61,23800
4/21/2011,39.88,40.37,39.54,39.56,9400
4/25/2011,40.1,40.1,39.55,39.61,6300
4/26/2011,40.01,40.01,39.68,39.7,7900
4/27/2011,39.8,39.8,39.71,39.71,2400
4/28/2011,39.74,39.74,39.69,39.7,2800
4/29/2011,40.1,40.1,39.68,39.78,3900
5/2/2011,39.67,39.72,39.65,39.7,28000
5/3/2011,39.76,39.85,39.76,39.77,2300
5/4/2011,39.87,39.92,39.81,39.89,2600
5/5/2011,39.76,39.9,39.76,39.9,2400
5/6/2011,39.81,39.97,39.76,39.76,5800
5/9/2011,40.15,40.15,39.68,39.68,7800
5/10/2011,39.82,40.14,39.75,40.09,16900
5/11/2011,40.12,40.12,39.83,39.85,15800
5/12/2011,39.79,39.81,39.76,39.81,3400
5/13/2011,40.07,40.07,39.77,39.82,5100
5/16/2011,39.87,40.11,39.87,39.97,15600
5/17/2011,39.94,40.07,39.94,39.97,2100
5/18/2011,39.87,39.87,39.8,39.8,600
5/19/2011,40.1,40.14,39.67,39.88,10700
5/20/2011,39.84,39.85,39.76,39.76,3800
5/23/2011,40.14,40.14,39.75,39.75,6600
5/24/2011,39.67,39.67,39.67,39.67,1100
5/25/2011,39.48,39.48,39.37,39.38,1400
5/26/2011,39.33,39.38,39.22,39.22,8100
5/27/2011,39.33,39.52,39.33,39.38,5800
5/31/2011,39.36,39.36,39.33,39.33,1000
6/1/2011,39.21,39.21,39.12,39.21,2500
6/2/2011,39.18,39.18,38.9,39.17,600
6/3/2011,39.07,39.09,39.07,39.07,900
6/6/2011,39.25,39.25,38.63,38.7,1700
6/7/2011,38.71,38.93,38.71,38.92,11400
6/8/2011,39.47,39.47,38.87,38.91,3100
6/9/2011,38.96,38.96,38.95,38.96,3600
6/10/2011,38.86,38.91,38.86,38.91,5600
6/13/2011,39.29,39.62,39.24,39.24,4400
6/14/2011,39.31,39.42,39.31,39.42,5100
6/15/2011,39.1,39.28,39.1,39.26,1800
6/16/2011,39.49,39.59,39.39,39.57,35500
6/17/2011,39.27,39.36,39.27,39.31,30500
6/20/2011,39.32,39.4,39.31,39.38,10300
6/21/2011,39.38,39.38,39.35,39.36,5600
6/22/2011,39.43,39.44,39.41,39.41,11500
6/23/2011,39.43,39.43,39.35,39.35,2400
6/24/2011,39.61,39.61,39.13,39.16,16200
6/27/2011,39.19,39.19,39.17,39.17,2100
6/28/2011,38.99,38.99,38.97,38.98,1900
6/29/2011,38.94,39.02,38.93,39.02,3000
6/30/2011,38.93,39.7,38.91,38.91,22000
7/1/2011,38.8,39.55,38.73,38.77,44100
7/5/2011,39.32,39.32,38.59,38.59,6100
7/6/2011,38.72,38.72,38.47,38.47,29100
7/7/2011,38.42,38.49,38.41,38.45,13700
7/8/2011,38.45,38.45,38.45,38.45,0
7/11/2011,38.44,38.44,38.19,38.25,4000
7/12/2011,38.92,38.92,38.26,38.29,1100
7/13/2011,38.19,38.3,38.19,38.29,2700
7/14/2011,38.35,38.35,38.25,38.31,1000
7/15/2011,38.25,38.25,38.04,38.04,5900
7/18/2011,38.1,38.1,37.72,37.78,8900
7/19/2011,37.37,37.62,37.37,37.56,4100
7/20/2011,37.67,37.8,37.67,37.79,6200
7/21/2011,37.58,37.78,36.87,37.78,11600
7/22/2011,37.73,37.73,37.63,37.63,3700
7/25/2011,37.47,37.53,37.47,37.53,900
7/26/2011,37.42,37.42,37.41,37.41,400
7/27/2011,37.63,37.74,37.63,37.74,200
7/28/2011,37.88,37.88,37.3,37.3,5200
7/29/2011,37.14,37.42,37.14,37.42,5100
8/1/2011,37.23,37.34,37.13,37.34,6500
8/2/2011,37.07,37.29,37.04,37.29,2000
8/3/2011,37.11,37.13,37.06,37.07,2100
8/4/2011,36.97,37.16,36.88,36.9,15900
8/5/2011,36.93,36.99,36.78,36.86,5100
8/8/2011,36.3,36.86,36.3,36.53,24700
8/9/2011,36.67,36.67,36.43,36.43,4600
8/10/2011,36.54,36.54,36.54,36.54,1100
8/11/2011,36.32,36.39,35.83,36.38,89900
8/12/2011,37.26,37.26,36.23,36.4,4600
8/15/2011,36.38,36.63,36.37,36.6,21900
8/16/2011,36.63,36.72,36.62,36.63,3500
8/17/2011,36.71,36.73,36.67,36.73,1900
8/18/2011,35.72,36.85,35.72,36.8,1600
8/19/2011,36.8,36.8,36.8,36.8,0
8/22/2011,36.79,36.8,36.69,36.69,1600
8/23/2011,36.45,36.45,36.32,36.32,1400
8/24/2011,36.51,36.51,36.51,36.51,200
8/25/2011,36.58,36.67,36.43,36.43,1100
8/26/2011,36.41,36.41,36.41,36.41,300
8/29/2011,36.53,36.65,36.51,36.63,25600
8/30/2011,36.43,36.64,36.43,36.44,1500
8/31/2011,36.52,36.71,36.51,36.67,43000
9/1/2011,36.62,36.67,36.53,36.65,39800
9/2/2011,36.49,36.54,36.25,36.39,24400
9/6/2011,36.65,36.65,36.3,36.3,1900
9/7/2011,36.43,36.48,36.42,36.43,3600
9/8/2011,36.45,36.45,36.26,36.29,10300
9/9/2011,36.22,36.29,36.22,36.29,1200
9/12/2011,36.32,36.32,36.26,36.26,2300
9/13/2011,36.34,36.34,36.29,36.29,800
9/14/2011,36.28,36.28,36.28,36.28,100
9/15/2011,36.24,36.32,36.24,36.31,1100
9/16/2011,36.34,36.34,36.32,36.32,1800
9/19/2011,36.2,36.2,36.03,36.03,1100
9/20/2011,36.18,36.18,36.18,36.18,200
9/21/2011,36.28,36.28,36.28,36.28,0
9/22/2011,35.7,35.73,35.57,35.57,4900
9/23/2011,35.66,35.96,35.66,35.83,800
9/26/2011,36.3,36.3,36.04,36.17,2600
9/27/2011,35.99,36.06,35.96,35.96,3600
9/28/2011,35.85,36.23,35.85,36.13,1300
9/29/2011,36.1,36.51,36.1,36.51,700
9/30/2011,36.35,36.54,36.35,36.54,400
10/3/2011,36.3,36.34,36.3,36.34,500
10/4/2011,35.92,36.14,35.92,36.07,15300
10/5/2011,36.45,36.45,36.22,36.3,21500
10/6/2011,36.31,36.39,36.14,36.37,9100
10/7/2011,36.54,36.54,36.32,36.32,2700
10/10/2011,36.41,36.41,36.34,36.34,301500
10/11/2011,36.34,36.34,36.34,36.34,0
10/12/2011,36.34,36.59,36.34,36.53,2500
10/13/2011,36.57,36.57,36.38,36.38,15300
10/14/2011,36.36,36.36,36.36,36.36,300
10/17/2011,36.36,36.47,36.36,36.4,3000
10/18/2011,36.53,36.56,36.4,36.41,4300
10/19/2011,36.69,36.69,36.6,36.64,1100
10/20/2011,36.4,36.83,36.4,36.83,8100
10/21/2011,36.9,37.48,36.77,36.87,43100
10/24/2011,37.06,37.06,36.66,36.66,2800
10/25/2011,36.48,36.66,36.48,36.65,17900
10/26/2011,36.42,37.08,36.42,37.05,3400
10/27/2011,36.91,36.94,36.81,36.82,2900
10/28/2011,36.82,36.82,36.7,36.7,8100
10/31/2011,36.55,36.63,36.55,36.56,2000
11/1/2011,36.62,36.62,36.48,36.53,2400
11/2/2011,36.54,36.56,36.54,36.56,1300
11/3/2011,36.37,36.38,36.37,36.38,4600
11/4/2011,36.37,36.38,36.34,36.35,3200
11/7/2011,36.38,36.5,36.38,36.5,2200
11/8/2011,36.77,36.77,36.45,36.46,4300
11/9/2011,36.46,36.49,36.45,36.49,1400
11/10/2011,36.52,36.52,36.52,36.52,900
11/11/2011,36.59,36.63,36.5,36.5,3500
11/14/2011,36.56,36.56,36.38,36.38,302100
11/15/2011,36.38,36.38,36.38,36.38,0
11/16/2011,36.12,36.12,36.07,36.11,6900
11/17/2011,36.27,36.27,36.27,36.27,300
11/18/2011,36.37,36.37,36.36,36.36,4500
11/21/2011,36.39,36.39,36.36,36.36,1800
11/22/2011,36.36,36.36,36.36,36.36,0
11/23/2011,36.13,36.13,36.13,36.13,2900
11/25/2011,36.13,36.13,36.13,36.13,0
11/28/2011,36.17,36.17,36.07,36.07,800
11/29/2011,36.17,36.21,36.17,36.21,2500
