Data, Open, High, Low, Close, Volume
2/5/2015,40.09,40.09,39.95,39.95,300
2/6/2015,40.11,40.16,39.83,39.83,6100
2/9/2015,39.73,39.73,39.62,39.62,2100
2/10/2015,39.46,39.86,39.45,39.85,2200
2/11/2015,39.68,39.68,39.64,39.64,200
2/12/2015,39.88,39.88,39.84,39.86,2300
2/13/2015,39.91,39.91,39.91,39.91,1100
2/17/2015,40.85,40.85,39.9,39.96,4000
2/18/2015,39.96,39.96,39.96,39.96,0
2/19/2015,40.07,40.07,40.07,40.07,200
2/20/2015,40.93,40.93,40.18,40.18,600
2/23/2015,40.26,40.26,40.25,40.25,800
2/24/2015,40.35,40.46,40.35,40.41,2900
2/25/2015,40.49,40.49,40.27,40.33,2000
2/26/2015,40.32,40.32,40.14,40.14,5000
2/27/2015,40.17,40.17,40.17,40.17,200
3/2/2015,40.16,40.16,40.07,40.1,5200
3/3/2015,40.02,40.08,39.95,40.08,1500
3/4/2015,39.82,39.82,39.69,39.73,600
3/5/2015,39.83,39.83,39.77,39.77,500
3/6/2015,39.77,39.77,39.77,39.77,0
3/9/2015,39.49,39.5,39.45,39.45,700
3/10/2015,39.13,39.13,39.13,39.13,100
3/11/2015,39.13,39.13,38.98,39.1,1100
3/12/2015,39.52,39.71,39.52,39.71,600
3/13/2015,39.62,39.74,39.49,39.55,5200
3/16/2015,40.03,40.03,39.07,39.07,900
3/17/2015,40.08,40.08,40.08,40.08,100
3/18/2015,39.83,40.33,39.73,40.33,1200
3/19/2015,40.08,40.46,40.08,40.46,300
3/20/2015,41.64,41.64,40.08,40.08,700
3/23/2015,40.98,40.98,40.89,40.94,900
3/24/2015,40.61,40.64,40.18,40.43,3400
3/25/2015,40.08,40.18,39.73,39.73,2900
3/26/2015,39.58,39.92,39.58,39.81,1800
3/27/2015,39.84,39.91,39.71,39.71,1400
3/30/2015,41.17,41.17,39.97,40.55,2000
3/31/2015,40.39,40.39,39.83,39.83,2100
4/1/2015,39.83,39.83,39.83,39.83,0
4/2/2015,40.44,40.44,40.03,40.07,1300
4/6/2015,40.43,40.43,40.41,40.41,800
4/7/2015,40.78,40.78,40.18,40.18,1200
